"","GSE95740_enriched environment"
"11302",0.0672
"11303",-0.0944
"11304",0.149
"11305",0.016
"11306",-0.0707
"11307",0.0134
"11308",0.0323
"11350",-0.0068
"11352",-0.0258
"11363",0.0141
"11364",-0.0463
"11370",0.0345
"11409",0.0109
"11416",-0.0586
"11418",-0.0895
"11419",0.063
"11421",-0.0393
"11423",0.1028
"11426",-0.0797
"11428",0.0079
"11429",0.0326
"11430",-0.0096
"11431",-0.0459
"11432",-0.0134
"11433",0.2717
"11434",0.4261
"11435",0.0173
"11438",-0.1425
"11440",-0.5064
"11441",0.0861
"11443",0.0745
"11444",-0.0276
"11459",0.4036
"11472",-0.2111
"11474",0.8718
"11475",-0.0614
"11477",0.1475
"11479",-0.0083
"11480",-0.0938
"11481",-0.1334
"11482",0.0863
"11484",-0.1241
"11486",-0.0313
"11487",-0.0411
"11488",-0.0585
"11489",-0.1468
"11490",0.0465
"11491",-0.0244
"11492",0.0961
"11496",-0.0057
"11498",-0.4812
"11499",-0.7225
"11501",0.2296
"11502",-0.0334
"11504",-0.163
"11512",0.0616
"11513",0.0571
"11514",-0.0577
"11515",0.1117
"11516",0.4051
"11517",-0.1463
"11518",0.0174
"11519",7.311e-05
"11520",0.0515
"11522",-0.5211
"11532",-0.044
"11534",-0.0948
"11535",0.7946
"11536",0.0159
"11538",-0.021
"11539",0.0795
"11540",0.2919
"11541",0.1623
"11542",0.3861
"11544",-0.0551
"11545",0.063
"11546",-0.0737
"11548",-0.3815
"11549",-0.08
"11550",-0.0354
"11551",-0.0125
"11552",-0.2038
"11553",0.2696
"11554",-0.1964
"11555",-0.037
"11556",-0.8326
"11564",2.462e-07
"11565",0.1606
"11566",-0.0139
"11567",0.5703
"11568",-0.2668
"11569",-0.1069
"11593",0.2565
"11595",0.3024
"11596",0.6171
"11600",-0.1801
"11601",0.3855
"11603",0.0524
"11605",0.2003
"11606",-0.1999
"11607",0.1914
"11609",-0.7236
"11610",0.0405
"11615",-0.2177
"11622",0.0959
"11624",-0.2692
"11629",-0.1996
"11630",0.2402
"11632",0.0498
"11636",0.0671
"11637",0.1151
"11639",-0.0337
"11640",0.0677
"11642",0.1438
"11647",-0.1872
"11651",0.0096
"11652",0.1399
"11655",0.0233
"11656",0.4129
"11658",-0.2497
"11666",0.1483
"11668",0.1734
"11669",-0.0533
"11670",-0.202
"11671",-0.0497
"11674",0.1185
"11676",0.0212
"11677",0.0301
"11682",0.0801
"11684",0.098
"11686",0.4415
"11687",-0.0069
"11688",-0.025
"11689",0.0314
"11690",0.0729
"11692",0.0196
"11694",0.0675
"11695",0.0069
"11702",0.0094
"11705",-0.3813
"11717",-0.0514
"11722",-0.2798
"11727",0.2376
"11732",-0.0649
"11733",0.0413
"11735",-0.0191
"11736",-0.022
"11737",0.0229
"11739",-0.0043
"11740",0.0445
"11744",0.1604
"11745",0.0361
"11746",0.1316
