"","GSE150812_enriched environment"
"11298",0.0719
"11302",-0.0047
"11303",0.0571
"11304",-0.0042
"11305",0.0225
"11306",0.0102
"11307",0.0074
"11308",-0.0401
"11350",-5e-04
"11352",-0.0119
"11363",0.0743
"11364",-0.0275
"11370",-0.0011
"11409",-0.0616
"11416",-0.0185
"11418",-0.0277
"11419",0.0641
"11421",0.1267
"11423",-0.0021
"11428",-0.0689
"11430",0.0381
"11431",-0.0399
"11432",-0.0342
"11433",0.1101
"11434",0.3444
"11435",-0.1314
"11438",-0.3193
"11440",-0.4771
"11441",0.0211
"11443",0.3184
"11444",-0.0308
"11459",-0.0152
"11470",-0.3625
"11471",0.5326
"11472",-0.1436
"11474",0.3216
"11475",0.0597
"11477",0.0519
"11479",-0.075
"11480",0.0226
"11481",0.0434
"11482",-0.042
"11484",-0.0467
"11486",-0.0392
"11487",0.018
"11488",-0.1094
"11489",-0.0498
"11490",0.0713
"11491",0.0457
"11492",0.0398
"11496",0.0161
"11497",-0.0979
"11498",0.0785
"11499",0.0541
"11501",0.1058
"11502",-0.0197
"11504",-0.2097
"11512",0.0581
"11513",-0.097
"11514",-0.0816
"11515",0.0016
"11516",0.1934
"11517",-0.0258
"11518",-0.0402
"11519",-0.0829
"11520",-0.0227
"11522",-0.0485
"11532",-0.0357
"11534",0.0143
"11535",-0.5512
"11536",-0.0658
"11538",0.4187
"11539",0.0338
"11540",0.3398
"11541",0.0015
"11542",-0.4411
"11544",-0.0338
"11545",-0.0393
"11546",-0.0013
"11548",-0.221
"11549",0.0099
"11550",-0.1459
"11551",0.0991
"11552",-0.5273
"11553",0.1127
"11554",-0.0303
"11555",-0.0463
"11556",0.2017
"11564",-0.1046
"11565",0.0039
"11566",0.046
"11567",0.0833
"11568",-0.0347
"11569",-0.023
"11593",-0.0149
"11595",0.042
"11596",0.2974
"11600",0.0348
"11601",0.1617
"11603",0.0165
"11605",-0.046
"11606",-0.0192
"11607",-0.4511
"11609",0.0556
"11610",0.0728
"11615",-0.5968
"11622",0.0853
"11624",-0.1222
"11629",0.015
"11630",0.1048
"11632",0.0589
"11634",-0.1887
"11636",-0.021
"11637",-0.0795
"11639",0.056
"11640",-0.0411
"11642",0.2925
"11647",-0.062
"11651",-0.0287
"11652",0.055
"11655",0.0137
"11656",-0.0513
"11658",-0.0649
"11666",-0.0378
"11668",0.0337
"11669",0.0654
"11670",0.315
"11671",0.0461
"11677",-0.0094
"11682",-0.0705
"11684",0.0797
"11686",0.3052
"11687",0.0412
"11688",-0.0142
"11689",0.1446
"11690",-0.0149
"11692",-0.0151
"11694",-0.0225
"11695",-0.2626
"11702",0.0229
"11705",-0.1519
"11717",0.1367
"11722",-0.0362
"11727",-0.1021
"11732",-0.027
"11733",0.0711
"11735",0.0878
"11736",-0.0076
"11737",0.0451
"11740",-0.024
"11744",-0.0105
"11745",-0.1491
"11746",0.1398
"11747",-0.0061
"11749",-0.0432
"11750",-0.0188
"11754",0.1301
"11757",-0.0084
"11758",0.056
"11761",0.14
"11764",0.0355
"11765",0.0062
"11766",0.0913
"11767",-0.0035
"11768",0.4278
"11769",0.0601
"11771",0.0063
"11772",0.0059
"11774",-0.0344
"11775",0.0129
"11776",0.0053
"11777",-0.0163
"11778",-0.0722
"11781",-0.0071
"11782",0.0268
"11783",0.0429
"11784",-0.0108
"11785",-0.054
"11787",0.0531
"11790",-0.0514
"11792",-0.0466
"11793",0.0145
"11796",0.0105
"11797",0.0372
"11798",-0.0109
"11799",0.155
"11800",-0.0059
"11806",0.2539
"11807",0.0774
"11810",-0.0892
"11811",0.044
"11812",0.1449
"11814",0.1746
"11815",0.1089
"11818",0.6882
"11819",0.1615
"11821",-0.0312
"11826",0.0237
"11829",0.0601
"11834",0.0506
"11835",0.0062
"11836",0.0186
"11837",-0.036
"11838",-0.0855
"11839",0.6369
"11840",1.169e-05
"11841",-0.0082
"11843",0.037
"11844",-0.1182
"11845",-0.0815
"11846",-0.3208
"11847",-0.0755
"11848",-0.0087
"11852",0.0224
"11853",0.0344
"11854",-0.3466
"11855",-0.0107
"11856",0.1401
"11857",0.1008
"11858",0.0506
"11861",0.0269
"11863",0.0502
"11864",0.0247
"11865",-0.1355
"11867",0.0682
"11870",-0.0158
"11876",-0.1301
"11877",-0.0164
"11878",0.0747
"11881",0.0141
"11883",-0.0191
"11886",-0.0732
"11889",-0.2512
"11891",0.0529
"11898",-0.0222
"11899",0.0338
"11905",-0.5125
"11906",-0.3753
"11907",-0.0116
"11908",-0.0571
"11909",0.0354
"11910",-0.413
"11911",-0.0326
"11920",-0.0183
"11922",-0.0255
"11923",0.6855
"11924",0.1533
"11927",-0.045
"11932",-0.0348
"11933",0.0368
"11936",-0.0747
"11937",-0.7959
"11941",-0.0017
"11944",-0.1479
"11949",-0.037
"11950",-0.022
"11951",-0.0411
"11957",-0.0175
"11958",4e-04
"11972",-0.0079
"11973",-0.037
"11974",-0.0111
"11975",0.0947
"11977",-0.0407
"11979",-0.0178
"11980",-0.0357
"11981",-0.0583
"11982",-0.0159
"11983",0.0068
"11987",0.0029
"11988",-0.0343
"11989",0.1035
"11990",-0.0085
"11991",-0.0391
"11992",0.0126
"11993",0.0296
"11994",0.1054
"12000",0.8245
"12005",-0.0708
"12006",-0.045
"12009",-0.1185
"12010",0.101
"12012",-0.1608
"12013",0.0217
"12014",0.1329
"12015",-0.0173
"12017",0.019
"12018",0.014
"12021",-0.257
"12023",0.1598
"12028",-0.0343
"12029",-0.0051
"12032",-0.0428
"12033",0.0125
"12034",-0.0215
"12035",0.0167
"12036",0.1428
"12038",-0.0595
"12039",-0.0575
"12040",0.0635
"12041",-0.0121
"12042",-0.0127
"12043",0.0418
"12044",0.0716
"12045",-0.251
"12047",-0.2512
"12048",-0.013
"12050",-0.0126
"12053",-0.0849
"12054",0.0567
"12055",-0.069
"12057",-0.6835
"12062",-0.1835
"12064",-0.0518
"12068",0.0476
"12069",-0.0522
"12070",-0.022
"12075",-0.0721
"12091",0.0079
"12111",0.0633
"12121",0.0508
"12122",0.0893
"12123",-0.2172
"12125",0.0733
"12140",-0.1473
"12142",0.0321
"12144",-0.0863
"12151",-0.0444
"12153",0.0857
"12156",0.2887
"12159",0.0747
"12160",-0.158
"12161",-0.0587
"12162",-0.1956
"12164",-0.1258
"12166",0.0116
"12167",-0.0045
"12168",0.0268
"12169",-0.0762
"12175",0.0351
"12176",-0.0392
"12177",-0.02
"12180",0.1011
"12181",-0.0537
"12182",0.5704
"12183",-0.0196
"12189",0.2299
"12190",-0.0205
"12192",0.0455
"12193",0.1047
"12209",-0.5989
"12211",-0.0248
"12212",0.0552
"12215",0.0745
"12217",0.0478
"12223",0.023
"12224",0.1742
"12226",0.0963
"12227",-0.0971
"12228",-0.2318
"12229",-0.1467
"12234",0.0079
"12235",-0.2799
"12236",0.1826
"12237",-0.0234
"12238",-0.0109
"12257",0.0038
"12258",-0.1513
"12259",0.1278
"12260",0.0729
"12261",0.0372
"12262",0.0785
"12263",-0.021
"12265",0.0227
"12266",0.3229
"12267",-0.0107
"12268",-0.001
"12269",-0.4057
"12273",0.1796
"12282",0.1491
"12283",0.0039
"12286",-0.0226
"12287",-0.0175
"12288",0.0836
"12289",0.0143
"12290",-0.0134
"12291",-0.2442
"12292",-0.3153
"12293",-0.0382
"12294",0.0025
"12295",-0.0415
"12296",-0.0089
"12297",0.0342
"12298",0.01
"12300",-0.0532
"12301",0.0336
"12304",0.2189
"12305",0.032
"12306",-0.0761
"12307",-0.1757
"12308",0.2014
"12310",-0.4729
"12316",0.1262
"12317",0.224
"12319",-0.0358
"12321",-0.0217
"12325",-0.0305
"12326",-0.0784
"12328",-0.053
"12331",-0.0616
"12332",-0.282
"12333",0.0159
"12334",0.0663
"12335",-0.1483
"12336",-0.0055
"12337",-0.0499
"12338",0.2368
"12339",-0.0247
"12340",0.0257
"12343",-0.0794
"12345",-0.0608
"12348",-0.0076
"12349",0.0748
"12350",0.1506
"12351",-0.0416
"12354",-0.0102
"12355",-0.03
"12359",-0.0068
"12361",-0.0498
"12362",0.0933
"12363",0.1445
"12364",0.2034
"12366",0.0269
"12367",-0.0949
"12368",-0.1125
"12369",-0.137
"12370",-0.0343
"12371",-0.0733
"12372",-0.1503
"12373",0.1357
"12374",-0.3311
"12380",0.1052
"12385",0.0319
"12386",-0.0323
"12388",-0.0057
"12389",-0.0631
"12390",0.0604
"12391",-0.0543
"12393",-0.0879
"12394",-0.2272
"12395",0.0777
"12396",-0.0507
"12398",0.0523
"12400",-0.0961
"12402",0.0102
"12404",-0.3297
"12405",0.1145
"12406",0.1722
"12408",0.0302
"12409",-0.1005
"12411",-0.0481
"12412",0.0223
"12416",-0.1077
"12417",-0.015
"12418",-0.0717
"12419",-0.0252
"12421",-2e-04
"12424",0.0456
"12426",-0.1014
"12427",0.0187
"12428",0.036
"12442",0.0685
"12443",0.2131
"12444",0.0105
"12445",-0.0314
"12447",-0.0896
"12448",0.068
"12449",0.034
"12450",0.0492
"12452",-0.0037
"12453",-0.0533
"12454",-0.1038
"12455",-0.017
"12457",-0.0431
"12460",-0.1584
"12461",-0.0454
"12462",0.0253
"12464",0.0176
"12465",-0.0371
"12466",0.0046
"12467",0.1825
"12468",-0.0136
"12469",0.0156
"12475",0.0568
"12476",0.0529
"12479",0.3404
"12483",0.8527
"12484",0.3148
"12487",0.1585
"12488",0.021
"12489",-0.133
"12490",0.0162
"12491",0.1395
"12492",-0.0015
"12493",-0.1269
"12494",-0.0116
"12495",0.0892
"12496",-0.0597
"12497",0.0338
"12499",0.0026
"12503",-0.0457
"12504",-0.0973
"12505",0.0698
"12506",0.1026
"12508",0.0992
"12509",0.0124
"12511",-0.2
"12512",0.0761
"12514",0.1486
"12517",-0.8319
"12519",-0.1738
"12520",0.0235
"12521",0.2156
