"","GSE123582_F1, sedentary ; F1, sedentary "
"11298",0.457537154989384
"11302",0.0494835825497148
"11303",0.116309461578672
"11304",0.885421237384818
"11305",0.0666666666666667
"11306",0.0761677012313015
"11307",0.0369696120991458
"11308",0.0476190476190476
"11350",0.0476427788298615
"11352",0.0652444592014609
"11363",0.079942160710597
"11364",0.0548354935194417
"11370",0.0745879504609368
"11409",0.126469540434628
"11416",0.0602858918582971
"11418",0.0457769181173437
"11419",0.0786128248270705
"11421",0.682507169192954
"11423",0.0784593437945792
"11426",0.0995800839832034
"11428",0.0523105794041755
"11429",0.0422326906222612
"11430",0.0337341060461898
"11431",0.0545368171021378
"11432",0.0371226874391431
"11433",0.577545195052331
"11434",0.204604265191398
"11435",0.188621076233184
"11438",0.132689832689833
"11440",0.95781010719755
"11441",0.127675757905031
"11443",0.188396557220274
"11444",0.0446018376722818
"11448",0.719127629868567
"11459",0.131062355658199
"11461",0.0618895966029724
"11468",0.799191848208011
"11472",0.0940375646035548
"11474",0.21606743505935
"11475",0.37878432292889
"11477",0.0583922492799162
"11479",0.037567084078712
"11480",0.0850102160856913
"11481",0.0914276659800349
"11482",0.121395617070358
"11484",0.106589402519865
"11486",0.245635215453195
"11487",0.0507900677200903
"11488",0.0617030028794735
"11489",0.150843425605536
"11490",0.0696838642870196
"11491",0.0691150954308849
"11492",0.0867941440095608
"11496",0.0560331104743712
"11498",0.272235739389024
"11499",0.32551255822052
"11501",0.213138686131387
"11502",0.0524590163934426
"11504",0.144525326053988
"11512",0.0669615013891251
"11513",0.0942562592047128
"11514",0.119729992563355
"11515",0.0744065733414486
"11516",0.182680484805902
"11517",0.0479793536277788
"11518",0.0327009936766034
"11519",0.0666477996320928
"11520",0.128856041131105
"11522",0.56863436123348
"11532",0.0671506352087114
"11534",0.042833607907743
"11535",0.253598105301512
"11536",0.361111111111111
"11538",0.158054711246201
"11539",0.0587219343696028
"11540",0.261254019292605
"11541",0.154060066740823
"11542",0.190529006124319
"11544",0.0786937901498929
"11545",0.0640595740974611
"11546",0.0852442026169193
"11548",0.208158136387801
"11549",0.132645803698435
"11550",0.0884778510838831
"11551",0.129585642649776
"11552",0.55011013215859
"11553",0.0886413914104813
"11554",0.0758226037195994
"11555",0.162337662337662
"11556",0.171680450786149
"11564",0.0669884740419663
"11565",0.102403343782654
"11566",0.0390155674698017
"11567",0.345213137665968
"11568",0.263627353815659
"11569",0.0363528009535161
"11593",0.13353765323993
"11595",0.131808535722707
"11596",0.304648612165696
"11600",0.152081811541271
"11601",0.292385420425839
"11602",0.896902719208957
"11603",0.0646283147369946
"11604",0.715289982425308
"11605",0.0633676519428761
"11606",0.201138688728761
"11607",0.35526950925181
"11608",0.645060766593954
"11609",0.235685071574642
"11610",0.11697549837534
"11615",0.331712618693513
"11622",0.118879689256874
"11624",0.166764189584552
"11629",0.180741664069804
"11630",0.185714285714286
"11632",0.0844554562102768
"11634",0.441538104628233
"11636",0.0794621026894866
"11637",0.0757970892571717
"11639",0.0975359342915811
"11640",0.0387374461979914
"11642",0.368888888888889
"11647",0.157219570405728
"11651",0.0433440355643369
"11652",0.0544476809321084
"11655",0.0566666666666667
"11656",0.689671814671815
"11658",0.0799288430867378
"11666",0.0645088783996404
"11668",0.130651746559806
"11669",0.118236472945892
"11670",0.194984243697479
"11671",0.0459839013529714
"11676",0.0746565934065934
"11677",0.0687450039968026
"11682",0.112042346713719
"11684",0.26306394027913
"11685",0.953033268101761
"11686",0.212681638044914
"11687",0.111111111111111
"11688",0.0963789319678127
"11689",0.289909880914065
"11690",0.142189835575486
"11692",0.0733370702541106
"11694",0.386277001270648
"11695",0.362846073892091
"11702",0.0489216201998948
"11705",0.316483516483516
"11717",0.054006243496358
"11720",0.437813600939468
"11722",0.15921963499056
"11727",0.156344960410871
"11732",0.0308169596690796
"11733",0.0830140485312899
"11735",0.0831013916500994
"11736",0.0581328751431844
"11737",0.0681818181818182
"11739",0.0671211326691138
"11740",0.0632846087704213
"11744",0.0964474678760393
"11745",0.105247576049145
"11746",0.124886877828054
"11747",0.0925153156352659
"11749",0.0596862210095498
"11750",0.0567127603710835
"11752",0.333981178396072
"11754",0.34920865398577
"11757",0.0573740345715337
"11758",0.0769932256383533
"11761",0.157466210714867
"11764",0.0433626974483597
"11765",0.0493827160493827
"11766",0.159369961552772
"11767",0.0511733107152955
"11768",0.307416267942584
"11769",0.100824931255729
"11770",0.66797285673325
"11771",0.0406486640948707
"11772",0.0446670841160509
"11773",0.0638020833333333
"11774",0.0434782608695652
"11775",0.044011544011544
"11776",0.0360176156023907
"11777",0.051637082921243
"11778",0.0392836510687464
"11781",0.0624575695858792
"11782",0.0675105485232068
