"","GSE123582_F1, sedentary ; F1, sedentary "
"12070",-0.6808
"12075",-0.1204
"12091",-0.9122
"12095",-0.0121
"12111",0.9536
"12116",-0.5275
"12121",1.2699
"12122",-0.5712
"12123",1.3557
"12124",1.0259
"12125",0.0719
"12140",3.2159
"12142",0.0462
"12144",0.7267
"12151",0.704
"12153",-0.7685
"12155",-0.4933
"12156",0.7716
"12159",-0.5354
"12160",0.9842
"12161",-0.6713
"12162",-0.1388
"12164",0.5987
"12166",0.5349
"12167",0.8197
"12168",1.4691
"12169",-0.9512
"12175",0.4452
"12176",1.2709
"12177",1.0259
"12180",2.2208
"12181",-1.8985
"12182",-1.1691
"12183",-0.4719
"12189",-0.3663
"12190",0.763
"12192",0.9599
"12193",0.5971
"12211",0.4067
"12212",0.9269
"12215",-0.7151
"12217",-0.0583
"12223",2.0163
"12224",0.0672
"12226",-2.5593
"12227",0.1691
"12228",0.0647
"12229",-1.8688
"12234",0.0045
"12235",-0.1364
"12236",-0.3835
"12237",0.6174
"12238",-0.764
"12257",-1.0285
"12258",1.3579
"12259",-0.9542
"12260",-0.9517
"12261",0.2829
"12262",-1.2656
"12263",1.5758
"12265",0.2391
"12266",0.1066
"12267",0.6098
"12268",-0.1094
"12269",-0.6378
"12270",-0.8874
"12273",-0.4909
"12282",-0.7306
"12283",1.6691
"12286",0.0038
"12287",0.2941
"12288",0.6166
"12289",0.6991
"12290",0.902
"12291",1.3131
"12292",2.3379
"12293",1.8176
"12294",-0.4967
"12295",-1.3364
"12296",0.4497
"12297",-1.4284
"12298",1.5745
"12300",1.6552
"12301",0.7138
"12304",-0.8594
"12305",-0.8739
"12306",0.646
"12307",0.9119
"12308",-1.5413
"12310",0.3794
"12311",-1.5401
"12316",0.0088
"12317",-0.2082
"12319",0.2788
"12321",0.4434
"12323",-1.786
"12325",0.3088
"12326",1.2833
"12328",-0.198
"12330",1.4686
"12331",-1.5009
"12332",1.7719
"12333",0.4853
"12334",-0.344
"12335",0.5776
"12336",-0.7605
"12337",-1.2604
"12338",-0.1807
"12339",0.8168
"12340",2.5389
"12343",-0.0735
"12345",-2.005
"12348",-1.7327
"12349",0.7224
"12350",1.1365
"12351",0.6955
"12352",-1.4937
"12354",-1.3149
"12355",-0.603
"12359",-0.0348
"12361",1.3879
"12362",0.5529
"12363",0.9727
"12364",2.0833
"12366",1.9252
"12367",0.4282
"12368",-0.2152
"12369",1.0343
"12370",0.8095
"12371",1.4171
"12372",0.5835
"12373",0.9951
"12374",0.1094
"12380",-0.287
"12385",-0.1891
"12386",-0.2735
"12388",0.7839
"12389",2.18
"12390",2.1044
"12391",-0.5963
"12393",0.4492
"12394",0.1236
"12395",1.8395
"12396",1.0389
"12398",-0.1976
"12400",2.4095
"12402",-0.7002
"12404",0.5086
"12405",2.2456
"12406",-0.6934
"12408",-0.677
"12409",1.0092
"12411",-0.0912
"12412",0.5152
"12416",-1.3949
"12417",1.4247
"12418",1.545
"12419",0.16
"12421",0.9934
"12424",-0.8624
"12425",-1.9097
"12426",0.3263
"12427",-1.7718
"12428",-0.5591
"12442",0.2118
"12443",-0.4724
"12444",-1.4615
"12445",-1.1431
"12447",-0.6942
"12448",0.4536
"12449",-2.0821
"12450",1.4597
"12452",-1.0228
"12453",1.0322
"12454",0.3671
"12455",0.5927
"12457",-0.2506
"12460",-0.7024
"12461",0.512
"12462",0.0374
"12464",0.27
"12465",-0.4347
"12466",1.0808
"12467",0.5876
"12468",-0.4028
"12469",2.2323
"12475",-2.4557
"12476",-0.4255
"12479",-0.2956
"12483",-0.6363
"12484",0.3412
"12487",-1.4147
"12488",1.1392
"12489",-0.3999
"12490",-0.3989
"12491",0.9424
"12492",0.1832
"12493",0.7014
"12494",-0.6081
"12495",-1.3888
"12496",0.3963
"12497",-0.9663
"12499",1.2698
"12503",1.9658
"12504",-0.6066
"12505",2.4026
"12506",-0.9412
"12508",-0.7268
"12509",-0.9308
"12511",0.9115
"12512",-0.5678
"12514",0.9579
"12516",-1.2938
"12517",-1.437
"12518",0.8548
"12519",-0.1249
"12520",-0.0218
"12521",-0.7753
"12522",0.4125
"12523",-0.0799
"12524",0.3639
"12527",-0.1555
"12530",0.1416
"12531",0.8325
"12532",-0.4326
"12534",-0.7433
"12537",-0.1158
"12539",-1.1511
"12540",0.6213
"12544",-0.9799
"12545",0.0494
"12549",0.2049
"12550",0.4711
"12552",0.4632
"12554",-0.9338
"12555",-2.1881
"12558",1.9658
"12560",-1.3196
"12561",0.6487
"12562",2.715
"12563",1.6349
"12564",0.3167
"12565",0.703
"12566",-0.6357
"12567",-1.2962
"12568",-0.3269
"12569",0.6195
"12570",-2.0444
"12571",0.9829
"12572",-0.6806
"12575",0.2269
"12576",0.6648
"12577",-0.7473
"12578",0.0941
"12579",0.1627
"12580",-0.7864
"12581",-0.0927
"12583",0.9139
"12585",-1.0564
"12587",-1.4372
"12589",1.1694
"12593",-0.2509
"12606",-2.0573
"12607",1.4831
"12608",-1.4982
"12609",-1.7959
"12611",-0.063
"12614",-0.7728
"12615",-0.7353
"12616",-0.7758
"12617",1.7245
"12626",0.6996
"12628",0.7757
"12631",-0.595
"12632",1.9791
"12633",-0.7273
"12638",0.588
"12642",0.8463
"12643",-0.0277
"12647",-0.6092
"12648",-0.0485
"12649",-1.7341
"12651",-1.4373
"12652",-0.0847
"12653",0.6125
"12654",-0.0781
"12659",0.2243
"12660",-0.2083
"12661",1.8485
"12662",1.8501
"12663",2.8545
"12667",-0.6155
"12669",-1.089
"12671",-1.1467
"12672",-1.222
"12675",0.5462
"12677",0.3292
"12683",-0.4464
"12684",-0.5091
"12695",0.8451
"12696",-0.1597
"12700",-1.6524
"12702",-0.1369
"12703",-0.6753
"12704",1.286
"12705",0.3396
"12709",0.1079
"12716",0.4122
"12721",-0.7763
"12722",0.6742
"12723",1.415
"12724",-1.9821
"12725",0.9614
"12727",1.4668
"12728",0.6063
"12729",0.8948
"12733",-0.7342
"12737",-1.1198
"12738",-1.5722
"12739",-2.3233
"12741",1.7533
"12745",2.544
"12747",-0.6266
"12748",-0.9276
"12750",-0.2519
"12751",-1.1264
"12752",0.3029
