"","GSE123582_F1, sedentary ; F1, sedentary "
"12070",-0.0645
"12075",-0.0246
"12091",-0.0927
"12095",-0.0036
"12111",0.2332
"12116",-0.4302
"12121",0.116
"12122",-0.0617
"12123",0.1096
"12124",0.7761
"12125",0.0071
"12140",0.5022
"12142",0.0105
"12144",0.1023
"12151",0.0321
"12153",-0.0938
"12155",-0.3429
"12156",0.101
"12159",-0.1605
"12160",0.2906
"12161",-0.273
"12162",-0.0453
"12164",0.2393
"12166",0.0357
"12167",0.0679
"12168",0.1427
"12169",-0.1901
"12175",0.0245
"12176",0.0578
"12177",0.046
"12180",0.4316
"12181",-0.1007
"12182",-0.4536
"12183",-0.025
"12189",-0.0582
"12190",0.0866
"12192",0.0878
"12193",0.05
"12211",0.0445
"12212",0.0637
"12215",-0.1093
"12217",-0.0061
"12223",0.6317
"12224",0.0129
"12226",-0.1272
"12227",0.0404
"12228",0.0057
"12229",-0.2861
"12234",1e-04
"12235",-0.0543
"12236",-0.1174
"12237",0.033
"12238",-0.05
"12257",-0.2454
"12258",0.4233
"12259",-0.0743
"12260",-0.0931
"12261",0.016
"12262",-0.0937
"12263",0.8081
"12265",0.0489
"12266",0.0257
"12267",0.0863
"12268",-0.0106
"12269",-0.1903
"12270",-0.5826
"12273",-0.1343
"12282",-0.056
"12283",0.0522
"12286",3e-04
"12287",0.0218
"12288",0.0441
"12289",0.0587
"12290",0.0864
"12291",0.1112
"12292",0.5473
"12293",0.1254
"12294",-0.0292
"12295",-0.0694
"12296",0.0252
"12297",-0.0909
"12298",0.172
"12300",0.1131
"12301",0.04
"12304",-0.1114
"12305",-0.0878
"12306",0.0999
"12307",0.0568
"12308",-0.2185
"12310",0.081
"12311",-1.777
"12316",0.0026
"12317",-0.0182
"12319",0.0566
"12321",0.0221
"12323",-0.098
"12325",0.0127
"12326",0.1083
"12328",-0.0095
"12330",0.0577
"12331",-0.077
"12332",0.2712
"12333",0.0267
"12334",-0.018
"12335",0.0676
"12336",-0.0656
"12337",-0.0667
"12338",-0.0585
"12339",0.0376
"12340",0.1109
"12343",-0.0036
"12345",-0.1281
"12348",-0.1222
"12349",0.057
"12350",0.3907
"12351",0.0599
"12352",-0.7201
"12354",-0.1345
"12355",-0.2427
"12359",-0.0024
"12361",0.0839
"12362",0.1494
"12363",0.4144
"12364",0.5274
"12366",0.147
"12367",0.037
"12368",-0.0268
"12369",0.177
"12370",0.135
"12371",0.0651
"12372",0.157
"12373",0.1986
"12374",0.0288
"12380",-0.0371
"12385",-0.0184
"12386",-0.0116
"12388",0.0483
"12389",0.2028
"12390",0.1925
"12391",-0.1944
"12393",0.0545
"12394",0.0187
"12395",0.1686
"12396",0.0457
"12398",-0.0222
"12400",0.1294
"12402",-0.058
"12404",0.2109
"12405",0.312
"12406",-0.1255
"12408",-0.0552
"12409",0.4706
"12411",-0.0067
"12412",0.0293
"12416",-0.1901
"12417",0.0701
"12418",0.067
"12419",0.0071
"12421",0.0805
"12424",-0.0839
"12425",-1.422
"12426",0.0785
"12427",-0.3577
"12428",-0.1212
"12442",0.0595
"12443",-0.0457
"12444",-0.1232
"12445",-0.1642
"12447",-0.05
"12448",0.0642
"12449",-0.27
"12450",0.0891
"12452",-0.0456
"12453",0.0498
"12454",0.0193
"12455",0.0313
"12457",-0.0124
"12460",-0.0582
"12461",0.0228
"12462",0.0021
"12464",0.0126
"12465",-0.0229
"12466",0.0393
"12467",0.2812
"12468",-0.0217
"12469",0.0845
"12475",-0.3385
"12476",-0.048
"12479",-0.0883
"12483",-0.2322
"12484",0.0525
"12487",-0.8014
"12488",0.1068
"12489",-0.0492
"12490",-0.0306
"12491",0.3241
"12492",0.0097
"12493",0.1085
"12494",-0.0687
"12495",-0.121
"12496",0.0275
"12497",-0.0672
"12499",0.1083
"12503",0.884
"12504",-0.2279
"12505",0.6589
"12506",-0.2627
"12508",-0.0806
"12509",-0.4136
"12511",0.27
"12512",-0.0979
"12514",0.0983
"12516",-0.697
"12517",-1.1825
"12518",0.6433
"12519",-0.0329
"12520",-0.0019
"12521",-0.1347
"12522",0.0324
"12523",-0.0104
"12524",0.0446
"12527",-0.024
"12530",0.0095
"12531",0.0965
"12532",-0.1927
"12534",-0.2501
"12537",-0.0075
"12539",-0.0856
"12540",0.0309
"12544",-0.1876
"12545",0.0066
"12549",0.0176
"12550",0.2313
"12552",0.0316
"12554",-0.0723
"12555",-0.4337
"12558",0.0802
"12560",-1.9906
"12561",0.0516
"12562",0.3342
"12563",0.1855
"12564",0.0266
"12565",0.059
"12566",-0.0957
"12567",-0.0945
"12568",-0.0249
"12569",0.0259
"12570",-0.117
"12571",0.126
"12572",-0.0416
"12575",0.0317
"12576",0.0322
"12577",-0.3717
"12578",0.0594
"12579",0.0385
"12580",-0.1278
"12581",-0.0062
"12583",0.0696
"12585",-0.2886
"12587",-0.6252
"12589",0.0538
"12593",-0.0205
"12606",-0.1727
"12607",0.0648
"12608",-0.1623
"12609",-0.1833
"12611",-0.0032
"12614",-0.1006
"12615",-0.1351
"12616",-0.0608
"12617",0.1304
"12626",0.0457
"12628",0.1855
"12631",-0.041
"12632",0.0926
"12633",-0.0604
"12638",0.1847
"12642",0.3357
"12643",-0.0095
"12647",-0.7536
"12648",-0.0042
"12649",-0.2803
"12651",-0.0948
"12652",-0.0069
"12653",0.0414
"12654",-0.0088
"12659",0.0441
"12660",-0.0172
"12661",0.164
"12662",0.1566
"12663",0.4008
"12667",-0.0725
"12669",-0.0517
"12671",-0.0904
"12672",-0.1382
"12675",0.0445
"12677",0.083
"12683",-0.0572
"12684",-0.0837
"12695",0.2907
"12696",-0.0181
"12700",-0.2469
"12702",-0.0257
"12703",-0.1361
"12704",0.1677
"12705",0.0845
"12709",0.0087
"12716",0.0287
"12721",-0.0708
"12722",0.2039
"12723",0.2791
"12724",-0.1281
"12725",0.0557
"12727",0.0473
"12728",0.0761
"12729",0.0512
"12733",-0.3709
"12737",-0.5182
"12738",-1.9093
"12739",-1.0895
"12741",0.2107
"12745",0.2031
"12747",-0.0915
"12748",-0.0756
"12750",-0.0211
"12751",-0.0742
"12752",0.0244
"12753",0.121
"12757",-0.0559
"12759",-0.159
"12763",0.3305
"12764",0.0211
"12767",0.122
"12768",0.3484
"12769",-0.2615
"12772",1.2242
"12774",0.0336
"12777",-0.3905
"12778",-0.0975
"12780",0.1398
"12785",0.0456
"12789",0.3464
"12790",-1.1994
"12793",-0.0215
"12794",-0.2075
"12795",0.0363
"12797",0.3109
"12798",0.0741
"12799",0.0254
"12801",0.1241
"12802",0.1168
"12803",0.0466
"12804",0.0239
"12805",0.0652
"12807",0.0171
