"","GSE124954_exercise"
"11298",-0.4497
"11302",-0.0381
"11303",-0.0169
"11304",0.3354
"11305",-0.1272
"11306",-0.166
"11307",-0.1264
"11308",0.0729
"11350",-0.1624
"11352",0.0395
"11363",-0.0098
"11364",0.0882
"11370",0.093
"11409",-0.0436
"11416",0.0532
"11418",0.0363
"11419",0.0608
"11421",0.4162
"11423",0.0405
"11426",4e-04
"11428",-0.0146
"11429",0.0106
"11430",0.0372
"11431",0.0279
"11432",0.0236
"11433",-0.0567
"11434",-0.7931
"11435",0.5657
"11438",-0.3793
"11440",0.4075
"11441",0.0444
"11443",0.4953
"11444",-0.0448
"11459",-0.163
"11465",0.011
"11470",0.3872
"11471",0.1674
"11472",0.0149
"11474",0.4358
"11475",0.1095
"11477",0.1359
"11479",-0.0841
"11480",-0.08
"11481",-0.1635
"11482",0.0163
"11484",-0.4853
"11486",0.4236
"11487",-0.0473
"11488",0.1486
"11489",0.1929
"11490",0.0682
"11491",-0.0339
"11492",-0.1397
"11496",-0.0418
"11498",-0.0098
"11499",-0.7092
"11501",-0.3122
"11502",0.0241
"11504",-0.2117
"11512",0.0026
"11513",0.0366
"11514",-0.255
"11515",0.0609
"11516",-0.1199
"11517",-0.0866
"11518",-0.0107
"11519",-0.1175
"11520",0.1785
"11522",1.2538
"11532",0.0148
"11534",-0.0675
"11535",-0.0927
"11536",0.2534
"11538",-0.0358
"11539",0.0553
"11540",0.1545
"11541",0.1161
"11542",0.0944
"11544",0.1094
"11545",0.0508
"11546",0.0756
"11548",-0.2537
"11549",-0.0682
"11550",0.1027
"11551",-0.0301
"11552",-1.3901
"11553",0.0908
"11554",-0.1092
"11555",0.0502
"11556",0.8699
"11564",0.0318
"11565",-0.2993
"11566",0.0616
"11567",-0.6752
"11568",-0.1257
"11569",-0.0142
"11593",0.0243
"11595",-0.0828
"11596",-0.3435
"11600",0.038
"11601",0.0097
"11603",0.049
"11605",0.087
"11606",-0.1439
"11607",-0.1917
"11609",-0.1205
"11610",0.0748
"11615",0.01
"11622",-0.1867
"11624",0.1336
"11629",0.0157
"11630",0.0801
"11632",0.0764
"11634",-0.1095
"11636",0.0051
"11637",0.0742
"11639",0.3366
"11640",0.0488
"11642",-0.409
"11647",0.1933
"11651",-0.0162
"11652",-0.0446
"11655",-0.0038
"11656",-0.3912
"11657",-0.0913
"11658",0.1203
"11666",-0.1094
"11668",-0.0812
"11669",-0.0598
"11670",0.0948
"11671",0.1612
"11676",0.0838
"11677",0.0242
"11682",0.1067
"11684",0.6271
"11686",-0.1158
"11687",-0.2437
"11688",0.3062
"11689",-0.0061
"11690",0.1059
"11692",0.0476
"11694",-0.3993
"11695",-0.2852
"11702",-0.0559
"11705",0.0922
"11717",0.071
"11720",-1.326
"11722",-0.0254
"11727",0.0262
"11732",0.0104
"11733",-0.2947
"11735",-0.1058
"11736",0.0356
"11737",-0.094
"11739",0.0259
"11740",0.0569
"11744",-0.0092
"11745",0.1131
"11746",-0.2337
"11747",-0.0057
"11749",-0.0289
"11750",0.1132
"11754",0.2722
"11757",-0.0572
"11758",-3e-04
"11761",0.261
"11764",0.079
"11765",-0.0317
"11766",-0.057
"11767",0.017
"11768",-0.1246
"11769",0.1832
"11771",0.0052
"11772",0.1745
"11773",0.0987
"11774",-0.0378
"11775",0.044
"11776",0.0252
"11777",0.0888
"11778",0.0506
"11781",-0.0591
"11782",0.005
"11783",-0.0849
"11784",0.082
"11785",0.0527
"11787",-0.049
"11789",-0.0208
"11790",0.0126
"11792",-0.005
"11793",0.0889
"11796",0.0246
"11797",0.108
"11798",-0.0188
"11799",0.0798
"11800",-0.0429
"11803",-0.0657
"11804",0.0401
"11806",0.6492
"11807",0.74
"11810",0.1306
"11811",0.0825
"11812",0.339
"11814",1.2325
"11815",-0.1627
"11816",-0.0192
"11818",0.481
"11819",0.22
"11820",-0.0258
"11821",0.0497
"11826",0.3539
"11829",-0.0769
"11830",-0.2878
"11834",-0.0763
"11835",0.0214
"11836",-0.0013
"11837",-0.013
"11838",0.1835
"11840",0.0486
"11841",0.0195
"11842",0.023
"11843",0.0056
"11844",-0.0019
"11845",0.0196
"11846",0.8639
"11847",-0.7267
"11848",-0.0038
"11852",-0.0668
"11853",0.1187
"11854",0.3073
"11855",-0.0346
"11856",0.168
"11857",0.1562
"11858",-0.0565
"11861",-0.0292
"11863",0.0567
"11864",0.0155
"11865",0.0562
"11867",-0.0836
"11870",-0.1591
"11876",0.3466
"11877",0.099
"11878",0.1612
"11881",-0.099
"11883",0.0206
"11886",0.0534
"11889",-0.3299
"11891",0.0967
"11898",-0.1477
"11899",0.0545
"11905",-0.9723
"11906",-0.962
"11907",0.0856
"11908",-0.1722
"11909",0.0241
"11910",0.2611
"11911",0.0069
"11920",0.0068
"11922",0.4309
"11923",-1.0023
"11924",0.0907
"11927",0.1459
"11928",-0.0646
"11931",-0.0296
"11932",-0.174
"11933",0.0889
"11936",-0.022
"11937",-0.0227
"11938",0.0114
"11941",-0.1186
"11944",-0.2828
"11946",-0.0147
"11949",0.024
"11950",0.0158
"11951",0.1135
"11957",0.0201
"11958",0.1408
"11964",0.0078
"11966",0.0519
"11972",0.0584
"11973",0.0874
"11974",-0.079
"11975",0.0297
"11977",0.1249
"11979",0.4049
"11980",-0.0089
"11981",0.0202
"11982",-0.0326
"11983",0.0347
"11984",0.0299
"11987",0.1055
"11988",0.1293
"11989",0.149
"11990",-0.0114
"11991",-0.0948
"11992",0.0529
"11993",-0.0654
"11994",-0.0836
"11998",0.0847
"12000",-0.0571
"12005",-0.0544
"12006",-0.0623
"12009",0.2172
"12010",0.0768
"12012",-0.7581
"12013",-0.0119
"12014",0.0706
"12015",0.0193
"12017",0.034
"12018",0.0475
"12021",-0.2228
"12023",0.3066
"12028",-0.1204
"12029",0.1408
"12032",-0.0256
"12033",0.0425
"12034",0.0509
"12035",0.0196
"12036",0.0578
"12038",-0.2058
"12039",-0.0155
"12040",0.0391
"12041",-0.0539
"12042",0.0658
"12043",-0.0672
"12044",-0.2768
"12045",0.0581
"12047",1.1922
"12048",-0.0333
"12050",0.0471
"12051",0.0984
"12053",-0.4607
"12054",-0.0738
"12055",-0.1318
"12057",-0.3853
"12062",0.0398
"12064",0.1636
"12068",0.0534
"12069",-0.0082
"12070",0.0434
"12075",-0.1839
"12091",0.2227
"12095",-1.84
"12111",0.1537
"12121",-0.0031
"12122",0.0284
"12123",-0.0911
"12124",-0.7853
"12125",-0.2081
"12140",0.0599
"12142",-0.1118
"12144",0.102
"12151",-0.0381
"12153",-0.0443
"12155",-0.7551
"12156",0.2609
"12159",-0.2261
"12160",0.1502
"12161",-0.1694
"12162",0.0989
"12164",0.3601
"12166",0.0274
"12167",0.0553
"12168",0.0187
"12169",0.314
"12175",0.0865
"12176",0.0232
"12177",0.0282
"12180",0.3224
"12181",-0.0317
"12182",0.8271
"12183",0.0534
"12189",0.118
"12190",-0.1035
"12192",-0.0449
"12193",0.0657
"12209",-0.6403
"12211",-0.0846
"12212",0.0594
"12215",0.1111
"12217",-0.0417
"12223",-0.7278
"12224",0.3357
"12226",-0.1639
"12227",0.0253
"12228",0.3172
"12229",-0.0762
"12234",-0.0167
"12235",-0.1791
"12236",0.4217
"12237",-0.0083
"12238",0.007
"12257",-0.1945
"12258",-0.1795
"12259",0.0343
"12260",0.212
"12261",0.151
"12262",0.2298
"12263",-0.1139
"12265",0.1706
"12266",-0.8278
"12267",0.1927
"12268",-0.1267
"12269",0.223
"12273",0.9368
"12282",0.0434
"12283",0.0058
"12286",-0.0809
"12287",0.0275
"12288",-0.0302
"12289",-0.0519
"12290",-0.0538
"12291",-0.2791
"12292",0.7384
"12293",0.0801
"12294",0.1271
"12295",-0.0119
"12296",0.1362
"12297",0.2046
"12298",-0.1206
"12300",0.1394
"12301",0.0899
"12304",0.0599
"12305",-0.1301
"12306",0.0414
"12307",-0.0886
"12308",0.0334
"12310",-0.2527
"12314",-0.0027
"12316",0.0168
"12317",0.0489
"12319",-0.1081
"12321",0.0883
"12322",0.0617
"12323",-0.0585
"12325",-0.1942
"12326",0.1556
"12328",0.1575
"12330",-0.0105
"12331",-0.0124
"12332",-0.0345
"12333",0.1092
"12334",-0.0114
"12335",-0.0792
"12336",0.0804
"12337",0.0262
"12338",0.3825
"12339",-0.0038
"12340",0.0857
"12343",0.0675
"12345",0.0502
"12348",-0.1061
"12349",-0.1093
"12350",-0.5724
"12351",0.1983
"12352",-1.0439
"12354",-0.3197
"12355",0.0211
"12359",0.0332
"12361",-0.0195
"12362",0.1424
"12363",-0.2029
"12364",0.1039
"12366",-0.042
"12367",0.1379
"12368",0.1137
"12369",0.245
"12370",0.0164
"12371",-0.0065
"12372",-0.0814
"12373",0.227
"12374",0.0141
"12380",0.0615
"12385",0.0335
"12386",-0.0326
"12387",0.0127
"12388",-0.0972
"12389",0.0463
"12390",-0.1255
"12391",0.1582
"12393",0.1575
"12394",-0.0559
"12395",0.1341
"12396",0.0175
"12398",-0.138
"12400",-0.1826
"12402",-0.0643
"12404",-0.1966
"12405",-0.3943
"12406",0.2127
"12408",0.0477
"12409",-0.3808
"12411",0.0078
"12412",-0.0177
"12416",-0.132
"12417",-0.0302
"12418",-0.0938
"12419",-0.038
"12421",-0.0698
"12424",0.0719
"12426",0.0369
"12427",-0.1736
"12428",0.0345
"12442",-0.0533
"12443",0.3219
"12444",0.1731
"12445",-0.0288
"12447",0.1657
"12448",0.1844
"12449",0.0121
"12450",0.0025
"12452",-0.0608
"12453",-0.0247
"12454",-0.0898
"12455",-0.0524
"12457",-0.0311
"12458",-0.1508
"12460",0.0156
"12461",0.0891
"12462",0.0569
"12464",0.0157
"12465",-0.0303
"12466",0.0936
"12467",0.7339
"12468",0.0569
"12469",0.0334
"12475",0.2473
"12476",0.0218
