"","GSE29075_exercise"
"100008567",-1.5069
"100009664",0.1752
"100012",-0.46815
"100015211",-0.7864
"100017",0.1401
"100019",-0.59235
"100034251",-0.1747
"100034360",1.79615
"100034675",0.2342
"100034739",-1.6545
"100036520",0.252
"100036521",-1.4215
"100036523",-0.6623
"100036526",-0.2908
"100036533",0.5103
"100036538",0.339
"100036539",-0.2467
"100036544",-0.3605
"100036768",1.4787
"100037258",1.3892
"100037278",-2.0944
"100038347",0.5214
"100038384",1.339
"100038392",0.8601
"100038479",-1.9536
"100038509",0.0984
"100038631",-0.0696
"100038659",0.6776
"100038691",1.3493
"100038711",-0.4575
"100038734",-1.8765
"100038746",-1.4904
"100038753",0.1952
"100038755",-0.5317
"100038759",-0.6555
"100038761",1.2586
"100038850",-0.2986
"100038862",-0.5826
"100038882",0.964
"100039138",0.0459
"100039225",0.4668
"100039265",-1.043
"100039348",0.0049
"100039374",-0.2275
"100039436",0.4181
"100039440",0.3037
"100039495",-0.1266
"100039521",0.4498
"100039681",-2.4176
"100039684",-0.6976
"100039795",-0.1762
"100039864",-3.3102
"100039901",0.32065
"100039946",-0.8362
"100039953",-0.9082
"100039968",0.9407
"100040049",0.5099
"100040151",0.4028
"100040201",-1.3241
"100040214",-0.627
"100040249",-1.1364
"100040268",0.3421
"100040293",-3.2562
"100040322",1.7874
"100040328",1.208
"100040447",1.1127
"100040462",1.30445
"100040529",1.4056
"100040736",-0.1042
"100040766",-0.1168
"100040769",1.2738
"100040822",1.63
"100040846",-0.8384
"100040851",0.0729
"100040882",0.3364
"100040926",0.7374
"100040938",-0.4253
"100040972",-0.8556
"100041194",-0.6618
"100041311",2.9757
"100041450",-1.3248
"100041562",0.5757
"100041576",0.6316
"100041581",-0.3967
"100041655",-0.3421
"100041724",1.59
"100041734",-2.58
"100042056",-0.29
"100042150",-0.62345
"100042198",0.937
"100042277",0.6724
"100042295",-0.5184
"100042444",0.7097
"100042450",-1.6377
"100042480",-0.8813
"100042545",2.0517
"100042584",-0.6227
"100042784",-0.0747
"100042785",0.833
"100042802",0.4227
"100043040",-0.5257
"100043057",0.7624
"100043133",-0.9876
"100043189",-1.0735
"100043232",0.1572
"100043270",-0.2332
"100043272",0.6454
"100043314",0.0973
"100043315",0.0536
"100043332",-2.1042
"100043416",0.271
"100043489",0.2977
"100043580",0.4707
"100043597",0.1781
"100043609",0.1963
"100043729",2.7176
"100043757",0.4703
"100043772",0.4777
"100043861",0.6726
"100043899",0.5852
"100043902",-1.52645
"100043911",-1.2519
"100044509",0.5046
"100045792",0.0058
"100048534",-1.34
"100049165",0.4692
"100061",-0.8638
"100066",-0.4028
"100072",-0.98125
"100073351",0.147
"100087",0.994
"100088",0.1984
"100093714",0.2269
"100101919",1.2832
"100102",1.6762
"100113398",0.7406
"100121",-0.8188
"100125931",2.15326666666667
"100126226",0.8713
"100126229",-1.4146
"100129",0.2293
"100137011",0.8016
"100141474",2.3965
"100155",-0.9175
"100163",-0.20975
"100169",-0.5275
"100174921",-0.9714
"100177",0.6767
"100182",0.4495
"100198",-0.3491
"100201",0.8473
"100206",0.0108
"100210",-0.0749
"100213",-0.687633333333333
"100233208",0.5676
"100270744",1.1847
"100273",-2.0033
"100303738",0.4816
"100303741",0.5096
"100306874",0.2696
"100306959",1.7132
"100317",0.3939
"100328574",0.5253
"100329140",-0.8016
"100336",-0.0638
"100340",-0.011
"100342",-1.3278
"100379095",0.1956
"100379143",0.7493
"100379259",-0.3873
"100379665",1.0579
"100382",-0.1302
"100383",1.0975
"100415913",0.2081
"100415971",1.2583
"100416477",1.2104
"100416706",-2.03
"100417514",-0.6935
"100417973",0.4343
"100418302",-0.8135
"100434",-0.4568
"100465",-0.0471666666666667
"100470",-0.6513
"100473",-1.1493
"100494",0.5312
"100502698",-0.2514
"100502712",1.5239
"100502723",0.6587
"100502739",0.399
"100502745",2.2915
"100502829",-1.4943
"100502841",0.4033
"100502846",0.881
"100502861",0.437966666666667
"100502936",0.6745
"100502940",-0.8129
"100502942",-0.8782
"100502950",0.3588
"100502982",1.7395
"100503003",-0.851
"100503041",-1.3287
"100503043",-0.1955
"100503044",0.2398
"100503074",-1.235
"100503085",1.8278
"100503185",0.2354
"100503198",1.3578
"100503199",0.429
"100503307",-0.4346
"100503311",-0.3526
"100503323",-1.7096
"100503337",1.4325
"100503348",-0.8481
"100503355",-2.3461
"100503359",0.5056
"100503361",0.4254
"100503380",-1.6666
"100503386",-0.657
"100503392",0.4664
"100503447",0.2732
"100503495",1.3382
"100503545",1.0505
"100503565",0.1351
"100503572",-0.76195
"100503594",0.2601
"100503609",0.4456
"100503613",-0.3047
"100503636",-1.6561
"100503659",0.32585
"100503670",0.5403
"100503676",-0.37485
"100503759",-0.07475
"100503802",2.4718
"100503812",-0.1711
"100503842",1.499
"100503849",-0.0657
"100503884",-0.45675
"100503895",-2.1722
"100503924",1.6661
"100503970",-0.8576
"100503991",-0.4429
"100503992",0.3722
"100504029",-0.1558
"100504061",-0.2818
"100504116",-0.0353
"100504140",1.0524
"100504162",-0.0514
"100504164",0.5908
"100504178",-1.7522
"100504207",0.2149
"100504229",-2.5531
"100504234",1.3509
"100504249",-1.6695
"100504262",1.133
"100504278",0.8971
"100504285",-0.8435
"100504309",1.1204
"100504312",-0.8
"100504323",-1.2737
"100504360",0.4155
"100504404",-0.7433
"100504446",-1.11
"100504454",0.2965
"100504457",-0.0321
"100504464",-0.0152
"100504474",-1.6563
"100504486",0.0492
"100504568",-1.6645
"100504594",-2.2751
"100504608",-0.70165
"100504632",0.4937
"100504650",-0.7406
"100504687",0.8314
"100504703",2.1594
"100504733",0.3463
"100505025",0.1254
"100515",0.35525
"100532",-0.8317
"100532730",0.4731
"100534273",1.95615
"100534287",-0.32635
"100559",-0.123
"100561",-0.21025
"100579154",1.7117
"100604",0.2529
"100608",-0.4553
"100609",-0.55818
"100616095",1.0594
"100637",-0.15475
"100647",-0.1193
"100678",0.8808
"100683",-0.71285
"100689",-1.3118
"100689703",1.9709
"100702",1.2935
"100705",-0.1287
"100710",0.40765
"100715",0.338425
"100727",-0.7177
"100732",-0.3338
"100737",1.47605
"100756",0.0305
"100763",1.7148
"100764",-1.5111
"100855",1.382
"100861861",0.2257
"100862085",0.32945
"100873094",-0.3389
"100900",0.44375
"100910",1.1603
"100929",0.02826
"100952",-0.9378
"100972",0.270066666666667
"100978",-0.294925
"100986",-0.30745
"101023",0.9736
"101055670",-1.5079
"101055840",-2.2815
"101055939",1.0903
"101056032",-0.6435
"101095",-5.1302
"101100",-0.362133333333333
"101113",-0.60875
"101118",0.496933333333333
"101122",0.5253
"101142",-2.2663
"101148",0.7878
"101187",0.9786
"101197",-0.6203
"101202",1.4052
"101206",0.1907
"101214",-1.6711
"101240",0.1325
"101314",3.0825
"101320",-1.2583
"101351",0.0041
"101358",-0.3543
"101359",-1.079
"101401",0.11085
"101434",0.7844
"101437",1.2539
"101471",0.132033333333333
"101476",-0.756266666666667
"101488",-0.7033
"101489",-0.9158
"101490",0.8593
"101497",-0.543966666666667
"101502",-0.09615
"101513",0.0574
"101533",0.22895
"101540",-2.1833
"101543",-1.0502
"101544",0.44575
"101565",-0.929566666666667
"101568",0.8419
"101592",-1.1582
"101602",0.2566
"101604",-0.4376
"101612",0.29845
"101613",-0.1324
"101631",0.798666666666667
"101685",-0.1878
"101694",0.6959
"101700",0.7413
"101706",-0.3499
"101739",-0.570033333333333
"101744",0.5123
"101772",-0.7516
"101809",1.0675
"101831",0.3979
"101861",-0.4389
"101867",-0.5008
"101869",-1.4051
"101883",0.2159
"101943",-1.1333
"101966",-1.4891
"101985",-0.3956
"101994",1.2519
"102022",-1.08275
"102032",-2.3084
"102058",-0.1091
"102060",-0.3622
"102075",1.0618
"102093",-0.4448
"102098",-1.9034
"102103",-0.18675
"102122",0.6342
"102124",-0.7216
"102141",1.11836666666667
"102162",1.071
"102182",0.5985
"102193",-1.5829
"102209",-0.6812
"102216272",0.8409
"102247",0.48935
"102278",2.0306
"102294",0.2497
"102323",-0.39365
"102334",-1.54315
"102339",1.7963
"102371",0.0221
"102414",-1.4054
"102423",-0.4523
"102436",0.34525
"102442",-0.4594
"102443350",-0.8048
"102448",1.05
"102462",0.5284
"102502",-1.7647
"102545",-0.3381
"102566",0.352
"102570",0.1981
"102580",-0.0371333333333334
"102595",-1.063
"102607",0.3265
"102614",-0.94325
"102626",-0.4566
"102631635",0.1209
"102631730",-0.3841
"102631841",0.0422
"102631843",0.1439
"102631925",0.1272
"102632",0.7182
"102632199",-0.0328
"102632240",0.5919
"102632292",1.7349
"102632303",1.0891
"102632483",0.1721
"102632493",0.9018
"102632818",-0.0318
"102633151",2.6348
