"","Probe","NCBIid","gene_ensembl_id","GeneSymbol","GeneName","pvalue","corrected_pvalue","rank","contrast_185743_coefficient","contrast_185743_log2fc","contrast_185743_tstat","contrast_185743_pvalue"
"39",319272,319272,"ENSMUSG00000112095","Sros1","non-coding RNA suppressor of Stat1",1.228e-05,0.0098,0.0012,-0.9506,-0.9506,-5.2226,6.091e-06
"40",75033,75033,"ENSMUSG00000043289","Mei4","meiotic double-stranded break formation protein 4",1.27e-05,0.0098,0.0013,-0.3971,-0.3971,-3.8769,4e-04
"41",108167886,108167886,"","Gm46272","predicted gene, 46272",1.37e-05,0.0103,0.0013,0.4525,0.4525,4.5222,5.522e-05
"42",67556,67556,"ENSMUSG00000050229","Pigm","phosphatidylinositol glycan anchor biosynthesis, class M",1.455e-05,0.0107,0.0014,0.1426,0.1426,3.4711,0.0013
"43",108767,108767,"ENSMUSG00000040128","Pnrc1","proline-rich nuclear receptor coactivator 1",1.657e-05,0.0108,0.0015,-0.1476,-0.1476,-4.0192,3e-04
"44",16160,16160,"ENSMUSG00000004296","Il12b","interleukin 12b",1.519e-05,0.0108,0.0014,1.3829,1.3829,5.3977,3.485e-06
"45",263876,263876,"ENSMUSG00000047030","Spata2","spermatogenesis associated 2",1.589e-05,0.0108,0.0014,-0.1327,-0.1327,-4.2562,1e-04
"46",212442,212442,"ENSMUSG00000025937","Lactb2","lactamase, beta 2",1.638e-05,0.0108,0.0015,0.1504,0.1504,2.7129,0.0099
"47",12395,12395,"ENSMUSG00000006586","Runx1t1","RUNX1 translocation partner 1",1.655e-05,0.0108,0.0015,-0.1791,-0.1791,-3.3589,0.0018
"48",71904,71904,"ENSMUSG00000037348","Paqr7","progestin and adipoQ receptor family member VII",1.713e-05,0.011,0.0016,-0.1468,-0.1468,-3.1371,0.0032
"49",115489998,115489998,"","Gm52742","predicted gene, 52742",1.772e-05,0.0111,0.0016,-1.4539,-1.4539,-3.8826,4e-04
"50",12672,12672,"ENSMUSG00000040495","Chrm4","cholinergic receptor, muscarinic 4",2.122e-05,0.0115,0.0019,-0.4373,-0.4373,-3.3147,0.002
"51",226976,226976,"ENSMUSG00000010453","Kansl3","KAT8 regulatory NSL complex subunit 3",1.863e-05,0.0115,0.0016,-0.1318,-0.1318,-4.0315,2e-04
"52",240332,240332,"ENSMUSG00000052026","Slc6a7","solute carrier family 6 (neurotransmitter transporter, L-proline), member 7",1.978e-05,0.0115,0.0017,-0.2178,-0.2178,-3.4106,0.0015
"53",108168963,108168963,"","Zfp978","zinc finger protein 978",2.038e-05,0.0115,0.0017,-2.4203,-2.4203,-7.1495,1.29e-08
"54",241070,241070,"ENSMUSG00000046856","Cmklr2","chemerin chemokine-like receptor 2",2.064e-05,0.0115,0.0018,-0.5207,-0.5207,-3.7652,5e-04
"55",329934,329934,"ENSMUSG00000052135","Foxo6","forkhead box O6",1.922e-05,0.0115,0.0017,-0.5651,-0.5651,-4.093,2e-04
"56",216725,216725,"ENSMUSG00000036545","Adamts2","ADAM metallopeptidase with thrombospondin type 1 motif 2",2.114e-05,0.0115,0.0018,-0.385,-0.385,-3.2821,0.0022
