"","Probe","NCBIid","gene_ensembl_id","GeneSymbol","GeneName","pvalue","corrected_pvalue","rank","contrast_375656_coefficient","contrast_375656_log2fc","contrast_375656_tstat","contrast_375656_pvalue"
"1",314322,314322,"ENSRNOG00000008015","Fos","Fos proto-oncogene, AP-1 transcription factor subunit",8.672e-12,1.548e-07,5.6e-05,1.8712,1.8712,19.3703,5.052e-10
"2",24409,24409,"ENSRNOG00000033942","Grin2a","glutamate ionotropic receptor NMDA type subunit 2A",2.962e-11,2.644e-07,1e-04,1.0601,1.0601,19.6612,4.288e-10
"3",360323,360323,"ENSRNOG00000029386","RT1-N2","RT1 class Ib, locus N2",8.803e-11,5.24e-07,2e-04,-1.0042,-1.0042,-16.2253,3.507e-09
"4",29619,29619,"ENSRNOG00000003300","Btg2","BTG anti-proliferation factor 2",1.923e-10,8.585e-07,2e-04,1.2084,1.2084,14.8002,9.491e-09
"5",414819,414819,"ENSRNOG00000065254","RT1-CE16","RT1 class I, locus CE16",2.87e-10,1.025e-06,3e-04,-5.657,-5.657,-14.2878,1.387e-08
"6",114090,114090,"ENSRNOG00000000640","Egr2","early growth response 2",3.831e-10,1.14e-06,3e-04,1.4859,1.4859,13.2938,3.003e-08
"7",120098199,120098199,"","LOC120098199","uncharacterized LOC120098199",5.655e-10,1.442e-06,4e-04,5.7266,5.7266,13.5582,2.433e-08
"8",305509,305509,"ENSRNOG00000059479","Adcy1","adenylate cyclase 1",6.604e-10,1.474e-06,4e-04,0.9916,0.9916,15.435,6.028e-09
"9",24517,24517,"ENSRNOG00000042838","Junb","JunB proto-oncogene, AP-1 transcription factor subunit",1.197e-09,1.852e-06,5e-04,0.7619,0.7619,12.2619,7.084e-08
"10",114856,114856,"ENSRNOG00000003977","Dusp1","dual specificity phosphatase 1",1.452e-09,1.852e-06,8e-04,1.044,1.044,11.8674,1e-07
"11",120096186,120096186,"","LOC120096186","uncharacterized LOC120096186",1.355e-09,1.852e-06,7e-04,-0.9673,-0.9673,-12.7179,4.812e-08
"12",499587,499587,"ENSRNOG00000028097","Slc7a14","solute carrier family 7, member 14",1.239e-09,1.852e-06,6e-04,0.6442,0.6442,12.4966,5.797e-08
"13",117284,117284,"ENSRNOG00000011980","Lrrc7","leucine rich repeat containing 7",1.404e-09,1.852e-06,7e-04,0.6814,0.6814,13.8472,1.942e-08
"14",24171,24171,"ENSRNOG00000015903","Add2","adducin 2",1.278e-09,1.852e-06,6e-04,0.6157,0.6157,13.2138,3.203e-08
"15",498902,498902,"ENSRNOG00000011009","Cmtm4","CKLF-like MARVEL transmembrane domain containing 4",2.035e-09,2.422e-06,8e-04,0.6667,0.6667,13.2083,3.217e-08
"16",444983,444983,"ENSRNOG00000007830","Apold1","apolipoprotein L domain containing 1",2.871e-09,3.015e-06,0.001,1.5853,1.5853,9.9715,6.098e-07
"17",58853,58853,"ENSRNOG00000005964","Nr4a3","nuclear receptor subfamily 4, group A, member 3",2.867e-09,3.015e-06,9e-04,0.9389,0.9389,13.2222,3.181e-08
"18",25547,25547,"ENSRNOG00000018305","St8sia3","ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3",3.172e-09,3.147e-06,0.001,0.6611,0.6611,12.6554,5.07e-08
"19",120101712,120101712,"","LOC120101712","uncharacterized LOC120101712",3.519e-09,3.307e-06,0.0011,-0.8921,-0.8921,-11.7281,1.133e-07
