"","Probe","NCBIid","gene_ensembl_id","GeneSymbol","GeneName","pvalue","corrected_pvalue","rank","contrast_167854_coefficient","contrast_167854_log2fc","contrast_167854_tstat","contrast_167854_pvalue"
"1",64706,64706,"ENSMUSG00000016763","Scube1","signal peptide, CUB domain, EGF-like 1",4.98e-06,0.1051,4.737e-05,0.5192,0.5192,1.7237,0.0927
"2",105242668,105242668,"","Gm38821","predicted gene, 38821",1.093e-05,0.1153,9.474e-05,-0.6577,-0.6577,-1.4575,0.153
"3",14733,14733,"ENSMUSG00000034220","Gpc1","glypican 1",2e-04,0.1815,6e-04,0.2334,0.2334,1.4382,0.1584
"4",94332,94332,"ENSMUSG00000005338","Cadm3","cell adhesion molecule 3",5e-04,0.1815,0.0024,0.121,0.121,0.9256,0.3603
"5",72961,72961,"ENSMUSG00000070570","Slc17a7","solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 7",2e-04,0.1815,8e-04,0.0831,0.0831,0.6904,0.494
"6",73340,73340,"ENSMUSG00000022421","Nptxr","neuronal pentraxin receptor",2e-04,0.1815,7e-04,0.3406,0.3406,1.2164,0.2312
"7",76808,76808,"ENSMUSG00000045128","Rpl18a","ribosomal protein L18A",4e-04,0.1815,0.0021,-0.0789,-0.0789,-0.9395,0.3532
"8",80877,80877,"ENSMUSG00000028080","Lrba","LPS-responsive beige-like anchor",4e-04,0.1815,0.0021,-0.0985,-0.0985,-0.9198,0.3633
"9",74754,74754,"ENSMUSG00000034926","Dhcr24","24-dehydrocholesterol reductase",7e-04,0.1815,0.0037,0.1436,0.1436,0.9607,0.3426
"10",93878,93878,"ENSMUSG00000045062","Pcdhb7","protocadherin beta 7",3e-04,0.1815,0.0017,-0.1814,-0.1814,-1.794,0.0806
"11",67480,67480,"ENSMUSG00000018541","Cwc25","CWC25 spliceosome-associated protein",5e-04,0.1815,0.0025,0.1481,0.1481,1.7001,0.0971
"12",93871,93871,"ENSMUSG00000022914","Brwd1","bromodomain and WD repeat domain containing 1",4e-04,0.1815,0.002,-0.0956,-0.0956,-1.4161,0.1647
"13",22025,22025,"ENSMUSG00000005897","Nr2c1","nuclear receptor subfamily 2, group C, member 1",1e-04,0.1815,5e-04,-0.1347,-0.1347,-1.7907,0.0811
"14",50708,50708,"ENSMUSG00000036181","H1f2","H1.2 linker histone, cluster member",3e-04,0.1815,0.0016,-0.1095,-0.1095,-0.7154,0.4786
"15",268882,268882,"ENSMUSG00000035764","Fbxo45","F-box protein 45",2e-04,0.1815,9e-04,0.1347,0.1347,1.2492,0.2191
"16",66673,66673,"ENSMUSG00000063434","Sorcs3","sortilin-related VPS10 domain containing receptor 3",6.558e-05,0.1815,2e-04,0.3179,0.3179,1.6799,0.101
"17",67078,67078,"ENSMUSG00000043445","Pgp","phosphoglycolate phosphatase",5e-04,0.1815,0.0025,0.1476,0.1476,1.49,0.1443
"18",666173,666173,"ENSMUSG00000037646","Vps13b","vacuolar protein sorting 13B",7e-04,0.1815,0.0038,-0.0846,-0.0846,-1.1935,0.2399
"19",266692,266692,"ENSMUSG00000074643","Cpne1","copine I",6e-04,0.1815,0.0028,0.0951,0.0951,1.3531,0.1838
"20",76710,76710,"ENSMUSG00000039563","2210406O10Rik","RIKEN cDNA 2210406O10 gene",2e-04,0.1815,9e-04,0.2894,0.2894,1.1872,0.2423
"21",69181,69181,"ENSMUSG00000028630","Dyrk2","dual-specificity tyrosine phosphorylation regulated kinase 2",4e-04,0.1815,0.002,0.1357,0.1357,0.9107,0.368
"22",110954,110954,"ENSMUSG00000008682","Rpl10","ribosomal protein L10",6e-04,0.1815,0.003,-0.0566,-0.0566,-0.7499,0.4578
