"","Probe","NCBIid","gene_ensembl_id","GeneSymbol","GeneName","pvalue","corrected_pvalue","rank","contrast_138706_coefficient","contrast_138706_log2fc","contrast_138706_tstat","contrast_138706_pvalue"
"1",10555783,"258135","ENSMUSG00000073952","Or52ab2","olfactory receptor family 52 subfamily AB member 2",0.0011,0.2411,0.0046,0.1736,0.1736,2.6426,0.0187
"2",10495257,"791415","ENSMUSG00000056411","Gm12500","predicted gene 12500",0.001,0.2411,0.0041,0.258,0.258,3.4248,0.0038
"3",10491623,"229227","ENSMUSG00000037270","Bltp1","bridge-like lipid transfer protein family member 1",5e-04,0.2411,0.0019,-0.2721,-0.2721,-3.1771,0.0064
"4",10585276,"18985","ENSMUSG00000032053","Pou2af1","POU domain, class 2, associating factor 1",0.0011,0.2411,0.0047,0.5525,0.5525,4.921,2e-04
"5",10572747,"326618","ENSMUSG00000031799","Tpm4","tropomyosin 4",0.001,0.2411,0.0039,0.3833,0.3833,3.9633,0.0013
"6",10520247,"72252","ENSMUSG00000038165","1700022A21Rik","glycerol-3-phosphate dehydrogenase 1-like pseudogene",7e-04,0.2411,0.0029,0.2971,0.2971,2.8443,0.0125
"7",10586015,"100040447","","1700036A12Rik","RIKEN cDNA 1700036A12 gene",7e-04,0.2411,0.0027,0.3404,0.3404,3.9701,0.0013
"8",10577782,"330723","ENSMUSG00000037406","Htra4","HtrA serine peptidase 4",4.697e-05,0.2411,2e-04,0.611,0.611,5.3459,8.623e-05
"9",10585099,"235323","ENSMUSG00000032267","Usp28","ubiquitin specific peptidase 28",5e-04,0.2411,0.0016,-0.2852,-0.2852,-3.1502,0.0067
"10",10419015,"170677","ENSMUSG00000021803","Cdhr1","cadherin-related family member 1",3e-04,0.2411,0.001,-0.3484,-0.3484,-3.2646,0.0053
"11",10546432,"101401","ENSMUSG00000030022","Adamts9","ADAM metallopeptidase with thrombospondin type 1 motif 9",0.0011,0.2411,0.0043,-0.4202,-0.4202,-3.7853,0.0018
"12",10574153,"434341","ENSMUSG00000074151","Nlrc5","NLR family, CARD domain containing 5",6e-04,0.2411,0.0022,0.4784,0.4784,3.8278,0.0017
"13",10469110,"98910","ENSMUSG00000039046","Usp6nl","USP6 N-terminal like",4e-04,0.2411,0.0013,-0.5137,-0.5137,-3.4315,0.0038
"14",10532626,"74376","ENSMUSG00000072720","Myo18b","myosin XVIIIb",4e-04,0.2411,0.0012,0.4524,0.4524,3.8905,0.0015
"15",10446224,"224912","ENSMUSG00000044279","Crb3","crumbs family member 3",0.0011,0.2411,0.0045,0.2902,0.2902,2.9101,0.0109
"16",10593196,"100038460","","Gm10677","predicted gene 10677",2e-04,0.2411,8e-04,0.3964,0.3964,5.2941,9.504e-05
"17",10596231,"235567","ENSMUSG00000032560","Dnajc13","DnaJ heat shock protein family (Hsp40) member C13",7e-04,0.2411,0.0026,-0.3569,-0.3569,-3.2528,0.0054
"18",10597612,"102570","ENSMUSG00000074028","Slc22a13","solute carrier family 22 (organic cation transporter), member 13",0.0011,0.2411,0.0047,0.4699,0.4699,3.3887,0.0041
"19",10532592,"74376","ENSMUSG00000072720","Myo18b","myosin XVIIIb",5e-04,0.2411,0.0018,0.1961,0.1961,3.4019,0.004
"20",10398299,"104910","ENSMUSG00000048856","Slc25a47","solute carrier family 25, member 47",0.0011,0.2411,0.0044,0.408,0.408,3.85,0.0016
"21",10538247,"109648","ENSMUSG00000029819","Npy","neuropeptide Y",3e-04,0.2411,8e-04,0.712,0.712,3.5464,0.003
"22",10545502,"330355","ENSMUSG00000052861","Dnah6","dynein, axonemal, heavy chain 6",8e-04,0.2411,0.0031,-0.6157,-0.6157,-3.5546,0.0029
"23",10533026,"19079","ENSMUSG00000029513","Prkab1","protein kinase, AMP-activated, beta 1 non-catalytic subunit",9e-04,0.2411,0.0035,-0.4459,-0.4459,-4.2816,7e-04
"24",10463037,"13098","ENSMUSG00000025003","Cyp2c39","cytochrome P450, family 2, subfamily c, polypeptide 39",5e-04,0.2411,0.0018,0.4891,0.4891,5.2436,1e-04
"25",10594973,"208898","ENSMUSG00000062151","Unc13c","unc-13 homolog C",7e-04,0.2411,0.0025,-0.6049,-0.6049,-3.6137,0.0026
"26",10371770,"237436","ENSMUSG00000074802","Gas2l3","growth arrest-specific 2 like 3",9e-04,0.2411,0.0033,-0.3555,-0.3555,-4.5572,4e-04
"27",10541998,"11642","ENSMUSG00000030344","Akap3","A kinase anchor protein 3",7e-04,0.2411,0.0024,0.3506,0.3506,3.9709,0.0013
