"","Probe","NCBIid","gene_ensembl_id","GeneSymbol","GeneName","pvalue","corrected_pvalue","rank","contrast_333419_coefficient","contrast_333419_log2fc","contrast_333419_tstat","contrast_333419_pvalue"
"1",315196,315196,"ENSRNOG00000015750","Wnt7b","Wnt family member 7B",8.133e-11,1.806e-06,4.503e-05,1.0112,1.0112,8.6454,1.214e-07
"2",24825,24825,"ENSRNOG00000030625","Tf","transferrin",4.791e-10,3.682e-06,9.007e-05,-0.8312,-0.8312,-7.5912,7.224e-07
"3",245986,245986,"ENSRNOG00000016701","Gng8","G protein subunit gamma 8",6.633e-10,3.682e-06,2e-04,-0.5708,-0.5708,-7.205,1.44e-06
"4",25446,25446,"ENSRNOG00000068412","Fosl2","FOS like 2, AP-1 transcription factor subunit",5.04e-10,3.682e-06,1e-04,1.706,1.706,9.3338,4.077e-08
"5",306487,306487,"ENSRNOG00000010748","Mtus1","microtubule associated scaffold protein 1",1.527e-09,5.653e-06,3e-04,-0.8662,-0.8662,-8.4503,1.67e-07
"6",282844,282844,"ENSRNOG00000007596","Rffl","ring finger and FYVE-like domain containing E3 ubiquitin protein ligase",1.399e-09,5.653e-06,2e-04,-0.5625,-0.5625,-7.7526,5.447e-07
"7",171498,171498,"ENSRNOG00000049052","Sgk3","serum/glucocorticoid regulated kinase family, member 3",2.029e-09,6.437e-06,3e-04,-0.9251,-0.9251,-8.6048,1.296e-07
"8",64057,64057,"ENSRNOG00000018870","Hapln2","hyaluronan and proteoglycan link protein 2",3.184e-09,8.837e-06,4e-04,-0.7258,-0.7258,-7.0448,1.929e-06
"9",362035,362035,"ENSRNOG00000009577","Ndst4","N-deacetylase and N-sulfotransferase 4",4.276e-09,1.048e-05,4e-04,2.1997,2.1997,6.9374,2.351e-06
"10",78962,78962,"ENSRNOG00000018413","Per3","period circadian regulator 3",4.719e-09,1.048e-05,5e-04,-0.5002,-0.5002,-6.4051,6.411e-06
"11",362783,362783,"ENSRNOG00000043143","Eml1","EMAP like 1",5.293e-09,1.068e-05,5e-04,-0.6042,-0.6042,-7.4089,9.982e-07
"12",309407,309407,"ENSRNOG00000027770","Trpm3","transient receptor potential cation channel, subfamily M, member 3",5.825e-09,1.078e-05,5e-04,-1.1097,-1.1097,-7.2302,1.376e-06
"13",246755,246755,"ENSRNOG00000012906","Bcas1","brain enriched myelin associated protein 1",7.24e-09,1.132e-05,6e-04,-0.5771,-0.5771,-6.231,8.975e-06
"14",120097382,120097382,"","LOC120097382","uncharacterized LOC120097382",8.665e-09,1.132e-05,8e-04,-0.598,-0.598,-5.3707,5.02e-05
"15",308958,308958,"ENSRNOG00000017260","Cdr2","cerebellar degeneration-related protein 2",7.673e-09,1.132e-05,6e-04,-1.2639,-1.2639,-8.0427,3.307e-07
"16",314262,314262,"ENSRNOG00000010650","Plekhh1","pleckstrin homology, MyTH4 and FERM domain containing H1",8.54e-09,1.132e-05,7e-04,-0.6203,-0.6203,-5.959,1.531e-05
"17",361364,361364,"ENSRNOG00000015679","Dok4","docking protein 4",7.811e-09,1.132e-05,7e-04,0.8113,0.8113,6.82,2.923e-06
"18",289180,289180,"ENSRNOG00000003073","Gpr161","G protein-coupled receptor 161",1.052e-08,1.169e-05,9e-04,1.6303,1.6303,7.8993,4.227e-07
"19",309150,309150,"ENSRNOG00000018603","Carns1","carnosine synthase 1",1.02e-08,1.169e-05,8e-04,-0.6522,-0.6522,-6.0865,1.19e-05
"20",313558,313558,"ENSRNOG00000032639","Foxo6","forkhead box O6",1.031e-08,1.169e-05,9e-04,1.4354,1.4354,6.0985,1.163e-05
"21",64192,64192,"ENSRNOG00000003253","Qdpr","quinoid dihydropteridine reductase",1.138e-08,1.204e-05,9e-04,-0.713,-0.713,-7.5994,7.121e-07
"22",24772,24772,"ENSRNOG00000013589","Cxcl12","C-X-C motif chemokine ligand 12",1.338e-08,1.26e-05,0.001,0.8367,0.8367,8.1378,2.815e-07
"23",306825,306825,"ENSRNOG00000017579","Mylip","myosin regulatory light chain interacting protein",1.494e-08,1.26e-05,0.0011,0.75,0.75,6.4005,6.467e-06
"24",58853,58853,"ENSRNOG00000005964","Nr4a3","nuclear receptor subfamily 4, group A, member 3",1.522e-08,1.26e-05,0.0012,1.9018,1.9018,8.4071,1.794e-07
"25",362285,362285,"ENSRNOG00000009531","Col9a3","collagen type IX alpha 3 chain",1.416e-08,1.26e-05,0.001,-0.9025,-0.9025,-6.9023,2.508e-06
"26",304407,304407,"ENSRNOG00000001476","Cldn4","claudin 4",1.502e-08,1.26e-05,0.0011,3.5603,3.5603,6.2871,8.049e-06
"27",690195,690195,"ENSRNOG00000008915","Prima1","proline rich membrane anchor 1",1.549e-08,1.26e-05,0.0012,-0.9061,-0.9061,-6.869,2.668e-06
"28",25037,25037,"ENSRNOG00000018700","Mobp","myelin-associated oligodendrocyte basic protein",1.589e-08,1.26e-05,0.0013,-0.3907,-0.3907,-4.2391,5e-04
"29",306600,306600,"ENSRNOG00000017154","Atp11a","ATPase phospholipid transporting 11A",1.79e-08,1.371e-05,0.0013,-0.7125,-0.7125,-6.8027,3.019e-06
"30",50555,50555,"ENSRNOG00000009345","Ugt8","UDP glycosyltransferase 8",2.4e-08,1.388e-05,0.0017,-0.6971,-0.6971,-6.4982,5.364e-06
"31",24558,24558,"ENSRNOG00000000775","Mog","myelin oligodendrocyte glycoprotein",2.379e-08,1.388e-05,0.0016,-0.6759,-0.6759,-6.1217,1.111e-05
"32",24936,24936,"ENSRNOG00000019556","Cd9","CD9 molecule",2.113e-08,1.388e-05,0.0014,-0.7509,-0.7509,-7.5139,8.282e-07
"33",361895,361895,"ENSRNOG00000010450","Elovl7","ELOVL fatty acid elongase 7",2.461e-08,1.388e-05,0.0018,-0.7513,-0.7513,-6.3474,7.164e-06
"34",83567,83567,"ENSRNOG00000018895","Mchr1","melanin-concentrating hormone receptor 1",1.952e-08,1.388e-05,0.0014,1.03,1.03,6.9189,2.432e-06
"35",83629,83629,"ENSRNOG00000015971","Slc12a2","solute carrier family 12 member 2",2.294e-08,1.388e-05,0.0015,-0.7134,-0.7134,-6.109,1.139e-05
"36",363464,363464,"ENSRNOG00000003554","Piga","phosphatidylinositol glycan anchor biosynthesis, class A",2.42e-08,1.388e-05,0.0017,-0.5587,-0.5587,-4.5396,3e-04
"37",29276,29276,"ENSRNOG00000008937","Csrp1","cysteine and glycine-rich protein 1",2.563e-08,1.388e-05,0.0018,-0.4351,-0.4351,-5.9798,1.469e-05
"38",362065,362065,"ENSRNOG00000036816","Wls","Wnt ligand secretion mediator",2.383e-08,1.388e-05,0.0016,-1.0529,-1.0529,-7.7806,5.188e-07
"39",64023,64023,"ENSRNOG00000001827","Masp1","MBL associated serine protease 1",1.903e-08,1.388e-05,0.0014,0.8024,0.8024,7.1051,1.727e-06
"40",25239,25239,"ENSRNOG00000048273","Apod","apolipoprotein D",2.532e-08,1.388e-05,0.0018,-1.0304,-1.0304,-7.4064,1.003e-06
"41",25275,25275,"ENSRNOG00000017496","Cnp","2',3'-cyclic nucleotide 3' phosphodiesterase",2.296e-08,1.388e-05,0.0015,-0.7289,-0.7289,-6.6953,3.692e-06
"42",361527,361527,"ENSRNOG00000018390","Pld3","phospholipase D family, member 3",2.707e-08,1.431e-05,0.0019,0.4875,0.4875,6.7294,3.463e-06
