"","GSE111212_exercise"
"12062",-1.7665
"12064",1.1948
"12068",0.8133
"12069",0.2031
"12070",0.0057
"12075",0.2295
"12091",0.0334
"12095",-0.6097
"12111",1.1279
"12116",0.4671
"12121",1.0648
"12122",0.2803
"12123",0.6025
"12124",1.3063
"12125",-2.3336
"12140",0.5801
"12142",-0.945
"12144",-0.2691
"12151",0.2647
"12153",0.6113
"12155",-0.2891
"12156",0.1076
"12159",1.6485
"12160",0.2942
"12161",0.4421
"12162",0.8806
"12163",-0.7164
"12164",0.5314
"12166",0.3511
"12167",1.415
"12168",-0.4254
"12169",0.4161
"12175",0.1711
"12176",0.2569
"12177",-0.5216
"12180",1.9053
"12181",0.3578
"12182",-0.5505
"12183",0.6207
"12189",-0.6504
"12190",0.2486
"12192",0.7856
"12193",0.5341
"12209",-0.4473
"12211",-0.3784
"12212",1.4248
"12215",0.9463
"12217",-0.0568
"12223",-0.5156
"12224",-1.8134
"12226",0.2794
"12227",-0.163
"12228",0.2281
"12229",1.2526
"12231",2.2407
"12234",-0.4203
"12235",0.73
"12236",-1.6232
"12237",-0.9769
"12238",0.146
"12257",1.6916
"12258",0.6605
"12259",0.7156
"12260",0.7167
"12261",-0.9953
"12262",0.5138
"12263",1.3133
"12265",0.5592
"12266",-0.7869
"12267",0.0971
"12268",-0.0616
"12269",0.033
"12270",-0.7055
"12273",1.3492
"12282",-0.431
"12283",0.3744
"12286",-0.119
"12287",-0.0892
"12288",-0.0511
"12289",0.1753
"12290",-0.2489
"12291",-0.5028
"12292",0.862
"12293",0.0229
"12294",-0.9641
"12295",-0.313
"12296",0.4499
"12297",0.6918
"12298",-1.3699
"12300",-0.5675
"12301",0.1973
"12304",0.2185
"12305",-0.3121
"12306",0.5854
"12307",0.2608
"12308",0.6971
"12310",0.0704
"12316",0.9694
"12317",0.1644
"12319",0.0648
"12321",1.1473
"12323",0.5255
"12325",-0.9496
"12326",-0.8133
"12328",0.2415
"12330",-0.2246
"12331",0.2569
"12332",-0.0457
"12333",-0.3095
"12334",0.1543
"12335",0.7399
"12336",1.3941
"12337",0.4774
"12338",-0.8984
"12339",-0.5685
"12340",0.6707
"12343",0.4211
"12345",0.6836
"12348",0.0137
"12349",-0.5725
"12350",1.6489
"12351",0.954
"12352",1.2965
"12354",-0.3729
"12355",0.7383
"12359",1.4578
"12361",-1.2751
"12362",-1.2389
"12363",-1.186
"12364",-1.0352
"12366",-1.0179
"12367",-0.6738
"12368",1.2019
"12369",0.9382
"12370",0.1021
"12371",0.2407
"12372",1.9006
"12373",-1.4886
"12374",0.1743
"12380",0.3103
"12385",0.4619
"12386",-1.3988
"12387",0.5575
"12388",0.2555
"12389",0.7149
"12390",-0.6457
"12391",-0.0899
"12393",-0.0763
"12394",-1.5729
"12395",-0.8501
"12396",-0.7661
"12398",0.5418
"12399",1.3317
"12400",-0.8838
"12402",-0.6018
"12404",-1.1557
"12405",-0.1174
"12406",1.0702
"12408",0.0796
"12409",1.0304
"12411",-0.5862
"12412",-0.2646
"12416",-0.363
"12417",0.1206
"12418",-0.4011
"12419",-0.5871
"12421",-0.3192
"12424",-1.2807
"12426",-0.8336
"12427",-0.9166
"12428",1.0155
"12442",0.2867
"12443",1.3352
"12444",0.5673
"12445",0.5244
"12447",-0.3676
"12448",0.7115
"12449",-0.3112
"12450",0.6332
"12452",-0.2348
"12453",-0.1614
"12454",-1.3184
"12455",-0.1852
"12457",0.0515
"12458",-0.8728
"12460",-0.7882
"12461",0.472
"12462",-0.6352
"12464",-0.0139
"12465",-0.1815
"12466",-0.1145
"12467",-1.6838
"12468",0.0665
"12469",-0.6786
"12475",-0.5917
"12476",1.6977
"12477",-1.5766
"12478",1.2493
"12479",-1.1617
"12481",0.5441
"12482",-0.7236
"12483",0.2275
"12484",-0.9114
"12487",1.7925
"12488",1.1601
"12489",0.5698
"12490",-1.085
"12491",1.6833
"12492",-0.9253
"12493",-0.4965
"12494",1.3379
"12495",1.376
"12496",-1.0926
"12497",-0.0466
"12499",-0.8505
"12503",1.019
"12504",0.9715
"12505",-0.9645
"12506",0.0453
"12507",-0.3726
"12508",0.2493
"12509",0.3789
"12511",-0.9921
"12512",0.6064
"12514",0.9242
"12516",-2.9385
"12517",1.6147
"12518",-0.3989
"12519",-0.059
"12520",1.239
"12521",0.2481
"12522",0.2823
"12523",0.1224
"12524",0.5287
"12525",1.6265
"12526",0.0467
"12527",0.2951
"12530",0.1963
"12531",-1.2423
"12532",-0.6741
"12534",-0.588
"12537",-1.0921
"12539",0.148
"12540",0.4613
"12544",-0.4004
"12545",-0.3272
"12549",0.0395
"12550",0.517
"12552",0.0861
"12554",-0.8874
"12555",0.3214
"12558",-0.2824
"12560",0.792
"12561",-0.404
"12562",0.4573
"12563",-2.3306
"12564",-0.2755
"12565",0.548
"12566",0.1404
"12567",0.989
"12568",0.3952
"12569",-0.353
"12570",0.1163
"12571",0.3959
"12572",0.6349
"12575",-1.4137
"12576",-0.1544
"12577",0.6374
"12578",0.6105
"12579",-0.7744
"12580",0.7526
"12581",0.7041
"12583",-1.5361
"12585",0.1399
"12587",0.7992
"12589",0.318
"12593",0.1889
"12606",-0.5399
"12607",0.2945
"12608",-0.2814
"12609",0.1474
"12611",-0.6963
"12614",-0.994
"12615",-0.8252
"12616",0.4086
"12617",-0.2387
"12626",-0.0818
"12628",1.5914
"12631",-0.3381
"12632",0.3656
"12633",0.6155
"12638",0.8178
"12642",-0.2368
"12643",-1.9969
"12648",-0.8997
"12649",0.82
"12651",-0.8127
"12652",-0.0834
"12653",-0.304
"12654",1.2525
"12655",0.4418
"12659",0.6246
"12660",0.3496
"12661",-0.5243
"12662",0.0056
"12663",-0.9208
"12667",0.1317
"12669",0.1166
"12671",-0.7472
"12672",-1.0363
"12675",0.1108
"12677",0.5078
"12683",0.8703
"12684",0.9219
"12695",0.3638
"12696",-0.1428
"12700",-0.2979
"12702",-0.0704
"12703",1.146
"12704",-1.4492
"12705",-0.5986
"12709",0.1712
"12716",-0.6501
"12721",-0.3939
"12722",1.4823
"12723",-0.2249
"12724",-0.1263
"12725",-0.4376
"12727",-0.378
"12728",-1.4776
"12729",0.2245
"12733",-0.2398
"12737",-0.0965
"12738",0.542
"12739",1.8907
"12741",1.5368
"12745",-1.9291
"12747",-0.941
"12748",-0.1924
"12750",-0.4248
"12751",0.8601
"12752",0.1278
"12753",0.1312
"12757",0.3057
"12759",1.4872
"12763",-0.5522
"12764",-1.0629
"12765",0.6837
"12767",0.2011
"12768",-1.0813
"12769",0.7466
"12770",0.4348
"12771",1.5269
"12772",3.1987
"12774",0.3005
"12775",1.1699
"12777",2.0584
"12778",-0.1122
"12780",1.4279
"12785",0.4385
"12789",1.1735
"12790",0.2947
"12793",0.6239
"12794",0.8855
"12795",1.2935
"12796",1.6762
"12797",1.3102
"12798",1.6221
"12799",-0.5347
"12801",-0.3457
"12802",-1.1231
"12803",-1.4484
"12804",0.2522
"12805",-0.2225
"12807",-0.8899
"12808",-1.2598
"12810",0.3851
"12812",-0.571
"12813",-0.0375
"12814",-0.5302
"12815",-0.9314
"12816",-1.3383
"12817",0.7411
"12818",0.8285
"12819",-1.3143
"12821",-0.2227
"12822",1.1392
"12823",-0.906
"12824",0.2944
"12825",1.786
"12826",0.0769
"12827",-0.382
"12828",0.8858
"12829",0.9099
"12830",0.0913
"12831",-1.1086
"12832",0.0322
"12833",0.0185
"12834",-0.4755
"12835",-1.4431
"12836",-0.4811
"12837",0.602
"12839",-1.6464
"12840",-0.1083
"12841",0.629
"12842",1.2787
"12843",1.3826
"12845",-0.4122
"12846",0.7679
"12847",-0.641
"12848",0.503
"12850",-0.61
"12854",0.1448
"12856",0.8636
"12857",0.4228
"12858",-1.0961
"12859",-0.3718
"12861",0.7099
"12862",-0.0142
"12864",0.3106
"12865",0.2545
"12866",0.1802
"12867",0.5985
"12868",0.4583
"12869",0.3821
"12870",0.3398
"12874",-0.0639
"12877",0.0656
"12879",-0.1802
"12889",0.3446
"12890",0.7386
"12891",0.0635
"12892",-1.0039
"12894",0.6132
"12895",0.1997
"12896",1.3459
"12902",-0.0384
"12903",-0.5034
"12904",0.378
"12905",-0.1075
"12908",1.4687
"12909",0.6698
"12912",-0.3261
"12913",-0.4027
"12914",-0.2998
"12915",0.9649
"12916",1.4083
"12918",-0.5287
"12919",-1.2415
"12921",-1.926
"12922",0.2017
"12925",0.733
"12927",0.7759
"12928",0.0834
"12929",-0.6205
"12931",0.997
"12933",-0.1891
"12934",-1.6783
"12936",0.4956
"12937",0.8962
"12939",-0.4957
"12941",-1.0557
"12942",-1.0244
"12943",-1.0782
"12946",1.4677
"12950",0.4894
"12952",-0.0142
"12953",-0.5038
"12954",-0.9949
"12955",-0.6038
"12957",0.2703
"12958",-0.3559
"12959",2.0094
"12960",1.6878
"12962",0.926
"12964",-2.0144
"12970",0.2398
"12971",-0.0984
"12972",2.0463
"12974",-0.0392
"12977",0.2821
"12978",1.4131
"12982",-0.3025
"12983",0.2805
"12984",-0.2844
"12986",0.3805
"12988",-0.8471
"12995",0.3866
"13000",-0.688
"13001",0.3563
"13002",-0.0551
"13003",-1.3353
"13004",0.8281
"13006",-0.6608
"13007",-0.4691
"13008",0.1398
"13010",0.7756
"13011",-0.3382
"13014",0.4813
"13016",-0.1772
"13017",0.5052
"13018",-0.4648
"13019",-0.7503
"13024",0.0057
"13025",0.7005
"13026",-0.2801
"13030",0.5056
"13032",1.1127
"13033",0.9662
"13036",1.6432
"13038",1.5369
"13039",0.3416
"13040",-0.652
"13041",-0.9705
"13043",1.1238
"13046",-0.0716
"13047",-0.6294
"13048",-1.2162
"13051",0.9555
"13052",0.1116
"13056",-0.0328
"13057",1.9545
"13058",0.2667
"13063",0.1485
"13070",-0.4652
"13075",-0.6969
"13076",-0.1628
"13078",0.5035
"13079",0.2772
"13081",-1.5007
"13082",0.037
"13106",1.309
"13110",0.0999
"13113",-1.0667
"13115",1.8799
"13116",-0.6942
"13120",-0.0607
"13121",0.0602
"13123",0.7662
"13124",-0.7719
"13131",-0.6789
"13132",0.7918
"13134",-0.242
"13135",1.7167
"13136",-0.1317
"13138",0.2291
"13139",-0.6101
"13142",0.822
"13143",0.1293
"13144",-0.3603
"13162",-0.6232
"13163",0.4828
"13164",1.2863
"13166",1.5597
"13167",0.422
"13168",0.5033
"13169",1.2001
"13170",-1.2338
"13171",1.6994
"13175",-1.0272
"13176",-0.729
"13177",0.8485
"13178",-2.1578
"13179",0.7617
"13180",-1.2058
"13185",1.0277
"13190",-0.8702
"13191",-0.2267
"13193",-0.7829
"13194",-0.1261
"13195",-0.0149
"13196",-1.3249
"13197",-0.0992
"13198",-0.4111
"13200",-0.3447
"13202",0.9962
"13204",-0.0884
"13205",-0.2013
"13206",-2.6685
"13207",-0.0846
"13209",0.0279
"13211",-0.7525
"13214",-0.0961
"13244",0.4423
"13340",-1.1284
"13345",-1.0106
"13346",1.0233
"13347",-1.0154
"13349",1.0235
"13350",-0.3426
"13353",0.1693
"13356",0.6312
"13358",0.0167
"13360",-0.1579
"13361",0.0718
"13363",-0.5312
"13367",0.9321
"13368",0.3075
"13371",0.1862
"13382",0.168
"13383",-1.2548
"13384",0.0424
"13385",0.8242
"13386",0.9971
"13388",-0.4241
"13389",-0.2123
"13390",-2.0703
"13392",-1.0097
"13395",-0.5212
"13396",-0.2931
"13397",-1.6251
"13400",0.596
"13401",0.5857
"13404",1.0544
"13405",-0.2375
"13406",-0.2305
"13411",-0.7602
"13417",0.986
"13418",0.8257
"13419",0.0059
"13421",-1.565
"13423",0.7072
"13424",-0.6002
"13426",-0.544
"13427",-0.2047
"13429",-0.7367
"13430",0.2982
"13433",-0.6202
"13434",-0.4504
"13435",-0.331
"13436",0.6629
"13437",-0.3872
"13445",-0.5479
"13446",-1.6111
"13447",1.0376
"13448",-0.7253
"13449",0.5237
"13476",0.0622
"13478",-0.4777
"13479",1.4896
"13480",-0.2472
"13481",0.1182
"13482",-0.1915
"13483",-0.4627
"13486",0.9454
"13487",1.5402
"13488",-0.3485
"13489",-1.0307
"13491",-0.8928
"13492",0.1935
"13494",0.1739
"13495",-0.215
"13496",-0.7755
"13497",0.0173
"13498",-0.3755
"13505",0.9177
"13506",-1.0439
"13507",-1.1431
"13508",-0.1975
"13511",0.0668
"13516",0.5603
"13518",-0.5277
"13521",-0.0385
"13522",-0.5599
"13524",0.3658
"13527",0.712
"13528",0.8003
"13537",0.9989
"13542",-0.0167
"13543",-0.9779
"13544",-1.1211
"13548",0.5809
"13549",0.501
"13555",-1.8171
"13557",-0.0717
"13559",-0.3389
"13560",-0.3357
"13589",0.0355
"13590",-0.4836
"13591",0.3056
"13592",0.8987
"13593",2.205
"13595",0.0052
"13599",-0.1049
"13601",0.3564
"13603",-0.4856
"13605",0.3401
"13607",0.0022
"13608",0.8889
"13609",0.9622
"13610",0.4451
"13611",-0.3038
"13612",-1.9178
"13614",0.0696
"13616",1.8808
"13617",-0.2599
"13618",0.5838
"13619",-0.1534
"13626",-0.9667
"13629",0.5451
"13631",-1.4426
"13636",0.7825
"13637",0.6959
"13638",0.6719
"13639",-0.1535
"13640",-0.9588
"13641",0.3059
"13642",-1.1782
"13643",-0.3789
"13644",0.5675
"13645",1.2148
"13649",-0.3562
"13650",-0.3439
"13653",0.3965
"13654",0.7619
"13655",0.0619
"13656",-0.2894
"13660",0.7869
"13661",-0.559
"13663",-0.5467
"13664",0.2675
"13665",0.7332
"13666",-1.0045
"13667",-0.0614
"13669",-0.025
"13680",0.2922
"13681",0.538
"13682",0.1915
"13684",0.1498
"13685",-1.1157
"13688",0.277
"13690",0.1012
"13709",0.3091
"13710",1.5515
"13711",1.8537
"13712",1.2283
"13713",-0.5266
"13714",-0.9736
"13716",-0.1452
"13717",1.5207
"13722",0.4363
"13723",0.2549
"13726",-0.0828
"13728",-0.4924
"13730",0.1497
"13731",0.2479
"13732",1.3563
"13733",1.1705
"13796",-1.2708
"13797",0.9759
"13799",0.0433
"13800",-0.1245
"13803",0.0087
"13804",-1.5138
"13805",0.5692
"13806",-0.0524
"13807",-0.2662
"13808",-0.2121
"13809",-1.0038
"13813",1.3495
"13819",2.593
"13821",0.506
"13822",0.4343
"13823",-1.2489
"13824",-0.4548
"13829",0.5231
"13830",0.9977
"13831",-0.6698
"13835",-0.0077
"13836",1.3407
"13837",-1.3277
"13838",0.0074
"13839",-0.6002
"13840",0.4492
"13841",0.5754
"13842",-1.0227
"13844",0.4508
"13845",0.3486
"13846",0.6006
"13848",-0.3485
"13849",0.7982
"13850",1.2943
"13852",0.151
"13853",-0.0028
"13854",0.8951
"13855",0.6413
"13857",0.0696
"13858",0.4265
"13859",-0.3975
"13860",0.8642
"13861",-0.6088
"13864",-0.7088
"13865",-0.6395
"13866",-0.1464
"13867",-1.6865
"13869",-0.9007
"13870",1.9439
"13871",-0.97
"13872",0.8635
"13875",-1.0058
"13876",0.5667
"13877",1.26
"13885",0.5174
"13924",-1.5104
"13929",0.8264
"13972",-0.3502
"13982",-0.4954
"13983",-1.356
"13990",-0.1711
"13992",-0.2779
"13996",1.7128
"13998",1.0684
"14000",0.1586
"14004",0.4158
"14007",0.0323
"14009",-1.6912
"14011",-1.1857
"14012",0.5337
"14013",0.7597
"14017",-0.445
"14020",-0.2909
"14025",-1.6309
"14026",-0.227
"14027",-1.5427
"14030",-0.6956
"14038",0.0983
"14042",-0.9152
"14043",-0.5717
"14048",-0.0351
"14049",0.8235
"14050",-0.4549
"14051",0.0896
"14055",-0.2014
"14056",-0.953
"14057",0.737
"14061",0.8152
"14062",-1.0794
"14063",-0.2697
"14064",-0.0837
"14065",1.2418
"14066",-0.1098
"14067",0.3484
"14068",-1.6567
"14069",0.8272
"14070",0.16
"14071",-1.2505
"14073",0.3674
"14077",0.3196
"14081",-0.2325
"14082",0.4594
"14083",0.6989
"14084",-1.2104
"14085",-1.5722
"14086",-1.4474
"14087",-1.2666
"14088",0.0435
"14089",0.6784
"14102",-1.8566
"14103",1.3994
"14104",-0.9399
"14105",0.4084
"14106",-0.028
"14107",-0.0239
"14109",0.3998
"14113",-1.5889
"14114",1.3694
"14115",-0.1463
"14118",1.586
"14119",-0.3073
"14121",-1.0215
"14123",-0.4746
"14127",0.7431
"14128",0.5149
"14129",1.1509
"14130",-0.0681
"14131",0.3509
"14132",1.1853
"14133",-0.0639
"14137",-0.1721
"14148",-0.3187
"14149",-1.5783
"14151",0.1766
"14154",0.2103
"14155",-0.2571
"14156",-0.7581
"14158",0.3655
"14159",-0.2027
"14160",-0.9561
"14161",0.8594
"14163",-2.0441
"14164",0.096
"14165",0.5825
"14166",-0.6872
"14167",-1.1593
"14168",0.2339
"14169",-0.4501
"14171",-0.3384
"14172",-0.2435
"14173",0.288
"14176",-0.0206
"14178",-0.927
"14180",-1.5754
"14181",0.8504
"14182",0.6529
"14183",-0.9577
"14184",-1.0324
"14186",-0.3121
"14187",0.4251
"14190",1.451
"14191",1.1887
"14194",0.8206
"14198",-1.2855
"14199",-0.8696
"14200",-0.4943
"14201",0.5566
"14202",-0.5862
"14204",-0.0217
"14205",0.324
"14208",-0.9747
"14211",0.283
"14218",0.573
"14219",-0.2228
"14221",-0.0344
"14225",0.6904
"14226",-0.2146
"14227",0.3666
"14228",-0.6505
"14229",0.0186
"14230",0.2495
"14231",1.4628
"14232",1.39
"14234",0.6927
"14235",1.0104
