"","GSE111212_exercise"
"11287",0.450626959247649
"11298",0.352762598664238
"11302",0.0514977128522945
"11303",0.0852158353835831
"11304",1.03937425427549
"11305",0.0975658024935682
"11306",0.0561284046692607
"11307",0.0805847953216374
"11308",0.0629296668429403
"11350",0.0452511188463451
"11352",0.0707547169811321
"11363",0.0847489979003627
"11364",0.0798060884070058
"11370",0.0664206642066421
"11409",0.106636353794522
"11416",0.0778856526429342
"11418",0.0487424111014744
"11419",0.13169897377423
"11421",0.871574642126789
"11423",0.116725097958342
"11426",0.0623795761078998
"11428",0.059863523573201
"11429",0.0445215380167679
"11430",0.0455016703144799
"11431",0.0837155963302752
"11432",0.0594713656387665
"11433",0.296851667496267
"11434",0.332614264527437
"11435",0.17037037037037
"11438",0.203622026196204
"11440",0.717432472839629
"11441",0.133333333333333
"11443",0.183003455859252
"11444",0.0914435009797518
"11448",0.689501312335958
"11459",0.173699705593719
"11461",0.0517241379310345
"11465",0.0416739933180939
"11472",0.154411764705882
"11474",0.334925606891151
"11475",0.215487382483919
"11477",0.087203302373581
"11479",0.06875
"11480",0.0887290167865707
"11481",0.0867334473491327
"11482",0.151809026482656
"11484",0.199125462495795
"11486",0.328209223397884
"11487",0.0512354651162791
"11488",0.0904907975460123
"11489",0.0929215632686526
"11490",0.0637156270959088
"11491",0.0824704813805631
"11492",0.136884837262303
"11496",0.0678794992175274
"11497",0.604287575506337
"11498",0.443921408104789
"11499",0.337747261729606
"11501",0.190753641545282
"11502",0.0509604699158597
"11504",0.166955017301038
"11512",0.103726986977997
"11513",0.102395672333849
"11514",0.226409460105112
"11515",0.104826154644525
"11516",0.317964332318399
"11517",0.0644570963806425
"11519",0.0660774410774411
"11520",0.129244060475162
"11522",0.554762095803579
"11529",0.741723065666728
"11532",0.0778517901748543
"11534",0.094062007356805
"11535",0.309016981583353
"11536",0.235908517918242
"11538",0.219745222929936
"11539",0.0514689639938149
"11540",0.207836456558773
"11541",0.188334504567814
"11542",0.192660550458716
"11544",0.063991698374265
"11545",0.0912459471977767
"11546",0.0734355759543267
"11548",0.168025032746325
"11549",0.134935992855016
"11550",0.124598587026333
"11551",0.171932742054693
"11552",0.484615384615385
"11553",0.114344807209337
"11554",0.103476626732441
"11555",0.195504892999247
"11556",0.255408753096614
"11564",0.0737784228350266
"11565",0.151288196524865
"11566",0.040905134899913
"11567",0.346429537462808
"11568",0.347533632286996
"11569",0.0492206726825267
"11576",0.644304512795673
"11593",0.149110486891386
"11595",0.241563055062167
"11596",0.282632897300306
"11600",0.188902365069739
"11601",0.269993863775823
"11603",0.0826771653543307
"11604",0.315586690017513
"11605",0.0758293838862559
