"","GSE197754_enriched environment (EE)"
"12069",-0.0059
"12070",-1.3306
"12075",-0.358
"12091",0.271
"12095",-1.0879
"12096",1.4473
"12111",1.3631
"12116",0.0299
"12121",2.5892
"12122",-0.6149
"12123",-3.4126
"12125",-1.0125
"12140",-0.161
"12142",-0.2356
"12144",0.2625
"12151",1.9881
"12153",-3.3584
"12155",1.2795
"12156",1.9462
"12159",0.5229
"12160",0.1131
"12161",1.231
"12162",1.4276
"12164",-1.283
"12166",0.5928
"12167",0.3784
"12168",3.6351
"12169",0.4751
"12175",2.7994
"12176",1.8422
"12177",0.3012
"12180",1.3692
"12181",0.1841
"12182",0.9558
"12183",-1.391
"12189",-0.3886
"12190",-0.009
"12192",0.7013
"12193",0.2875
"12209",2.7539
"12211",1.0847
"12212",2.2542
"12215",1.0343
"12217",-2.4321
"12223",-0.1028
"12224",-0.4478
"12226",-0.5533
"12227",-0.4731
"12228",1.6958
"12229",0.2581
"12234",-0.9483
"12235",1.0312
"12236",0.4529
"12237",-1.6751
"12238",0.7799
"12257",0.3279
"12258",-0.395
"12259",-1.002
"12260",0.3076
"12261",1.9485
"12262",-1.3219
"12263",-0.0328
"12265",-0.2893
"12266",-0.1267
"12267",1.3229
"12268",0.0619
"12269",0.7799
"12270",0.3457
"12273",1.1221
"12282",-1.8529
"12283",1.2646
"12286",-2.4167
"12287",-1.7062
"12288",-1.1206
"12289",-0.1916
"12290",0.7998
"12291",-0.7492
"12292",1.1263
"12293",1.2322
"12294",1.2712
"12295",-2.0261
"12296",0.8089
"12297",-2.9044
"12298",0.8394
"12300",-1.5077
"12301",1.4226
"12304",-3.1365
"12305",-1.8108
"12306",-1.7195
"12307",0.7068
"12308",1.9888
"12310",0.1508
"12311",1.2779
"12315",-5.2722
"12316",-0.2017
"12317",-3.1549
"12319",0.3588
"12321",1.0424
"12323",-0.6891
"12325",-1.4287
"12326",2.1114
"12328",0.1711
"12330",0.2226
"12331",0.4828
"12332",-0.5601
"12333",-0.8706
"12334",-0.7011
"12335",0.7205
"12336",0.1571
"12337",-3.4865
"12338",0.6668
"12339",0.6237
"12340",1.2954
"12343",2.5598
"12345",3.1092
"12348",-3.213
"12349",0.0012
"12350",1.6986
"12351",-1.1139
"12354",1.4703
"12355",-0.5578
"12359",0.8926
"12361",0.8478
"12362",-1.8177
"12363",-0.3249
"12364",2.1357
"12366",0.6278
"12367",2.6701
"12368",0.1998
"12369",1.3894
"12370",1.5453
"12371",-1.405
"12372",-0.661
"12373",-0.8466
"12374",1.3607
"12380",1.0679
"12385",-1.5619
"12386",-0.3623
"12387",-0.8543
"12388",-1.0529
"12389",0.8347
"12390",1.4431
"12391",-0.5167
"12393",-0.4678
"12394",-1.6154
"12395",-1.3479
"12396",-0.376
"12398",-1.4721
"12399",-1.1113
"12400",0.3523
"12402",0.251
"12404",-1.159
"12405",-0.4816
"12406",-1.3655
"12408",0.5421
"12409",0.6212
"12411",-3.7073
"12412",-2.193
"12416",-1.332
"12417",2.512
"12418",2.0393
"12419",-0.534
"12421",1.4911
"12424",0.6755
"12425",1.0239
"12426",-1.8847
"12427",-1.5819
"12428",0.1719
"12442",0.5897
"12443",-1.415
"12444",-0.124
"12445",2.2095
"12447",0.3212
"12448",-1.4171
"12449",-1.0916
"12450",0.56
"12452",0.1094
"12453",-0.3055
"12454",-0.8486
"12455",-0.5354
"12457",1.4889
"12460",0.6653
"12461",1.0812
"12462",-0.3427
"12464",1.4626
"12465",0.2765
"12466",1.2609
"12467",-0.6832
"12468",-0.8215
"12469",0.2446
"12475",-1.6188
"12476",0.3378
"12477",0.9687
"12479",0.8559
"12483",-0.9577
"12484",0.7123
"12487",0.8809
"12488",2.1102
"12489",-0.1745
"12490",-2.876
"12491",0.1227
"12492",0.4381
"12493",0.4921
"12494",0.5974
"12495",-1.4365
"12496",-0.5229
"12497",0.2129
"12499",-0.4126
"12503",-0.4289
"12504",-1.0346
"12505",-0.3191
"12506",1.4984
"12507",0.8339
"12508",0.1841
"12509",1.3402
"12511",-0.304
"12512",2.6352
"12514",2.3315
"12516",0.5121
"12518",1.2824
"12519",-0.3079
"12520",-1.5775
"12521",-0.7033
"12522",-0.966
"12523",0.3183
"12524",-0.1226
"12527",2.4738
"12530",0.5143
"12531",-0.8663
"12532",-0.2079
"12534",0.2387
"12537",-2.2793
"12539",-1.346
"12540",2.0834
"12544",0.2118
"12545",-1.6155
"12549",-2.2317
"12550",-0.3549
"12552",2.4987
"12554",0.8629
"12555",-1.2968
"12557",-0.2814
"12558",0.7861
"12560",-0.4709
"12561",2.6215
"12562",0.0043
"12563",0.1588
"12564",3.2617
"12565",1.8373
"12566",1.3223
"12567",0.0969
"12568",0.175
"12569",-0.224
"12570",-2.4924
"12571",0.9614
"12572",0.7943
"12575",-2.3576
"12576",-0.946
"12577",0.5378
"12579",-0.2814
"12580",-0.3978
"12581",-1.519
"12583",1.2293
"12585",0.4731
"12587",0.9846
"12589",0.4329
"12593",0.1718
"12606",0.0993
"12607",0.6698
"12608",-1.9238
"12609",-1.2634
"12611",1.5176
"12614",-1.3354
"12615",0.1759
"12616",-3.4044
"12617",2.1816
"12626",2.6697
"12628",-0.1389
"12631",0.3228
"12632",3.085
"12633",0.0294
"12638",0.192
"12642",-0.4463
"12643",0.6842
"12647",1.4862
"12648",2.2506
"12649",1.6843
"12651",-0.5383
"12652",1.7089
"12654",0.7831
"12659",0.0964
"12660",-0.0129
"12661",0.3084
"12662",2.4401
"12663",0.8647
"12667",-3.8362
"12669",1.0259
"12671",-0.2141
"12672",1.2919
"12675",0.4019
"12677",-1.12
"12683",1.6639
"12684",-0.6983
"12695",0.1518
"12696",1.5234
"12700",-1.1602
"12702",0.1464
"12703",-0.4696
"12704",-2.6224
"12705",-0.4728
"12709",-1.6289
"12716",-1.2754
"12721",-0.078
"12722",1.0991
"12723",-1.4601
"12724",-2.0435
"12725",0.3283
"12727",0.6432
"12728",1.5588
"12729",-0.5771
"12733",-0.7751
"12737",1.2791
"12738",1.2452
"12739",1.038
"12741",-3.7972
"12745",0.3437
"12747",1.3592
"12748",-1.8961
"12750",0.7445
"12751",0.8342
"12752",1.0441
"12753",0.2148
"12757",-2.2614
"12759",-0.5501
"12763",0.5133
"12764",-0.286
"12766",-0.6323
"12767",-1.3554
"12768",-2.0339
"12769",-1.2499
"12770",-1.0224
"12771",0.4736
"12772",-0.8132
"12774",0.0402
"12777",-0.0774
"12778",0.3982
"12780",-0.3231
"12785",1.1802
"12789",-0.0788
"12790",-1.2497
"12793",1.8617
"12794",1.2612
"12795",1.5237
"12797",0.4732
"12798",0.201
"12799",-1.0438
"12801",1.2693
"12802",0.4549
"12803",-0.2715
"12804",-2.2845
"12805",1.9418
"12807",1.667
"12808",-2.294
"12810",-1.5962
"12812",-2.1623
"12813",0.4708
"12814",0.3499
"12815",-1.2642
"12816",-1.502
"12817",-1.2313
"12818",-0.143
"12819",-1.7683
"12821",0.0119
"12822",-0.3752
"12823",-0.4674
"12824",0.8134
"12825",-2.3957
"12826",-1.5151
"12827",-2.6612
"12828",1.7224
"12829",0.8089
"12830",0.6769
"12831",-4.0879
"12832",-1.1041
"12833",-3.3004
"12834",-1.7766
"12835",0.8995
"12836",-1.0064
"12837",1.3243
"12839",-0.7498
"12840",-2.1392
"12841",0.2657
"12842",-0.2207
"12843",-0.1417
"12845",-0.5405
"12846",-0.5773
"12847",0.107
"12848",3.1682
"12850",-0.3885
"12854",3.1474
"12856",1.9364
"12857",-0.1901
"12858",2.1659
"12859",-2.1998
"12861",-0.1994
"12862",-0.1398
"12864",2.7871
"12865",-0.0711
"12866",0.4923
"12867",1.6163
"12868",0.0123
"12869",-1.2331
"12870",-2.0551
"12873",-0.5159
"12874",0.9209
"12876",2.4302
"12877",-0.2989
"12879",-2.9084
"12889",-2.9012
"12891",1.2695
"12892",0.2663
"12894",1.607
"12895",-2.5364
"12896",1.3108
"12902",0.6413
"12903",1.1604
"12904",-1.0323
"12905",0.366
"12908",-1.1573
"12909",-1.0843
"12912",-0.3968
"12913",0.2597
"12914",-1.7909
"12915",-1.8954
"12916",-0.5142
"12918",-0.213
"12919",3.9676
"12921",-2.8319
"12922",-0.2845
"12925",0.0603
"12927",0.3121
"12928",1.6367
"12929",0.6309
"12931",-2.8436
"12933",0.9678
"12934",-3.8202
"12936",0.527
"12937",3.8603
"12939",-0.7538
"12941",-0.7004
"12942",-0.9062
"12943",-0.6231
"12946",-0.7038
"12950",2.6395
"12951",-0.2961
"12952",1.5059
"12953",-0.3106
"12955",-1.8862
"12957",-0.0646
"12959",-0.588
"12960",0.974
"12962",0.3938
"12964",0.3074
"12970",-0.3458
"12971",-2.4616
"12972",0.2539
"12974",1.3453
"12977",0.2568
"12978",-1.5891
"12982",-1.3667
"12983",-0.8066
"12984",0.1521
"12986",0.7217
"12988",-2.333
"12995",-1.8971
"13000",-0.5939
"13001",1.5032
"13002",1.4124
"13003",3.2116
"13004",-0.3605
"13006",0.5936
"13007",-3.2956
"13008",0.9811
"13010",-3.0958
"13011",1.0765
"13014",2.2961
"13016",-0.2499
"13017",-0.3204
"13018",1.3225
"13019",-0.6071
"13024",0.1442
"13025",-0.9967
"13026",-0.6385
"13030",0.414
"13032",-0.4508
"13033",0.0733
"13036",-0.8858
"13038",0.4087
"13039",0.2656
"13040",-1.058
"13043",0.0315
"13046",-0.9338
"13047",-0.8765
"13048",-2.3648
"13051",-0.8095
"13052",1.7571
"13056",-0.9344
"13057",-0.0824
"13058",0.1773
"13063",5.0852
"13070",-0.8859
"13075",-0.028
"13076",0.6933
"13078",-1.2859
"13082",0.0834
"13087",1.8119
"13088",1.8522
"13107",0.7172
"13110",2.2702
"13113",-0.1146
"13115",1.105
"13116",-3.4435
"13120",-0.8318
"13121",2.5918
"13123",0.6499
"13131",1.9301
"13132",0.3481
"13134",0.8175
"13135",1.4087
"13136",2.3699
"13138",0.6304
"13139",1.2095
"13142",-1.2314
"13143",-1.8354
"13144",-2.0432
"13162",-0.5682
"13163",0.0961
"13164",0.6511
"13166",2.7371
"13167",0.2831
"13168",0.07
"13169",-2.0965
"13170",4.4992
"13171",0.7626
"13175",2.0886
"13176",0.9293
"13177",-0.7821
"13178",1.653
"13179",0.5151
"13180",0.7169
"13185",-0.6572
"13190",-0.2337
"13191",-3.0673
"13193",3.2493
"13194",-1.4238
"13195",1.2653
"13196",-0.0316
"13197",-1.9764
"13198",-2.2906
"13199",-0.5855
"13200",-1.7337
"13202",0.3243
"13204",1.281
"13205",1.018
"13206",-0.088
"13207",-0.102
"13209",1.7011
"13211",0.6253
"13214",0.9218
"13244",1.3683
"13340",1.1112
"13345",-0.0799
"13346",0.0443
"13347",-0.6427
"13349",2.1297
"13350",-1.152
"13353",-1.9027
"13356",-1.9151
"13358",0.3174
"13360",1.9356
"13361",1.4043
"13363",-0.9843
"13367",-1.9264
"13368",-1.4412
"13371",-1.1039
"13382",3.244
"13383",-0.9995
"13384",-1.4119
"13385",-1.9745
"13386",2.4755
"13388",-0.0222
"13389",-1.7484
"13390",1.9961
"13392",-0.7147
"13394",-1.3253
"13395",1.4068
"13396",-0.8036
"13397",-0.5592
"13400",-1.2458
"13401",-1.776
"13404",-0.5353
"13405",0.3746
"13406",-1.0945
"13409",-2.663
"13411",0.1743
"13417",0.7703
"13418",-1.1349
"13419",-0.5644
"13421",0.2118
"13423",-0.7874
"13424",-1.4691
"13426",0.3779
"13427",-0.2576
"13429",-2.1199
"13430",-0.8791
"13433",-2.6332
"13434",0.4574
"13435",-1.2274
"13436",1.194
"13437",0.5506
"13445",-1.2681
"13446",0.4331
"13447",-1.3169
"13448",-0.3636
"13449",-0.1917
"13478",0.3087
"13479",1.1861
"13480",2.3257
"13481",1.4452
"13482",-0.4571
"13483",0.5368
"13486",2.0747
"13487",0.3519
"13488",0.7044
"13489",1.6678
"13490",0.9664
"13491",1.1185
"13492",0.075
"13494",1.3943
"13495",0.6375
"13496",0.7233
"13497",-1.2674
"13498",-1.5073
"13505",1.9531
"13506",1.4957
"13507",-0.759
"13508",0.8309
"13510",0.7287
"13511",-0.692
"13516",0.1006
"13518",-0.9564
"13521",1.8313
"13522",0.4183
"13524",1.9651
"13527",1.0221
"13528",1.122
"13537",-0.325
"13542",-3.0988
"13543",-0.5877
"13544",-0.4713
"13548",-0.4967
"13549",-1.954
"13555",-1.4737
"13557",2.8447
"13559",1.1655
"13560",-2.805
"13589",2.5912
"13590",0.0463
"13591",0.1918
"13592",0.4159
"13593",2.3491
"13595",-0.6006
"13599",1.2755
"13601",-1.1916
"13603",-1.4853
"13605",-0.2309
"13607",-0.7714
"13608",-0.6034
"13609",-0.9913
"13610",-1.2202
"13611",-0.7848
"13612",0.0144
"13614",-0.678
"13616",0.3903
"13617",-0.515
"13618",0.8104
"13619",-0.3098
"13626",-0.4095
"13628",-2.628
"13629",-3.7237
"13631",0.004
"13636",0.6401
"13637",1.3015
"13638",0.084
"13639",0.4457
"13640",-0.6284
"13641",-1.2695
"13642",-0.16
"13643",-2.5481
"13644",-0.7719
"13645",-0.8654
"13649",-0.0267
