"","GSE197754_enriched environment (EE)"
"12069",-2e-04
"12070",-0.0616
"12075",-0.0948
"12091",0.0207
"12095",-0.6406
"12096",1.4428
"12111",0.1335
"12116",0.0105
"12121",0.136
"12122",-0.0662
"12123",-0.1939
"12125",-0.1459
"12140",-0.0198
"12142",-0.0897
"12144",0.0344
"12151",0.1079
"12153",-0.2025
"12155",1.2942
"12156",0.2828
"12159",0.0757
"12160",0.023
"12161",0.1275
"12162",0.171
"12164",-0.9054
"12166",0.028
"12167",0.0239
"12168",0.172
"12169",0.1425
"12175",0.1806
"12176",0.0833
"12177",0.013
"12180",0.2642
"12181",0.0123
"12182",0.7066
"12183",-0.0604
"12189",-0.102
"12190",-0.0011
"12192",0.0625
"12193",0.0206
"12209",2.5073
"12211",0.0561
"12212",0.1193
"12215",0.0548
"12217",-0.123
"12223",-0.0342
"12224",-0.0812
"12226",-0.0342
"12227",-0.0583
"12228",0.1113
"12229",0.0631
"12234",-0.0435
"12235",0.4198
"12236",0.0846
"12237",-0.0837
"12238",0.0448
"12257",0.0788
"12258",-0.072
"12259",-0.0619
"12260",0.0247
"12261",0.1043
"12262",-0.0929
"12263",-0.0107
"12265",-0.11
"12266",-0.0321
"12267",0.2397
"12268",0.0062
"12269",0.2618
"12270",0.3332
"12273",0.4861
"12282",-0.1261
"12283",0.0512
"12286",-0.1022
"12287",-0.0839
"12288",-0.0577
"12289",-0.011
"12290",0.0309
"12291",-0.0539
"12292",0.3744
"12293",0.0524
"12294",0.0585
"12295",-0.1017
"12296",0.0388
"12297",-0.1239
"12298",0.0431
"12300",-0.0957
"12301",0.0704
"12304",-0.1851
"12305",-0.0921
"12306",-0.2391
"12307",0.035
"12308",0.1682
"12310",0.0475
"12311",0.93
"12315",-0.1795
"12316",-0.0575
"12317",-0.2349
"12319",0.0386
"12321",0.0489
"12323",-0.0305
"12325",-0.0727
"12326",0.1282
"12328",0.0095
"12330",0.0097
"12331",0.0186
"12332",-0.1209
"12333",-0.0584
"12334",-0.0328
"12335",0.0683
"12336",0.0086
"12337",-0.1639
"12338",0.1573
"12339",0.0304
"12340",0.0673
"12343",0.1078
"12345",0.155
"12348",-0.1617
"12349",5.749e-05
"12350",0.7989
"12351",-0.0729
"12354",0.188
"12355",-0.3297
"12359",0.044
"12361",0.0461
"12362",-0.3919
"12363",-0.1733
"12364",1.026
"12366",0.0656
"12367",0.2439
"12368",0.0315
"12369",0.2903
"12370",0.2759
"12371",-0.11
"12372",-0.2123
"12373",-0.282
"12374",0.3529
"12380",0.1108
"12385",-0.0815
"12386",-0.016
"12387",-0.0339
"12388",-0.0549
"12389",0.0896
"12390",0.1309
"12391",-0.2551
"12393",-0.0552
"12394",-0.4686
"12395",-0.1082
"12396",-0.0211
"12398",-0.102
"12399",-1.0366
"12400",0.0228
"12402",0.0131
"12404",-0.1874
"12405",-0.0613
"12406",-0.115
"12408",0.0272
"12409",0.1826
"12411",-0.285
"12412",-0.1155
"12416",-0.2726
"12417",0.109
"12418",0.1015
"12419",-0.0227
"12421",0.0718
"12424",0.0407
"12425",0.6561
"12426",-0.2753
"12427",-0.4493
"12428",0.0298
"12442",0.2413
"12443",-0.0752
"12444",-0.0079
"12445",0.1743
"12447",0.0279
"12448",-0.1898
"12449",-0.1737
"12450",0.0303
"12452",0.0067
"12453",-0.0131
"12454",-0.0535
"12455",-0.0259
"12457",0.0848
"12460",0.0612
"12461",0.0418
"12462",-0.0162
"12464",0.0683
"12465",0.0123
"12466",0.0553
"12467",-0.5036
"12468",-0.0352
"12469",0.0104
"12475",-0.3242
"12476",0.0286
"12477",1.009
"12479",0.2754
"12483",-0.6726
"12484",0.0609
"12487",0.7245
"12488",0.1646
"12489",-0.035
"12490",-0.225
"12491",0.0262
"12492",0.0176
"12493",0.1114
"12494",0.0639
"12495",-0.1316
"12496",-0.0624
"12497",0.0125
"12499",-0.0236
"12503",-0.2604
"12504",-0.5994
"12505",-0.045
"12506",0.6331
"12507",0.8888
"12508",0.0198
"12509",0.2876
"12511",-0.1296
"12512",0.1538
"12514",0.238
"12516",0.2654
"12518",0.7453
"12519",-0.1031
"12520",-0.0685
"12521",-0.0465
"12522",-0.0918
"12523",0.044
"12524",-0.0244
"12527",0.1803
"12530",0.0641
"12531",-0.1197
"12532",-0.0765
"12534",0.0719
"12537",-0.1006
"12539",-0.0571
"12540",0.0818
"12544",0.042
"12545",-0.1415
"12549",-0.1293
"12550",-0.0863
"12552",0.1181
"12554",0.0436
"12555",-0.3212
"12557",-0.264
"12558",0.0362
"12560",-0.1924
"12561",0.2515
"12562",6e-04
"12563",0.0139
"12564",0.1512
"12565",0.1128
"12566",0.2664
"12567",0.0056
"12568",0.0096
"12569",-0.0107
"12570",-0.1391
"12571",0.17
"12572",0.0419
"12575",-0.2961
"12576",-0.0553
"12577",0.0873
"12579",-0.1333
"12580",-0.0789
"12581",-0.1028
"12583",0.088
"12585",0.044
"12587",0.1843
"12589",0.0243
"12593",0.0157
"12606",0.0112
"12607",0.0303
"12608",-0.2974
"12609",-0.193
"12611",0.0967
"12614",-0.1284
"12615",0.0406
"12616",-0.1678
"12617",0.1376
"12626",0.1318
"12628",-0.0079
"12631",0.0126
"12632",0.1554
"12633",0.0027
"12638",0.0634
"12642",-0.2749
"12643",0.2821
"12647",1.1256
"12648",0.1208
"12649",0.4212
"12651",-0.0415
"12652",0.0927
"12654",0.086
"12659",0.0149
"12660",-8e-04
"12661",0.0126
"12662",0.1129
"12663",0.0805
"12667",-0.3113
"12669",0.0478
"12671",-0.0112
"12672",0.128
"12675",0.0288
"12677",-0.5257
"12683",0.1955
"12684",-0.1451
"12695",0.0213
"12696",0.1385
"12700",-0.1823
"12702",0.0364
"12703",-0.4542
"12704",-0.2192
"12705",-0.1213
"12709",-0.0768
"12716",-0.0576
"12721",-0.0058
"12722",0.4236
"12723",-0.3629
"12724",-0.1449
"12725",0.0141
"12727",0.0253
"12728",0.1541
"12729",-0.0294
"12733",-0.5823
"12737",0.2685
"12738",0.3543
"12739",0.4069
"12741",-0.4157
"12745",0.0278
"12747",0.1157
"12748",-0.1357
"12750",0.0557
"12751",0.048
"12752",0.1311
"12753",0.0111
"12757",-0.0949
"12759",-0.0194
"12763",0.2374
"12764",-0.013
"12766",-0.6593
"12767",-0.2567
"12768",-0.8775
"12769",-0.5926
"12770",-1.135
"12771",0.4961
"12772",-0.6574
"12774",0.005
"12777",-0.0393
"12778",0.036
"12780",-0.1965
"12785",0.0457
"12789",-0.0485
"12790",-0.5818
"12793",0.0946
"12794",0.0787
"12795",0.1744
"12797",0.2159
"12798",0.0332
"12799",-0.0501
"12801",0.0496
"12802",0.2846
"12803",-0.0608
"12804",-0.1133
"12805",0.0796
"12807",0.1333
"12808",-0.2907
"12810",-0.205
"12812",-0.1525
"12813",0.3365
"12814",0.0406
"12815",-0.1035
"12816",-0.184
"12817",-0.3016
"12818",-0.0369
"12819",-0.2623
"12821",0.0052
"12822",-0.0752
"12823",-0.0484
"12824",0.3017
"12825",-0.4294
"12826",-0.1204
"12827",-0.2251
"12828",0.5832
"12829",0.2283
"12830",0.0961
"12831",-0.5169
"12832",-0.1489
"12833",-0.3067
"12834",-0.1953
"12835",0.2391
"12836",-0.2519
"12837",0.3487
"12839",-0.2112
"12840",-0.3772
"12841",0.0433
"12842",-0.0355
"12843",-0.0211
"12845",-0.2607
"12846",-0.0305
"12847",0.0043
"12848",0.1572
"12850",-0.0281
"12854",0.4138
"12856",0.1016
"12857",-0.0083
"12858",0.1414
"12859",-0.1263
"12861",-0.0118
"12862",-0.0259
"12864",0.2102
"12865",-0.0187
"12866",0.0344
"12867",0.0939
"12868",7e-04
"12869",-0.3646
"12870",-0.164
"12873",-0.5406
"12874",0.041
"12876",0.081
"12877",-0.0198
"12879",-0.2529
"12889",-0.1062
"12891",0.0632
"12892",0.0148
"12894",0.1273
"12895",-0.7321
"12896",0.1712
"12902",0.2426
"12903",0.3927
"12904",-0.2741
"12905",0.0416
"12908",-0.0609
"12909",-0.0671
"12912",-0.019
"12913",0.0149
"12914",-0.1058
"12915",-0.1189
"12916",-0.0418
"12918",-0.043
"12919",0.2414
"12921",-0.4004
"12922",-0.062
"12925",0.0194
"12927",0.0227
"12928",0.0736
"12929",0.037
"12931",-0.3127
"12933",0.0489
"12934",-0.2248
"12936",0.0406
"12937",0.8851
"12939",-0.1141
"12941",-0.0826
"12942",-0.1244
"12943",-0.0857
"12946",-0.0633
"12950",0.1347
"12951",-0.2334
"12952",0.1132
"12953",-0.0168
"12955",-0.1186
"12957",-0.0679
"12959",-0.3049
"12960",0.1749
"12962",0.1242
"12964",0.208
"12970",-0.2627
"12971",-0.152
"12972",0.0232
"12974",0.0551
"12977",0.0185
"12978",-0.0722
"12982",-0.1169
"12983",-0.2585
"12984",0.0408
"12986",0.1039
"12988",-0.1581
"12995",-0.0832
"13000",-0.0353
"13001",0.0951
"13002",0.0552
"13003",0.2228
"13004",-0.0176
"13006",0.026
"13007",-0.1262
"13008",0.1357
"13010",-0.1084
"13011",0.9721
"13014",0.1955
"13016",-0.0105
"13017",-0.0174
"13018",0.0557
"13019",-0.2068
"13024",0.0255
"13025",-0.5126
"13026",-0.0391
"13030",0.0156
"13032",-0.0425
"13033",0.0034
"13036",-0.0784
"13038",0.0737
"13039",0.0117
"13040",-0.0467
"13043",0.0014
"13046",-0.0408
"13047",-0.0523
"13048",-0.2682
"13051",-0.0431
"13052",0.1208
"13056",-0.0572
"13057",-0.0137
"13058",0.0566
"13063",0.2424
"13070",-0.1137
"13075",-0.0214
"13076",0.4852
"13078",-0.225
"13082",0.0311
"13087",1.9018
"13088",1.7924
"13107",0.3193
"13110",0.1637
"13113",-0.0344
"13115",0.4226
"13116",-0.1768
"13120",-0.5501
"13121",0.1116
"13123",0.0428
"13131",0.1037
"13132",0.0343
"13134",0.1033
"13135",0.113
"13136",0.2459
"13138",0.0276
"13139",0.1098
"13142",-0.744
"13143",-0.5019
"13144",-0.1457
"13162",-0.3829
"13163",0.0072
"13164",0.1044
"13166",1.004
"13167",0.0157
"13168",0.024
"13169",-0.1219
"13170",0.533
"13171",0.0504
"13175",0.0786
"13176",0.0541
"13177",-0.0669
"13178",0.1059
"13179",0.0443
"13180",0.1089
"13185",-0.041
"13190",-0.085
"13191",-0.1418
"13193",0.2201
"13194",-0.0599
"13195",0.1659
"13196",-0.0023
"13197",-0.2764
"13198",-0.1414
"13199",-0.0281
"13200",-0.0839
"13202",0.0262
"13204",0.0579
"13205",0.0411
"13206",-0.013
"13207",-0.0037
"13209",0.0701
"13211",0.0267
"13214",0.8058
"13244",0.0601
"13340",0.109
"13345",-0.0248
"13346",0.0128
"13347",-0.0498
"13349",2.85
"13350",-0.1222
"13353",-0.1316
"13356",-0.1035
"13358",0.0191
"13360",0.125
"13361",0.1536
"13363",-0.8625
"13367",-0.1088
"13368",-0.2086
"13371",-0.0566
"13382",0.1843
"13383",-0.0531
"13384",-0.0928
"13385",-0.0734
"13386",0.5178
"13388",-0.0027
"13389",-0.4511
"13390",0.2082
"13392",-0.1061
"13394",-0.7899
"13395",0.1622
"13396",-0.1898
"13397",-0.6186
"13400",-0.1502
"13401",-0.0949
"13404",-0.1743
"13405",0.0191
"13406",-0.131
"13409",-2.3698
"13411",0.0322
"13417",0.1936
"13418",-0.06
"13419",-0.4284
"13421",0.1687
"13423",-0.1297
"13424",-0.0588
"13426",0.0157
"13427",-0.0106
"13429",-0.0636
"13430",-0.041
"13433",-0.1371
"13434",0.0466
"13435",-0.0626
"13436",0.4025
"13437",0.041
"13445",-0.0734
"13446",0.0529
"13447",-0.0691
"13448",-0.0848
"13449",-0.0815
"13478",0.0303
"13479",0.4328
"13480",0.2327
"13481",0.102
"13482",-0.1334
"13483",0.0193
"13486",0.113
"13487",0.1464
"13488",0.1022
"13489",0.3965
"13490",0.4666
"13491",0.9746
"13492",0.0093
"13494",0.0683
"13495",0.035
"13496",0.0849
"13497",-0.062
"13498",-0.0673
"13505",1.3537
"13506",0.4456
"13507",-0.1577
"13508",0.0409
"13510",0.7525
"13511",-0.0947
"13516",0.0405
"13518",-0.0503
"13521",0.2706
"13522",0.4566
"13524",0.7637
"13527",0.04
"13528",0.0576
"13537",-0.1267
"13542",-0.1777
"13543",-0.0589
"13544",-0.0252
"13548",-0.0215
"13549",-0.1111
"13555",-0.1793
"13557",0.1644
"13559",0.1084
"13560",-0.2337
"13589",0.1251
"13590",0.0051
"13591",0.0399
"13592",0.1058
"13593",0.5536
"13595",-0.0465
"13599",0.463
"13601",-0.2152
"13603",-0.4492
"13605",-0.0623
"13607",-0.0917
"13608",-0.3268
"13609",-0.0472
"13610",-0.1351
"13611",-0.4247
"13612",8e-04
"13614",-0.224
"13616",0.0525
"13617",-0.0861
"13618",0.0453
"13619",-0.0159
"13626",-0.0328
"13628",-0.0841
"13629",-0.1223
"13631",3e-04
"13636",0.103
"13637",0.1779
"13638",0.0043
"13639",0.1827
"13640",-0.0655
"13641",-0.1056
"13642",-0.0118
"13643",-0.1519
"13644",-0.0931
"13645",-0.3165
"13649",-0.0023
"13650",-0.089
"13653",0.4258
"13654",1.0823
"13655",0.0506
"13656",0.3743
"13660",-0.1415
"13661",0.976
"13663",-0.0146
"13664",0.1343
"13665",0.1005
"13666",-0.1265
"13667",-0.0785
"13669",-0.0614
"13680",-0.1259
"13681",0.0495
"13682",0.0308
"13684",0.1533
"13685",0.3773
"13688",-0.0386
"13690",0.1085
"13709",0.1945
"13710",-0.3396
"13711",0.0303
"13712",-0.1922
"13713",0.0011
"13714",0.1284
"13716",-0.0698
"13717",-0.1764
"13722",0.1226
"13723",0.0348
"13726",-0.0454
"13728",-0.0717
"13730",-0.0169
"13731",-0.1651
"13732",-0.0397
"13733",0.1493
"13796",-0.0883
"13797",-0.2051
"13799",-0.4563
"13800",-0.0553
"13803",-0.0194
"13804",0.1706
"13805",0.0938
"13806",-0.006
"13807",-0.0051
"13808",0.074
"13809",-0.0178
"13813",0.3331
"13819",-0.0118
"13821",-0.0455
"13822",-0.0188
"13823",-0.0418
"13824",0.1105
"13828",0.5631
"13829",-0.0887
"13830",-0.1271
"13831",-0.1095
"13835",0.5492
"13836",-0.147
"13837",0.1313
"13838",0.0956
"13839",0.0118
"13840",0.213
"13841",0.2336
"13842",0.4428
"13844",0.0302
"13845",-0.0883
"13846",-0.0551
"13848",-0.0581
"13849",0.2572
"13850",-0.0018
"13852",-0.1447
"13853",-0.0088
"13854",-0.17
"13855",-0.0571
"13857",-0.3489
"13858",0.0706
"13859",0.1278
"13860",0.0535
"13861",-0.5248
"13864",-0.2501
"13865",-0.1784
"13866",-0.1864
"13867",0.0321
"13869",0.1028
"13870",0.0031
"13871",-0.0609
"13872",0.0523
"13875",0.022
"13876",0.1074
"13877",0.1308
"13885",0.0952
"13924",0.0726
"13929",0.0444
"13972",0.0886
"13982",0.0993
"13983",-1.1485
