"","GSE270831_social isolation"
"24152",0.377837391663227
"24163",0.866370471633629
"24165",0.254600431965443
"24166",0.158685939553219
"24167",0.0947232947232947
"24171",0.0465952262029091
"24172",0.577085088458298
"24173",0.165549402506558
"24174",0.782931748222057
"24175",0.112930547713156
"24176",0.106526631657914
"24177",0.550339071465832
"24179",0.127825409197194
"24180",0.573437568240381
"24182",0.503197748784855
"24183",0.251782682512733
"24186",0.186660596403369
"24188",0.189268008165646
"24190",0.247916666666667
"24191",0.0755766621438263
"24197",0.390243902439024
"24203",0.96969696969697
"24205",0.0889294848374132
"24207",0.482755133002933
"24208",0.0861944344054933
"24209",0.305202818359142
"24210",0.337830957230143
"24213",0.11438134810711
"24216",0.419173210846051
"24218",0.0966877853349483
"24221",0.301880974406414
"24223",0.0889570552147239
"24224",0.157459300773953
"24225",0.108780179039696
"24230",0.234533183352081
"24231",0.140128465179175
"24232",0.18807710999514
"24233",0.0994585489110817
"24235",0.420451034908866
"24236",0.256535947712418
"24237",0.573170731707317
"24239",0.0900838457238681
"24241",0.355479108435462
"24247",0.188129437015024
"24249",0.596971177332682
"24250",0.134900447329182
"24251",0.122353902738047
"24253",0.0939938623410785
"24254",0.500982187447977
"24255",0.520112774490728
"24257",0.666938405797101
"24258",0.0811069616010725
"24260",0.0899614598691188
"24261",0.325171400587659
"24265",0.807787903893952
"24268",0.140945903619849
"24271",0.391304347826087
"24273",0.506260995550036
"24278",0.372929936305732
"24279",0.550163269902038
"24284",0.37923364674957
"24291",0.392524502343702
"24294",0.588968241908524
"24296",0.645557428365037
"24298",0.559114825131538
"24299",0.538366123419357
"24303",0.506778868630201
"24307",0.14215087535625
"24309",0.150768063720842
"24310",0.139112903225806
"24311",0.141546947152386
"24312",0.121267077741506
"24314",0.177498252969951
"24316",0.143942919187219
"24318",0.173594388022197
"24323",0.147099447513812
"24326",0.160404212923427
"24329",0.0836824672618395
"24330",0.116750767880649
"24331",0.958035633535317
"24332",0.506260995550036
"24335",0.379817444219067
"24336",0.43639955837062
"24337",0.133618909991742
"24338",0.0904569892473118
"24356",0.0989868528952729
"24361",0.101926050892732
"24362",0.408168964029142
"24366",0.384767774598283
"24367",0.401385266578306
"24373",0.517826825127334
"24379",0.115354433690819
"24380",0.149088699878493
"24385",0.542203742203742
"24387",0.0845430326754744
"24390",0.129504430587463
"24397",0.138017245777846
"24398",0.0857215576482565
"24406",0.114243943191312
"24409",0.0539183773116595
"24412",0.0947808961102905
"24413",0.0822220278955883
"24414",0.0926604420281291
"24415",0.275048424018313
"24416",0.0633817180541864
"24417",0.155156950672646
"24418",0.0874629812438302
"24419",0.104985477897093
"24421",0.198222865113396
"24422",0.505834053586863
"24423",0.0822704557320802
"24424",0.281487440779476
