"","GSE270831_social isolation"
"25035",-0.0803
"25037",-0.0529
"25041",0.1061
"25043",0.42
"25044",-0.156
"25045",-0.1524
"25046",-1.1923
"25047",-0.0402
"25048",2.762e-05
"25049",0.8497
"25050",0.3205
"25051",-0.476
"25053",-0.0373
"25056",0.0207
"25059",-0.0331
"25061",-0.3043
"25065",-0.583
"25066",-0.011
"25069",0.808
"25075",0.3431
"25081",-0.978
"25083",-0.3933
"25084",-0.0165
"25085",0.1211
"25086",-2.2972
"25098",-1.3436
"25100",-0.5319
"25101",0.5574
"25102",-0.115
"25103",-0.288
"25106",1.303
"25107",0.1901
"25108",-0.5225
"25109",0.3287
"25110",1.0914
"25111",-0.0446
"25112",0.1362
"25113",0.1016
"25114",0.4494
"25116",-0.2921
"25117",-0.073
"25118",0.2638
"25119",0.054
"25120",-0.3692
"25122",0.0332
"25123",0.5128
"25128",-0.3751
"25129",0.6105
"25130",-0.3147
"25132",-0.0409
"25133",0.3562
"25134",-1.0663
"25136",0.2112
"25139",-0.3875
"25146",-0.4674
"25147",0.1792
"25148",0.2854
"25149",1.9689
"25152",0.1307
"25153",-0.0988
"25154",0.3804
"25155",0.0917
"25156",0.2415
"25157",-0.6752
"25159",0.419
"25162",0.1358
"25163",0.7197
"25164",0.6319
"25165",-0.2157
"25166",-0.2454
"25172",0.4476
"25176",-0.1389
"25181",0.2428
"25186",-0.1125
"25187",-0.2259
"25192",0.4881
"25193",-0.2487
"25194",-0.2285
"25195",-0.0204
"25196",0.2125
"25197",-0.3272
"25203",0.1336
"25206",-0.0785
"25211",-0.1957
"25216",0.1353
"25221",0.0015
"25223",-0.0034
"25225",-1.4031
"25231",-0.0029
"25235",-0.269
"25236",-0.1868
"25237",0.2236
"25240",0.5347
"25241",0.2031
"25243",-0.1227
"25245",0.549
"25248",0.0669
"25249",-0.0054
"25250",0.0506
"25253",0.4771
"25254",0.3684
"25256",-0.0158
"25257",-0.056
"25258",0.3747
"25259",-0.2429
"25260",-0.1916
"25261",0.3994
"25263",-0.014
"25264",-0.0096
"25265",0.0994
"25267",0.455
"25268",-1.0827
"25271",-0.1951
"25273",-0.0053
"25274",-0.1555
"25275",0.0072
"25277",-0.1801
