"","GSE270831_social isolation"
"25035",-0.8975
"25037",-0.7935
"25041",0.4478
"25043",4.2747
"25044",-0.5934
"25045",-1.407
"25046",-1.1833
"25047",-0.1472
"25048",7.56e-05
"25049",9.4081
"25050",2.1213
"25051",-0.4879
"25053",-0.0444
"25056",0.1214
"25059",-0.1414
"25061",-2.2067
"25065",-0.8408
"25066",-0.0586
"25069",3.1864
"25075",1.9666
"25081",-1.0464
"25083",-2.0954
"25084",-0.146
"25085",0.2711
"25086",-4.2188
"25098",-2.1403
"25100",-1.0864
"25101",0.8625
"25102",-0.8685
"25103",-0.5655
"25106",2.1448
"25107",0.548
"25108",-1.0897
"25109",1.3918
"25110",1.9617
"25111",-0.4715
"25112",1.2865
"25113",1.2495
"25114",0.8526
"25116",-4.0318
"25117",-0.1064
"25118",2.2511
"25119",0.1714
"25120",-0.4714
"25122",0.0714
"25123",4.0267
"25128",-0.9891
"25129",5.5389
"25130",-4.036
"25132",-0.3574
"25133",2.2657
"25134",-1.7036
"25136",2.5458
"25139",-1.1664
"25146",-0.8524
"25147",0.548
"25148",4.4613
"25149",3.9914
"25152",1.9046
"25153",-0.8552
"25154",5.778
"25155",0.8366
"25156",2.4188
"25157",-3.0144
"25159",3.9186
"25162",1.4193
"25163",0.759
"25164",3.4344
"25165",-1.6887
"25166",-1.5789
"25172",0.8183
"25176",-1.7558
"25181",3.1527
"25186",-0.9445
"25187",-1.384
"25192",0.9758
"25193",-2.9298
"25194",-0.3374
"25195",-0.1338
"25196",2.8097
"25197",-2.4185
"25203",0.5536
"25206",-0.5997
"25211",-1.3785
"25216",0.4607
"25221",0.0038
"25223",-0.0069
"25225",-2.3754
"25231",-0.0065
"25235",-2.8266
"25236",-0.5617
"25237",1.9778
"25240",2.0437
"25241",0.4491
"25243",-1.2459
"25245",2.1376
"25248",0.5403
"25249",-0.0453
"25250",0.0893
"25253",1.3518
"25254",0.9752
"25256",-0.0837
"25257",-0.5921
"25258",0.9499
"25259",-1.2153
"25260",-1.7955
"25261",3.8504
"25263",-0.1001
"25264",-0.0348
"25265",0.4678
"25267",3.6161
"25268",-1.9201
"25271",-1.8025
"25273",-0.0342
"25274",-1.3188
"25275",0.0695
"25277",-1.1405
"25278",-1.3327
"25280",1.6089
"25281",0.0933
"25285",1.4066
"25287",-0.3438
"25288",2.2633
"25289",2.5185
"25290",0.823
"25291",-0.1902
"25292",0.1693
"25294",1.0456
"25295",-0.3111
"25296",1.4962
"25298",-1.2944
"25300",-1.0809
"25302",2.0427
"25303",1.7455
"25304",-1.939
"25305",-0.3415
"25306",6.62
"25307",-1.2622
"25309",-2.8447
"25310",1.9865
"25311",4.3749
"25312",0.0086
"25313",0.1374
"25314",0.4434
"25316",-0.004
"25317",-0.0976
"25320",-1.6036
"25321",1.0629
"25322",-0.5176
"25323",-2.3853
"25324",0.487
"25326",0.7612
"25327",1.4067
"25329",-0.7394
"25330",3.6779
"25331",0.0181
"25332",-0.8473
"25333",-1.5952
"25334",-2.1982
"25338",-1.6272
"25339",-1.8362
"25340",-3.8505
"25341",4.5829
"25342",-1.6445
"25343",-0.8902
"25345",0.0039
"25346",1.5328
"25347",-0.3586
"25348",-1.3794
"25350",-0.9692
"25351",-0.8864
"25353",-1.0949
"25354",-0.0057
"25356",3.5009
"25357",-0.9273
"25358",1.2371
"25359",-1.4986
"25360",1.6047
"25362",-0.6209
"25365",-0.7822
"25369",-1.0118
"25374",9e-04
"25375",-0.8101
"25376",0.005
"25377",-0.0571
"25378",-0.1452
"25380",-1.4022
"25383",-0.1341
"25385",-0.8255
"25386",0.7347
"25389",5.8316
"25391",0.2963
"25394",-0.2298
"25398",4.4029
"25399",7.9329
"25400",2.7551
"25401",0.0019
"25402",0.7817
"25404",1.5435
"25405",-1.1393
"25406",0.4243
"25407",-2.6647
"25408",-1.0121
"25409",5.9212
"25410",-0.9891
"25411",-0.0016
"25412",0.2998
"25413",0.3753
"25420",-6.1618
"25421",-0.6072
"25423",1.9061
"25424",0.2387
"25425",-1.0435
"25426",0.0589
"25429",1.3985
"25430",1.0973
"25431",0.2791
"25432",-0.4612
"25433",-0.0415
"25435",0.2828
"25438",-3.3768
"25441",-1.4126
"25443",-2.166
"25444",-1.273
"25445",-0.0981
"25446",1.6222
"25447",-0.0023
"25448",1.761
"25449",-0.9891
"25450",1.3243
"25451",2.0352
"25453",0.9527
"25454",-0.1567
"25455",-2.3383
"25456",-0.3029
"25457",-0.1333
"25460",0.1814
"25461",1.0091
"25462",-3.4849
"25464",0.3085
"25466",1.0167
"25467",5.309
"25468",4.2174
"25469",5.0729
"25470",0.3724
"25472",-3.2218
"25473",2.5144
"25475",-0.4007
"25476",4.5662
"25477",0.8954
"25478",4.1561
"25479",-0.9473
"25480",-0.3124
"25481",0.9479
"25483",0.053
"25484",1.6129
"25485",1.1552
"25486",6.0014
"25491",4.1979
"25494",1.6663
"25495",-2.6541
"25496",5.0203
"25501",1.3119
"25503",0.9549
"25504",0.6619
"25505",-0.0538
"25509",-0.5358
"25510",-3.8357
"25511",-3.5505
"25512",-0.2476
"25514",-1.9316
"25515",-1.1468
"25516",-0.2357
"25517",1.0213
"25523",0.676
"25525",-2.7674
"25527",0.7388
"25534",0.0405
"25539",1.1356
"25540",-0.0063
"25542",-1.1068
"25544",-0.1057
"25546",-0.0023
"25547",12.6554
"25548",0.3994
"25549",-2.0002
"25552",1.5273
"25553",1.801
"25554",-1.2501
"25555",2.3161
"25556",0.2247
"25557",-1.6557
"25559",1.1659
"25560",0.6619
"25561",-2.1186
"25563",4.9148
"25565",2.4999
"25566",-1.7023
"25569",0.1502
"25570",-0.9914
"25571",-3.04
"25572",-5.0545
"25582",0.5353
"25583",-0.9374
"25584",-0.9102
"25585",3.0311
"25586",1.278
"25589",6.5973
"25590",-0.9183
"25592",4.9678
"25593",1.0184
"25594",-0.2225
"25597",1.4642
"25598",-0.7402
"25599",-0.8127
"25600",2.2435
"25601",8.5978
"25602",-2.2009
"25603",-0.6002
"25605",-1.8061
"25608",0.9473
"25611",-1.455
"25613",2.4872
"25616",-1.015
"25617",-3.3361
"25618",0.545
"25619",0.9453
"25620",-2.1443
"25623",1.7008
"25626",-1.2443
"25628",0.069
"25629",0.1151
"25632",-0.9675
"25633",0.0888
"25634",-1.5532
"25635",-4.8792
"25637",-1.5257
"25640",-1.1533
"25641",-4.9701
"25642",0.9752
"25644",-1.4583
"25645",2.1955
"25646",0.9727
"25647",0.9167
"25648",6.7562
"25649",1.8142
"25650",0.2066
"25652",0.8904
"25653",-0.0102
"25654",0.1791
"25655",1.2019
"25656",1.1217
"25658",-0.4952
"25659",-2.5561
"25660",0.8646
"25661",2.0007
"25662",-1.2518
"25663",1.6727
"25664",2.3107
"25665",1.3784
"25667",6.3286
"25670",0.1766
"25672",3.4806
"25673",-2.7676
"25674",2.1545
"25676",-0.2005
"25677",-1.1164
"25679",0.6675
"25680",2.5787
"25681",0.0273
"25682",-0.2451
"25683",3.2302
"25684",-0.3114
"25685",0.1944
"25686",-2.0182
"25687",0.5846
"25688",-0.5783
"25689",1.7631
"25690",-0.6299
"25692",2.2156
"25693",-1.8968
"25694",0.8046
"25695",0.6902
"25698",0.2962
"25699",2.3384
"25701",-2.5298
"25702",-2.4675
"25703",-3.6879
"25704",0.128
"25705",4.0359
"25706",3.8329
"25707",0.7701
"25708",0.6738
"25710",-1.0915
"25711",1.2597
"25713",0.8671
"25717",-3.5563
"25718",1.9171
"25722",-1.0563
"25723",-1.1021
"25724",0.1936
"25726",-0.403
"25727",0.9546
"25728",-0.6819
"25730",-1.49
"25732",-1.4352
"25734",-1.7491
"25735",2.6244
"25742",-0.9331
"25743",1.9611
"25746",-2.3482
"25747",-0.7304
"25748",0.4166
"25749",1.5947
"25752",0.5062
"25753",-0.9663
"25756",1.9364
"25757",0.3016
"26199",-3.5568
"26296",0.0177
"26760",-0.2217
"27064",0.9813
"27100",-1.2517
"27139",-0.9489
"27150",0.5624
"27256",0.9733
"28298",-1.2199
"29130",5.6262
"29131",-1.429
"29132",-0.2857
"29134",3.7619
"29135",-1.692
"29138",1.4021
"29139",1.1711
"29141",0.4334
"29142",0.0847
"29146",0.5806
"29148",0.1838
"29151",-2e-04
"29152",0.0457
"29153",0.3225
"29155",-3.2521
"29156",-0.8467
"29158",-0.3497
"29161",1.2941
"29162",1.1801
"29163",4.1397
"29165",0.0331
"29168",-1.8321
"29169",0.3192
"29173",0.0053
"29175",-0.8969
"29177",0.1973
"29179",0.1635
"29181",8.7784
"29182",-1.4501
"29183",-0.4379
"29184",0.0307
"29185",-0.3356
"29186",-1.4321
"29189",-0.9699
"29190",-1.2009
"29191",-0.5753
"29194",-4.9687
"29195",-0.0675
"29197",-0.7611
"29199",0.419
"29200",-5.9439
"29201",-0.2379
"29202",1.8452
"29203",2.3721
"29204",-1.1925
"29205",3.545
"29206",-0.2655
"29209",0.1123
"29210",1.4337
"29215",-2.4981
"29216",-0.8737
"29219",-1.7417
"29220",-1.9409
"29221",-0.4773
"29224",-1.4591
"29225",-0.9896
"29228",2.1844
"29234",-1.4283
"29235",-0.8349
"29237",-0.5311
"29238",0.9017
"29240",2.7467
"29241",7.3143
"29242",4.9419
"29243",-1.0067
"29244",4.2835
"29245",-0.4108
"29248",-0.189
"29251",2.3801
"29252",-0.119
"29254",-0.6339
"29256",-0.0076
"29257",-1.1886
"29258",-0.7869
"29259",-1.1121
"29260",0.1127
"29261",0.5456
"29263",-1.5879
"29268",-0.0023
"29269",-0.9896
"29270",-1.2293
"29275",-0.7757
"29276",-1.3128
"29277",-2.5858
"29278",0.4296
"29279",-0.8791
"29284",-1.5852
"29285",-1.1282
"29286",-0.8859
"29287",-1.4314
"29294",-0.1233
"29300",-0.9764
"29301",-0.002
"29302",4.0295
"29307",-0.0314
"29308",-2.2847
"29316",-3.6473
"29317",-1.1661
"29318",-1.8008
"29326",0.2035
"29328",-1.4076
"29331",0.7542
"29333",-0.4926
"29335",2.3158
"29337",-0.7782
"29340",8.496
"29344",3.6261
"29345",-1.0023
"29348",-0.9207
"29349",0.0019
"29354",0.7131
"29358",-3.3522
"29359",0.9391
"29360",-1.829
"29361",1.4005
"29363",1.2224
"29369",-0.3374
"29372",3.6119
"29373",0.1387
"29380",0.3211
"29383",-0.0675
"29385",1.1693
"29387",-0.5137
"29388",0.9112
"29391",-0.765
"29393",2.2767
"29394",-0.0165
"29395",0.2963
"29397",-2.1359
"29398",0.4051
"29402",-0.5646
"29403",2.2912
