"","GSE270831_social isolation"
"24152",0.142761094538871
"24163",0.750597794118678
"24165",0.0648213799569901
"24166",0.025181227411888
"24167",0.00897250256323615
"24171",0.00217111510490027
"24172",0.333027199320922
"24173",0.0274066046702783
"24174",0.612982122374047
"24175",0.0127533086067935
"24176",0.011347923252381
"24177",0.302873093581874
"24179",0.0163393352364301
"24180",0.328830644669441
"24182",0.253207974382146
"24183",0.0633945192133079
"24186",0.0348421782496614
"24188",0.035822378914991
"24190",0.0614626736111111
"24191",0.00571183186080207
"24197",0.152290303390839
"24203",0.940312213039486
"24205",0.00790845327344771
"24207",0.23305251844068
"24208",0.00742948052248289
"24209",0.0931487603343633
"24210",0.114129755663034
"24213",0.0130830927947999
"24216",0.175706180690988
"24218",0.00934852783297704
"24221",0.0911321227085659
"24223",0.00791335767247544
"24224",0.024793431400222
"24225",0.0118331273519084
"24230",0.0550058140932608
"24231",0.0196359867534713
"24232",0.035372999304124
"24233",0.00989200295149803
"24235",0.176779072755937
"24236",0.0658106924687086
"24237",0.328524687685901
"24239",0.00811509926040166
"24241",0.126365396534071
"24247",0.0353926850715899
"24249",0.356374586565968
"24250",0.0181981306896133
"24251",0.0149704775152314
"24253",0.00883484615779361
"24254",0.25098315214016
"24255",0.270517298188443
"24257",0.444806837127179
"24258",0.00657833922015785
"24260",0.00809306426178306
"24261",0.10573643976014
"24265",0.652521297677385
"24268",0.0198657477472157
"24271",0.153119092627599
"24273",0.256300195615314
"24278",0.139076737392998
"24279",0.302679623549303
"24284",0.143818158826978
"24291",0.154075484940171
"24294",0.346883589976818
"24296",0.41674439331728
"24298",0.312609387681871
"24299",0.289838082845586
"24303",0.256824821690106
"24307",0.020206871364548
"24309",0.0227310090381319
"24310",0.0193523998439126
"24311",0.0200355382481603
"24312",0.0147057041439646
"24314",0.0315056298073847
"24316",0.0207195639841382
"24318",0.030135011552801
"24323",0.0216382474588688
"24326",0.0257295115235842
"24329",0.00700275532702884
"24330",0.0136307418007213
"24331",0.917832275123416
"24332",0.256300195615314
"24335",0.144261290933104
"24336",0.190444574546072
"24337",0.0178540131073813
"24338",0.00818246690368829
"24356",0.00979839704611039
"24361",0.0103889198505877
"24362",0.166601903196623
"24366",0.148046240369315
"24367",0.161110132226138
"24373",0.268144620821455
"24379",0.0133066453721295
"24380",0.0222274404314595
"24385",0.293984898059742
"24387",0.00714752437396633
"24390",0.016771397541783
"24397",0.0190487601321023
"24398",0.00734818544564337
"24406",0.0130516785558996
"24409",0.00290719141192248
"24412",0.00898341826746968
"24413",0.0067604618712629
"24414",0.00858595751684827
"24415",0.0756516355549577
"24416",0.00401724218350037
"24417",0.0240736793420338
"24418",0.0076497730880586
"24419",0.011021950569281
"24421",0.0392923042537634
"24422",0.255868089768117
"24423",0.00676842788636418
"24424",0.0792351793165791
"24426",0.00926985525427462
"24434",0.0069334346254153
"24438",0.0874867056232709
"24440",0.0306346361426864
"24443",0.428163888437893
"24446",0.0212415119963785
"24448",0.00897867623255038
"24450",0.0237008961385117
"24451",0.0336453117183529
"24459",0.246940656241658
"24464",0.0564903930703929
"24465",0.0077356712503169
"24468",0.00481333580611969
"24470",0.142761094538871
"24471",0.0165716637959487
"24472",0.0215812202243641
"24473",0.00346121546437377
"24477",0.296167486334936
"24479",0.00659989663989779
"24482",0.0385508189453646
"24483",0.0493567504289627
"24484",0.0103327165100185
"24493",0.105506315182812
"24494",0.178755319202337
"24498",0.475410414912715
"24499",0.00849960614142977
"24500",0.0934655701591544
"24505",0.607175674306226
"24506",0.0911902286412769
"24508",0.0079719387755102
"24516",0.0115115338840274
"24517",0.00386082758175258
"24518",0.0101946371942133
"24520",0.00930890320745337
"24521",0.179521967042977
"24522",0.00519898144400329
"24525",0.0181307081086387
"24528",0.142602395960838
"24530",0.00809636318021632
"24536",0.042721257027769
"24539",0.0160085956357383
"24546",0.33243571579047
"24547",0.00943122409142557
"24548",0.170395328707107
"24553",0.00234284911397021
"24558",0.0119878523096595
"24559",0.635817004668904
"24561",0.0110159645552091
"24564",0.172928602024684
"24565",0.00318308276217274
"24566",0.152668742599009
"24567",0.00953754543062204
"24571",0.0321792621868562
"24572",0.176769465860836
"24575",0.141482586370266
"24581",0.25
"24582",0.0175611514356529
"24583",0.0828741965105602
"24584",0.060514739679953
"24585",0.43112447101456
"24588",0.012968393404388
"24590",0.0191191816746878
"24596",0.0986198851152851
"24598",0.0126646778833352
"24599",0.124228847293122
"24600",0.0184027547451129
"24602",0.0368822545444823
"24603",0.00630504262467128
"24604",0.00889463587794471
"24610",0.348503480930765
"24612",0.255868089768117
"24613",0.081514558822706
"24615",0.0193204538349011
"24616",0.0626505634832678
"24617",0.29687505880544
"24618",0.0844569832586878
"24624",0.00835319106931989
"24626",0.00307715206545709
"24627",0.0050272866499541
"24628",0.00889996440014239
"24629",0.00698657459879867
"24631",0.718907393241017
"24638",0.164704888619485
"24641",0.155817174515235
"24645",0.00646643554103721
"24646",0.0427853715916581
"24648",0.146268985856317
"24649",0.15013776202009
"24650",0.00409343303300545
"24651",0.305697021473658
"24653",0.0144302498228609
"24655",0.0157200464895234
"24659",0.18330721298556
"24660",0.0178562398908216
"24661",0.281996383149558
"24664",0.0601169757080494
"24669",0.00768071943342616
"24674",0.0170427230946886
"24675",0.007059951744899
"24678",0.0961596246301775
"24679",0.00477519885590819
"24680",0.0163441741068238
"24684",0.140946612244898
"24688",0.0261359541381779
"24689",0.00827302332325979
"24693",0.0173838226305231
"24695",0.0294927021652504
"24697",0.00419713054629292
"24699",0.0068043492110684
"24701",0.00856468445698933
"24705",0.00575972576530612
"24706",0.0261842225120395
"24708",0.0131985305612032
"24710",0.15498795314677
"24711",0.824336197770666
"24714",0.140625
"24715",0.0897862457532112
"24716",0.0180953716049333
"24717",0.175107098522103
"24718",0.0351039924821382
"24723",0.0329343552343724
"24750",0.00319117227608841
"24751",0.375406420981225
"24763",0.0708471762066605
"24766",0.00427533212195509
"24767",0.148321840878267
"24768",0.520250826520485
"24769",0.143591356332445
"24770",0.658981441277206
"24772",0.00924128267869293
"24775",0.0136032920039273
"24777",0.96045426218624
"24778",0.00323053450841633
"24779",0.127101315288788
"24783",0.0141647273145854
"24784",0.158972715335863
"24785",0.0124307166484613
"24790",0.00667561261311478
"24791",0.0182211809895256
"24795",0.276744356403815
"24796",0.0287052472453641
"24797",0.0175173010380623
"24800",0.00900274250212349
"24805",0.0114883354163633
"24806",0.040909426750195
"24807",0.0205764411594257
"24808",0.0493368319951355
"24811",0.0199051176103803
"24812",0.00708736201116945
"24816",0.0725374267354001
"24817",0.223469420589557
"24825",0.0127590249814877
"24826",0.117335824077246
"24827",0.00755310433540748
"24828",0.143818158826978
"24834",0.016059486467942
"24835",0.317848529313476
"24837",0.178554878631092
"24838",0.182952003101982
"24840",0.461553210661799
"24848",0.569975001096443
"24849",0.00472316682602427
"24852",0.00569517771693746
"24855",0.0147665197333041
"24856",0.671558723904933
"24861",0.92339265043174
"24864",0.694063718330741
"24867",0.73469387755102
"24873",0.36141592783724
"24875",0.0211285592402124
"24877",0.00745596927352793
"24881",0.0317246276838677
"24882",0.0537112613225056
"24884",0.0191579778146275
"24886",0.0509304833782295
"24889",0.448966891010822
"24890",0.060394095436808
"24898",0.466102918957776
"24903",0.143818158826978
"24906",0.197998072019885
"24907",0.00208860366842891
"24908",0.0102490000898369
"24913",0.0108313991793995
"24914",0.0487669558536888
"24915",0.0190283523401007
"24918",0.012994839720555
"24919",0.00399166349933005
"24924",0.00388916156517119
"24925",0.017456279180455
"24929",0.104945090104469
"24930",0.481134176423984
"24931",0.28233615440752
"24932",0.0312823051705966
"24934",0.326530612244898
"24936",0.01
"24938",0.0819604337677881
"24941",0.00317564645336881
"24942",0.0272747833886085
"24943",0.0264713533169066
"24944",0.00745003435855371
"24947",0.0300016957390995
"24948",0.0218752588824077
"24952",0.198565851241338
"24953",0.313078250726923
"24954",0.00333498281409393
"24957",0.00647506219002983
"24959",0.0155103436334015
"24962",0.0263995150003462
"24963",0.0219737280938805
"24967",0.023890989810696
"24968",0.0181042884661219
"24973",0.0605720958951918
"24974",0.0118506649575389
"24981",0.415946309640952
"24984",0.189615612013934
"24994",0.112928364925487
"25007",0.265194162573057
"25008",0.429694909869448
"25012",0.00429245479870463
"25021",0.0318273711703091
"25023",0.00328398939537449
"25024",0.0392447849576545
"25026",0.031754627660254
"25027",0.0131126096770203
"25028",0.615858592566209
"25029",0.0162078517850141
"25031",0.00521479706751208
"25033",0.0184416506908104
"25035",0.00800501547939572
"25037",0.00444444444444444
"25041",0.0561387307427848
"25043",0.0096535555145761
"25044",0.0691121037172292
"25045",0.0117322616281977
"25046",1.01526954502871
"25047",0.0745824226134216
"25048",0.133476176478822
"25049",0.00815694223245656
"25050",0.0228271600471519
"25051",0.951814396192742
"25053",0.705751359467576
"25056",0.029073901679744
"25059",0.05479704870871
"25061",0.019015918819957
"25065",0.480785878792433
"25066",0.0352362869689804
"25069",0.0643016525984871
"25075",0.0304375271860574
"25081",0.873538896136689
"25083",0.0352301111743164
"25084",0.0127720960780634
"25085",0.199539670680579
"25086",0.296496615685212
"25098",0.394085710210581
"25100",0.239706862093068
"25101",0.417653111531191
"25102",0.0175329920200029
"25103",0.259370008935544
"25106",0.369075510788408
"25107",0.120338090734722
"25108",0.229910437449838
"25109",0.0557757917419172
"25110",0.309529976492873
"25111",0.00894759510553287
"25112",0.0112081680532795
"25113",0.00661172672350253
"25114",0.277827659006528
"25116",0.00524886197834513
"25117",0.470719797614337
"25118",0.0137328288159285
"25119",0.0992580832705879
"25120",0.613400645024372
"25122",0.216211974986073
"25123",0.0162180070030707
"25128",0.143818158826978
"25129",0.0121485455881703
"25130",0.00607982628592421
"25132",0.0130959654208455
"25133",0.0247162751303475
"25134",0.391763125292841
"25136",0.00688238975520202
"25139",0.110369326333967
"25146",0.300670302154009
"25147",0.106933773775907
"25148",0.00409246600815932
"25149",0.243330647613821
"25152",0.00470916182973736
"25153",0.0133468415530457
"25154",0.00433436959829367
"25155",0.0120144238981948
"25156",0.00996860414214665
"25157",0.0501721954012108
"25159",0.0114331572733525
"25162",0.00915484792292963
"25163",0.8991237169773
"25164",0.0338528283994622
"25165",0.0163153082495633
"25166",0.0241568257878061
"25172",0.299195497280534
"25176",0.00625827152969565
"25181",0.00593105663786214
"25186",0.0141873446923637
"25187",0.0266415986584918
"25192",0.250205002041409
"25193",0.00720569078048283
"25194",0.458650902381579
"25195",0.0232459932835971
"25196",0.00572002551236833
"25197",0.0183035110831849
"25203",0.058239917805473
"25206",0.0171344913188071
"25211",0.0201543181737152
"25216",0.0862500128978613
"25221",0.155817174515235
"25223",0.242806133165301
"25225",0.348902229795285
"25231",0.19905325443787
"25235",0.00905682238423447
"25236",0.11059739456086
"25237",0.0127814125610128
"25240",0.0684519900160933
"25241",0.204519035845014
"25243",0.00969890607916818
"25245",0.0659616950371338
"25248",0.0153314171502598
"25249",0.0142099030744266
"25250",0.321068808162027
"25253",0.124564402422805
"25254",0.142709162622707
"25256",0.0356338918793153
"25257",0.00894511507294391
"25258",0.15560072308186
"25259",0.0399473554387869
"25260",0.0113872850075931
"25261",0.0107598055710759
"25263",0.0195608587216979
"25264",0.0760998810939358
"25265",0.0451494364477206
"25267",0.0158322241287178
"25268",0.317957137391404
"25271",0.0117155853424412
"25273",0.0240159365274785
"25274",0.0139028203137585
"25275",0.0107323637492883
"25277",0.0249365774604115
"25278",0.178401171486147
"25280",0.00926925291386323
"25281",0.00531195684264821
"25285",0.0316144883308845
"25287",0.0109646117156876
"25288",0.00638841155990496
"25289",0.00523949495985021
"25290",0.0136631385929142
"25291",0.0105111007174915
"25292",0.0167330193573552
"25294",0.142135345900978
"25295",0.332170115043715
"25296",0.00885576347841301
"25298",0.0111858730906627
"25300",0.206007984920137
"25302",0.00974995516549494
