"","GSE179081_physical activity derived from voluntary running"
"12054",-0.0529
"12055",-0.1488
"12057",-0.2669
"12062",-1.2316
"12064",0.4491
"12068",0.4157
"12069",0.1218
"12070",0.0243
"12075",-0.9075
"12091",0.0709
"12111",-0.4671
"12121",-0.016
"12122",0.2085
"12123",-0.1791
"12125",-0.2492
"12140",0.8614
"12142",-0.0752
"12144",-0.1566
"12151",0.0705
"12153",-0.3981
"12156",-0.4014
"12159",0.0724
"12160",0.1179
"12161",0.642
"12162",0.1284
"12163",0.1023
"12164",0.5545
"12166",0.04
"12167",-0.0679
"12168",-2e-04
"12169",-0.5421
"12175",0.0085
"12176",0.0276
"12177",0.1136
"12180",-0.0374
"12181",-0.0206
"12182",0.867
"12183",0.0851
"12189",-0.0075
"12190",-0.2268
"12192",-0.0664
"12193",-0.1272
"12209",0.2859
"12211",-0.1605
"12212",0.1849
"12215",0.3443
"12217",-0.2487
"12223",-1.5836
"12224",-1.0239
"12226",0.1484
"12227",-0.1266
"12228",-0.2016
"12229",0.0713
"12234",0.0701
"12235",0.2179
"12236",-0.5244
"12237",0.0348
"12238",0.1112
"12257",1.3767
"12258",-0.4788
"12259",-0.2581
"12260",-0.2983
"12261",0.1523
"12262",-0.1338
"12263",0.276
"12265",-0.862
"12266",-0.4944
"12267",-0.178
"12268",-0.4878
"12269",0.1868
"12270",-1.2124
"12273",0.4573
"12282",0.0329
"12283",0.0813
"12286",-0.2302
"12287",-0.1385
"12288",0.0229
"12289",-0.1008
"12290",-0.042
"12291",0.0578
"12292",0.062
"12293",0.0209
"12294",-0.1063
"12295",-0.2124
"12296",-0.1735
"12297",2e-04
"12298",-0.022
"12300",0.0534
"12301",0.114
"12304",0.1491
"12305",0.0816
"12306",-0.3027
"12307",0.322
"12308",0.2102
"12310",-0.7578
"12314",0.1858
"12315",0.0309
"12316",0.0022
"12317",0.0378
"12319",-0.1196
"12321",0.1167
"12323",0.0033
"12325",0.0438
"12326",-0.2232
"12328",0.0204
"12330",0.2045
"12331",-0.0163
"12332",0.4701
"12333",-0.0851
"12334",-0.1704
"12335",-0.0576
"12336",0.0929
"12337",-0.1417
"12338",0.2377
"12339",-0.0337
"12340",0.1333
"12343",0.1641
"12345",-0.0202
"12348",-0.3391
"12349",-0.0555
"12350",0.4245
"12351",-0.2756
"12352",-0.7429
"12354",-0.1399
"12355",1.0991
"12359",0.1264
"12361",0.0422
"12362",-0.6113
"12363",1.6061
"12364",-0.271
"12366",0.0673
"12367",-0.0075
"12368",-0.1047
"12369",0.0117
"12370",0.5591
"12371",0.1023
"12372",0.7662
"12373",-0.5959
"12374",-0.4237
"12380",-0.1101
"12385",0.1136
"12386",-0.002
"12387",0.2356
"12388",0.0064
"12389",-0.2885
"12390",0.1283
"12391",-0.6413
"12393",-0.2657
"12394",0.5188
"12395",-0.2776
"12396",-0.0482
"12398",-0.0574
"12400",-0.0164
"12402",-0.1936
"12404",-5e-04
"12405",0.2382
"12406",0.7256
"12408",0.1296
"12409",-0.4003
"12411",0.0077
"12412",0.2925
"12416",0.0781
"12417",0.3303
"12418",-0.0414
"12419",0.1699
"12421",-0.0665
"12424",0.2296
"12426",-0.0848
"12427",-0.5333
"12428",-0.2489
"12442",0.2788
"12443",-0.3137
"12444",-0.172
"12445",0.1734
"12447",0.1218
"12448",-0.1171
"12449",0.0154
"12450",0.0662
"12452",0.2154
"12453",0.1833
"12454",-0.0875
"12455",-0.0693
"12457",-0.0115
"12460",-0.0357
"12461",0.0868
"12462",0.0898
"12464",0.3314
"12465",0.0817
"12466",0.1705
"12467",2.5727
"12468",0.3026
"12469",0.2987
"12475",-0.7292
"12476",-0.0625
"12479",0.3732
"12483",0.5551
"12484",0.349
"12488",-0.1366
"12489",-0.2192
"12490",-0.5344
"12491",0.9356
"12492",0.1652
"12493",0.2676
"12494",-0.0457
"12495",-0.2607
"12496",-0.2302
"12497",-0.0714
"12499",-0.1096
"12503",-0.2832
"12504",1.3756
"12505",-0.3548
"12506",-0.0081
"12507",0.2025
"12508",0.2608
"12509",0.6087
"12511",0.8486
"12512",0.2971
"12514",0.0643
"12517",0.3432
"12518",1.2147
"12519",0.3649
"12520",0.0305
"12521",0.4274
"12522",0.095
"12523",0.1711
"12524",-0.1641
"12525",1.0884
"12527",0.3372
"12530",-0.139
"12531",-0.2484
"12532",-0.0437
"12534",0.0182
"12537",-0.1017
"12539",0.0353
"12540",0.0858
"12544",-0.2129
"12545",-0.1725
"12549",-0.3977
"12550",-1.9658
"12552",-0.0545
"12554",-0.2491
"12555",-0.0978
"12558",-0.0506
"12560",3.3301
"12561",-0.0601
"12562",-0.6351
"12563",-0.8253
"12564",0.1438
"12565",0.2028
"12566",0.3815
"12567",0.0378
"12568",0.0496
"12569",0.2158
"12570",0.0269
"12571",-0.1918
"12572",0.0549
"12575",0.2314
"12576",0.0738
"12577",1.1924
"12579",-0.0625
"12580",0.2681
"12581",0.2218
"12583",0.2912
"12585",0.8815
"12587",0.4915
"12589",0.0949
"12593",0.1715
"12606",0.3513
"12607",-0.016
"12608",0.8253
"12609",0.6986
"12611",-0.0113
"12614",-0.2838
"12615",-0.521
"12616",0.2235
"12617",-0.0714
"12626",0.0653
"12627",-2.1029
"12628",-0.1993
"12631",0.0033
"12632",0.3198
"12633",-0.0213
"12638",0.2461
"12642",-2.3654
"12643",-0.405
"12648",-0.1699
"12649",0.3015
"12651",-0.0442
"12652",-0.0635
"12653",-0.0703
"12654",0.1531
"12655",0.1395
"12659",-0.5141
"12660",-0.1328
"12661",0.032
"12662",-0.1484
"12663",-0.0106
"12667",-0.1302
"12669",-0.1286
"12671",-0.3205
"12672",-0.3835
"12675",0.1262
"12677",-0.8838
"12683",-0.055
"12684",-0.8478
"12695",0.2526
"12696",-0.0169
"12700",0.416
"12702",-0.2732
"12703",-0.8245
"12704",-0.4519
"12705",-0.3172
"12709",0.0937
"12716",-0.039
"12721",0.3055
"12722",-0.2067
"12723",-0.521
"12724",-0.0994
"12725",0.0677
"12727",0.0488
"12728",-0.0347
"12729",0.2173
"12737",1.2238
"12738",1.5614
"12739",1.7644
"12741",-0.1326
"12745",-0.0457
"12747",-0.1909
"12748",-0.1758
"12750",-0.1462
"12751",-0.0395
"12752",-0.1945
"12753",0.0252
"12757",0.1908
"12759",-0.0759
"12763",0.2948
"12764",0.1798
"12767",-0.0166
"12768",-0.4517
"12769",0.2823
"12772",1.1098
"12774",-0.0387
"12777",-0.067
"12778",-0.4003
"12780",0.0722
"12785",0.2581
"12789",-0.9004
"12790",0.0861
"12793",0.1102
"12794",-0.0383
"12795",-0.0909
"12797",0.211
"12798",-0.4133
"12799",-8e-04
"12801",-0.1016
"12802",-0.4388
"12803",0.2553
"12804",-0.3966
"12805",0.1205
"12807",-0.0322
"12808",0.1216
"12810",0.2046
"12812",-2e-04
"12813",-0.3334
"12814",-0.7148
"12815",-0.5228
"12816",-0.3465
"12817",-0.0362
"12818",0.0855
"12819",-0.7331
"12821",1.4366
"12822",0.6217
