"","GSE179081_physical activity derived from voluntary running"
"11287",0.909940120722407
"11298",0.341791130493166
"11302",0.00904523527235112
"11303",0.0146697019925779
"11304",0.688594277978265
"11305",0.0079701815839631
"11306",0.0109227071388386
"11307",0.0108544947051436
"11308",0.0100708240950949
"11350",0.0132191786316927
"11352",0.00808658886908295
"11363",0.0236323195598646
"11364",0.0116994749224956
"11370",0.0218674438365558
"11409",0.045094975707748
"11416",0.0199011775247442
"11418",0.0154731601231463
"11419",0.0231933338944533
"11421",0.548066519479158
"11423",0.0224032542896935
"11426",0.00716946229493787
"11428",0.00995833957809295
"11429",0.0067329743066425
"11430",0.00707013319625932
"11431",0.0125175113247626
"11432",0.00875667343280915
"11433",1.92262564725014
"11434",0.122738210930631
"11435",0.104669519608685
"11438",0.0151814048711802
"11441",0.0137828584488131
"11443",0.0959166051300463
"11444",0.0093493645151474
"11448",1.37003202393344
"11459",0.0758947082294516
"11461",0.00817618241039582
"11465",0.0108552922405538
"11470",1.2285821262869
"11472",0.0126306302235074
"11474",0.180751083411902
"11475",0.169745104929723
"11477",0.00792331578009511
"11479",0.0131574394463668
"11480",0.0189611281363656
"11481",0.0217153622249656
"11482",0.0404094139142883
"11484",0.145315651434547
"11486",0.263342498424562
"11487",0.00709973120473497
"11488",0.0119272119905232
"11489",0.0368882113223716
"11490",0.0101569828269966
"11491",0.0143114973035807
"11492",0.0494618740330733
"11496",0.00793558238767556
"11497",0.764119198417306
"11498",0.289173372323728
"11499",0.356368899286208
"11501",0.248794819470891
"11502",0.00980521807031691
"11504",0.019955036523768
"11512",0.0220982527625415
"11513",0.0271965284832701
"11514",0.0462662445023032
"11515",0.0110822962244768
"11516",0.2140059558796
"11517",0.0802302570545682
"11518",0.00645920184325548
"11519",0.0327550658425155
"11520",0.0643501120473222
"11522",1.28744840625898
"11529",0.618670964512582
"11532",0.0113452271070421
"11534",0.0115039862166184
"11535",0.232372322223429
"11536",0.20222831361672
"11538",0.168823474937096
"11539",0.009133998720061
"11540",0.176047728495281
"11541",0.129808025648712
"11542",0.237756983812581
"11544",0.0118202901113127
"11545",0.0148061204573052
"11546",0.0160682404284864
"11548",0.0992287815486339
"11549",0.0326097024393218
"11550",0.0188239619363981
"11551",0.103374117790302
"11553",0.0816378746269423
"11554",0.0285570710353128
"11555",0.156539671118517
"11556",0.415983979686852
"11564",0.0199408631772268
"11565",0.0855405249161753
"11566",0.0222333715972881
"11567",0.448985421549773
"11568",0.155104676768697
"11569",0.00938660604576824
"11593",0.056050918639191
"11595",0.124153469084595
"11596",0.442327685342612
"11600",0.0281787001464081
"11601",0.171553702723705
"11602",1.1483294632239
"11603",0.00852530573427504
"11604",0.329027353228309
"11605",0.0287379650010021
"11606",0.0334273540534228
"11607",0.167867505325604
"11609",0.254736510204082
"11610",0.0271990899372276
"11615",0.0165624007008817
"11622",0.0657041823686445
"11624",0.162603094993141
"11629",0.0664419192187126
"11630",0.215053254747494
"11632",0.00966720370692975
"11634",0.406912211629286
"11636",0.0091841340753183
"11637",0.0172179946122118
"11639",0.0317797249029046
"11640",0.0204706690886399
"11642",0.501436522456131
"11647",0.0867040215875176
"11651",0.00900420906814428
"11652",0.0234787685616197
"11655",0.0104703432318003
"11656",0.103175174382966
"11658",0.0351379846411707
"11666",0.0171241103815042
"11668",0.0309927049269932
"11669",0.0256310809805601
"11670",0.211672885157838
"11671",0.0133174603921495
"11674",0.00982281250653651
"11676",0.00931859556344025
"11677",0.0131225290662166
"11682",0.0638340072394192
"11684",0.314404837899676
"11686",0.206420180971574
"11687",0.050223257826437
"11688",0.0619469869386578
"11689",0.257279566791741
"11690",0.139010742565351
"11692",0.0272718413432242
"11694",0.885031721363489
"11695",0.325893417329385
"11702",0.00990527502245045
"11705",0.22513242001089
"11717",0.0169903545062572
"11722",0.0186875673619812
"11727",0.415449128177765
"11732",0.00705440032873577
"11733",0.0418347454463326
"11735",0.0272225138689144
"11736",0.0087577568703709
"11737",0.0135936777333146
"11739",0.0128862136215409
"11740",0.0190525749745237
"11744",0.028628999392873
"11745",0.0335631868640847
"11746",0.0736605770141009
"11747",0.0227614184567083
"11749",0.0135604725492934
"11750",0.0393329635427829
"11752",1.49382716049383
"11754",0.373414537905686
"11757",0.0130759676636651
"11758",0.0155313772704165
"11761",0.0427096383522649
"11764",0.00789927311204883
"11765",0.00713584135651464
"11766",0.0991358690815237
"11767",0.00856791611877679
"11768",0.616272524306457
"11769",0.0186099836989239
"11770",1.67824005727576
"11771",0.00771596847923679
"11772",0.00969779006179465
"11773",0.00844566725866403
"11774",0.0153977302999627
"11775",0.00823344007899393
"11776",0.00760663687184091
"11777",0.0410132010954658
"11778",0.00887229852287767
"11781",0.0200185175600527
"11782",0.014715839208565
"11783",0.0661892561983471
"11784",0.00872556268235576
"11785",0.0112640174439302
"11787",0.018887937385044
"11789",0.0109020482622957
"11790",0.012595559596339
"11792",0.0147120563510112
"11793",0.014263207161656
"11796",0.108283972253964
"11797",0.0105828604215107
"11798",0.0105516350780431
"11799",0.158264302838712
"11800",0.00777121636573023
"11803",0.00886026302406345
"11804",0.00757443069034474
"11806",1.39845435122382
"11807",0.227858334369571
"11810",0.154852766882357
"11811",0.383455341298448
"11812",0.608918701708528
"11814",0.727590485720939
"11815",0.141061727424864
"11816",0.0071034175770785
"11818",0.604970681472017
"11819",0.114574107532977
"11820",0.0131455844336979
"11821",0.0204198254058524
"11826",6.0999005668274
"11829",0.00782999679213082
"11831",0.750672911240357
"11832",0.79201260470212
"11834",0.0124440113919212
"11835",0.036253965533565
"11836",0.00815123437569958
"11837",0.00970008316726431
"11838",0.0261625238941944
"11840",0.0105883907483717
"11841",0.0161911336229731
"11842",0.00860700054125948
"11843",0.00992539436868648
"11844",0.0118413976158678
"11845",0.0157793514832109
"11846",2.1446543398362
