"","GSE179081_physical activity derived from voluntary running"
"11287",0.953907815631262
"11298",0.584629053753887
"11302",0.0951064418025988
"11303",0.121118545205009
"11304",0.829815809669992
"11305",0.0892758734707373
"11306",0.104511755983902
"11307",0.104184906321135
"11308",0.100353495679497
"11350",0.114974686917133
"11352",0.089925462851647
"11363",0.153728070175439
"11364",0.108164111065064
"11370",0.147876447876448
"11409",0.212355776252373
"11416",0.141071533360718
"11418",0.12439115773698
"11419",0.152293577981651
"11421",0.74031514875704
"11423",0.149677166894932
"11426",0.0846726773814191
"11428",0.0997914804885314
"11429",0.0820547031354236
"11430",0.0840840840840841
"11431",0.111881684491979
"11432",0.0935770988693769
"11433",1.38658777120316
"11434",0.350340136054422
"11435",0.323526690720696
"11438",0.123212843775234
"11441",0.117400419287212
"11443",0.30970406056435
"11444",0.0966921119592875
"11448",1.1704836709384
"11459",0.275489942156609
"11461",0.0904222451081359
"11465",0.104188733750602
"11470",1.1084142394822
"11472",0.11238607664434
"11474",0.425148307549145
"11475",0.412001340931948
"11477",0.0890130090497738
"11479",0.114705882352941
"11480",0.137699412258606
"11481",0.147361332190523
"11482",0.201020929045431
"11484",0.381202900611403
"11486",0.513169073916737
"11487",0.0842599027102154
"11488",0.109211775878443
"11489",0.192063039969619
"11490",0.100781857628229
"11491",0.119630670413489
"11492",0.222400256369172
"11496",0.0890818858560794
"11497",0.8741391184573
"11498",0.537748428471649
"11499",0.596966413867822
"11501",0.498793363499246
"11502",0.09902130109384
"11504",0.141262296893998
"11512",0.148654810761514
"11513",0.164913700107875
"11514",0.215095896061044
"11515",0.105272485600354
"11516",0.462607777582263
"11517",0.283249460819554
"11518",0.080369159776966
"11519",0.180983606557377
"11520",0.253673238729122
"11522",1.13465783664459
"11529",0.786556396269576
"11532",0.106513976111316
"11534",0.107256637168142
"11535",0.482050124181531
"11536",0.449698024919745
"11538",0.410881339241753
"11539",0.0955719557195572
"11540",0.41958041958042
"11541",0.36028880866426
"11542",0.487603305785124
"11544",0.10872115760657
"11545",0.121680402930403
"11546",0.126760563380282
"11548",0.31500600240096
"11549",0.180581567274519
"11550",0.137200444373909
"11551",0.321518456375839
"11553",0.285723423308175
"11554",0.168988375444327
"11555",0.395650946060435
"11556",0.644968200523756
"11564",0.141212121212121
"11565",0.29247311827957
"11566",0.149108589951378
"11567",0.670063744392854
"11568",0.393833310892689
"11569",0.0968844984802432
"11593",0.236750752140708
"11595",0.352354181307098
"11596",0.665077202543143
"11600",0.167865124866388
"11601",0.414190418435415
"11602",1.07160135462022
"11603",0.0923325821921766
"11604",0.573609059576563
"11605",0.169522756587433
"11606",0.182831490869114
"11607",0.409716371805673
"11609",0.504714285714286
"11610",0.164921465968586
"11615",0.12869499097044
"11622",0.25632827071676
"11624",0.403240740740741
"11629",0.257763300760043
"11630",0.463738347290251
"11632",0.0983219390926041
"11634",0.637896709216536
"11636",0.0958338879275922
"11637",0.131217356368019
"11639",0.178268687387619
"11640",0.143075745983168
"11642",0.708121827411167
"11647",0.294455466221155
"11651",0.0948905109489051
"11652",0.153227832202964
"11655",0.102324695121951
"11656",0.321208926374978
"11658",0.187451286048324
"11666",0.130859124181328
"11668",0.176047450782433
"11669",0.160097098601318
"11670",0.460079216176777
"11671",0.115401301518438
"11674",0.0991101029488745
"11676",0.0965328729679183
"11677",0.11455360782715
"11682",0.252653927813163
"11684",0.560718144792619
"11686",0.454334877564527
"11687",0.224105461393597
"11688",0.248891516405557
"11689",0.507227332457293
"11690",0.372841444270016
"11692",0.165141882462397
"11694",0.94076124567474
"11695",0.57087075361187
"11702",0.0995252481657315
"11705",0.474481211441391
"11717",0.130347054075868
"11722",0.136702477526858
"11727",0.644553433144037
"11732",0.0839904776074989
"11733",0.204535438118514
"11735",0.164992466097438
"11736",0.0935828877005348
"11737",0.116591928251121
"11739",0.113517459544957
"11740",0.138031065251717
"11744",0.169201062032344
"11745",0.183202584217813
"11746",0.271404821280133
"11747",0.15086887835703
"11749",0.116449442030837
"11750",0.198325398128386
"11752",1.22222222222222
"11754",0.611076540136901
"11757",0.114350197479782
"11758",0.124624946420917
"11761",0.20666310350971
"11764",0.0888778550148957
"11765",0.0844739093242087
"11766",0.314858490566038
"11767",0.0925630386211299
"11768",0.785030269675289
"11769",0.136418414075681
"11770",1.29546904913848
"11771",0.087840585603904
"11772",0.0984773581174609
"11773",0.0919003115264798
"11774",0.124087591240876
"11775",0.090738305466842
"11776",0.0872160356347439
"11777",0.202517162471396
"11778",0.094192879363982
"11781",0.141486810551559
"11782",0.121308858739026
"11783",0.257272727272727
"11784",0.0934107203823831
"11785",0.106132075471698
"11787",0.137433392539964
"11789",0.104412874025647
"11790",0.112229940730355
"11792",0.121293265893087
"11793",0.11942866976424
"11796",0.329065300896287
"11797",0.102873030583874
"11798",0.102721152047877
"11799",0.39782446234327
"11800",0.0881545028102946
"11803",0.0941289701636189
"11804",0.0870312052676782
"11806",1.18256262042389
"11807",0.477345089395053
"11810",0.393513363028953
"11811",0.619237709848526
"11812",0.780332430255547
"11814",0.852989147481337
"11815",0.375581851831081
"11816",0.0842817748809225
"11818",0.777798612413276
"11819",0.338487972508591
"11820",0.114654195011338
"11821",0.142897954519483
"11826",2.46979767730626
"11829",0.0884872690963555
"11831",0.866413822166035
"11832",0.889950900163666
"11834",0.111552729199788
"11835",0.190404741363142
"11836",0.0902841867421952
"11837",0.0984890002348704
"11838",0.161748335058493
"11840",0.10289990645463
"11841",0.127244385428093
"11842",0.0927739216658404
"11843",0.0996262734858957
"11844",0.108818186053012
"11845",0.12561588865749
"11846",1.464463840399
"11847",0.626462836056932
"11848",0.0853080568720379
"11852",0.0920667826602007
"11853",0.228331367924528
"11854",0.854997885238968
"11855",0.106033559443056
"11856",0.382568359375
"11857",0.190746649649011
"11858",0.173500150738619
"11861",0.164843414843415
"11863",0.12880496054115
"11864",0.0989505247376312
"11865",0.177721328441058
"11867",0.227218769638992
"11870",1.00975081256771
"11876",0.599654803977973
"11877",0.114727272727273
"11878",0.175240087477417
"11881",0.115662445823064
"11883",0.132370932224125
"11886",0.104441776710684
"11889",0.529726077877411
"11891",0.170517051705171
"11898",0.161256681006388
"11899",0.102847282139776
"11905",0.84348641049672
"11906",0.235869274042325
"11907",0.114374524232428
"11908",0.144578313253012
"11909",0.0973684210526316
"11910",0.502123142250531
"11911",0.145584725536993
"11920",0.102710753649091
"11922",0.348234189839259
"11923",0.468731563421829
"11924",0.559403770276195
"11927",0.237817776953053
"11928",0.149206643778417
"11931",0.112338687215672
"11932",0.0941115968115197
"11933",0.177906137184116
"11936",0.347724230254351
"11937",0.594045801526717
"11938",0.0917665553153861
"11941",0.123796423658872
"11944",0.553200786541403
"11946",0.0997304582210243
"11947",0.107093459790555
"11949",0.129152148664344
"11950",0.121036481418343
"11951",0.132249322493225
"11957",0.163136750763297
"11958",0.198829109233734
"11964",0.0846938775510204
"11966",0.113733557083311
"11972",0.111374407582938
"11973",0.11731756651626
"11974",0.232093452197971
"11975",0.0843776906151344
"11977",0.20140915953699
"11979",0.245481294661623
"11980",0.101017186951947
"11981",0.0900205761316872
"11982",0.237582750841377
"11983",0.111731363792511
"11984",0.0982519590114527
"11987",0.127566431729633
"11988",0.161872726024576
"11989",0.318015453436356
"11990",0.0852941176470588
"11991",0.105120167189133
"11992",0.126921917395237
"11993",0.0987261146496815
"11994",0.155255747488757
"11998",1.12326807228916
"12000",0.690178571428571
"12005",0.129115226337449
"12006",0.171991516727099
"12009",0.157478165938865
"12010",0.130753296620017
"12012",0.556813417190776
"12013",0.152891136912289
"12014",0.155342080599813
"12015",0.189418941894189
"12017",0.108132112128782
"12018",0.159671746776084
"12021",0.528767123287671
"12023",0.677291821102051
"12028",0.201417601890136
"12029",0.48622618061309
"12032",0.0965486582605884
"12033",0.129370055477136
"12034",0.0974820974820975
"12035",0.163978494623656
"12036",0.197153240460327
"12038",0.253560239248077
"12039",0.126760563380282
