"","GSE179081_physical activity derived from voluntary running"
"12054",-0.363
"12055",-0.805
"12057",-0.2969
"12062",-2.1138
"12064",2.3456
"12068",2.5929
"12069",1.0887
"12070",0.2289
"12075",-1.299
"12091",0.4852
"12111",-3.1876
"12121",-0.1787
"12122",1.5727
"12123",-0.9649
"12125",-1.3063
"12140",2.7831
"12142",-0.1769
"12144",-0.5875
"12151",0.7099
"12153",-1.5474
"12156",-0.5214
"12159",0.1946
"12160",0.298
"12161",0.9615
"12162",0.2417
"12163",0.0806
"12164",1.1925
"12166",0.4003
"12167",-0.6383
"12168",-0.0025
"12169",-1.1092
"12175",0.0816
"12176",0.1936
"12177",1.0599
"12180",-0.0659
"12181",-0.1547
"12182",0.8174
"12183",0.799
"12189",-0.0222
"12190",-1.0796
"12192",-0.396
"12193",-1.0547
"12209",0.3723
"12211",-1.3493
"12212",1.6857
"12215",1.4492
"12217",-2.5291
"12223",-1.7481
"12224",-3.3503
"12226",0.7709
"12227",-0.5754
"12228",-1.2795
"12229",0.2111
"12234",0.7896
"12235",0.3844
"12236",-1.3328
"12237",0.3714
"12238",0.8878
"12257",2.4933
"12258",-2.4265
"12259",-1.507
"12260",-1.8879
"12261",1.3607
"12262",-0.7929
"12263",0.6142
"12265",-3.1682
"12266",-0.7313
"12267",-0.5876
"12268",-3.543
"12269",0.4748
"12270",-1.0129
"12273",0.9756
"12282",0.2005
"12283",0.7619
"12286",-1.3542
"12287",-1.4636
"12288",0.1777
"12289",-0.7475
"12290",-0.2756
"12291",0.4316
"12292",0.1483
"12293",0.1737
"12294",-0.591
"12295",-2.1047
"12296",-1.266
"12297",0.0024
"12298",-0.1759
"12300",0.5284
"12301",0.783
"12304",0.6793
"12305",0.7325
"12306",-0.7305
"12307",1.2776
"12308",0.5422
"12310",-1.2152
"12314",1.8493
"12315",0.3558
"12316",0.0045
"12317",0.2266
"12319",-0.3602
"12321",1.2949
"12323",0.0244
"12325",0.3456
"12326",-0.8852
"12328",0.1684
"12330",2.0577
"12331",-0.1719
"12332",1.125
"12333",-0.7461
"12334",-1.7405
"12335",-0.2306
"12336",0.7842
"12337",-1.3938
"12338",0.314
"12339",-0.3808
"12340",1.3436
"12343",1.599
"12345",-0.168
"12348",-3.2102
"12349",-0.3028
"12350",0.5487
"12351",-2.2579
"12352",-0.8245
"12354",-0.7191
"12355",1.6955
"12359",1.0817
"12361",0.4454
"12362",-1.3826
"12363",1.9956
"12364",-0.503
"12366",0.5317
"12367",-0.0449
"12368",-0.3776
"12369",0.0364
"12370",1.6727
"12371",1.0247
"12372",1.305
"12373",-1.1399
"12374",-0.9655
"12380",-0.492
"12385",0.8194
"12386",-0.0212
"12387",2.1827
"12388",0.0758
"12389",-1.9985
"12390",0.7931
"12391",-1.034
"12393",-1.3724
"12394",1.0601
"12395",-1.0325
"12396",-0.5157
"12398",-0.1984
"12400",-0.1299
"12402",-1.5983
"12404",-0.0019
"12405",1.0876
"12406",2.5536
"12408",0.9385
"12409",-0.4843
"12411",0.0472
"12412",2.9773
"12416",0.3064
"12417",2.6165
"12418",-0.355
"12419",1.4467
"12421",-0.6611
"12424",0.7528
"12426",-0.2561
"12427",-1.1277
"12428",-1.1292
"12442",0.5612
"12443",-1.3239
"12444",-1.4243
"12445",0.9315
"12447",0.824
"12448",-0.5349
"12449",0.054
"12450",0.636
"12452",1.9606
"12453",1.6906
"12454",-0.7198
"12455",-0.6612
"12457",-0.1261
"12460",-0.2045
"12461",0.9567
"12462",0.9246
"12464",3.4303
"12465",0.7212
"12466",1.6223
"12467",2.2868
"12468",3.0587
"12469",2.568
"12475",-1.1915
"12476",-0.3923
"12479",0.8308
"12483",0.8881
"12484",1.3754
"12488",-1.0392
"12489",-1.0006
"12490",-2.7678
"12491",0.837
"12492",1.7975
"12493",1.0289
"12494",-0.2015
"12495",-1.5616
"12496",-0.909
"12497",-0.687
"12499",-1.0526
"12503",-0.3558
"12504",1.0211
"12505",-0.5641
"12506",-0.0133
"12507",0.1628
"12508",1.496
"12509",1.057
"12511",1.5951
"12512",1.106
"12514",0.2842
"12517",0.2779
"12518",1.0731
"12519",0.9075
"12520",0.2791
"12521",1.0431
"12522",0.5262
"12523",0.6828
"12524",-0.5848
"12525",1.0622
"12527",1.8161
"12530",-0.7218
"12531",-1.524
"12532",-0.0716
"12534",0.0256
"12537",-1.0685
"12539",0.3743
"12540",0.7279
"12544",-0.7747
"12545",-1.2667
"12549",-3.5354
"12550",-1.9577
"12552",-0.3397
"12554",-1.4357
"12555",-0.3557
"12558",-0.5942
"12560",1.546
"12561",-0.2789
"12562",-3.2864
"12563",-2.8227
"12564",0.9871
"12565",1.6446
"12566",0.8903
"12567",0.25
"12568",0.4753
"12569",2.2492
"12570",0.2163
"12571",-0.7573
"12572",0.6112
"12575",1.0222
"12576",0.6508
"12577",1.0443
"12579",-0.11
"12580",1.0608
"12581",1.633
"12583",1.5064
"12585",1.2203
"12587",0.7083
"12589",0.9104
"12593",1.1899
"12606",2.1887
"12607",-0.173
"12608",2.5731
"12609",2.8751
"12611",-0.0979
"12614",-1.1902
"12615",-1.3728
"12616",1.6962
"12617",-0.6275
"12626",0.5422
"12627",-1.9715
"12628",-0.9096
"12631",0.0271
"12632",2.03
"12633",-0.189
"12638",0.3494
"12642",-1.3615
"12643",-0.7681
"12648",-1.5878
"12649",1.063
"12651",-0.3526
"12652",-0.5073
"12653",-0.4062
"12654",0.8639
"12655",0.0979
"12659",-2.7614
"12660",-1.3611
"12661",0.3084
"12662",-0.9807
"12663",-0.0358
"12667",-0.8663
"12669",-1.1801
"12671",-1.7252
"12672",-1.4964
"12675",1.3244
"12677",-1.5047
"12683",-0.288
"12684",-1.778
"12695",1.3839
"12696",-0.0841
"12700",1.4787
"12702",-0.6813
"12703",-0.8063
"12704",-4.3275
"12705",-0.6797
"12709",0.7986
"12716",-0.3659
"12721",2.604
"12722",-0.3942
"12723",-2.4277
"12724",-1.0801
"12725",0.7759
"12727",0.5256
"12728",-0.2338
"12729",2.0988
"12737",1.128
"12738",1.018
"12739",1.8859
"12741",-0.4495
"12745",-0.2882
"12747",-1.7036
"12748",-1.003
"12750",-1.3324
"12751",-0.4604
"12752",-1.0079
"12753",0.2907
"12757",1.6005
"12759",-0.8816
"12763",0.8273
"12764",1.1312
"12767",-0.0646
"12768",-0.4564
"12769",0.4893
"12772",1.3857
"12774",-0.2155
"12777",-0.088
"12778",-2.0127
"12780",0.07
"12785",2.767
"12789",-0.9907
"12790",0.1098
"12793",1.1285
"12794",-0.2443
"12795",-0.3386
"12797",0.333
"12798",-1.313
"12799",-0.0035
"12801",-0.504
"12802",-0.4885
"12803",0.765
"12804",-2.6713
"12805",1.1004
"12807",-0.2514
"12808",0.6378
"12810",0.2945
"12812",-0.0018
"12813",-0.444
"12814",-2.1069
"12815",-2.9159
"12816",-1.2559
"12817",-0.1134
"12818",0.144
"12819",-2.7737
"12821",1.4104
"12822",1.8993
"12823",-2.2641
"12824",-0.6265
"12825",-1.361
"12826",-3.338
"12827",-4.089
"12828",0.7334
"12829",1.5515
"12830",-0.0143
"12831",-1.5336
"12832",-1.4525
"12833",-1.2907
"12834",-1.2729
"12835",-0.5701
"12836",-0.3923
"12837",1.0336
"12839",-0.4479
"12840",0.1598
"12841",2.0876
"12842",-0.7032
"12843",-0.5804
"12845",0.2618
"12846",0.6889
"12847",1.3275
"12848",0.795
"12850",-0.228
"12854",0.3649
"12856",0.6232
"12857",2.4407
"12858",3.0631
"12859",2.2703
"12861",1.3775
"12862",-0.8763
"12864",2.3314
"12865",0.1428
"12866",2.5916
"12867",0.8027
"12868",0.9076
"12870",-1.3851
"12874",0.2528
"12876",0.6903
"12877",-2.2335
"12879",-0.9882
"12889",-1.0387
"12891",-1.7508
"12892",-0.0464
"12894",0.9904
"12895",-1.5804
"12896",1.2346
"12902",1.3589
"12903",-1.9204
"12904",0.0958
"12905",0.518
"12908",-1.3289
"12909",-0.3064
"12912",0.4782
"12913",0.7697
"12914",-0.9489
"12915",0.1004
"12916",1.0085
"12918",0.2307
"12919",-1.955
"12921",-2.0304
"12922",1.8783
"12925",0.4477
"12927",-0.0316
"12928",2.3263
"12929",-0.368
"12931",0.31
"12933",-0.2157
"12934",2.2753
"12936",-0.7674
"12937",-0.1661
"12939",1.6566
"12941",0.0967
"12942",-0.3304
"12943",0.0071
"12946",-0.5777
"12950",-2.2805
"12952",-0.7482
"12953",-0.8254
"12954",-1.3029
"12955",-0.4915
"12959",0.4006
"12960",0.4828
"12962",-2.1808
"12964",0.0951
"12970",-2.0393
"12971",-0.1868
"12972",1.9417
"12974",0.498
"12977",-1.1604
"12978",-1.1611
"12982",-2.2079
"12983",-0.5152
"12984",-1.8477
"12985",-1.1256
"12986",-1.6604
"12988",-0.1573
"12995",1.3853
"13000",0.1865
"13001",-1.6955
"13002",1.1809
"13003",-2.9309
"13004",0.4736
"13006",-0.2526
"13007",-1.7725
"13008",1.3496
"13010",0.331
"13011",1.0946
"13014",0.9375
"13016",1.7581
"13017",-0.0874
"13018",-0.8134
"13019",0.6919
"13024",-0.1024
"13025",-0.9609
"13026",0.0893
"13030",0.6601
"13032",-0.4708
"13033",0.9505
"13036",-1.8219
"13038",-2.1057
"13039",1.6558
"13040",-1.3376
"13041",0.7236
"13043",0.473
"13046",0.5918
"13047",0.8078
"13048",-1.079
"13051",-0.1621
"13052",-0.1643
"13056",1.3273
"13057",-0.7282
"13058",-0.119
"13063",1.0413
"13070",0.9812
"13074",-0.2763
"13075",-0.4826
"13076",-0.4751
"13078",1.7801
"13079",1.0147
"13081",0.2322
"13082",0.3049
"13087",1.0687
"13106",-1.2838
"13110",-0.9974
"13113",-0.208
"13115",0.0708
"13116",0.37
"13120",-0.5603
"13121",0.7026
"13123",0.8282
"13131",-1.1469
"13132",0.3463
"13134",-0.0097
"13135",-0.0051
"13136",0.3722
"13137",-1.0652
"13138",-1.6822
"13139",0.3417
"13142",0.4443
"13143",-0.61
"13144",-0.6881
"13162",-0.2146
"13163",-0.9081
"13164",1.0524
"13166",0.1316
"13167",1.336
"13168",-0.2098
"13169",-0.2609
"13170",-0.2332
"13171",1.0768
"13175",1.3494
"13176",-1.6224
"13177",0.4157
