"","GSE111215_enriched environment"
"11287",0.116
"11298",-0.3741
"11302",-0.0549
"11303",0.0061
"11304",-0.578
"11305",-0.0767
"11306",0.0833
"11307",-0.042
"11308",0.0607
"11350",-0.0052
"11352",-0.0059
"11363",-0.0419
"11364",0.0021
"11370",-0.0475
"11409",0.0273
"11416",-0.0074
"11418",-0.0033
"11419",-0.0617
"11421",-0.5417
"11423",0.0069
"11425",-0.8013
"11426",-0.074
"11428",-0.0212
"11429",-0.0021
"11430",-0.0139
"11431",0.0541
"11432",-0.005
"11433",-0.6264
"11434",0.1898
"11435",0.0546
"11438",-0.1631
"11440",0.6107
"11441",0.1526
"11443",0.0123
"11444",-0.0478
"11447",0.2182
"11448",0.1676
"11449",-0.0146
"11450",0.6809
"11451",0.1156
"11459",0.1847
"11461",0.0499
"11464",-0.9935
"11465",0.0198
"11468",-0.6805
"11470",0.0542
"11471",0.4048
"11472",0.1683
"11474",0.0213
"11475",-0.1833
"11477",5e-04
"11479",-0.1066
"11480",0.0425
"11481",-0.0619
"11482",-4e-04
"11484",0.0298
"11486",-0.3338
"11487",0.0319
"11488",-0.0975
"11489",-0.0899
"11490",-0.0648
"11491",-0.0508
"11492",-0.0323
"11495",0.6476
"11496",0.0091
"11497",0.9791
"11498",-0.347
"11499",-8e-04
"11500",1.0713
"11501",-0.1485
"11502",0.0542
"11504",0.0889
"11512",-0.042
"11513",0.0021
"11514",-0.0687
"11515",-0.0119
"11516",0.2722
"11517",-0.0821
"11518",-0.0399
"11519",0.0307
"11520",0.0045
"11522",-0.4801
"11529",0.6237
"11532",0.0698
"11534",0.098
"11535",-0.3697
"11536",-0.3283
"11538",0.0648
"11539",-0.0561
"11540",-0.2379
"11541",-0.0148
"11542",0.0454
"11544",-0.0047
"11545",0.0492
"11546",0.0427
"11548",0.028
"11549",0.1174
"11550",-0.0245
"11551",-0.1269
"11552",-0.5786
"11553",-0.107
"11554",0.0794
"11555",-0.1107
"11556",0.2985
"11564",0.0248
"11565",-0.018
"11566",0.0732
"11567",-0.3932
"11568",-0.2556
"11569",-0.0397
"11571",-0.2595
"11572",-0.1564
"11576",0.469
"11593",-0.0742
"11595",0.138
"11596",-0.3092
"11600",0.0024
"11601",-0.309
"11602",0.8307
"11603",-0.0678
"11604",0.2844
"11605",0.0612
"11606",-0.0311
"11607",0.2306
"11608",-0.3953
"11609",0.1068
"11610",-0.0455
"11611",0.3642
"11614",-0.2336
"11615",0.1297
"11622",0.0709
"11624",0.0994
"11625",-0.4217
"11628",-0.0022
"11629",0.2197
"11630",0.0554
"11632",0.0397
"11634",-0.8705
"11636",0.0216
"11637",-0.0343
"11639",-0.1038
"11640",-0.0053
"11642",0.0358
"11647",-0.1501
"11648",0.1767
"11651",-0.0497
"11652",-0.0524
"11655",0.0104
"11656",-0.335
"11657",-0.1453
"11658",-0.0751
"11666",-0.0819
"11668",0.1402
"11669",-0.0907
"11670",-0.2681
"11671",0.012
"11674",0.0122
"11676",0.0923
"11677",0.0877
"11682",-0.1188
"11684",0.066
"11685",-1.27
"11686",-0.2021
"11687",-0.0656
"11688",-0.0485
"11689",0.1215
"11690",-0.1142
"11692",0.0357
"11694",-0.8203
"11695",-0.6335
"11698",0.0177
"11699",-0.0182
"11702",-0.0283
"11704",0.5117
"11705",-0.0265
"11717",-0.0565
"11720",-0.3845
"11722",-0.1104
"11727",-0.0745
"11731",0.2945
"11732",0.017
"11733",0.0264
"11735",0.0217
"11736",0.0352
"11737",0.0503
"11739",0.0715
"11740",0.0229
"11744",0.0558
"11745",-0.0204
"11746",0.027
"11747",0.0104
"11749",0.0425
"11750",0.01
"11752",0.4306
"11754",-0.5993
"11757",0.0579
"11758",0.0848
"11761",-0.0263
"11764",-0.0486
"11765",0.0197
"11766",-0.1502
"11767",-0.0047
"11768",-0.0469
"11769",0.0605
"11770",-0.2911
"11771",-0.044
"11772",0.0149
"11773",-0.0151
"11774",0.0651
"11775",-0.0547
"11776",-0.0576
"11777",0.0041
"11778",-0.0025
"11781",0.0876
"11782",0.0609
"11783",-0.0603
"11784",-0.0102
"11785",-0.0633
"11787",0.0695
"11789",0.0197
"11790",-0.1029
"11792",0.1104
"11793",0.0272
"11796",0.0369
"11797",-0.0234
"11798",0.0438
"11799",0.3596
"11800",0.0516
"11801",0.1063
"11803",-0.0343
"11804",-0.0335
"11806",-0.1148
"11807",0.2514
"11808",0.6937
"11810",0.021
"11811",-0.07
"11812",-0.4475
"11813",-0.3636
"11814",-0.336
"11815",-0.1304
"11816",-0.0882
"11818",-0.2126
"11819",0.2379
"11820",-0.0459
"11821",0.0757
"11826",-0.46
"11827",0.3583
"11828",-0.4887
"11829",-0.0083
"11830",1.3878
"11831",1.3946
"11832",-1.8702
"11833",-0.3798
"11834",0.0075
"11835",0.0045
"11836",-0.0032
"11837",0.0633
"11838",-0.2211
"11839",-0.3025
"11840",-0.012
"11841",0.0536
"11842",-0.0016
"11843",0.0427
"11844",0.0558
"11845",0.009
"11846",0.3591
"11847",0.1848
"11848",-0.0043
"11852",-0.0261
"11853",-0.0111
"11854",-0.3471
"11855",0.1014
"11856",-0.0214
"11857",0.1405
"11858",0.0481
"11859",-0.0064
"11861",-0.048
"11863",-0.0566
"11864",0.0011
"11865",-0.0275
"11867",-0.0097
"11870",-0.0726
"11871",0.0139
"11872",0.3212
"11875",-0.382
"11876",0.3538
"11877",-0.0892
"11878",-0.0872
"11881",-0.0389
"11883",-0.0876
"11886",-0.0209
"11889",-0.2823
"11890",-0.1041
"11891",0.1438
"11898",-0.0099
"11899",-0.0527
"11905",0.3993
"11906",-0.0164
"11907",0.0422
"11908",-0.0798
"11909",0.0675
"11910",0.2829
"11911",-0.0223
"11920",0.0346
"11922",0.0388
"11923",0.9783
"11924",-0.3083
"11925",-0.7546
"11927",0.0688
"11928",-0.0409
"11931",0.0649
"11932",-0.043
"11933",-0.0594
"11936",0.029
"11937",0.2556
"11938",-0.0042
"11941",0.0023
"11944",0.0909
"11945",0.0185
"11946",0.0105
"11947",0.0148
"11949",0.0604
"11950",0.0912
"11951",0.0178
"11957",0.0531
"11958",0.103
"11964",0.0895
"11966",0.0094
"11972",-0.0114
"11973",0.0234
"11974",-0.114
"11975",-0.0159
"11977",-0.1907
"11979",0.0135
"11980",0.0048
"11981",-0.0637
"11982",-0.0605
"11983",0.091
"11984",0.0015
"11987",-0.0877
"11988",-0.0634
"11989",0.0927
"11990",-0.0331
"11991",0.0218
"11992",0.0551
"11993",-0.0297
"11994",0.0239
"11997",-0.7934
"11998",0.7307
"12000",-0.2192
"12005",-0.079
"12006",0.0229
"12007",0.1764
"12009",-0.1243
"12010",0.1598
"12012",-0.2005
"12013",0.0757
"12014",0.0245
"12015",-0.0314
"12017",0.0545
"12018",-0.0075
"12020",-0.2549
"12021",-0.0656
"12022",0.1617
"12023",-0.1367
"12028",-0.0729
"12029",0.0212
"12032",-0.1668
"12033",0.0501
"12034",0.0141
"12035",0.0508
"12036",-0.027
"12038",-0.015
"12039",-0.0264
"12040",0.0604
"12041",0.0439
"12042",0.0046
"12043",0.0069
"12044",-0.5907
"12045",0.572
"12046",0.2362
"12047",1.1515
"12048",-0.0155
"12050",-0.0358
"12051",0.0299
"12053",-0.1608
"12054",0.0047
"12055",0.0348
"12057",1.3065
"12061",-0.3144
"12062",-0.2423
"12064",0.2654
"12068",0.0871
"12069",0.0275
"12070",0.038
"12075",0.0832
"12091",-0.0362
"12095",-1.4378
"12096",-0.7312
"12097",0.4947
"12111",-0.0408
"12116",-0.8084
"12121",0.0739
"12122",-0.1304
"12123",-0.2449
"12124",0.0637
"12125",-0.0566
"12140",-0.0963
"12142",0.018
"12143",-0.5041
"12144",0.0885
"12145",0.169
"12151",0.0493
"12153",-0.0257
"12155",-0.7488
"12156",-0.2509
"12159",-0.5175
"12160",-0.288
"12161",-0.3127
"12162",-0.3201
"12163",-0.6077
"12164",0.3223
"12165",1.272
"12166",0.0634
"12167",-0.1357
"12168",0.0492
"12169",-0.5783
"12173",-0.081
"12175",0.038
"12176",0.0591
"12177",0.0729
"12180",-0.0318
"12181",0.004
"12182",0.0705
"12183",0.0976
"12189",0.1167
"12190",0.0609
"12192",0.0326
"12193",0.1509
"12209",0.8116
"12211",-0.0158
"12212",0.0523
"12215",-0.1266
"12217",0.0051
"12223",0.0218
"12224",-0.171
"12226",0.0436
"12227",0.1703
"12228",0.037
"12229",0.1862
"12231",0.9057
"12234",-0.0511
"12235",0.3034
"12236",-0.1445
"12237",0.0278
"12238",0.0671
"12257",0.0631
"12258",-0.1838
"12259",0.0966
"12260",0.1879
"12261",0.064
"12262",0.1657
"12263",-0.0365
"12265",-0.0912
"12266",0.4516
"12267",0.2499
"12268",-0.1231
"12269",0.3079
"12270",-0.4938
"12273",0.2308
"12274",-0.3635
"12279",-0.1098
"12282",-0.0164
"12283",0.024
"12286",-0.0808
"12287",-0.0625
"12288",0.0662
"12289",0.0428
"12290",-0.0367
"12291",-0.0818
"12292",0.0103
"12293",0.0496
"12294",-0.0309
"12295",-0.1035
"12296",0.0511
"12297",-0.1243
"12298",0.0643
"12299",0.726
"12300",-0.0115
"12301",0.0773
"12304",-0.0243
"12305",-0.03
"12306",-0.1141
"12307",-0.0571
"12308",0.3198
"12309",0.0028
"12310",0.0224
"12311",-0.8542
"12313",0.0098
"12314",0.074
"12315",0.0212
"12316",-0.1453
"12317",-0.0473
"12319",0.0635
"12321",-0.025
"12323",0.0154
"12325",0.0065
"12326",0.0127
"12328",0.0752
"12330",-0.0159
"12331",0.0307
"12332",0.1211
"12333",0.041
"12334",-0.0334
"12335",0.1207
"12336",0.0446
"12337",-0.058
"12338",-0.0089
"12339",0.0175
"12340",0.0211
"12343",0.0784
"12344",0.1688
"12345",0.0463
"12346",1.1213
"12348",-0.1419
"12349",-0.0468
"12350",0.6621
"12351",0.0226
"12352",0.0089
"12353",0.2046
"12354",0.0909
"12355",-0.0648
"12359",-0.0227
"12361",0.0418
"12362",0.1238
"12363",0.6347
"12364",0.099
"12366",-0.0273
"12367",0.098
"12368",-0.0771
"12369",0.1077
"12370",0.0571
"12371",-0.0112
"12372",0.3271
"12373",-0.17
"12374",3e-04
"12380",-0.0224
"12385",-0.093
"12386",-0.0327
"12387",-0.0311
"12388",-0.0444
"12389",-0.0588
"12390",0.0668
"12391",-0.115
"12393",-0.0694
"12394",-0.0121
"12395",-0.1053
"12396",-0.0157
"12398",-0.1826
"12399",-0.8174
"12400",0.1362
"12401",-0.1295
"12402",-0.0403
"12404",-0.0891
"12405",0.1118
"12406",-0.1956
"12408",0.0337
"12409",-0.0699
"12411",0.0412
"12412",-0.0492
"12416",0.034
"12417",0.0392
"12418",0.0034
"12419",0.0028
"12421",0.0361
"12424",-0.1004
"12425",-0.4691
"12426",-0.0546
"12427",-0.2278
"12428",-0.078
"12442",-0.2027
"12443",0.0759
"12444",-0.1138
"12445",-0.0663
"12447",0.0796
"12448",-0.014
"12449",-0.0052
"12450",0.0589
"12452",-0.015
"12453",0.0244
"12454",-0.0634
"12455",-0.0561
"12457",0.0231
"12458",0.6854
"12460",0.0195
"12461",0.0042
"12462",0.0369
"12464",0.077
"12465",0.018
"12466",0.0406
"12467",-0.6985
"12468",-4e-04
"12469",0.0213
"12475",0.0565
"12476",-0.0884
"12477",-1.0668
"12478",0.0765
"12479",0.1428
"12480",0.4871
"12481",0.3384
"12482",-1.1976
"12483",0.0554
"12484",0.195
"12487",1.0233
"12488",0.0029
"12489",0.0866
"12490",-0.0104
"12491",0.1398
"12492",-0.0295
"12493",-0.0275
"12494",-0.1223
"12495",0.0899
"12496",0.0562
"12497",-0.0464
"12499",-0.0504
"12500",0.987
"12501",0.2185
"12502",1.637
"12503",-0.4048
"12504",-0.016
"12505",0.0101
"12506",0.1456
"12507",-0.0637
"12508",0.1376
"12509",-0.3361
"12511",0.6765
"12512",0.0054
"12514",0.1183
"12515",0.5075
"12516",0.1293
"12517",0.4809
"12518",-0.4836
"12519",-0.0324
"12520",-0.0376
"12521",-0.0958
"12522",-0.0491
"12523",0.1817
"12524",0.1949
"12525",0.3261
"12526",-0.6335
"12527",0.0297
"12530",0.0645
"12531",-0.1929
"12532",0.2196
"12534",-0.214
"12537",-0.0375
"12539",-0.0346
"12540",0.0457
"12544",-0.0515
"12545",-0.0907
"12549",0.0035
"12550",-1.275
"12552",0.0042
"12554",0.0198
"12555",0.1057
"12556",0.8834
"12557",-0.0105
"12558",0.0101
"12560",-0.7249
"12561",0.0661
"12562",-0.176
"12563",0.1975
"12564",0.021
"12565",0.2344
"12566",-0.0818
"12567",-0.0017
"12568",-0.0033
"12569",-0.0265
"12570",-0.0387
"12571",0.2321
"12572",0.0703
"12575",-0.4443
"12576",0.0074
"12577",-0.3224
"12578",0.2062
"12579",0.0517
"12580",0.1221
"12581",0.0284
"12583",0.1577
"12585",-0.1709
"12587",-0.0354
"12589",0.0229
"12590",0.1071
"12593",0.0228
"12606",-0.0764
"12607",0.0401
"12608",0.0767
"12609",0.2445
"12611",0.0168
"12613",-0.1721
"12614",-0.0476
"12615",0.0027
"12616",-0.0259
"12617",0.0354
"12622",0.0925
"12623",0.3201
"12626",-0.0105
"12627",-1.7559
"12628",-0.2174
"12630",-0.1942
"12631",0.0154
"12632",0.1154
"12633",-0.0262
"12638",-0.3522
"12640",0.004
"12642",0.2703
"12643",0.5971
"12647",0.6387
"12648",-0.0191
"12649",0.0016
"12651",0.0088
"12652",-0.0153
"12653",-0.0959
"12654",0.0736
"12655",-0.7456
"12659",-0.133
"12660",-0.1286
"12661",0.0327
"12662",0.085
"12663",0.126
"12667",-0.1309
"12669",-0.0413
"12671",-0.057
"12672",-0.2888
"12675",-0.0509
"12677",-0.0559
"12683",0.0086
"12684",-0.2707
"12686",0.505
"12695",-0.1692
"12696",0.0465
"12700",-0.2033
"12702",-0.2753
"12703",0.1066
"12704",-0.0782
"12705",0.0079
"12709",-0.0177
"12715",-1.3401
"12716",0.0153
"12721",0.007
"12722",-0.0812
"12723",0.0135
"12724",-0.1043
"12725",0.0258
"12727",0.0022
"12728",0.1246
"12729",0.0229
"12733",-0.4213
"12737",-0.4676
"12738",-0.2553
"12739",-0.1002
"12740",0.2853
"12741",-0.1935
"12745",0.0103
"12747",-0.2197
"12748",-0.1252
"12750",-0.0976
"12751",-0.0314
"12752",-0.1343
"12753",0.0219
"12757",0.0142
"12759",-0.0289
"12763",0.1536
"12764",0.0325
"12765",-0.3161
"12766",-0.3128
"12767",0.0496
"12768",0.8626
"12769",-0.3284
"12770",0.5077
"12771",-0.0043
"12772",-0.3903
"12773",0.5707
"12774",0.1038
"12775",-0.3568
"12776",0.1988
"12777",0.0062
"12778",-0.2283
"12780",-0.3213
"12785",0.0732
"12788",-0.0146
"12789",-0.1428
"12790",-0.2557
"12793",0.0344
"12794",0.0333
"12795",-0.0209
"12796",-0.7125
"12797",-0.2788
"12798",-0.1714
"12799",-0.0992
"12801",-0.0375
"12802",0.4338
"12803",0.3432
"12804",-0.0896
"12805",0.038
"12807",0.0919
"12808",0.0227
"12810",-0.2582
"12812",0.004
"12813",0.1134
"12814",0.0808
"12815",-0.0487
"12816",-0.1533
"12817",-0.4782
"12818",-0.4899
"12819",-0.0533
"12821",-0.6668
"12822",-0.5462
"12823",-0.1904
"12824",-0.2137
"12825",-0.4472
"12826",-0.1288
"12827",-0.0708
"12828",-0.4857
"12829",-0.2898
"12830",-0.2821
"12831",-0.2672
"12832",-0.2838
"12833",0.12
"12834",-0.2853
"12835",-0.5631
"12836",-0.2785
"12837",-0.3474
"12839",-0.5459
"12840",-0.0888
"12841",-0.2483
"12842",-0.2211
"12843",-0.4079
"12845",0.0518
"12846",0.0341
"12847",-0.0328
"12848",0.0841
"12850",0.0697
"12854",0.1086
"12856",0.087
"12857",0.0388
"12858",0.0403
"12859",0.038
"12861",-0.0043
"12862",-0.0763
"12864",0.0334
"12865",0.1871
"12866",0.0709
"12867",0.1005
"12868",0.0092
"12869",-0.135
"12870",-0.156
"12873",-0.7861
"12874",0.0014
"12876",0.0198
"12877",-0.0435
"12879",-0.2149
"12889",0.003
"12890",0.0792
"12891",-0.115
"12892",0.0193
"12894",-0.1154
"12895",0.84
"12896",-0.0588
"12902",-0.3717
"12903",-0.3692
"12904",-0.2017
"12905",0.2212
"12908",-0.061
"12909",-0.1124
"12912",0.016
"12913",-0.0401
"12914",-0.0058
"12915",-0.0636
"12916",0.0084
"12918",-0.1446
"12919",0.3053
"12921",-0.3612
"12922",-0.3188
"12925",0.0459
"12927",0.0207
"12928",0.0334
"12929",-0.079
"12931",0.1032
"12933",-0.0807
"12934",-0.0749
"12936",0.0853
"12937",-0.5166
"12939",-0.1288
"12941",0.0393
"12942",-0.1265
"12943",-0.1691
"12944",-0.2324
"12945",-1.0348
"12946",-0.0836
"12950",-0.0623
"12951",0.3517
"12952",-0.1033
"12953",-0.0299
"12954",-0.4463
"12955",-0.0719
"12957",-0.1587
"12958",0.6958
"12959",0.0564
"12960",0.1749
"12961",-0.1716
"12962",-0.2304
"12964",-0.3026
"12966",-0.0261
"12968",-0.3055
"12969",-0.2465
"12970",-0.2417
"12971",0.001
"12972",0.0555
"12974",-0.0111
"12977",0.0463
"12978",0.0306
"12981",-0.201
"12982",-0.1821
"12983",0.11
"12984",0.0469
"12985",-0.1806
"12986",0.0785
"12988",-0.0577
"12995",0.0056
"13000",-0.0116
"13001",0.0081
"13002",0.0361
