"","GSE124954_exercise"
"12111",0.1212
"12121",-0.1974
"12122",-0.0929
"12123",-0.052
"12124",-0.7168
"12125",-0.1147
"12140",-0.2629
"12142",-0.1669
"12144",0.1293
"12151",-0.0872
"12153",0.1333
"12155",-0.4389
"12156",-0.2901
"12159",-0.1219
"12160",-0.5285
"12161",-0.1717
"12162",-0.0468
"12164",-0.2895
"12166",-0.0917
"12167",-0.1493
"12168",-0.0753
"12169",-0.1127
"12175",-0.0636
"12176",-0.0941
"12177",-0.0398
"12180",-0.3138
"12181",0.0252
"12182",-0.0171
"12183",0.0274
"12189",0.0826
"12190",-0.2919
"12192",-0.0787
"12193",0.348
"12209",-0.48
"12211",-0.1034
"12212",-0.1016
"12215",-0.0534
"12217",0.0408
"12223",-1.8921
"12224",0.1651
"12226",0.0641
"12227",-0.0624
"12228",0.2136
"12229",0.4156
"12234",0.0087
"12235",0.3034
"12236",0.2962
"12237",-0.0885
"12238",0.0133
"12257",-0.1032
"12258",-0.2658
"12259",-0.0355
"12260",0.0435
"12261",0.0816
"12262",0.1172
"12263",-0.0358
"12265",-0.2538
"12266",0.1372
"12267",0.1125
"12268",-0.1495
"12269",-1.2378
"12270",0.1848
"12273",-0.1007
"12282",-0.0014
"12283",-0.0265
"12286",0.105
"12287",0.0722
"12288",-0.0182
"12289",-0.0798
"12290",-0.038
"12291",0.3475
"12292",-0.2887
"12293",-0.0255
"12294",0.0159
"12295",0.233
"12296",0.0096
"12297",0.2259
"12298",-0.1112
"12300",0.115
"12301",-0.0455
"12304",-0.057
"12305",0.0681
"12306",-0.1425
"12307",-0.1718
"12308",-0.0895
"12310",0.2093
"12314",-0.0093
"12316",-0.0334
"12317",-0.066
"12319",0.2275
"12321",0.0495
"12322",0.0099
"12325",0.0538
"12326",-0.15
"12328",-0.0313
"12330",-0.0847
"12331",0.0044
"12332",0.2023
"12333",0.056
"12334",0.0273
"12335",-0.0786
"12336",-0.0671
"12337",-0.0976
"12338",-0.3454
"12339",-0.0215
"12340",-0.0129
"12343",0.0102
"12345",0.0029
"12348",-0.0011
"12349",-0.1814
"12350",-0.1117
"12351",-0.1425
"12352",-0.6596
"12354",0.367
"12355",-0.107
"12359",-0.032
"12361",0.0684
"12362",-0.0512
"12363",0.4079
"12364",-0.9404
"12366",-0.2014
"12367",-0.1364
"12368",0.0155
"12369",0.0706
"12370",0.2317
"12371",0.1559
"12372",-0.0153
"12373",0.2166
"12374",-0.5951
"12380",-0.1145
"12385",-0.0814
"12386",0.0135
"12387",0.0088
"12388",-0.0578
"12389",-0.0833
"12390",-0.1907
"12391",0.0792
"12393",-0.012
"12394",0.3305
"12395",0.0427
"12396",0.0052
"12398",0.216
"12400",-0.1186
"12402",-0.1574
"12404",-0.0393
"12405",-0.1378
"12406",0.0173
"12408",0.0526
"12409",0.5188
"12411",0.0739
"12412",0.0015
"12416",-0.2682
"12417",-0.0604
"12418",-0.0205
"12419",0.0021
"12421",-0.0898
"12424",-0.1321
"12426",-0.2606
"12427",0.1286
"12428",-0.0229
"12442",0.1189
"12443",0.1902
"12444",-0.051
"12445",0.0264
"12447",0.1578
"12448",0.0755
"12449",0.1052
"12450",-0.0381
"12452",0.0164
"12453",0.0287
"12454",0.1034
"12455",-0.0524
"12457",0.1832
"12458",0.5861
"12460",-0.031
"12461",-0.053
"12462",0.0033
"12464",0.0372
"12465",-0.0414
"12466",-0.0043
"12467",-0.9306
"12468",0.0511
"12469",-0.0025
"12475",-0.2015
"12476",0.034
"12479",-0.0836
"12483",0.5381
"12484",0.2004
"12487",0.6758
"12488",-0.125
"12489",0.0795
"12490",0.1997
"12491",-0.1677
"12492",-0.0147
"12493",-0.2391
"12494",0.134
"12495",0.0017
"12496",-0.065
"12497",0.0491
"12499",-0.0411
"12503",0.1164
"12504",0.2101
"12505",0.0325
"12506",0.8844
"12507",0.8925
"12508",0.1272
"12509",0.1863
"12511",-0.0301
"12512",-0.1583
"12514",-0.1225
"12519",0.4603
"12520",-0.0279
"12521",-0.264
"12522",-0.104
"12523",-0.1386
"12524",-0.0273
"12525",-0.4093
"12527",-0.1625
"12530",0.0551
"12531",-0.005
"12532",-0.1254
"12534",-0.0565
"12537",0.162
"12539",-0.0062
"12540",-0.0289
"12544",0.189
"12545",-0.0403
"12549",0.0822
"12552",-0.1218
"12554",-0.0024
"12555",-0.1838
"12558",-0.0246
"12561",0.2029
"12562",-0.2922
"12563",0.1299
"12564",-0.0874
"12565",-0.1431
"12566",0.3538
"12567",-0.0638
"12568",-0.104
"12569",0.0825
"12570",0.1531
"12571",0.0875
"12572",-0.0254
"12575",0.3081
"12576",-0.0123
"12577",-0.0907
"12579",0.0289
"12580",0.1466
"12581",0.0238
"12583",0.1013
"12585",0.0336
"12587",1.0686
"12589",-0.1608
"12593",-0.1603
"12606",0.0749
"12607",-0.0173
"12608",0.3988
"12609",-0.0119
"12611",-0.0615
"12614",0.1716
"12615",-0.0621
"12616",0.1054
"12617",-0.1018
"12626",-0.0818
"12627",0.0403
"12628",-0.0629
"12631",-0.0265
"12632",0.0084
"12633",-0.0068
"12638",0.6816
"12642",0.4689
"12643",0.788
"12648",-0.0405
"12649",-0.252
"12651",0.2322
"12652",0.1562
"12653",0.0045
"12654",0.077
"12659",0.0272
"12660",-0.0026
"12661",-0.1662
"12662",-0.1013
"12663",-0.0468
"12667",0.1144
"12669",0.0272
"12671",0.0676
"12672",0.0668
"12675",0.01
"12677",0.3135
"12683",-0.2565
"12684",-0.107
"12695",-0.0073
"12696",0.065
"12700",0.4601
"12702",0.1278
"12703",1.0596
"12704",-0.2038
"12705",-0.1867
"12709",0.0307
"12716",-0.043
"12721",-0.0297
"12722",0.6074
"12723",-0.0529
"12724",0.1451
"12725",-0.0494
"12727",-0.0223
"12728",0.0964
"12729",-0.052
"12733",-0.5409
"12737",0.4408
"12738",-0.1704
"12739",-0.5666
"12741",0.1913
"12745",-0.069
"12747",-0.1696
"12748",0.0717
"12750",-0.1175
"12751",-0.1288
"12752",0.0809
"12753",-0.1317
"12757",-0.0064
"12759",-0.0843
"12763",-0.7903
"12764",-0.0037
"12767",-0.0017
"12768",0.819
"12769",-0.7327
"12772",6e-04
"12774",0.406
"12777",-0.5896
"12778",-0.3071
"12785",-0.0587
"12789",0.9168
"12790",-1.2465
"12793",0.0132
"12794",-0.0065
"12795",0.0654
"12797",0.1778
"12798",-0.0683
"12799",-0.1684
"12801",-0.0012
"12802",-0.4732
"12803",-0.2409
"12804",-0.1059
"12805",-0.0551
"12807",0.0438
"12808",-0.1488
"12810",-0.4251
"12812",-0.0657
"12813",-0.4556
"12814",0.2099
"12815",0.1629
"12816",-0.015
"12817",0.4581
"12818",-0.2612
"12819",-0.1338
"12821",-1.4513
"12822",0.5279
"12823",-0.0849
"12824",-0.6988
"12825",-0.4352
"12826",0.1113
"12827",0.1069
"12828",1.0195
"12829",-0.1233
"12830",-0.2145
"12831",-0.1075
"12832",0.1053
"12833",0.0094
"12834",-0.1414
"12835",0.1153
"12836",0.0766
"12837",-0.5406
"12839",-0.0662
"12840",0.1136
"12841",0.037
"12842",-0.1681
"12843",-0.0063
"12845",0.2112
"12846",0.0318
"12847",-0.0643
"12848",-0.1396
"12850",-0.0505
"12854",0.2652
"12856",-0.103
"12857",-0.0783
"12858",0.1608
"12859",-0.0338
"12861",-0.0743
"12862",-0.1269
"12864",-0.0072
"12865",-0.1593
"12866",-0.0669
"12867",-0.0784
"12868",-0.0026
"12869",0.6865
"12870",0.0916
"12874",-0.0698
"12876",0.061
"12877",0.0215
"12879",-0.0445
"12889",0.0478
"12890",-0.0268
"12891",0.0096
"12892",-0.0413
"12894",-0.0134
"12895",-0.0506
"12896",-0.1097
"12902",-0.484
"12903",0.5731
"12904",0.4078
"12905",0.3111
"12908",0.0217
"12909",0.054
"12912",-0.0831
"12913",-0.0737
"12914",-0.0308
"12915",0.1147
"12916",-0.1487
"12918",-0.1308
"12919",0.4
"12921",0.0797
"12922",-0.2805
"12925",0.1429
"12927",0.0786
"12928",-0.0096
"12929",-0.0436
"12931",0.1582
"12933",0.1141
"12934",0.0122
"12936",0.7689
"12937",-1.2448
"12939",-1.2394
"12941",-0.1626
"12942",-0.1396
"12943",0.2891
"12946",-0.0843
"12950",-0.181
"12952",0.0689
"12953",0.026
"12955",-0.4583
"12957",0.3392
"12958",0.142
"12959",-0.4646
"12960",-0.0178
"12962",0.3043
"12964",0.2128
"12971",-0.0024
"12972",-0.1114
"12974",0.0387
"12977",-0.1478
"12978",-0.0487
"12982",-0.1406
"12983",0.1132
"12984",-0.288
"12986",0.0352
"12988",0.0519
"12995",-0.005
"13000",0.0652
"13001",0.004
"13002",0.0637
"13003",-0.0983
"13004",0.1192
"13006",-0.0532
"13007",-0.0884
"13008",0.0713
"13010",-0.1108
"13011",0.7035
"13014",-0.0598
"13016",0.1404
"13017",-0.0052
"13018",0.0581
"13019",0.2826
"13024",0.2861
"13025",-0.3701
"13026",-0.0562
"13030",0.0124
"13032",-0.0073
"13033",0.041
"13034",0.3356
"13036",0.0804
"13038",-0.4844
"13039",-0.0521
"13040",0.0132
"13041",1.5961
"13043",0.085
"13046",0.0056
"13047",-0.0193
"13048",0.0179
"13051",0.1289
"13052",0.0102
"13056",0.1525
"13057",0.1926
"13058",-0.1184
"13063",-0.024
"13070",0.0892
"13076",0.3555
"13078",-0.1607
"13082",0.1819
"13106",1.0089
"13110",-0.153
"13113",0.2744
"13115",-0.2653
"13116",0.2278
"13120",0.3543
"13121",-0.088
"13123",-0.1661
"13131",-0.0912
"13132",0.1106
"13134",-0.0439
"13135",-0.1425
"13136",-0.0079
"13138",0.0064
"13139",-0.099
"13142",0.1399
"13143",0.3299
"13144",0.1101
"13162",-0.3374
"13163",0.0512
"13164",-0.0445
"13166",-0.1766
"13167",-0.0607
"13168",0.0357
"13169",0.079
"13170",-0.1191
"13171",-0.092
"13175",0.018
"13176",-0.0975
"13177",0.077
"13178",0.0248
"13179",0.1893
"13180",-0.1579
"13185",-0.0409
"13190",0.164
"13191",0.176
"13193",-0.0344
"13194",0.0182
"13195",0.1531
"13196",0.1518
"13197",0.0354
"13198",0.0262
"13200",0.0238
"13202",0.0327
"13204",-0.0427
"13205",-0.1023
"13206",-0.093
"13207",-0.0839
"13209",-0.0058
"13211",-0.0755
"13244",-0.0335
"13340",-0.0454
"13345",0.446
"13346",0.4548
"13347",-0.0317
"13349",0.2828
"13350",-0.0408
"13353",-0.0545
"13356",0.1323
"13358",0.1216
"13360",0.0039
"13361",-0.2179
"13363",0.3538
"13367",-0.0665
"13368",0.0482
"13371",-0.0907
"13382",-0.01
"13383",-0.1227
"13384",-0.021
"13385",0.2206
"13388",-0.0273
"13389",-0.2818
"13390",0.025
"13392",-0.2954
"13395",-0.3091
"13396",-0.199
"13397",0.1366
"13400",0.0325
"13401",0.0842
"13404",0.2906
"13405",-0.102
"13406",0.2508
"13411",0.0141
"13417",-0.1889
"13418",-0.0346
"13419",-0.2663
"13423",0.2506
"13424",0.0773
"13426",-0.0417
"13427",-0.1093
"13429",0.0809
"13430",0.0153
"13433",-0.0094
"13434",-0.1016
"13435",0.094
"13436",0.0815
"13437",-0.0538
