"","GSE111270_enriched environment"
"11287",0.0804150740648318
"11298",0.0325834483974386
"11302",0.00158125720157088
"11303",0.00593407129418714
"11304",0.0584446709338552
"11305",0.00484989547564007
"11306",0.00176289626358497
"11307",0.00573176681402968
"11308",0.00133848899464604
"11350",0.00144873744327774
"11352",0.00322423349819383
"11363",0.00378138746659075
"11364",0.00208028295953798
"11370",0.00138702102229085
"11409",0.0065270153973099
"11416",0.001917277533181
"11418",0.00171570758228564
"11419",0.00325912475871891
"11421",0.0428260832490119
"11423",0.00566132903809854
"11425",0.0232602146403588
"11426",0.00275519020956473
"11428",0.0027994736989446
"11429",0.00124274890534534
"11430",0.000921817390042096
"11431",0.00470025177769863
"11432",0.00231311770642961
"11433",0.0276305510015428
"11434",0.0211878322516945
"11435",0.0115991631920815
"11438",0.0158440161249685
"11440",0.153137087056309
"11441",0.00970685245805768
"11443",0.01070343238643
"11444",0.00545599493883185
"11447",0.0849219465190923
"11448",0.200896451278234
"11449",0.0378035729433753
"11450",0.17123186779145
"11459",0.00845318360438137
"11461",0.00143560807434819
"11464",0.108145159838271
"11465",0.00119672579963483
"11468",0.1453515625
"11470",0.101058052878629
"11471",0.165452514346365
"11472",0.0154928031791413
"11474",0.0264008836940646
"11475",0.0226582924068844
"11477",0.00622937957546615
"11479",0.0031275214393412
"11480",0.00337714489142043
"11481",0.00318384639267377
"11482",0.00963209478713
"11484",0.0170544018458056
"11486",0.0520662905617858
"11487",0.000774236155248376
"11488",0.00358921557390747
"11489",0.00395339598374984
"11490",0.00138715737136883
"11491",0.0036611713777732
"11492",0.00587264210499735
"11495",0.13100309223412
"11496",0.00239015686208028
"11497",0.147090247309691
"11498",0.0378005603563901
"11499",0.136853379307328
"11500",0.122559429956676
"11501",0.0138448852816062
"11502",0.00145679156226327
"11504",0.0152612757595963
"11512",0.00265197253576229
"11513",0.00461419020905405
"11514",0.00792596901774028
"11515",0.0072975940180174
"11516",0.0101488598523903
"11517",0.00525249754607709
"11518",0.00135728216557087
"11519",0.00344942535690976
"11520",0.00557402608973264
"11522",0.08324839012242
"11529",0.179121174154656
"11532",0.0018954941330582
"11534",0.00412088649515914
"11535",0.0383948137326516
"11536",0.014448799739107
"11537",0.011900826446281
"11538",0.0606859658019256
"11539",0.00111655105946149
"11540",0.0132146238667211
"11541",0.00347184018342433
"11542",0.0308513095144808
"11544",0.00327605609418283
"11545",0.0055084228515625
"11546",0.00171148573346336
"11548",0.00949535057007829
"11549",0.00220889354601642
"11550",0.0115932777009019
"11551",0.00923813249506853
"11552",0.214649440282804
"11553",0.00294255072979708
"11554",0.0029120987457782
"11555",0.0117011689119883
"11556",0.0140030659052237
"11564",0.00141730103806228
"11565",0.00713495534156464
"11566",0.000736572800850763
"11567",0.0509740010239511
"11568",0.0211395809581842
"11569",0.00110925801230342
"11571",0.054040958732254
"11572",0.0284159288719074
"11576",0.214984986232493
"11593",0.00701101834173803
"11595",0.0194784273518631
"11596",0.0134400130292704
"11600",0.00884276431081673
"11601",0.0243116822398396
"11602",0.168545388574841
"11603",0.00216350237271454
"11604",0.0324487388568575
"11605",0.00200930869612639
"11606",0.0112939638621478
"11607",0.03504384
"11608",0.198281982444118
"11609",0.0187911643305362
"11610",0.00630741675562105
"11611",0.0189088761416088
"11614",0.0720260975580019
"11615",0.00595804957235527
"11622",0.00310073190525295
"11624",0.00955613067810926
"11625",0.0689897593223927
"11628",0.0553706711567077
"11629",0.0235713806787231
"11630",0.0125690616534382
"11632",0.0054081809836813
"11634",0.0410859694145557
"11636",0.00128149148640364
"11637",0.00116609064577457
"11639",0.00596326865224002
"11640",0.00201714951402815
"11642",0.0429042618558468
"11647",0.013004001231148
"11648",0.104012104257449
"11650",0.0144380009730907
"11651",0.00215830928841892
"11652",0.00600135038713755
"11655",0.00358963070181496
"11656",0.0625
"11657",0.149560848144619
"11658",0.00141340133444352
"11666",0.00258189599222435
"11668",0.0129789549386866
"11669",0.00346956946083655
"11670",0.0299903362668018
"11671",0.00136129078207046
"11674",0.0022249911000356
"11676",0.00744909259303792
"11677",0.00149892261033938
"11682",0.012970515983729
"11684",0.0367132861631241
"11685",0.295794108426733
"11686",0.00869896506814516
"11687",0.00886795145468757
"11688",0.00560217724422266
"11689",0.0264669762620978
"11690",0.00924126636434855
"11692",0.003392605054686
"11694",0.108411063486655
"11695",0.0409908359968851
"11699",0.0734016363165555
"11702",0.002077208921217
"11704",0.0342033659929551
"11705",0.0358033942513877
"11717",0.00108299441158913
"11720",0.22410055756533
"11722",0.00294404523925264
"11727",0.0130243544319959
"11731",0.133519774792348
"11732",0.000524647724818612
"11733",0.00357951640002922
"11735",0.00370242913878133
"11736",0.000997864009742847
"11737",0.00135252095690858
"11739",0.0021119168916737
"11740",0.000949207152301383
"11744",0.0097201164855907
"11745",0.00488550122076534
"11746",0.00930609176736084
"11747",0.00340785534421051
"11749",0.00422875806074376
"11750",0.00103759518912198
"11752",0.0631069767124246
"11754",0.035766477278782
"11757",0.00238498634790377
"11758",0.00691595444598577
"11761",0.00405493942395587
"11764",0.00120640152607542
"11765",0.00261212662816205
"11766",0.00444220844073452
"11767",0.00139532771124468
"11768",0.0408561666359219
"11769",0.00562807503069289
"11770",0.104108331998077
"11771",0.00453756360908471
"11772",0.00376378486205728
"11773",0.00116313399333275
"11774",0.00319616960481421
"11775",0.00370412898680513
"11776",0.00283763698005264
"11777",0.0053623319180938
"11778",0.00140363563232943
"11781",0.0012051451484814
"11782",0.00379996246950647
"11783",0.00766306615813123
"11784",0.00258192320823502
"11785",0.000912153295522684
"11787",0.00382316568850802
"11789",0.00213367749779668
"11790",0.00165604935515071
"11792",0.00175680625209291
"11793",0.00504612846225315
"11796",0.0062522949135047
"11797",0.00149201495698944
"11798",0.00388737410695651
"11799",0.0170806434417133
"11800",0.000697444132674761
"11801",0.0391641413005762
"11803",0.00194801916264593
"11804",0.00477780139502945
"11806",0.0636563122140486
"11807",0.0275027119185892
"11808",0.0199830048518407
"11810",0.0195162421237084
"11811",0.0577583141718052
"11812",0.0466114649828499
"11813",0.12805847464447
"11814",0.0901079574423603
"11815",0.0116538486158156
"11816",0.00497310301045808
"11818",0.0570154252265473
"11819",0.0261163170735128
"11820",0.00805908919327098
"11821",0.00306392560813819
"11826",0.147081872021171
"11827",0.130054940309595
"11828",0.0562887122635621
"11829",0.00608398300562219
"11830",0.144106664780379
"11831",0.211715229334801
"11832",0.179759229068529
"11833",0.0388022071938169
"11834",0.00541657136010631
"11835",0.00347663853420219
"11836",0.00287024078707158
"11837",0.00985943508882881
"11838",0.0709596216495354
"11839",0.119939165006918
"11840",0.00159912960697925
"11841",0.00154766951574021
"11842",0.00137710571289062
"11843",0.00126084760368512
"11844",0.0025
"11845",0.000806144577085578
"11846",0.0978931359044995
"11847",0.00821816598310137
"11848",0.00121677902708347
"11852",0.00109015339970286
"11853",0.00626181455333832
"11854",0.0309216880728982
"11855",0.00422140558172832
"11856",0.0335028729475485
"11857",0.00760936959050901
"11858",0.0175498777217857
"11861",0.00591819672449687
"11863",0.00157364728468749
"11864",0.00129302850027222
"11865",0.00532848473312402
"11867",0.00493508797138892
"11870",0.0943872674974666
"11871",0.114739115572981
"11872",0.119686862248289
"11875",0.0880672578601561
"11876",0.0417007593265726
"11877",0.00247325572356399
"11878",0.00468503833226642
"11881",0.00608488358137898
"11883",0.00229064576237082
"11886",0.0014792899408284
"11889",0.0462358879511733
"11890",0.101832869340353
"11891",0.004668499356263
"11898",0.00376346193592011
"11899",0.00805243570937531
"11905",0.144146024299384
"11906",0.0071800278336842
"11907",0.0011712055939694
"11908",0.00281128293645448
"11909",0.000776260161126434
"11910",0.0231837441984419
"11911",0.00173545368004208
"11920",0.00358922425149096
"11921",0.0169619492501593
"11922",0.00393932363532265
"11923",0.0475347405404593
"11924",0.0228927977668909
"11925",0.0799186553404498
"11927",0.0091525057422623
"11928",0.0122270762861849
"11931",0.004812109406704
"11932",0.00407842259157079
"11933",0.00247918372710657
"11936",0.0118529592724154
"11937",0.0621027743701909
"11938",0.00536485461388881
"11941",0.00633414229772315
"11944",0.0318495776075858
"11946",0.00092734295986454
"11947",0.0010501256589811
"11949",0.00462353680761045
"11950",0.00305530827488683
"11951",0.00356394086122222
"11957",0.00826446280991735
"11958",0.0268404932998784
"11964",0.00201228709645309
"11966",0.00109230562087097
"11972",0.000881948882534322
"11973",0.00137174211248285
"11974",0.0057523359757126
"11975",0.00316513794094199
"11977",0.00872273755107363
"11979",0.00601077506545986
"11980",0.00432847775536135
"11981",0.00277722458054686
"11982",0.0106012976588408
"11983",0.012527333422408
"11984",0.00246776307091371
"11987",0.0100805667831985
"11988",0.00372526393643656
"11989",0.01373291015625
"11990",0.00651233190656943
"11991",0.00121437031464858
"11992",0.00138771568516619
"11993",0.0014995771088776
"11994",0.00628476186652633
"11997",0.176986449004018
"11998",0.327852329624154
"12000",0.0655011712836095
"12005",0.00226757369614513
"12006",0.00323294986166915
"12007",0.136433731028326
"12009",0.00466646875336781
"12010",0.0105319731498291
"12012",0.0532867338379513
"12013",0.00159433029908785
"12014",0.00345601469237833
"12015",0.00364262634286663
"12017",0.0083409902668532
"12018",0.00166547628016241
"12020",0.0444750514655426
"12021",0.0398984596267088
"12023",0.0193959285067405
"12028",0.00320828763134808
"12029",0.0239360691965131
"12032",0.0021858167125955
"12033",0.00334246305261592
"12034",0.00133616017560962
"12035",0.00188442422346817
"12036",0.00177662201590677
"12038",0.00929867096201411
"12039",0.00187045951197237
"12040",0.00156577639033414
"12041",0.00193281668989939
"12042",0.00220479510638836
"12043",0.00460298072575312
"12044",0.0847895432347027
"12045",0.0344995910252563
"12047",0.474029149923202
"12048",0.000955032135860994
"12049",0.09706902867984
"12050",0.00250854456796766
"12051",0.0694101572009846
"12053",0.00494158642287401
"12054",0.00116364240330502
"12055",0.00487896807815502
"12057",0.137451531753139
"12061",0.208171663971914
"12062",0.0453276257409032
"12064",0.00597395384533242
"12068",0.00753574396622295
"12069",0.00236712036651395
"12070",0.00254534450144951
"12075",0.0250010438385929
"12091",0.00693299913210078
"12095",0.239373075487612
"12096",0.0383655816039544
"12097",0.0773471303178926
"12111",0.0193711864707327
"12116",0.267362786652679
"12121",0.00213879952476231
"12122",0.00405637415721262
"12123",0.00379172450247468
"12124",0.112986371018996
"12125",0.00359527996744442
"12140",0.0390032747918898
"12142",0.0226203352661807
"12143",0.221737577225192
"12144",0.0115781495055384
"12145",0.19341575066473
"12151",0.00194792136412244
"12153",0.00546573201721558
"12154",0.0366624276707936
"12155",0.133176635379031
"12156",0.0155479998707613
"12159",0.0274314827548215
"12160",0.0308290833653805
"12161",0.0265499651985244
"12162",0.0154965465599129
"12163",0.239327576608851
"12164",0.0584403226431468
"12165",0.117288860921945
"12166",0.00197999621062786
"12167",0.00419483366882517
"12168",0.001653207391306
"12169",0.0138860331681953
"12173",0.136798648902233
"12175",0.00243920515704757
"12176",0.0019497385731152
"12177",0.00372678279363934
"12180",0.0210867473970122
"12181",0.00259260898774889
"12182",0.0534078652473751
"12183",0.00599264226717958
"12189",0.0122788735125773
"12190",0.00435995277435405
"12192",0.00391856505530242
"12193",0.00443469251223242
"12209",0.177755135018673
"12211",0.00467605973760828
"12212",0.00165952982649876
"12215",0.00271457424066298
"12217",0.00632747933884297
"12223",0.0180999092712
"12224",0.0300444444444444
"12226",0.00283990124168814
"12227",0.017798318247212
"12228",0.0030716463251351
"12229",0.0165632330800742
"12231",0.182420691258273
"12234",0.00150032246399092
