"","GSE96961_enriched environment"
"12169",-0.2197
"12175",0.7172
"12176",-0.7652
"12177",-0.4341
"12180",1.9568
"12181",1.1297
"12182",0.697
"12183",0.4889
"12189",2.0804
"12190",-0.1696
"12192",-0.6848
"12193",-1.832
"12211",1.3287
"12212",0.9948
"12215",-0.2919
"12217",2.3035
"12223",-0.3265
"12224",-0.0534
"12226",-0.4277
"12227",0.3194
"12228",-0.612
"12229",0.5705
"12234",-0.001
"12236",1.0712
"12237",1.4681
"12238",0.6897
"12257",0.7493
"12258",-0.5662
"12259",0.5271
"12260",0.3225
"12261",-0.0916
"12262",0.4723
"12263",-0.2302
"12265",-0.4533
"12266",0.6847
"12267",0.9897
"12268",-0.33
"12269",-0.399
"12273",1.9652
"12282",1.0173
"12283",-0.1616
"12286",0.7441
"12287",0.7696
"12288",1.6695
"12289",0.7261
"12290",2.0334
"12291",0.0285
"12292",0.2341
"12293",1.0332
"12294",0.6825
"12295",0.5354
"12296",1.7891
"12297",0.1796
"12298",0.0232
"12300",0.6444
"12301",-1.2679
"12304",1.2297
"12305",0.3642
"12306",0.0871
"12307",-1.3343
"12308",-0.7504
"12310",-1.6119
"12316",0.2709
"12317",0.6519
"12319",-1.597
"12321",0.3082
"12325",-1.4273
"12326",-0.683
"12328",-0.3096
"12330",-0.3414
"12331",1.3608
"12332",-1.0911
"12333",1.3019
"12334",-0.43
"12335",-0.2705
"12336",-0.4279
"12337",-0.0614
"12338",0.935
"12339",0.2164
"12340",0.2388
"12343",0.4808
"12345",-0.2602
"12348",-1.3386
"12349",-1.3262
"12351",1.7968
"12352",1.8267
"12354",0.1149
"12355",1.8724
"12359",0.4591
"12361",1.2167
"12362",-0.5507
"12363",-0.5852
"12364",-1.4422
"12366",0.7966
"12367",-0.2638
"12368",-0.7136
"12369",0.1185
"12370",-0.197
"12371",0.8141
"12372",0.1174
"12373",2.5265
"12380",-0.9651
"12385",-1.883
"12386",-0.0465
"12387",-0.0209
"12388",-0.3491
"12389",-0.2551
"12390",-1.1382
"12391",-0.358
"12393",-0.6547
"12394",-0.387
"12395",-1.0482
"12396",1.0229
"12398",1.3628
"12400",1.0522
"12402",1.3436
"12404",-0.7824
"12405",-1.9757
"12406",-0.3202
"12408",-1.12
"12409",-0.9143
"12411",-0.4961
"12412",-0.4314
"12416",0.0076
"12417",-0.5093
"12418",1.2654
"12419",0.0303
"12421",0.5458
"12424",-0.8196
"12426",-2.2176
"12427",-1.8521
"12428",0.261
"12442",0.644
"12443",1.6816
"12444",0.5357
"12445",-0.3514
"12447",1.4127
"12448",-1.671
"12449",2.6851
"12450",-0.4123
"12452",1.055
"12453",-0.78
"12454",-0.5229
"12455",0.9929
"12457",0.7411
"12460",0.1653
"12461",-1.0606
"12462",-0.8175
"12464",-0.8774
"12465",-0.4648
"12466",-0.5911
"12467",-2.5529
"12468",-0.3617
"12469",-0.9646
"12475",0.3864
"12476",-0.3195
"12479",0.0648
"12483",-0.3229
"12484",-0.1995
"12488",-0.7538
"12489",0.4467
"12490",-1.2453
"12491",-2.0869
"12492",-0.9345
"12493",0.3037
"12494",1.4402
"12495",-0.0437
"12496",-2.3591
"12497",0.0052
"12499",-0.5287
"12503",1.449
"12504",1.1749
"12505",1.2055
"12506",-0.7371
"12508",-0.0655
"12509",-0.8267
"12511",-0.708
"12512",-0.8218
"12514",1.2985
"12516",-1.1667
"12517",-0.579
"12518",0.127
"12519",0.1702
"12520",-1.2741
"12521",-2.0754
"12522",-0.0091
"12523",0.6359
"12524",1.0289
"12527",-0.7598
"12530",-0.2221
"12531",-0.6543
"12537",-1.7683
"12539",-0.8028
"12540",-0.6058
"12544",0.8837
"12545",-1.3075
"12549",-0.0584
"12550",1.1184
"12552",0.4582
"12554",-1.4534
"12555",-1.2638
"12558",0.7682
"12561",1.0135
"12562",-0.0251
"12563",-0.2528
"12564",0.872
"12565",4.3809
"12566",0.0196
"12567",-0.1108
"12568",-0.8508
"12569",1.2805
"12570",0.139
"12571",2.1223
"12572",0.0485
"12575",0.2094
"12576",-0.1919
"12577",-1.2075
"12579",0.7631
"12580",0.7005
"12581",-0.1239
"12583",0.3369
"12585",-1.4037
"12587",-1.4534
"12589",-1.0384
"12593",2.086
"12606",-0.1669
"12607",-0.2202
"12608",0.2366
"12609",1.3775
"12611",0.6009
"12614",0.7571
"12615",-0.0331
"12616",-1.1118
"12617",0.0923
"12626",-1.5439
"12628",-1.1201
"12631",-0.6885
"12632",-0.6058
"12633",-0.4184
"12638",0.4473
"12642",-0.3768
"12648",2.24
"12649",0.2938
"12651",-1.1205
"12652",-0.3084
"12653",0.7015
"12654",-1.2049
"12659",-0.7721
"12660",-1.2519
"12661",1.0209
"12662",0.077
"12663",-1.059
"12667",-0.5501
"12669",2.6375
"12671",0.9451
"12672",-2.5368
"12675",-0.1335
"12677",1.2979
"12683",0.5909
"12684",1.1314
"12695",-1.3189
"12696",-2.9306
"12700",-0.4052
"12702",-0.7099
"12703",0.0096
"12704",-2.2882
"12705",-1.5236
"12709",-1.7152
"12716",-1.2615
"12721",0.1807
"12722",-0.6822
"12723",-0.5267
"12724",-1.2148
"12725",0.1318
"12727",0.2879
"12728",0.1098
"12729",0.4033
"12737",-0.796
"12738",-1.0026
"12739",-0.6443
"12741",0.139
"12745",-1.0044
"12747",-1.1435
"12748",0.9248
"12750",-1.7968
"12751",-0.2244
"12752",-0.9671
"12753",0.3779
"12757",-1.3915
"12759",-1.8776
"12763",1.3657
"12764",-0.5878
"12767",-1.0961
"12774",-0.9428
"12777",-1.264
"12778",-0.1436
"12785",-1.8024
"12793",-0.4805
"12794",1.971
"12795",1.2975
"12797",-1.1974
"12798",0.1305
"12799",-1.5824
"12801",-1.0122
"12802",0.659
"12803",-0.9317
"12804",-1.7365
"12805",0.6464
"12807",0.01
"12808",-2.7841
"12810",-1.1784
"12812",-0.3163
"12814",0.9774
"12815",-0.651
"12816",-1.2065
"12817",0.4136
"12818",0.9717
"12819",-0.6801
"12822",0.1372
"12823",-2.6542
"12824",-0.7338
"12825",0.0914
"12826",0.6308
"12827",0.947
"12828",1.0522
"12829",-0.5085
"12830",-1.2001
"12831",-3.9741
"12832",-0.3817
"12833",-0.6425
"12834",-1.8689
"12835",0.3674
"12836",-1.3168
"12837",0.2262
"12839",-0.5844
"12840",-0.2153
"12841",-0.1376
"12842",-0.3414
"12843",-0.7435
"12845",-0.129
"12846",0.1848
"12847",0.2406
"12848",-0.2195
"12850",-0.7983
"12854",0.3026
"12856",-1.5869
"12857",-1.5136
"12858",-2.0173
"12859",-1.8621
"12861",-1.526
"12862",-0.2899
"12864",-2.0514
"12865",-1.2854
"12866",-1.1839
"12867",-1.0919
"12868",-1.4676
"12869",0.7644
"12870",-0.3988
"12874",0.8606
"12877",-0.3497
"12879",-0.0746
"12889",-2.4746
"12890",0.7441
"12891",0.3106
"12892",0.271
"12894",-0.0666
"12896",-0.4115
"12903",1.8039
"12904",-0.1202
"12905",0.109
"12908",-0.09
"12909",-0.9015
"12912",1.9015
"12913",-0.8614
"12914",0.0412
"12915",1.7019
"12916",2.7344
"12918",-0.4778
"12919",-0.8821
"12921",-2.7614
"12922",-0.2639
"12925",-1.5954
"12927",1.1714
"12928",0.8976
"12929",0.3971
"12931",0.8361
"12933",-0.0097
"12934",-1.8178
"12936",0.2694
"12939",0.7137
"12941",1.541
"12942",1.1606
"12943",-1.0552
"12946",0.9224
"12950",0.5607
"12952",-2.0928
"12953",-1.365
"12954",0.793
"12955",-1.0356
"12958",0.3895
"12959",-0.7631
"12960",1.8643
"12962",-1.9616
"12964",-0.4887
"12971",-3.2751
"12972",-0.0831
"12974",0.2791
"12977",-1.2743
"12978",-0.1147
"12982",-1.3398
"12983",0.3119
"12984",-0.7083
"12986",0.8374
"12988",-1.2364
"12995",0.4227
"13000",0.4661
"13001",-0.4127
"13002",0.8719
"13003",-1.0456
"13004",1.819
"13006",0.5292
"13007",-2.2173
"13008",0.0419
"13010",-1.1868
"13011",0.4636
"13014",0.6542
"13016",0.2645
"13017",-0.7478
"13018",0.1225
"13019",-1.0876
"13024",-0.5404
"13025",-1.2395
"13026",0.4595
"13030",-0.618
"13032",0.4392
"13033",0.1136
"13036",0.3215
"13038",0.8263
"13039",-1.2628
"13040",0.283
"13041",2.1532
"13043",0.8425
"13046",1.3219
"13047",-2.3889
"13048",-3.5245
"13051",0.3507
"13052",-0.4819
"13056",-2.5581
"13057",-0.5689
"13058",-0.7839
"13063",-0.4878
"13070",-1.4295
"13078",-0.7064
"13082",1.6275
"13106",-0.2797
"13110",-2.1536
"13113",-2.1102
"13115",-0.255
"13116",-0.8601
"13120",-0.2581
"13121",-0.2024
"13123",1.5762
"13131",0.3379
"13132",-1.0302
"13134",-0.7297
"13135",-0.372
"13136",1.9518
"13138",1.0362
"13139",1.3093
"13143",0.0329
"13144",-0.2287
"13162",0.3048
"13163",0.105
"13164",2.1824
"13166",0.9874
"13167",-0.7584
"13168",0.3153
"13169",1.1294
"13170",-2.5529
"13171",0.1277
"13175",0.1423
"13176",0.0898
"13177",-1.5976
"13178",-0.814
"13179",-0.9622
"13180",-0.1041
"13185",0.621
"13190",0.0763
"13191",0.162
"13193",-1.3099
"13194",-0.2294
"13195",-3.6937
"13196",0.895
"13197",-1.2284
"13198",-0.6998
"13200",1.1862
"13202",-0.9752
"13204",-0.5854
"13205",0.0452
"13206",-0.8471
"13207",-0.572
"13209",0.5117
"13211",0.6823
"13214",-2.9626
"13244",-1.8348
"13340",-0.8599
"13345",0.3304
"13346",1.2231
"13347",0.1316
"13349",-0.7732
"13350",-1.8707
"13353",-1.1203
"13356",0.2816
"13358",-0.1395
"13360",0.1631
"13361",0.1305
"13363",0.4937
"13367",0.9923
"13368",-3.1131
"13371",0.5756
"13382",1.1603
"13383",-0.8387
"13384",1.003
"13386",-0.2271
"13388",-0.2904
"13389",0.8117
"13390",-1.6975
"13392",0.3179
"13395",-1.333
"13396",-1.5447
"13400",-0.2059
"13401",-0.1515
"13404",-1.0078
"13405",1.1639
"13406",0.2285
"13411",-1.1275
"13417",0.5619
"13418",2.7661
"13419",0.7622
"13423",0.3841
"13424",0.247
"13426",-1.769
"13427",-1.7657
"13429",-0.7645
"13430",-0.7596
"13433",-0.639
"13434",-0.6503
"13435",-0.4492
"13436",-0.2524
"13437",-1.7404
"13445",-2.4379
"13446",-2.1274
"13447",2.2051
"13448",0.4006
"13449",-0.8111
"13476",-0.796
"13478",-0.4952
"13480",-0.619
"13481",-1.6929
"13482",0.6427
"13483",1.3119
"13486",0.5513
"13488",1.0733
"13489",-0.0547
"13491",0.9787
"13492",2.1248
"13494",-0.2909
"13495",-0.6871
"13496",0.3172
"13497",0.5987
"13498",0.8671
"13506",1.3731
"13507",-2.1778
"13508",0.8432
"13511",0.056
"13516",-0.6425
"13518",0.2821
"13521",0.2335
"13524",-0.0285
"13527",0.898
"13528",-1.2864
"13537",0.9269
"13542",-0.9246
"13543",1.2357
"13544",0.0526
"13548",1.7986
"13549",-1.1568
"13555",0.0382
"13557",2.1717
"13559",-1.0987
"13560",0.7016
"13589",0.1035
"13590",1.8512
"13591",0.6714
"13593",1.2312
"13595",-0.2997
"13599",-0.9477
"13601",0.7267
"13603",-1.2376
"13605",0.1763
"13607",-0.1345
"13609",-0.774
"13610",-0.388
"13611",0.4503
"13612",-0.7039
"13614",1.1082
"13616",-0.5029
"13617",2.1707
"13618",0.143
"13619",-0.7452
"13626",-0.2024
"13631",-0.0438
"13636",0.8486
"13637",0.1613
"13638",0.8563
"13639",-0.812
"13640",-0.6746
"13641",0.8818
"13642",-0.9309
"13643",-1.4287
"13644",-1.1892
"13645",-0.9243
"13649",-1.4822
"13650",-0.4018
"13653",0.6498
"13654",1.2455
"13655",2.3128
"13656",0.143
"13660",1.346
"13663",-1.4195
"13664",-0.4032
"13665",-0.4861
"13666",-1.2617
"13667",0.2333
"13669",-0.089
"13680",0.9518
"13681",-0.2814
"13682",-0.5274
"13684",0.4103
"13685",-0.3521
"13688",-0.0405
"13690",1.0603
"13709",1.3368
"13711",-0.9727
"13712",2.935
"13713",0.6275
"13714",0.7739
"13716",0.8252
"13717",-2.3309
"13722",-0.9571
"13723",-1.0488
"13726",-0.1479
"13728",0.3035
"13730",1.1516
"13731",-0.0229
"13732",-0.3979
"13733",0.514
"13796",0.2155
"13797",0.9854
"13799",-1.9752
"13800",-0.2778
"13803",2.5316
"13804",0.7399
"13805",0.8513
"13806",-1.1147
"13808",-2.0487
"13809",0.1576
"13819",-0.8665
"13821",0.6532
"13822",-0.5896
"13823",-3.1473
"13824",0.2945
"13829",2.2994
"13830",-0.6786
"13831",-1.0569
"13835",0.3063
"13836",-0.219
"13837",0.8341
"13838",2.7174
"13839",1.2133
"13840",2.3232
"13841",2.3723
"13842",-1.7081
"13844",2.5976
"13845",-0.1662
"13846",0.8414
"13848",1.4662
"13849",0.4234
"13850",-1.0314
"13852",0.2063
"13853",1.5331
"13854",0.0012
"13855",1.6475
"13857",0.3744
"13858",-0.0811
"13859",-1.785
"13860",-0.212
"13864",-1.5901
"13865",-2.3427
"13866",0.0903
"13867",-0.7647
"13869",-1.0355
"13870",0.854
"13871",-0.4044
"13872",-0.1637
"13875",1.6132
"13876",0.5734
"13877",-0.7345
"13885",-0.2494
"13929",-0.238
"13972",0.2114
"13982",0.5686
"13990",0.7574
"13992",-0.3655
"13996",-1.2785
"13998",0.0858
"13999",-1.7949
"14000",-0.7608
"14004",-0.5777
"14007",0.5399
"14009",-0.7595
"14011",0.0887
"14012",0.3288
"14013",1.3657
"14017",-1.2378
"14020",-0.5637
"14025",-0.4928
"14026",-1.2485
"14027",-1.2575
"14030",0.0324
"14038",-0.4182
"14042",1.1808
"14043",0.1002
"14048",0.5927
"14049",0.3019
"14050",1.4087
"14051",0.5189
"14055",0.7766
"14056",-0.3923
"14057",0.2484
"14062",0.2871
"14064",-0.1176
"14065",0.0809
"14066",-0.1477
"14067",0.0684
"14069",1.2029
"14070",-0.2395
"14071",1.0181
"14073",1.3406
"14077",-2.0092
"14081",0.4164
"14082",0.0752
"14083",0.9008
"14084",-0.8914
"14085",-0.9283
"14086",-0.8497
"14087",-0.3152
"14088",-1.0786
"14089",-0.1559
"14102",1.5315
"14104",0.5846
"14105",-0.1407
"14107",0.3797
"14109",-1.57
"14113",-1.1983
"14114",-0.0712
"14115",-0.4009
"14118",0.5093
"14119",0.4732
"14123",-0.4367
"14127",0.7361
"14128",0.6096
"14129",-0.0226
"14130",0.183
"14131",0.7566
"14132",-0.0504
"14133",-1.053
"14137",-1.0221
"14148",-1.3764
"14149",0.7929
"14151",-0.3694
"14154",1.4748
"14155",1.3942
"14156",-0.5462
"14158",0.3383
"14159",0.1974
"14160",-1.3578
"14163",1.889
"14164",-0.4219
"14165",-0.4123
"14166",-0.4468
"14167",-2.7151
"14168",0.7802
"14169",-1.0256
"14172",-1.3866
"14173",0.4776
"14176",0.9727
"14178",0.6418
"14180",-0.4801
"14181",0.6465
"14182",2.0341
"14183",0.5931
"14184",-1.6883
"14187",-0.4811
"14190",-1.3234
"14194",-1.7035
"14198",0.9078
"14199",-3.4429
"14200",1.7958
"14201",-0.3769
"14202",-0.1004
"14204",-1.3973
"14205",1.3495
"14208",-0.6552
"14211",0.1565
"14218",1.2889
"14219",-2.7945
"14221",-1.675
"14225",0.7993
"14226",1.241
"14227",-1.2306
"14228",-0.2168
"14229",0.516
"14230",-1.1616
"14231",0.6892
"14232",-0.2147
"14234",-0.4673
"14235",-1.1601
"14236",0.7824
"14238",0.7225
"14239",0.9887
"14245",-0.7241
"14247",-0.4409
"14248",-1.0275
"14251",-1.1952
"14252",0.6627
"14254",0.3444
"14255",-0.7209
"14256",-0.2326
"14257",-0.633
"14260",0.8464
"14261",0.2123
"14263",0.1563
"14264",-0.4788
"14265",0.6303
"14266",0.2802
"14268",-0.8261
"14269",-1.9259
"14270",-1.2816
"14272",-2.5698
"14275",-1.243
"14276",0.9874
"14281",0.9843
"14282",2.096
"14284",-0.0171
"14287",-0.197
"14296",-0.4964
"14297",-1.3654
"14299",-1.2219
"14300",-1.1095
"14302",-0.5967
"14312",-0.308
"14313",1.5015
"14314",-1.0773
"14325",-1.7449
"14339",-0.3453
"14344",1.6806
"14345",1.041
"14347",-0.2087
"14348",-1.4235
"14349",0.3909
"14356",-0.0553
"14357",-1.0865
"14359",-0.0592
"14360",0.3658
"14362",-1.1301
"14365",0.4177
"14366",1.2538
"14367",1.4626
"14368",-0.4803
"14369",-0.2793
"14370",2.0076
"14371",-0.8973
"14373",-0.4843
"14375",-0.1349
"14376",1.9474
"14381",-0.5976
"14385",0.7762
"14387",0.521
"14388",-1.6913
"14389",1.0085
