"","GSE96961_enriched environment"
"11302",0.0261
"11303",-0.0199
"11304",0.6539
"11305",-0.0438
"11306",0.0697
"11307",-0.0367
"11308",0.1621
"11350",0.1042
"11352",0.1769
"11363",-0.2093
"11364",0.1052
"11370",-0.1064
"11409",0.2101
"11416",-0.0293
"11418",-0.1089
"11419",-0.192
"11421",-0.1719
"11423",-0.0185
"11426",0.0457
"11428",-0.0861
"11429",-0.0768
"11430",0.0364
"11431",0.0593
"11432",-0.0429
"11433",0.398
"11434",0.1416
"11435",0.2326
"11438",-0.4688
"11441",0.3335
"11443",0.1215
"11444",0.0175
"11459",0.2764
"11472",0.001
"11474",0.0227
"11475",-0.478
"11477",0.281
"11479",0.086
"11480",-0.1193
"11481",-0.2053
"11482",0.0199
"11484",-0.2946
"11486",-0.1818
"11487",0.0165
"11488",0.0222
"11489",-0.0513
"11490",-0.0625
"11491",-0.0953
"11492",0.0279
"11496",0.0478
"11498",-0.32
"11501",0.0596
"11502",0.1525
"11504",0.1084
"11512",-0.0359
"11513",-0.0665
"11514",-0.0539
"11515",0.2142
"11516",0.0469
"11517",-0.1212
"11518",0.0595
"11519",0.1968
"11520",0.0648
"11522",-0.922
"11532",-0.0891
"11534",-0.0367
"11535",0.6625
"11536",0.1884
"11538",1.213
"11539",0.1039
"11540",0.1168
"11541",0.0717
"11542",0.5283
"11544",0.05
"11545",0.1932
"11546",-0.0109
"11548",-0.4713
"11549",-0.1715
"11550",0.2451
"11551",-0.1218
"11553",-0.0631
"11554",-0.0347
"11555",-0.1441
"11556",0.1412
"11564",-0.1278
"11565",-0.2799
"11566",-0.1971
"11567",0.2549
"11568",-0.3428
"11569",-5e-04
"11593",0.0286
"11595",0.3312
"11596",0.276
"11600",-0.0917
"11601",0.4387
"11603",0.1262
"11605",-0.1888
"11606",-0.3641
"11607",-0.7138
"11609",0.1344
"11610",-0.075
"11615",0.3948
"11622",-0.14
"11624",-0.175
"11629",0.0317
"11630",0.1011
"11632",-0.0367
"11634",-0.0687
"11636",-0.1221
"11637",-0.0422
"11639",0.0997
"11640",0.1114
"11642",-0.0214
"11647",-0.0321
"11651",-0.0607
"11652",0.1861
"11655",0.0689
"11656",0.9684
"11658",-0.0612
"11666",-0.0137
"11668",0.4143
"11669",-0.1487
"11670",-0.1268
"11671",-0.0145
"11676",-0.1302
"11677",0.025
"11682",0.0527
"11684",-0.0727
"11686",0.2476
"11687",-0.2284
"11688",-0.0869
"11689",-0.2527
"11690",0.1047
"11692",-0.0549
"11695",-0.6206
"11702",-0.0178
"11705",0.1636
"11717",-0.1245
"11722",-0.3998
"11727",-0.2698
"11732",-0.0273
"11733",-0.1277
"11735",0.0711
"11736",0.121
"11737",-0.0147
"11739",-0.0557
"11740",-0.0207
"11744",0.3828
"11745",0.164
"11746",0.0597
"11747",-0.0932
"11749",0.0484
"11750",-0.0522
"11752",-0.7758
"11754",-0.4582
"11757",-0.0369
"11758",-0.2148
"11761",-0.1588
"11764",-0.051
"11765",0.1588
"11766",-0.2587
"11767",-0.0675
"11768",-0.3381
"11769",0.099
"11771",0.0773
"11772",0.0851
"11773",-0.0614
"11774",0.1222
"11775",0.0094
"11776",0.0129
"11777",0.034
"11778",0.0033
"11781",-0.2007
"11782",-0.1538
"11783",0.0033
"11784",0.1154
"11785",-0.1018
"11787",0.0759
"11789",-0.0139
"11790",-0.0062
"11792",0.1513
"11793",0.1229
"11796",0.2
"11797",-0.0067
"11798",0.0099
"11799",-0.6881
"11800",0.0302
"11804",-0.0293
"11806",-0.5223
"11807",-1.3249
"11810",0.1548
"11811",-0.5307
"11812",-0.6534
"11814",-0.1519
"11815",-0.345
"11818",-0.1754
"11819",-0.1411
"11820",-0.0321
"11821",0.0797
"11826",0.3143
"11829",0.1642
"11834",-0.0114
"11835",-0.0293
"11836",-0.0046
"11837",-0.0713
"11838",0.3326
"11840",0.0249
"11841",-0.005
"11842",0.0861
"11843",0.0338
"11844",-0.05
"11845",-0.0499
"11847",-0.8083
"11848",0.0058
"11852",-0.0047
"11853",-0.0741
"11854",-0.4941
"11855",0.1278
"11856",-0.2845
"11857",0.0369
"11858",-0.2519
"11861",-0.1136
"11863",0.0917
"11864",0.0227
"11865",0.3511
"11867",0.0874
"11876",0.368
"11877",0.1665
"11878",-0.448
"11881",0.0622
"11883",0.1212
"11886",0.0234
"11889",-1.4952
"11891",0.0907
"11898",-0.2481
"11899",0.057
"11906",-0.2098
"11907",0.0328
"11908",0.2593
"11909",0.015
"11910",1.4281
"11911",-0.0992
"11920",0.1092
"11922",0.1335
"11923",0.6384
"11924",-0.3121
"11927",-0.1579
"11928",0.0132
"11932",-0.0899
"11933",-0.1502
"11936",0.1594
"11937",0.4734
"11938",0.0563
"11941",0.1522
"11944",0.9211
"11949",-0.1149
"11950",-0.0718
"11951",-0.0912
"11957",-0.153
"11958",-0.1255
"11964",0.0833
"11966",-0.0196
"11972",-0.0113
"11973",-0.0793
"11974",-0.0331
"11975",-0.0213
"11977",0.2877
"11979",-0.3015
"11980",0.0702
"11981",-0.0253
"11982",0.0667
"11983",-0.1126
"11987",0.1146
"11988",-0.0297
"11989",-0.2211
"11990",0.0884
"11991",-0.0904
"11992",-0.0538
"11993",-0.0781
"11994",-0.0976
"11998",-0.3425
"12005",0.0403
"12006",0.1974
"12009",-0.0586
"12010",-0.0109
"12012",0.3426
"12013",0.093
"12014",0.1887
"12015",-0.0168
"12017",-0.0709
"12018",0.1102
"12021",-1.0421
"12023",-0.3536
"12028",0.0074
"12029",-0.0953
"12032",-0.1316
"12033",0.0833
"12034",-0.0502
"12035",-0.043
"12036",-0.0753
"12038",-0.1316
"12039",-0.0318
"12040",-0.0369
"12041",0.0367
"12042",0.0788
"12043",0.048
"12045",-0.6873
"12048",-0.0133
"12050",-0.107
"12051",0.1941
"12053",-0.0115
"12054",-0.0285
"12055",-0.272
"12062",-0.6096
"12064",0.5639
"12068",-0.1179
"12069",-0.1427
"12070",-0.1268
"12075",-0.3057
"12091",0.0374
"12095",-2.0416
"12111",-0.1967
"12121",-0.0395
"12122",0.0144
"12123",-0.1892
"12125",-0.0522
"12140",0.0988
"12142",0.1288
"12144",0.3036
"12151",0.0967
"12153",-0.0721
"12156",-0.0681
"12159",-0.2657
"12160",0.3979
"12161",0.1916
"12162",-0.1007
"12166",-0.0508
"12167",-0.0963
"12168",0.1167
"12169",-0.0723
"12175",0.0664
"12176",-0.0613
"12177",-0.0316
"12180",0.5334
"12181",0.1063
"12182",0.5154
"12183",0.0451
"12189",1.0266
"12190",-0.0327
"12192",-0.0892
"12193",-0.2084
"12211",0.1519
"12212",0.1004
"12215",-0.021
"12217",0.2428
"12223",-0.1584
"12224",-0.0236
"12226",-0.0398
"12227",0.0806
"12228",-0.0769
"12229",0.2459
"12234",-6.272e-05
"12236",0.3622
"12237",0.102
"12238",0.0652
"12257",0.2223
"12258",-0.1319
"12259",0.1144
"12260",0.0675
"12261",-0.0068
"12262",0.0987
"12263",-0.1389
"12265",-0.1847
"12266",0.3755
"12267",0.3484
"12268",-0.1061
"12269",-0.1677
"12273",1.2579
"12282",0.0745
"12283",-0.0105
"12286",0.0457
"12287",0.0915
"12288",0.21
"12289",0.0733
"12290",0.1883
"12291",0.0049
"12292",0.1458
"12293",0.1096
"12294",0.0449
"12295",0.0442
"12296",0.138
"12297",0.0139
"12298",0.0033
"12300",0.052
"12301",-0.1255
"12304",0.1256
"12305",0.0469
"12306",0.0145
"12307",-0.1444
"12308",-0.1633
"12310",-0.5803
"12316",0.2369
"12317",0.0561
"12319",-0.4863
"12321",0.0205
"12325",-0.1155
"12326",-0.0618
"12328",-0.0309
"12330",-0.0198
"12331",0.0827
"12332",-0.3184
"12333",0.1451
"12334",-0.0299
"12335",-0.0382
"12336",-0.0379
"12337",-0.0064
"12338",0.4632
"12339",0.0188
"12340",0.0197
"12343",0.0409
"12345",-0.0179
"12348",-0.1289
"12349",-0.1226
"12351",0.1934
"12352",0.8523
"12354",0.0141
"12355",1.0901
"12359",0.0417
"12361",0.098
"12362",-0.1838
"12363",-0.31
"12364",-0.5794
"12366",0.1294
"12367",-0.0433
"12368",-0.1642
"12369",0.0321
"12370",-0.05
"12371",0.079
"12372",0.0577
"12373",0.9495
"12380",-0.1791
"12385",-0.1467
"12386",-0.003
"12387",-0.0014
"12388",-0.0369
"12389",-0.0328
"12390",-0.1245
"12391",-0.1779
"12393",-0.0753
"12394",-0.142
"12395",-0.1203
"12396",0.1048
"12398",0.1382
"12400",0.1639
"12402",0.1391
"12404",-0.3212
"12405",-0.372
"12406",-0.0598
"12408",-0.086
"12409",-0.5697
"12411",-0.0689
"12412",-0.04
"12416",0.0022
"12417",-0.0446
"12418",0.1389
"12419",0.0021
"12421",0.0514
"12424",-0.089
"12426",-0.5269
"12427",-0.8199
"12428",0.0763
"12442",0.3508
"12443",0.1522
"12444",0.046
"12445",-0.0319
"12447",0.1851
"12448",-0.6703
"12449",0.518
"12450",-0.0281
"12452",0.1004
"12453",-0.0559
"12454",-0.044
"12455",0.0988
"12457",0.0649
"12460",0.0205
"12461",-0.062
"12462",-0.0555
"12464",-0.0634
"12465",-0.0287
"12466",-0.0346
"12467",-1.6435
"12468",-0.0229
"12469",-0.056
"12475",0.1166
"12476",-0.0432
"12479",0.0367
"12483",-0.2234
"12484",-0.0472
"12488",-0.0867
"12489",0.1193
"12490",-0.1636
"12491",-0.7176
"12492",-0.0823
"12493",0.0707
"12494",0.294
"12495",-0.0057
"12496",-0.3287
"12497",4e-04
"12499",-0.0452
"12503",1.143
"12504",0.7598
"12505",0.4772
"12506",-0.3495
"12508",-0.0118
"12509",-0.17
"12511",-0.3328
"12512",-0.0979
"12514",0.2734
"12516",-0.6853
"12517",-0.4912
"12518",0.0984
"12519",0.0842
"12520",-0.0972
"12521",-0.2634
"12522",-0.0012
"12523",0.1791
"12524",0.3386
"12527",-0.1115
"12530",-0.0323
"12531",-0.071
"12537",-0.1493
"12539",-0.0742
"12540",-0.0376
"12544",0.2859
"12545",-0.1679
"12549",-0.0061
"12550",0.8288
"12552",0.0424
"12554",-0.1586
"12555",-0.3188
"12558",0.052
"12561",0.1405
"12562",-0.0031
"12563",-0.0369
"12564",0.119
"12565",0.4749
"12566",0.0061
"12567",-0.0102
"12568",-0.0789
"12569",0.1053
"12570",0.0109
"12571",0.5591
"12572",0.0052
"12575",0.0604
"12576",-0.0207
"12577",-0.2932
"12579",0.2655
"12580",0.1846
"12581",-0.0136
"12583",0.0429
"12585",-0.2456
"12587",-0.6724
"12589",-0.1049
"12593",0.3586
"12606",-0.0206
"12607",-0.0201
"12608",0.0638
"12609",0.3175
"12611",0.0547
"12614",0.1047
"12615",-0.0144
"12616",-0.0945
"12617",0.0093
"12626",-0.1744
"12628",-0.1649
"12631",-0.0445
"12632",-0.0537
"12633",-0.0457
"12638",0.3073
"12642",-0.2674
"12648",0.2443
"12649",0.1081
"12651",-0.1401
"12652",-0.0454
"12653",0.0725
"12654",-0.1615
"12659",-0.1709
"12660",-0.112
"12661",0.1086
"12662",0.0098
"12663",-0.247
"12667",-0.0491
"12669",0.1565
"12671",0.0832
"12672",-0.3144
"12675",-0.014
"12677",0.9327
"12683",0.1095
"12684",0.2741
"12695",-0.2328
"12696",-0.3359
"12700",-0.0849
"12702",-0.3405
"12703",0.008
