"","GSE184615_enrichment"
"11302",0.00545661183624367
"11303",0.00842152059435201
"11304",0.961678686200378
"11305",0.00465168840680145
"11306",0.00409388675354993
"11307",0.00359973185855548
"11308",0.00458584977858106
"11350",0.00506178818603634
"11352",0.00868168498519679
"11363",0.0080760065610981
"11364",0.00640920752788301
"11370",0.00858777203976793
"11409",0.019055520200758
"11416",0.00370897319302535
"11418",0.00884219314298521
"11419",0.010101877725149
"11421",0.351649
"11423",0.0130394396052991
"11428",0.00471257487542937
"11429",0.00411083864744425
"11430",0.00275365160278404
"11431",0.00450845825229659
"11432",0.00297893160606889
"11433",0.287596688592808
"11434",0.326909968137684
"11435",0.158530660547977
"11438",0.0243284661996093
"11440",0.489491305510536
"11441",0.0197117530455787
"11443",0.112005270827033
"11444",0.00429220193506076
"11459",0.0465804837838822
"11465",0.00254314307925299
"11472",0.0408795877518214
"11474",0.158349559737658
"11475",0.053614007366404
"11477",0.0204218899595644
"11479",0.00340780068135339
"11480",0.00470031300753019
"11481",0.0220394077791559
"11482",0.0171624855588568
"11484",0.029817315320428
"11486",0.174533346466942
"11487",0.00367529965167339
"11488",0.0148758377642673
"11489",0.0198044630996118
"11490",0.00443085287917628
"11491",0.0133836099893656
"11492",0.0103372355835001
"11496",0.00257334574417947
"11498",0.295616070930465
"11499",0.535772741340651
"11501",0.0626768783607139
"11502",0.00343115685135738
"11504",0.0154954358963831
"11512",0.00582904770531913
"11513",0.0255911746962648
"11514",0.0229765508103326
"11515",0.00786120079832526
"11516",0.0468840983279041
"11517",0.00383992545939259
"11518",0.00258981086206329
"11519",0.00372252863723971
"11520",0.0248867928933254
"11522",0.328027122320548
"11532",0.00549853335019082
"11534",0.00561432131232701
"11535",0.398250251805998
"11536",0.211873405698948
"11538",0.220391741210798
"11539",0.00486634693320707
"11540",0.0892393635067078
"11541",0.0342935528120713
"11542",0.245623443332721
"11544",0.00435919951870237
"11545",0.00923159866283959
"11546",0.0105857165008147
"11548",0.0521721588131687
"11549",0.0137400997581383
"11550",0.0164410653237293
"11551",0.0179872792578016
"11552",0.384419444690338
"11553",0.00904656609681143
"11554",0.0143150444331474
"11555",0.0729285966457974
"11556",0.176760666955892
"11564",0.0103384530228452
"11565",0.0286655739644462
"11566",0.00494191703139044
"11567",0.195960048449162
"11568",0.0485278697192828
"11569",0.00368171488741674
"11593",0.0252761144645113
"11595",0.0246985352352749
"11600",0.0241573345806351
"11601",0.10799831540617
"11603",0.00393652078000319
"11605",0.0145948399789889
"11606",0.0201244783924357
"11607",0.260209167219252
"11609",0.30190875881956
"11610",0.017435990112192
"11615",3.17161530106614
"11622",0.0092837626185913
"11624",0.0936164877314296
"11629",0.03515625
"11630",0.137418402052209
"11632",0.00525490250272937
"11636",0.00671188574888865
"11637",0.00858550358618593
"11639",0.0103765324596055
"11640",0.00508518850474416
"11647",0.0492193324854173
"11651",0.0024132448211205
"11652",0.0123862670739103
"11655",0.00368410531194921
"11656",0.475771824927894
"11658",0.00556745562130177
"11666",0.0174555981879089
"11668",0.0126159883744797
"11669",0.0119884395968184
"11670",0.12393537968022
"11671",0.00370381126616355
"11676",0.00967290222227294
"11677",0.00733540717859553
"11682",0.0245968372695634
"11684",0.29781668318825
"11686",0.094603239894099
"11687",0.0347335254101605
"11688",0.0281106919936796
"11689",0.141058960550626
"11690",0.0411992841906507
"11692",0.0117795993233044
"11694",0.840959854809441
"11695",0.081998800406585
"11702",0.0056660722436066
"11717",0.0081415277453333
"11722",0.0556683066217921
"11727",0.0962826300143788
"11732",0.00259128893648662
"11733",0.0118088548981213
"11735",0.00951814396192742
"11736",0.00342507882861009
"11737",0.0124658308982939
"11739",0.00608304200291453
"11740",0.00534023668639053
"11744",0.0230135153758913
"11745",0.0278094063294752
"11746",0.0458088684772411
"11747",0.0183253561144906
"11749",0.0135146778881448
"11750",0.00434473251731565
"11752",0.103722946545798
"11754",0.181718210183262
"11757",0.00668726526334178
"11758",0.00658936436833446
"11761",0.0473675168738653
"11764",0.00277008310249308
"11765",0.0047731420845139
"11766",0.124031412382784
"11767",0.00874695926711868
"11768",0.266016035069046
"11769",0.00430628116164227
"11771",0.00296212016773435
"11772",0.00412132296905959
"11773",0.00273301803910249
"11774",0.00390337746409467
"11775",0.00275679052066351
"11776",0.00375472988507928
"11777",0.00361972272086952
"11778",0.0072350626728756
"11781",0.00772585777402013
"11782",0.00740627952951079
"11783",0.0114481193584989
"11784",0.00371205900748308
"11785",0.00408814699014266
"11787",0.00565041160648686
"11789",0.00402114461236207
"11790",0.00484925657606778
"11792",0.00620244537895393
"11793",0.00877136937413861
"11796",0.0668747636428139
"11797",0.00940951120588945
"11798",0.0039771435968758
"11799",0.244917698019687
"11800",0.00351439954634067
"11803",0.00870860485747778
"11804",0.005776
"11807",0.300024977309346
"11810",0.124456103938633
"11812",0.271686863397683
"11815",0.0340738170478354
"11816",0.00638035304305558
"11818",0.501983518808509
"11819",0.0286754649452038
"11820",0.00215654571343521
"11821",0.0065362421105963
"11826",2.35163805930492
"11829",0.00960315546676176
"11834",0.0041825762910042
"11835",0.00906086598160477
"11836",0.00454939818999608
"11837",0.00468610538944907
"11838",0.143247876942798
"11840",0.00313088784139116
"11841",0.00505055738360903
"11842",0.00274548014469955
"11843",0.00497126732358654
"11844",0.005249765494871
"11845",0.00585498624989806
"11847",0.0447425864832699
"11848",0.00410113898729894
"11852",0.00271496899435982
"11853",0.0402186830419496
"11854",0.242826962175005
"11855",0.00347913932731356
"11856",0.0698545539693571
"11857",0.0218291347519158
"11858",0.00979802786097762
"11861",0.00777545286151437
"11863",0.0173180271335277
"11864",0.00582976841761827
"11865",0.0143526377609018
"11867",0.0162001055515008
"11876",0.561866417701126
"11877",0.0109747035750614
"11878",0.0210572679325431
"11881",0.0311814532329361
"11883",0.0090702947845805
"11886",0.00811622433244055
"11889",0.446463496676017
"11891",0.0206647554772714
"11898",0.0250176841205197
"11899",0.0090083498756608
"11906",0.0531392308989712
"11907",0.00411138139809302
"11908",0.0255377624242533
"11909",0.00237466637958038
"11910",0.192737411564329
"11911",0.0177753368650318
"11920",0.00419423011862372
"11922",0.0142785359120952
"11923",0.689151372498712
"11924",0.205435642373881
"11927",0.016033142575912
"11928",0.00857668915137613
"11931",0.00321111111111111
"11932",0.0392516411802107
"11933",0.00853936513855697
"11936",0.092554122535803
"11941",0.00562723280736117
"11944",0.263926411990623
"11946",0.00376865077604453
"11949",0.00444109835426041
"11950",0.00483891291623166
"11951",0.00635725836601321
"11957",0.00547930776193003
"11958",0.00631937497933012
"11964",0.00262220653472253
"11966",0.00244422815396652
"11972",0.00342599640380619
"11973",0.00414657943067034
"11974",0.0178002315523359
"11975",0.0032877443857772
"11977",0.037714765805503
"11979",0.0512135855502367
"11980",0.00235392125182751
"11981",0.00241553569496143
"11982",0.0301595424065965
"11983",0.00558930194046169
"11984",0.00548696844993141
"11987",0.00982712625691976
"11988",0.00666147891744167
"11989",0.0222121815293229
"11990",0.00238938820386614
"11991",0.00526751613125669
"11992",0.00454286749256677
"11993",0.00441739498582545
"11994",0.0341585780288922
"12005",0.00436326908509385
"12006",0.0113525726929381
"12009",0.00896055236120275
"12010",0.00802153081005945
"12012",0.413861089662389
"12013",0.00973032371600084
"12014",0.02939760107068
"12015",0.00856897972477574
"12017",0.00530420633416176
"12018",0.0205097077408997
"12021",0.154003263723344
"12023",0.163302474148589
"12028",0.0115763335388697
"12029",0.118796149763702
"12032",0.00934936451514739
"12033",0.00747090045063274
"12034",0.00572859995874171
"12035",0.00419707726899731
"12036",0.024928793987221
