"","GSE184615_enrichment"
"11302",0.0738688827331487
"11303",0.0917688432658492
"11304",0.980652173913043
"11305",0.068203287360665
"11306",0.0639834881320949
"11307",0.0599977654463521
"11308",0.0677189026681699
"11350",0.0711462450592885
"11352",0.093175560020838
"11363",0.0898666042593026
"11364",0.0800575263662512
"11370",0.092670232759867
"11409",0.138041733547352
"11416",0.0609013398294763
"11418",0.0940329364796464
"11419",0.100508097808828
"11421",0.593
"11423",0.114190365641323
"11428",0.0686481964470253
"11429",0.0641158221302999
"11430",0.0524752475247525
"11431",0.0671450538185546
"11432",0.0545795896473113
"11433",0.536280419736548
"11434",0.571760411481666
"11435",0.398159089495615
"11438",0.15597585133478
"11440",0.699636552440291
"11441",0.140398550724638
"11443",0.334671885325065
"11444",0.0655148985732311
"11459",0.215825123152709
"11465",0.0504295853567426
"11472",0.202187011827717
"11474",0.397931601833353
"11475",0.231546987383563
"11477",0.142905178211163
"11479",0.0583763709162653
"11480",0.0685588288080404
"11481",0.148456753902124
"11482",0.131005669949269
"11484",0.172676910212188
"11486",0.417771883289125
"11487",0.06062424969988
"11488",0.121966543626797
"11489",0.140728330835023
"11490",0.0665646518745218
"11491",0.115687553303567
"11492",0.101672196708343
"11496",0.0507281553398058
"11498",0.543705868030192
"11499",0.731964986417145
"11501",0.25035350678733
"11502",0.0585760774664656
"11504",0.124480664749121
"11512",0.0763482004065527
"11513",0.159972418548526
"11514",0.151580179477175
"11515",0.0886634129634387
"11516",0.216527361614887
"11517",0.06196713208946
"11518",0.0508901843390578
"11519",0.0610125285268502
"11520",0.157755484511079
"11522",0.572736520854527
"11532",0.0741520960606699
"11534",0.0749287749287749
"11535",0.631070718545868
"11536",0.460297084173849
"11538",0.469458987783595
"11539",0.0697592067988669
"11540",0.298729582577132
"11541",0.185185185185185
"11542",0.495604119567948
"11544",0.0660242343287854
"11545",0.096081208687441
"11546",0.102886911222053
"11548",0.228412256267409
"11549",0.117218171620864
"11550",0.128222717658492
"11551",0.134116662864096
"11552",0.620015681003584
"11553",0.0951134380453752
"11554",0.119645494830133
"11555",0.270052951559129
"11556",0.420429146177917
"11564",0.101678183613031
"11565",0.169309107742159
"11566",0.070298769771529
"11567",0.442673749446658
"11568",0.220290421306245
"11569",0.0606771364470732
"11593",0.158984635938544
"11595",0.157157676348548
"11600",0.155426299514063
"11601",0.328630971465213
"11603",0.0627416988931858
"11605",0.120809105530125
"11606",0.141860771154099
"11607",0.510107015457788
"11609",0.549462245126596
"11610",0.13204540928102
"11615",1.78090294543699
"11622",0.0963522839303319
"11624",0.305968115547077
"11629",0.1875
"11630",0.370699881376038
"11632",0.0724907063197026
"11636",0.0819260993144959
"11637",0.0926579925650557
"11639",0.101865266207896
"11640",0.071310507674144
"11647",0.221854304635762
"11651",0.049124788255223
"11652",0.111293607515932
"11655",0.0606968311524515
"11656",0.68976215098242
"11658",0.0746153846153846
"11666",0.132119635890767
"11668",0.112320916905444
"11669",0.109491733006736
"11670",0.352044570587617
"11671",0.0608589456543863
"11676",0.0983509136829594
"11677",0.0856469916494183
"11682",0.156833788673115
"11684",0.54572583152005
"11686",0.307576396841661
"11687",0.18636932529298
"11688",0.167662434652726
"11689",0.375578168362627
"11690",0.202976068024412
"11692",0.10853386256512
"11694",0.91703863321533
"11695",0.286354326676907
"11702",0.075273316943035
"11717",0.0902304147465438
"11722",0.235941320293399
"11727",0.310294424723324
"11732",0.0509047044632087
"11733",0.108668555240793
"11735",0.0975609756097561
"11736",0.0585241730279898
"11737",0.111650485436893
"11739",0.0779938587512794
"11740",0.0730769230769231
"11744",0.151702061211743
"11745",0.166761525327262
"11746",0.214030064423765
"11747",0.135371179039301
"11749",0.116252646800599
"11750",0.065914585012087
"11752",0.322060470324748
"11754",0.42628418945964
"11757",0.0817757009345794
"11758",0.0811748998664887
"11761",0.217640797815725
"11764",0.0526315789473684
"11765",0.0690879300928454
"11766",0.352180936995154
"11767",0.0935251798561151
"11768",0.515767423427504
"11769",0.0656222611744084
"11771",0.0544253632760898
"11772",0.0641975308641975
"11773",0.0522782750203417
"11774",0.0624770154864545
"11775",0.0525051475634866
"11776",0.061275850749535
"11777",0.0601641315142962
"11778",0.0850591715976331
"11781",0.0878968587266924
"11782",0.0860597439544808
"11783",0.106995884773663
"11784",0.060926669098869
"11785",0.0639386189258312
"11787",0.0751692198076238
"11789",0.0634124957115084
"11790",0.0696366037085941
"11792",0.0787556053811659
"11793",0.0936555891238671
"11796",0.258601553829079
"11797",0.0970026350461133
"11798",0.0630645986023521
"11799",0.494891602292549
"11800",0.0592823712948518
"11803",0.0933199060087278
"11804",0.076
"11807",0.547745358090186
"11810",0.352783366867874
"11812",0.521235899950956
"11815",0.184590945194599
"11816",0.0798771121351766
"11818",0.708507952537238
"11819",0.169338315053634
"11820",0.0464386230785884
"11821",0.0808470290771176
"11826",1.53350515463918
"11829",0.0979956910622184
"11834",0.0646728404432974
"11835",0.0951885811513375
"11836",0.0674492267561021
"11837",0.0684551341350601
"11838",0.378481012658228
"11840",0.0559543371097466
"11841",0.0710672736469398
"11842",0.0523973295569492
"11843",0.0705072146917359
"11844",0.072455265473746
"11845",0.0765178818963127
"11847",0.211524434719183
"11848",0.0640401357532832
"11852",0.052105364353009
"11853",0.200545962417471
"11854",0.492774758053825
"11855",0.058984229479697
"11856",0.264300121016539
"11857",0.147746860379217
"11858",0.098984988058683
"11861",0.0881785283474065
"11863",0.131597975415763
"11864",0.0763529201643151
"11865",0.119802494802495
"11867",0.127279635258359
"11876",0.749577492792524
"11877",0.104760219430189
"11878",0.145111226073461
"11881",0.176582709326072
"11883",0.0952380952380952
"11886",0.0900900900900901
"11889",0.668179239931934
"11891",0.143752410335519
"11898",0.158169795221843
"11899",0.0949123273113709
"11906",0.230519480519481
"11907",0.0641200545702592
"11908",0.159805389221557
"11909",0.0487305487305487
"11910",0.439018691588785
"11911",0.13332417959632
"11920",0.0647628760836308
"11922",0.119492827868852
"11923",0.830151415404872
"11924",0.453250088112381
"11927",0.126622046168556
"11928",0.0926104159982889
"11931",0.0566666666666667
"11932",0.19812026948349
"11933",0.0924086854064972
"11936",0.304227090404196
"11941",0.0750148839055368
"11944",0.513737687921203
"11946",0.061389337641357
"11949",0.0666415662650602
"11950",0.0695622952196925
"11951",0.079732417284397
"11957",0.0740223463687151
"11958",0.0794944965348553
"11964",0.0512074851435074
"11966",0.0494391358537599
"11972",0.0585320117867667
"11973",0.0643939393939394
"11974",0.133417508417508
"11975",0.0573388558115454
"11977",0.194202898550725
"11979",0.226304188096988
"11980",0.0485172263410379
"11981",0.0491480996068152
"11982",0.173665029313896
"11983",0.0747616341478815
"11984",0.0740740740740741
"11987",0.099131862975129
"11988",0.0816178835638469
"11989",0.149037517187193
"11990",0.048881368678323
"11991",0.0725776558677441
"11992",0.0674007974178849
"11993",0.0664634861094831
"11994",0.184820393974508
"12005",0.0660550458715596
"12006",0.106548452325401
"12009",0.0946601941747573
"12010",0.0895629991126886
"12012",0.643320363164721
"12013",0.0986424032351242
"12014",0.171457286432161
"12015",0.0925687837490357
"12017",0.0728299823847415
"12018",0.143212107522024
"12021",0.392432495753529
"12023",0.404107008289374
"12028",0.107593371258966
"12029",0.34466817341278
"12032",0.0966921119592875
"12033",0.0864343707713126
"12034",0.0756875152105135
"12035",0.0647848537005164
"12036",0.157888549259346
"12038",0.239722714815412
"12039",0.100848256361923
"12040",0.08334473792254
"12041",0.0803000220604456
"12042",0.129180804653417
"12043",0.1148753894081
"12045",0.530783742068256
"12048",0.068762278978389
"12050",0.0772766446423442
"12053",0.104595521849043
"12054",0.0961935674240189
"12055",0.0901542111506524
"12062",0.42317420170724
"12064",0.131979695431472
"12068",0.106794903822133
"12069",0.0769230769230769
"12070",0.0778557753669432
"12075",0.30322966507177
"12091",0.0863992009322457
"12095",0.666415662650602
"12111",0.252726588943212
"12121",0.0565967203309575
"12122",0.143039591315453
"12123",0.0918479641073394
"12125",0.17431570281951
"12140",0.212596908556845
"12142",0.413962033067973
"12144",0.152445349417957
"12151",0.0624332163028545
"12153",0.0981579450570463
"12156",0.253908692933083
"12159",0.329900369416769
"12160",0.41338408427016
"12161",0.34742951907131
"12162",0.367125573633709
"12166",0.0575628520401154
"12167",0.0791527313266444
"12168",0.0761760242792109
"12169",0.30945558739255
"12175",0.0847295086591076
"12176",0.0717884130982368
"12177",0.0620929222752931
"12180",0.362129944982971
"12181",0.0900431344356578
"12182",0.518776404318573
"12183",0.0820931349015842
"12189",0.266134185303514
"12190",0.120307104547792
"12192",0.16288376879538
"12193",0.158627087198516
"12211",0.057108246084624
"12212",0.0598397732846477
"12215",0.0955582497520115
"12217",0.152432432432432
"12223",0.577615780445969
"12224",0.435716761002657
"12226",0.0771741859881142
"12227",0.185333463528952
"12228",0.113427856547123
"12229",0.342006162273194
"12234",0.0508294516629893
"12235",0.555999492643328
"12236",0.203393999016232
"12237",0.0598426870748299
"12238",0.0817709509826067
"12257",0.306313036981696
"12258",0.2820159217702
"12259",0.0854756836417226
"12260",0.0958425896540781
"12261",0.0696483771251932
"12262",0.0916375291375291
"12263",0.507040417209909
"12265",0.385603425207386
"12266",0.314786314667929
"12267",0.233611442193087
"12268",0.143233225222189
"12269",0.508711600183402
"12273",0.669648403528389
"12282",0.0684494602551521
"12283",0.0549526668205957
"12286",0.0813008130081301
"12287",0.0936830160131131
"12288",0.141875243159123
"12289",0.0964765100671141
"12290",0.111336032388664
"12291",0.0957763236168947
"12292",0.755959359124658
"12293",0.0586495810744209
"12294",0.0824583635047067
"12295",0.0746268656716418
"12296",0.0902480752780154
"12297",0.0778138026864289
"12298",0.108516996638028
"12300",0.100010205122972
"12301",0.0990546650226058
"12304",0.105421686746988
"12305",0.127488299531981
"12306",0.237239098987394
"12307",0.119047619047619
"12308",0.196303968600087
"12310",0.434131736526946
"12315",0.069742360695027
"12316",0.275287865367582
"12317",0.112187537375912
"12319",0.13170541628783
"12321",0.0848284271032921
"12322",0.161738412873057
"12323",0.0723298448749351
"12325",0.0974585635359116
"12326",0.0739858411057422
"12328",0.0835876735256473
"12330",0.0702389078498293
"12331",0.0610137672090113
"12332",0.246822675005043
"12333",0.0895123097501898
"12334",0.0879336484437706
"12335",0.209918269526209
"12336",0.0884228187919463
"12337",0.087698052275709
"12338",0.466095089633671
"12339",0.0760713553413984
"12340",0.0643491846499365
"12343",0.0702341137123746
"12345",0.0566303200844179
"12348",0.0972714386959603
"12349",0.108825319537432
"12351",0.137597163507432
"12354",0.148193376912578
"12355",0.959344894026975
"12359",0.0608133086876155
"12361",0.0521729321187851
"12362",0.382785645538292
"12363",0.825588974764876
"12364",0.400026712969146
"12366",0.159902456018115
"12367",0.163377901486157
"12368",0.253215729511209
"12369",0.26986410871303
"12370",0.198146309169149
"12371",0.0869104398516163
"12372",0.559870112298742
"12373",0.431462140992167
"12374",0.431652001487173
"12380",0.194279546681058
"12385",0.124756335282651
"12386",0.058252427184466
"12387",0.0601056061116728
"12388",0.100644577632025
"12389",0.141023682200153
"12390",0.132608591542551
"12391",0.444776119402985
"12393",0.151072509540729
"12394",0.327440239043825
"12395",0.0880361173814898
"12396",0.071558845617423
"12398",0.178622816032888
"12400",0.07529493407356
"12402",0.150679291889667
"12404",0.325493337216923
"12405",0.219251336898396
"12406",0.196973754686663
"12408",0.0726569217540843
"12409",0.589063128266988
"12411",0.0923111816738489
"12412",0.0817499492866319
"12416",0.218513257575758
"12417",0.0660175730230349
"12418",0.075533357997287
"12419",0.0519962859795729
"12421",0.0516277540282802
"12424",0.0633831247476786
"12426",0.342414344290778
"12427",0.491215128755365
"12428",0.305369928400955
