"","GSE184615_enrichment"
"12181",-0.5564
"12182",1.2782
"12183",0.2083
"12189",-0.939
"12190",2.7222
"12192",1.7491
"12193",0.539
"12211",1.1557
"12212",-1.8349
"12215",1.8146
"12217",0.4625
"12223",-0.4664
"12224",0.8657
"12226",-1.1947
"12227",2.0482
"12228",-0.1199
"12229",-0.2921
"12234",-1.2237
"12235",1.5768
"12236",-0.8132
"12237",-0.9408
"12238",-0.4427
"12257",-0.2677
"12258",1.5953
"12259",-1.2214
"12260",-0.6302
"12261",-1.0352
"12262",-0.6864
"12263",0.767
"12265",0.3737
"12266",-1.6894
"12267",-0.1678
"12268",-4.7482
"12269",-0.4362
"12273",-0.8049
"12282",0.4076
"12283",-0.4331
"12286",0.0246
"12287",0.7931
"12288",0.7711
"12289",0.2384
"12290",0.0494
"12291",0.3362
"12292",1.5354
"12293",-1.4203
"12294",1.1048
"12295",-0.0335
"12296",-0.9352
"12297",-1.0795
"12298",0.5354
"12300",-0.9799
"12301",0.2433
"12304",-0.0332
"12305",1.6025
"12306",0.9678
"12307",0.0042
"12308",1.8344
"12310",0.0334
"12315",-0.8345
"12316",1.129
"12317",0.8361
"12319",-0.7699
"12321",1.1482
"12322",-0.7271
"12323",-2.6946
"12325",-1.3575
"12326",4.4495
"12328",-2.0314
"12330",1.465
"12331",-0.9588
"12332",0.9914
"12333",-2.7661
"12334",-1.1213
"12335",-1.6273
"12336",0.596
"12337",0.9909
"12338",1.4113
"12339",-0.4877
"12340",1.0241
"12343",-0.8372
"12345",0.2843
"12348",0.5644
"12349",-1.643
"12351",0.7333
"12354",-1.3921
"12355",-1.557
"12359",1.623
"12361",3.5459
"12362",0.7273
"12363",1.0739
"12364",0.7487
"12366",0.5741
"12367",2.0119
"12368",0.2721
"12369",1.8765
"12370",1.5105
"12371",-0.5661
"12372",0.7391
"12373",1.6852
"12374",5.6483
"12380",-1.1118
"12385",0.6669
"12386",0.3708
"12387",1.7802
"12388",0.8843
"12389",1.309
"12390",2.0881
"12391",0.0335
"12393",-0.7599
"12394",0.8032
"12395",0.0443
"12396",-0.9321
"12398",0.4865
"12400",0.2882
"12402",0.4858
"12404",1.3733
"12405",-0.0187
"12406",1.4936
