"","GSE1833_environmental enrichment"
"100036765",0.00356250223574105
"100125364",0.00213941610788467
"100125370",0.00269333197146046
"100125371",0.0013684166782816
"100125373",0.00541719113102283
"100126191",0.00490540663219956
"100145871",0.00207216940599267
"100158233",0.0049508776555844
"100174909",0.00294283305430666
"100174910",0.00326530612244898
"100188932",0.00588748154340417
"100188937",0.00166585937432441
"100188944",0.00250982920898597
"100189544",0.00197368387655609
"100190936",0.00783491048609718
"100192313",0.00377125216668352
"100196907",0.00186795234306856
"100233176",0.00634924970463602
"100294508",0.00275438861224284
"100301568",0.00459146399783476
"100302372",0.00283323153141769
"100302447",0.00728245128371103
"100302453",0.00216305738748361
"100303643",0.00232111927885916
"100310874",0.00277008310249308
"100312735",0.00158809932176171
"100322884",0.00722546021306739
"100359861",0.0080792706418935
"100359946",0.00268144620821455
"100359982",0.0030660474011338
"100360066",0.00244329106969885
"100360077",0.013280634595984
"100360180",0.00454307793697027
"100360302",0.00350345978785144
"100360334",0.00546558372801878
"100360427",0.0031561671506123
"100360501",0.00336009439850734
"100360582",0.00185234591364207
"100360682",0.00278522703657308
"100360872",0.00156471795963412
"100360880",0.010651632306821
"100361138",0.00387283431190465
"100361269",0.00436098255606978
"100361294",0.00485989493621667
"100361376",0.00230964185686439
"100361417",0.00239995934539991
"100361444",0.00259718939218073
"100361506",0.00179709244653851
"100361574",0.00596113107463367
"100361647",0.00201089907297553
"100361733",0.00449003506818575
"100361884",0.00255563815488504
"100362005",0.0067785138914571
"100362121",0.00340971793407073
"100362331",0.00358184113865932
"100362347",0.0056180569428118
"100362640",0.00244882341576743
"100362805",0.00282530845132049
"100363521",0.00219064155085608
"100364523",0.0021081318415116
"100365504",0.00286613090281312
"100365872",0.00451323526557861
"100365921",0.00611967596090799
"100526644",0.00250964319259284
"100529260",0.00251919378752514
"100534597",0.00383658891675679
"100909827",0.00686668842917537
"100909970",0.0062042597110152
"100910202",0.00449344116510277
"100910237",0.00299156481679669
"100910318",0.00278529286445456
"100910558",0.00671167874567714
"100910827",0.00546601260832885
"100910872",0.00514047413300783
"100910940",0.00412840560924811
"100910973",0.00522605095678462
"100910996",0.00284083588858255
"100911177",0.00204545587637242
"100911235",0.0071401590422703
"100911360",0.00132584852793774
"100911483",0.00298499212760146
"100911581",0.00327105489972088
"100911627",0.00257773900016852
"100911652",0.00390524134982023
"100911664",0.00306268230069225
"100911717",0.00394307566635867
"100911740",0.00271180437339784
"100912041",0.0105039570602425
"100912108",0.00630774556217093
"100912115",0.00873062160736158
"100912525",0.00345307684132214
"102238592",0.00377064074973564
"102549710",0.00211483875269233
"102549726",0.00240655037379851
"102550394",0.00234760386564137
"102552664",0.00385782535465813
"102553861",0.00196838524192679
"102554586",0.00530381310958378
"102554884",0.00262202102509934
"102557319",0.0025072411258249
"103689992",0.00206551954993177
"103690123",0.00362010037970353
"103690132",0.00314537332107512
"103691034",0.00366686816465538
"103691906",0.00652921715561225
"103692131",0.00174694485151002
"103693239",0.00249312816181558
"104845258",0.00255252708341832
"104845260",0.00398056543439816
"104940696",0.00800141991170929
"106345158",0.00216278774081986
"106345160",0.00281549354435652
"106631776",0.00336247719644336
"108348073",0.00610497071421815
"110596864",0.00461742670886358
"112400",0.0032018369524533
"113882",0.00217505310161006
"113892",0.00938748344962445
"113893",0.00596242191314449
"113894",0.0030878623132111
"113898",0.00294453458325822
"113901",0.00360464966047776
