"","GSE1833_environmental enrichment"
"116501",0.13485
"116502",-0.4042
"116504",-0.6923
"116506",1.36425
"116508",0.2838
"116509",0.979366666666667
"116510",0.5415
"116543",0.1713
"116544",0.7091
"116545",0.4502
"116546",0.5992
"116547",-0.4198
"116548",0.1577
"116549",0.1096
"116550",0.2054
"116551",0.9806
"116552",0.0691
"116553",-0.2608
"116554",-1.5652
"116555",-1.2772
"116556",-0.679
"116557",0.6271
"116560",-2.2208
"116561",-0.6152
"116562",-0.9719
"116563",-0.7832
"116564",0.8026
"116565",-0.5146
"116568",-0.2051
"116590",0.0434333333333334
"116592",-0.5008
"116593",-0.1765
"116595",-0.7361
"116596",0.8339
"116597",-0.5914
"116598",1.1036
"116599",-0.0595
"116600",0.8453
"116601",0.4184
"116630",0.0461
"116631",-0.26465
"116632",-0.3788
"116633",-0.6722
"116635",0.8551
"116636",0.4149
"116637",0.6597
"116638",1.6432
"116639",-3.4604
"116641",0.2605
"116642",-1.8729
"116643",-0.3037
"116645",0.2869
"116648",0.3477
"116649",-0.27575
"116653",-0.2061
"116655",1.0506
"116656",-1.3061
"116657",-0.1311
"116658",1.3084
"116659",-0.0801
"116660",-0.5511
"116662",-1.0549
"116663",1.81215
"116664",0.9124
"116665",-1.50075
"116666",0.495
"116667",2.3474
"116668",-0.9926
"116669",1.1344
"116670",-0.0314
"116671",0.4072
"116673",-0.898066666666667
"116674",0.0204
"116675",1.1727
"116676",-0.3387
"116677",-0.4552
"116679",0.6387
"116681",-1.1608
"116682",-0.0511
"116683",-0.3464
"116684",-1.3405
"116685",-0.581
"116686",0.6646
"116687",0.3459
"116689",0.827
"116690",0.1538
"116691",-0.8023
"116692",-0.1129
"116693",-1.28515
"116694",1.2825
"116695",-2.0154
"116696",-1.6679
"116697",-0.693
"116698",-0.4144
"116699",1.9919
"116700",-0.1298
"116711",-0.8416
"116717",-0.5936
"116718",-1.6911
"116720",1.2415
"116721",-2.4805
"116722",0.9969
"116723",0.36185
"116724",-0.0387
"116725",0.12465
"116726",-0.8804
"116728",-1.1673
"116743",0.3963
"116744",1.05815
"116745",0.5416
"116777",0.4435
"116831",0.9637
"116839",-0.6665
"116967",1.5355
"116996",0.5912
"117016",-0.6153
"117017",0.3823
"117018",-0.7662
"117019",-0.2156
"117020",-0.6557
"117021",1.1187
"117022",0.9188
"117023",-0.1313
"117024",-2.4252
"117026",-0.5223
"117027",0.7156
"117028",0.6513
"117029",0.3478
"117030",0.555
"117033",0.497
"117034",-0.2129
"117035",0.4114
"117036",-0.8711
"117037",-1.1336
"117038",0.9567
