"","GSE1833_environmental enrichment"
"100036765",0.0596867006605412
"100125364",0.0462538226299694
"100125370",0.0518973214285714
"100125371",0.0369921164342026
"100125373",0.0736015701668302
"100126191",0.0700386081543569
"100145871",0.0455210874869292
"100158233",0.070362473347548
"100174909",0.0542478852519309
"100174910",0.0571428571428571
"100188932",0.0767299259963423
"100188937",0.0408149405772496
"100188944",0.0500981956659715
"100189544",0.0444261620732209
"100190936",0.0885150297186708
"100192313",0.0614105216284923
"100196907",0.0432198142414861
"100233176",0.0796821793416572
"100294508",0.0524822695035461
"100301568",0.0677603423680457
"100302372",0.0532281084711611
"100302447",0.0853372795659144
"100302453",0.0465086807755671
"100303643",0.0481779957953749
"100310874",0.0526315789473684
"100312735",0.0398509638749393
"100322884",0.0850027070925826
"100359861",0.0898847631241997
"100359946",0.0517826825127334
"100359982",0.0553719008264463
"100360066",0.0494296577946768
"100360077",0.115241635687732
"100360180",0.0674023585415991
"100360302",0.059190031152648
"100360334",0.0739295862832924
"100360427",0.0561797752808989
"100360501",0.0579663212435233
"100360582",0.0430388883876207
"100360682",0.0527752502274795
"100360872",0.0395565160199192
"100360880",0.103206745452131
"100361138",0.0622321003333862
"100361269",0.0660377358490566
"100361294",0.0697129466900996
"100361376",0.0480587334088653
"100361417",0.0489893799246317
"100361444",0.0509626274065685
"100361506",0.0423921271763815
"100361574",0.0772083614295347
"100361647",0.0448430493273543
"100361733",0.0670077239442271
"100361884",0.0505533199195171
"100362005",0.0823317307692308
"100362121",0.0583927900863688
"100362331",0.0598484848484848
"100362347",0.0749536986599847
"100362640",0.0494855879602075
"100362805",0.0531536306504127
"100363521",0.046804289876635
"100364523",0.0459143968871595
"100365504",0.0535362578334825
"100365872",0.0671806167400881
"100365921",0.0782283577796951
"100526644",0.0500963391136802
"100529260",0.0501915708812261
"100534597",0.0619402043648291
"100909827",0.082865483943409
"100909970",0.0787671232876712
"100910202",0.067033134829745
"100910237",0.0546951992116007
"100910318",0.0527758738862234
"100910558",0.0819248359514814
"100910827",0.0739324868263529
"100910872",0.0716970998925886
"100910940",0.0642526700554001
"100910973",0.0722914307285768
"100910996",0.0532994923857868
"100911177",0.0452267164005129
"100911235",0.0844994617868676
"100911360",0.0364122030085758
"100911483",0.0546350814733671
"100911581",0.0571931368235812
"100911627",0.0507714388231073
"100911652",0.0624919302775985
"100911664",0.0553415061295972
"100911717",0.0627939142461964
"100911740",0.0520749879826951
"100912041",0.102488814317673
"100912108",0.0794213167995276
"100912115",0.0934377953900967
"100912525",0.0587628865979381
"102238592",0.0614055433143917
"102549710",0.0459873760144274
"102549726",0.0490566037735849
"102550394",0.0484520780322307
"102552664",0.0621113947247856
"102553861",0.0443664878250103
"102554586",0.0728272827282728
"102554884",0.0512056737588652
"102557319",0.0500723589001447
"103689992",0.0454479873034194
"103690123",0.0601672700037448
"103690132",0.0560836279236207
"103691034",0.0605546708739745
"103691906",0.0808035714285714
"103692131",0.0417964693665628
"103693239",0.0499312343309835
"104845258",0.0505225403500093
"104845260",0.0630917223920711
"104940696",0.0894506562955761
"106345158",0.0465057817998994
"106345160",0.0530612244897959
"106631776",0.0579868708971554
"108348073",0.0781343120160288
"110596864",0.0679516497876511
"112400",0.0565847766846641
"113882",0.0466374645709869
"113892",0.0968890264664913
"113893",0.0772167204246884
"113894",0.0555685370799979
"113898",0.0542635658914729
"113901",0.0600387346675274
"113906",0.0630882343880481
"113907",0.0724598566165381
"113911",0.049049049049049
"113912",0.0977437684908747
"113914",0.0448639724355753
"113918",0.139268680445151
"113922",0.0999095840867993
"113927",0.102776730745068
"113929",0.0613540197461213
"113931",0.0508609271523179
"113936",0.0471132897603486
"113940",0.0569698116778651
"113947",0.0883534136546185
"113948",0.116147599958886
"113955",0.18888021018249
"113956",0.0582642613359337
"113958",0.0532010820559062
"113959",0.0573448546739984
"113960",0.0656552340476757
"113961",0.0526759376316898
"113965",0.0619155111254434
"113970",0.0459183673469388
"113975",0.063595068137573
"113976",0.0675468222290451
"113983",0.058928197613565
"113984",0.0540268278458194
"113990",0.0552193645990923
"113995",0.0455491838848473
"114002",0.0462676781867566
"114004",0.0535183029362308
"114017",0.138516532618409
"114020",0.0755741127348643
"114021",0.0589161232291432
"114023",0.0683823529411765
"114024",0.0647470569519567
"114027",0.0431034482758621
"114029",0.156754547312487
"114031",0.0472160356347439
"114032",0.0541225241824044
"114087",0.0729193178925935
"114089",0.0854011081667068
"114090",0.0945003980486932
"114091",0.0487041036717063
"114093",0.0660194174757282
"114095",0.0782274741506647
"114096",0.0625743516535808
"114097",0.0562126966901791
"114098",0.0491017964071856
"114099",0.0564334085778781
"114100",0.0784708249496982
"114101",0.0575035063113604
"114102",0.0725410710475784
"114103",0.05182398949191
"114104",0.0537997364240324
"114105",0.0545502229215841
"114106",0.0546525802519301
"114107",0.0528409090909091
"114108",0.0877128731001648
"114109",0.0490591397849462
"114110",0.042004200420042
"114111",0.0484764542936288
"114113",0.101017860572307
"114114",0.162772277227723
"114115",0.0467449473382961
"114116",0.0770822555613037
"114117",0.0814444444444444
"114119",0.0568778110944528
"114121",0.0549789410348977
"114122",0.08300477757493
"114123",0.0435084792882958
"114124",0.0686656626332552
"114125",0.0446215139442231
"114200",0.0595533498759305
"114202",0.0669456370549964
"114203",0.0617713233790141
"114205",0.0560730593607306
"114206",0.202821869488536
"114209",0.070979158474243
"114210",0.0711635014189042
"114212",0.0482560108364375
"114213",0.0504861630516081
"114214",0.0531393207692641
"114215",0.043812251806523
"114216",0.13785720167998
"114217",0.131664499349805
"114243",0.053921568627451
"114244",0.0729012528361448
"114245",0.0551340794711936
"114246",0.048847776695878
"114247",0.0479005608609974
"114248",0.0536478205572899
"114300",0.0614179396788092
"114481",0.0709675388302895
"114485",0.0658000178078533
"114488",0.112664376258737
"114489",0.067073582328452
"114490",0.0622353698133131
"114491",0.0481072555205047
"114492",0.0447761194029851
"114493",0.0492957746478873
"114495",0.0682225293003736
"114496",0.0459317585301837
"114498",0.0580451462248415
"114499",0.0687719772788748
"114505",0.0713619173910908
"114506",0.0663362159881881
"114508",0.045045045045045
"114509",0.0489531405782652
"114510",0.116066323613493
"114511",0.0616610738255034
"114512",0.0592057761732852
"114513",0.0953663029615984
"114514",0.0412210771923002
"114515",0.101208459214502
"114517",0.0487364620938628
"114518",0.108423449060899
"114519",0.0605345911949686
"114520",0.0795864013786621
"114521",0.0517241379310345
"114522",0.0666887490338964
"114523",0.0593811291077444
"114552",0.05229793977813
"114553",0.054140127388535
"114554",0.115716044316783
"114555",0.0937880633373934
"114558",0.0403879131925965
"114559",0.0718494334457573
"114560",0.059875459045186
"114561",0.0439840058160669
"114562",0.0889271371199082
"114587",0.0657982951824538
"114589",0.0507462686567164
"114590",0.095067264573991
"114591",0.0441379310344828
"114592",0.0619344583027635
"114593",0.0530888030888031
"114596",0.0651189954737918
"114597",0.0506213713353486
"114598",0.0449227373068433
"114612",0.050392399834779
"114613",0.0820172528201725
"114628",0.0511177844511178
"114629",0.0433912717268976
"114632",0.0692709516238928
"114633",0.0551816958277254
"114634",0.0415879017013233
"114635",0.0703456640388114
"114636",0.0473653734800232
"114638",0.0470847397097219
