"","Probe","NCBIid","gene_ensembl_id","GeneSymbol","GeneName","pvalue","corrected_pvalue","rank","contrast_17283_coefficient","contrast_17283_log2fc","contrast_17283_tstat","contrast_17283_pvalue"
"5348","1373662_at","362112","ENSRNOG00000022514","Tor2a","torsin family 2, member A",0.4732,0.9213,0.5133,-0.0293,-0.0293,-0.5872,0.5673
"5349","1372813_at","360617","ENSRNOG00000007227","Mien1","migration and invasion enhancer 1",0.4745,0.9213,0.515,0.0576,0.0576,1.2199,0.2446
"5350","1367849_at","25216","ENSRNOG00000059947","Sdc1","syndecan 1",0.4732,0.9213,0.5133,-0.0115,-0.0115,-0.1962,0.8475
"5351","1388877_at","296134","ENSRNOG00000015192","Mrps5","mitochondrial ribosomal protein S5",0.4732,0.9213,0.5134,0.0103,0.0103,0.2209,0.8287
"5352","1369277_at","29386","ENSRNOG00000056659","Mecp2","methyl CpG binding protein 2",0.4739,0.9213,0.5141,-0.0204,-0.0204,-0.417,0.6836
"5353","1389020_at","686539","ENSRNOG00000048924","Islr","immunoglobulin superfamily containing leucine-rich repeat",0.4745,0.9213,0.5149,0.0032,0.0032,0.0424,0.9668
"5354","1390500_at","305544","ENSRNOG00000005411","Aftph","aftiphilin",0.4729,0.9213,0.5131,-0.05,-0.05,-0.9784,0.3461
"5355","1372513_at","363875","ENSRNOG00000001068","Rac1","Rac family small GTPase 1",0.4745,0.9213,0.515,0.0075,0.0075,0.1057,0.9174
"5356","1398402_at","363185","ENSRNOG00000022804","Foxp4","forkhead box P4",0.4734,0.9213,0.5136,-0.0164,-0.0164,-0.2133,0.8345
"5357","1374943_at","296408","ENSRNOG00000004466","Fam210b","family with sequence similarity 210, member B",0.474,0.9213,0.5141,-0.0179,-0.0179,-0.2997,0.7692
"5358","1389154_at","305348","ENSRNOG00000002759","Lias","lipoic acid synthetase",0.4736,0.9213,0.5138,-0.0634,-0.0634,-1.2394,0.2375
"5359","1389964_at","293453","ENSRNOG00000018129","Ndufab1","NADH:ubiquinone oxidoreductase subunit AB1",0.4735,0.9213,0.5138,0.0152,0.0152,0.2776,0.7858
"5360","1373358_at","296121","ENSRNOG00000010729","Usp8","ubiquitin specific peptidase 8",0.4732,0.9213,0.5135,0.06,0.06,1.0159,0.3286
"5361","1374020_at","313681","ENSRNOG00000015264","Lrrc38","leucine rich repeat containing 38",0.473,0.9213,0.5131,-0.0133,-0.0133,-0.2302,0.8216
"5362","1377434_at","315597","ENSRNOG00000039107","Mfrp","membrane frizzled-related protein",0.4743,0.9213,0.5145,-0.2744,-0.2744,-2.0203,0.0649
"5363","1368117_at","64845","ENSRNOG00000064630","Gphn","gephyrin",0.4741,0.9213,0.5145,-0.0554,-0.0554,-0.5334,0.603
"5364","1388302_x_at","25030","ENSRNOG00000031840","Andpro","androgen regulated protein",0.4738,0.9213,0.514,-0.0292,-0.0292,-0.6738,0.5125
"5365","1376110_at","315705","ENSRNOG00000018812","Rpp25","ribonuclease P and MRP subunit p25",0.4747,0.9215,0.5151,-0.086,-0.086,-1.1588,0.2678
"5366","1367503_at","293852","ENSRNOG00000055756","Bcap31","B-cell receptor-associated protein 31",0.4747,0.9215,0.5152,0.0514,0.0514,0.9853,0.3428
"5367","1369848_at","66022","ENSRNOG00000066111","Kcns2","potassium voltage-gated channel, modifier subfamily S, member 2",0.4749,0.9216,0.5153,0.0544,0.0544,1.2188,0.245
"5368","1368025_at","140942","ENSRNOG00000057078","Ddit4","DNA-damage-inducible transcript 4",0.4749,0.9216,0.5153,-8e-04,-8e-04,-0.0054,0.9958
"5369","1368851_at","24356","ENSRNOG00000008941","Ets1","ETS proto-oncogene 1, transcription factor",0.4751,0.9218,0.5154,0.0478,0.0478,0.6997,0.4967
"5370","1372999_at","315405","ENSRNOG00000008390","Dcun1d5","defective in cullin neddylation 1 domain containing 5",0.4752,0.9218,0.5155,-0.0073,-0.0073,-0.0984,0.9232
"5371","1369357_at","64561","ENSRNOG00000003063","Phka1","phosphorylase kinase regulatory subunit alpha 1",0.4753,0.9219,0.5155,-0.0755,-0.0755,-0.8925,0.3887
"5372","1386902_at","83532","ENSRNOG00000019277","Vdac3","voltage-dependent anion channel 3",0.4754,0.9221,0.5156,0.035,0.035,0.7297,0.4788
"5373","1367739_at","25250","ENSRNOG00000014656","Cox8b","cytochrome c oxidase, subunit VIIIb",0.4757,0.9224,0.5157,-0.1839,-0.1839,-1.8851,0.0824
"5374","1370385_at","360426","ENSRNOG00000012295","Pla2g6","phospholipase A2 group VI",0.4756,0.9224,0.5157,-0.0089,-0.0089,-0.1893,0.8528
"5375","1369089_at","24681","ENSRNOG00000054371","Prkcg","protein kinase C, gamma",0.4761,0.9224,0.5161,0.0175,0.0175,0.3717,0.7162
"5376","1371320_at","290364","ENSRNOG00000016271","Itm2b","integral membrane protein 2B",0.4762,0.9224,0.5162,-0.0024,-0.0024,-0.046,0.9641
