"","Probe","NCBIid","gene_ensembl_id","GeneSymbol","GeneName","pvalue","corrected_pvalue","rank","contrast_170622_coefficient","contrast_170622_log2fc","contrast_170622_tstat","contrast_170622_pvalue"
"1",18619,18619,"ENSMUSG00000045573","Penk","preproenkephalin",3.074e-12,6.16e-08,4.991e-05,0.7389,0.7389,7.0977,2.54e-09
"2",20482,20482,"ENSMUSG00000027660","Skil","SKI-like",2.608e-09,2.613e-05,9.981e-05,-0.1569,-0.1569,-5.1948,3.048e-06
"3",110784,110784,"ENSMUSG00000031618","Nr3c2","nuclear receptor subfamily 3, group C, member 2",1.929e-08,1e-04,1e-04,-0.1577,-0.1577,-3.9858,2e-04
"4",103098,103098,"ENSMUSG00000019894","Slc6a15","solute carrier family 6 (neurotransmitter transporter), member 15",2.549e-08,1e-04,2e-04,-0.1956,-0.1956,-3.9697,2e-04
"5",69608,69608,"ENSMUSG00000039234","Sec24d","SEC24 homolog D, COPII coat complex component",4.894e-08,2e-04,2e-04,-0.1854,-0.1854,-3.0583,0.0034
"6",13198,13198,"ENSMUSG00000025408","Ddit3","DNA-damage inducible transcript 3",2.224e-07,7e-04,3e-04,0.2222,0.2222,4.9551,7.195e-06
"7",109264,109264,"ENSMUSG00000030621","Me3","malic enzyme 3, NADP(+)-dependent, mitochondrial",3.905e-07,0.0011,3e-04,-0.0884,-0.0884,-2.2225,0.0304
"8",239408,239408,"ENSMUSG00000054409","Tmem74","transmembrane protein 74",5.061e-07,0.0012,4e-04,-0.107,-0.107,-3.0923,0.0031
"9",78408,78408,"ENSMUSG00000050821","Fam131a","family with sequence similarity 131, member A",6.859e-07,0.0012,5e-04,-0.1534,-0.1534,-2.896,0.0054
"10",54140,54140,"ENSMUSG00000020123","Avpr1a","arginine vasopressin receptor 1A",7.8e-07,0.0012,6e-04,-1.0601,-1.0601,-4.1361,1e-04
"11",50917,50917,"ENSMUSG00000015027","Galns","galactosamine (N-acetyl)-6-sulfatase",7.793e-07,0.0012,5e-04,-0.1536,-0.1536,-2.3424,0.0228
"12",117591,117591,"ENSMUSG00000005107","Slc2a9","solute carrier family 2 (facilitated glucose transporter), member 9",7.799e-07,0.0012,6e-04,-0.5041,-0.5041,-4.27,7.744e-05
"13",19142,19142,"ENSMUSG00000027978","Prss12","serine protease 12 neurotrypsin (motopsin)",6.128e-07,0.0012,4e-04,-0.303,-0.303,-3.0763,0.0033
"14",433759,433759,"ENSMUSG00000028800","Hdac1","histone deacetylase 1",1.107e-06,0.0016,7e-04,-0.1503,-0.1503,-3.0281,0.0037
"15",15507,15507,"ENSMUSG00000004951","Hspb1","heat shock protein 1",1.315e-06,0.0016,8e-04,0.4758,0.4758,2.8996,0.0053
"16",114249,114249,"ENSMUSG00000040998","Npnt","nephronectin",1.228e-06,0.0016,7e-04,-0.2312,-0.2312,-2.3028,0.0251
"17",69399,69399,"ENSMUSG00000032666","1700025G04Rik","RIKEN cDNA 1700025G04 gene",1.368e-06,0.0016,8e-04,-0.1014,-0.1014,-2.865,0.0059
