"","Probe","NCBIid","gene_ensembl_id","GeneSymbol","GeneName","pvalue","corrected_pvalue","rank","contrast_183236_coefficient","contrast_183236_log2fc","contrast_183236_tstat","contrast_183236_pvalue"
"1",20666,20666,"ENSMUSG00000063632","Sox11","SRY (sex determining region Y)-box 11",9.495e-07,0.0127,5.547e-05,0.4967,0.4967,6.2694,2.112e-05
"2",547127,547127,"","Tmem181b-ps","transmembrane protein 181B, pseudogene",1.413e-06,0.0127,1e-04,-0.5194,-0.5194,-6.2784,2.08e-05
"3",68867,68867,"ENSMUSG00000039328","Rnf122","ring finger protein 122",4.599e-05,0.1078,3e-04,1.1415,1.1415,6.5155,1.404e-05
"4",22068,22068,"ENSMUSG00000031997","Trpc6","transient receptor potential cation channel, subfamily C, member 6",6.356e-05,0.1078,5e-04,-0.599,-0.599,-5.4681,8.448e-05
"5",11789,11789,"ENSMUSG00000005871","Apc","APC, WNT signaling pathway regulator",2.118e-05,0.1078,2e-04,0.3327,0.3327,5.2466,1e-04
"6",77125,77125,"ENSMUSG00000024810","Il33","interleukin 33",7.173e-05,0.1078,7e-04,-0.8355,-0.8355,-5.3377,1e-04
"7",22634,22634,"ENSMUSG00000019817","Plagl1","pleiomorphic adenoma gene-like 1",5.555e-05,0.1078,4e-04,0.8378,0.8378,5.3489,1e-04
"8",19652,19652,"ENSMUSG00000031167","Rbm3","RNA binding motif (RNP1, RRM) protein 3",5.24e-05,0.1078,4e-04,-0.374,-0.374,-4.3499,7e-04
"9",226519,226519,"ENSMUSG00000026478","Lamc1","laminin, gamma 1",6.823e-05,0.1078,6e-04,0.2895,0.2895,4.2665,8e-04
"10",22240,22240,"ENSMUSG00000024501","Dpysl3","dihydropyrimidinase-like 3",3.767e-05,0.1078,2e-04,0.5045,0.5045,6.9296,7.199e-06
"11",667370,667370,"ENSMUSG00000062488","Ifit3b","interferon-induced protein with tetratricopeptide repeats 3B",6.361e-05,0.1078,6e-04,-0.9056,-0.9056,-4.7547,3e-04
"12",18791,18791,"ENSMUSG00000031538","Plat","plasminogen activator, tissue",4.115e-05,0.1078,3e-04,0.353,0.353,5.6641,5.969e-05
"13",320981,320981,"ENSMUSG00000038173","Enpp6","ectonucleotide pyrophosphatase/phosphodiesterase 6",1e-04,0.1395,7e-04,0.8684,0.8684,5.0707,2e-04
"14",12374,12374,"ENSMUSG00000051980","Casr","calcium-sensing receptor",1e-04,0.1399,8e-04,2.4381,2.4381,5.6483,6.138e-05
"15",15959,15959,"ENSMUSG00000074896","Ifit3","interferon-induced protein with tetratricopeptide repeats 3",1e-04,0.1399,8e-04,-0.8572,-0.8572,-5.7711,4.949e-05
"16",105245927,105245927,"","Gm41305","predicted gene, 41305",1e-04,0.1494,9e-04,-0.323,-0.323,-3.5805,0.003
"17",20692,20692,"ENSMUSG00000018593","Sparc","secreted acidic cysteine rich glycoprotein",2e-04,0.1521,0.0012,0.2923,0.2923,3.3093,0.0052
"18",12484,12484,"ENSMUSG00000047139","Cd24a","CD24a antigen",2e-04,0.1521,0.001,0.7625,0.7625,4.0948,0.0011
"19",574402,574402,"ENSMUSG00000052229","Gpr17","G protein-coupled receptor 17",2e-04,0.1521,0.0016,0.7241,0.7241,4.7081,3e-04
"20",12696,12696,"ENSMUSG00000045193","Cirbp","cold inducible RNA binding protein",2e-04,0.1521,0.0014,-0.3322,-0.3322,-3.5653,0.0031
"21",20715,20715,"ENSMUSG00000041481","Serpina3g","serine (or cysteine) peptidase inhibitor, clade A, member 3G",2e-04,0.1521,0.0015,1.1854,1.1854,2.5018,0.0255
"22",338521,338521,"ENSMUSG00000033579","Fa2h","fatty acid 2-hydroxylase",2e-04,0.1521,0.0012,0.5029,0.5029,3.0006,0.0096
"23",56788,56788,"ENSMUSG00000007279","Scube2","signal peptide, CUB domain, EGF-like 2",2e-04,0.1521,0.0013,-1.1926,-1.1926,-3.5015,0.0036
"24",70433,70433,"ENSMUSG00000029005","Draxin","dorsal inhibitory axon guidance protein",2e-04,0.1521,0.0013,1.5968,1.5968,4.7607,3e-04
"25",11606,11606,"ENSMUSG00000031980","Agt","angiotensinogen",2e-04,0.1521,0.0011,0.539,0.539,3.7995,0.002
"26",12826,12826,"ENSMUSG00000031502","Col4a1","collagen, type IV, alpha 1",2e-04,0.1521,9e-04,0.6274,0.6274,7.2965,4.061e-06
"27",230735,230735,"ENSMUSG00000028876","Epha10","Eph receptor A10",2e-04,0.1521,0.0014,-0.3622,-0.3622,-4.8717,3e-04
"28",12842,12842,"ENSMUSG00000001506","Col1a1","collagen, type I, alpha 1",2e-04,0.1521,0.0016,1.1743,1.1743,5.5492,7.313e-05
"29",269116,269116,"ENSMUSG00000026442","Nfasc","neurofascin",2e-04,0.1521,0.0011,0.4505,0.4505,4.4826,5e-04
"30",215748,215748,"ENSMUSG00000015202","Cnksr3","Cnksr family member 3",3e-04,0.153,0.0017,0.5991,0.5991,3.8611,0.0017
"31",21923,21923,"ENSMUSG00000028364","Tnc","tenascin C",3e-04,0.1534,0.0017,0.6688,0.6688,4.675,4e-04
"32",16438,16438,"ENSMUSG00000030102","Itpr1","inositol 1,4,5-trisphosphate receptor 1",3e-04,0.1534,0.0018,-0.2783,-0.2783,-4.2027,9e-04
"33",13435,13435,"ENSMUSG00000020661","Dnmt3a","DNA methyltransferase 3A",3e-04,0.1575,0.0018,0.4654,0.4654,4.7495,3e-04
"34",18417,18417,"ENSMUSG00000037625","Cldn11","claudin 11",3e-04,0.1602,0.0019,0.7548,0.7548,4.0256,0.0013
