"","Probe","NCBIid","gene_ensembl_id","GeneSymbol","GeneName","pvalue","corrected_pvalue","rank","contrast_167854_coefficient","contrast_167854_log2fc","contrast_167854_tstat","contrast_167854_pvalue"
"1",66663,66663,"ENSMUSG00000032557","Uba5","ubiquitin-like modifier activating enzyme 5",8.331e-06,0.1735,4.801e-05,0.1428,0.1428,3.2771,0.0022
"2",381482,381482,"","Gm1653","predicted gene 1653",5.707e-05,0.2069,9.603e-05,2.2933,2.2933,3.5829,9e-04
"3",18071,18071,"ENSMUSG00000051251","Nhlh1","nescient helix loop helix 1",7.164e-05,0.2069,2e-04,0.2003,0.2003,0.7313,0.469
"4",74315,74315,"ENSMUSG00000019189","Rnf145","ring finger protein 145",1e-04,0.2069,4e-04,0.0813,0.0813,2.2119,0.0329
"5",17119,17119,"ENSMUSG00000001156","Mxd1","MAX dimerization protein 1",1e-04,0.2069,5e-04,0.1869,0.1869,2.028,0.0494
"6",109648,109648,"ENSMUSG00000029819","Npy","neuropeptide Y",1e-04,0.2069,3e-04,0.553,0.553,2.4911,0.0171
"7",23808,23808,"ENSMUSG00000031575","Ash2l","ASH2 like histone lysine methyltransferase complex subunit",1e-04,0.2069,3e-04,0.0629,0.0629,1.4,0.1694
"8",209131,209131,"ENSMUSG00000028385","Snx30","sorting nexin family member 30",6.696e-05,0.2069,1e-04,0.1238,0.1238,2.463,0.0183
"9",236266,236266,"ENSMUSG00000063810","Alms1","ALMS1, centrosome and basal body associated",1e-04,0.2069,4e-04,-0.1684,-0.1684,-2.7752,0.0084
"10",212190,212190,"ENSMUSG00000043621","Ubxn10","UBX domain protein 10",1e-04,0.2069,6e-04,0.2552,0.2552,1.2546,0.2171
"11",69635,69635,"ENSMUSG00000021559","Dapk1","death associated protein kinase 1",7.625e-05,0.2069,2e-04,0.1764,0.1764,2.6113,0.0127
"12",232855,232855,"ENSMUSG00000066838","Zfp772","zinc finger protein 772",1e-04,0.2069,5e-04,0.2934,0.2934,3.3592,0.0018
"13",72148,72148,"ENSMUSG00000050052","Tdrp","testis development related protein",1e-04,0.2258,6e-04,0.1217,0.1217,1.5582,0.1273
"14",240916,240916,"ENSMUSG00000049598","Vsig8","V-set and immunoglobulin domain containing 8",2e-04,0.243,7e-04,0.6179,0.6179,1.5499,0.1293
"15",245440,245440,"ENSMUSG00000121394","Gm4988","predicted gene 4988",2e-04,0.243,7e-04,0.136,0.136,0.9059,0.3705
"16",56734,56734,"ENSMUSG00000023467","Tulp2","tubby-like protein 2",2e-04,0.3252,8e-04,-0.534,-0.534,-0.9354,0.3554
"17",18720,18720,"ENSMUSG00000028126","Pip5k1a","phosphatidylinositol-4-phosphate 5-kinase, type 1 alpha",3e-04,0.3357,8e-04,0.057,0.057,1.0152,0.3163
"18",15360,15360,"ENSMUSG00000027875","Hmgcs2","3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2",4e-04,0.4156,9e-04,-0.1258,-0.1258,-0.6637,0.5108
"19",71106,71106,"ENSMUSG00000021874","4933413J09Rik","RIKEN cDNA 4933413J09 gene",4e-04,0.4483,0.001,0.6892,0.6892,1.1979,0.2382
"20",238803,238803,"ENSMUSG00000050919","Zfp366","zinc finger protein 366",4e-04,0.4483,9e-04,-0.2887,-0.2887,-1.0049,0.3212
"21",269397,269397,"ENSMUSG00000039086","Ss18l1","SS18, nBAF chromatin remodeling complex subunit like 1",5e-04,0.46,0.001,0.1526,0.1526,2.3166,0.0259
"22",52013,52013,"ENSMUSG00000025184","R3hcc1l","R3H domain and coiled-coil containing 1 like",5e-04,0.46,0.0011,-0.1413,-0.1413,-2.1753,0.0357
"23",320604,320604,"ENSMUSG00000048655","Ccdc169","coiled-coil domain containing 169",7e-04,0.4901,0.0012,1.3606,1.3606,3.4936,0.0012
"24",71519,71519,"ENSMUSG00000027983","Cyp2u1","cytochrome P450, family 2, subfamily u, polypeptide 1",7e-04,0.4901,0.0014,0.1168,0.1168,1.3206,0.1943
"25",100043682,100043682,"ENSMUSG00000109270","Gm10584","predicted gene 10584",6e-04,0.4901,0.0012,0.2224,0.2224,1.0182,0.3149
"26",75164,75164,"ENSMUSG00000070489","4930527J03Rik","RIKEN cDNA 4930527J03 gene",7e-04,0.4901,0.0012,0.9337,0.9337,1.688,0.0994
"27",279561,279561,"ENSMUSG00000041245","Wnk3","WNK lysine deficient protein kinase 3",7e-04,0.4901,0.0013,-0.1407,-0.1407,-2.2913,0.0274
"28",60363,60363,"ENSMUSG00000001739","Cldn15","claudin 15",7e-04,0.4901,0.0015,0.4933,0.4933,0.9349,0.3556
"29",629678,629678,"ENSMUSG00000067973","Gm6994","predicted gene 6994",7e-04,0.4901,0.0013,0.8266,0.8266,1.2377,0.2232
"30",22214,22214,"ENSMUSG00000039159","Ube2h","ubiquitin-conjugating enzyme E2H",6e-04,0.4901,0.0011,0.173,0.173,3.516,0.0011
"31",26365,26365,"ENSMUSG00000074272","Ceacam1","CEA cell adhesion molecule 1",7e-04,0.4901,0.0014,-0.3969,-0.3969,-1.7293,0.0917
"32",230126,230126,"ENSMUSG00000044813","Shb","src homology 2 domain-containing transforming protein B",8e-04,0.5109,0.0015,0.3963,0.3963,2.0444,0.0477
"33",27278,27278,"ENSMUSG00000039315","Clnk","cytokine-dependent hematopoietic cell linker",8e-04,0.5109,0.0016,0.6519,0.6519,1.1869,0.2425
"34",12552,12552,"ENSMUSG00000031673","Cdh11","cadherin 11",0.001,0.5176,0.0018,-0.1218,-0.1218,-2.3058,0.0265
"35",100503783,100503783,"ENSMUSG00000097486","Gm17733","predicted gene, 17733",9e-04,0.5176,0.0016,0.2734,0.2734,0.4975,0.6216
"36",270066,270066,"ENSMUSG00000019731","Slc35e1","solute carrier family 35, member E1",0.0018,0.5176,0.0034,0.196,0.196,2.6675,0.0111
"37",11994,11994,"ENSMUSG00000052613","Pcdh15","protocadherin 15",0.0015,0.5176,0.0028,-0.1556,-0.1556,-1.1753,0.247
"38",52187,52187,"ENSMUSG00000028278","Rragd","Ras-related GTP binding D",9e-04,0.5176,0.0017,0.0993,0.0993,1.3799,0.1755
"39",102639953,102639953,"","Gm36144","predicted gene, 36144",0.0016,0.5176,0.003,-0.3536,-0.3536,-0.6119,0.5441
"40",76788,76788,"ENSMUSG00000029775","Klhdc10","kelch domain containing 10",0.0015,0.5176,0.0029,0.0594,0.0594,1.0906,0.2821
"41",14804,14804,"ENSMUSG00000071424","Grid2","glutamate receptor, ionotropic, delta 2",0.0015,0.5176,0.0027,-0.1997,-0.1997,-2.1606,0.0369
"42",12593,12593,"ENSMUSG00000059288","Cdyl","chromodomain protein, Y chromosome-like",0.0017,0.5176,0.0032,-0.1603,-0.1603,-1.5405,0.1315
"43",67074,67074,"ENSMUSG00000034602","Mon2","MON2 homolog, regulator of endosome to Golgi trafficking",0.0012,0.5176,0.0022,0.0345,0.0345,0.9981,0.3244
"44",57816,57816,"ENSMUSG00000029359","Tesc","tescalcin",9e-04,0.5176,0.0017,0.2519,0.2519,2.0528,0.0468
"45",80291,80291,"ENSMUSG00000029401","Rilpl2","Rab interacting lysosomal protein-like 2",0.0017,0.5176,0.0031,0.1405,0.1405,1.663,0.1043
"46",66612,66612,"ENSMUSG00000038150","Ormdl3","ORM1-like 3 (S. cerevisiae)",0.0014,0.5176,0.0026,0.1146,0.1146,1.6407,0.1089
"47",102640846,102640846,"","Gm36816","predicted gene, 36816",0.0017,0.5176,0.0033,-1.1263,-1.1263,-2.0083,0.0516
"48",79554,79554,"ENSMUSG00000029073","Cptp","ceramide-1-phosphate transfer protein",0.0012,0.5176,0.0022,0.0557,0.0557,0.7067,0.4839
"49",69983,69983,"ENSMUSG00000027790","Sis","sucrase isomaltase",0.0016,0.5176,0.0031,0.2329,0.2329,0.7156,0.4785
"50",69171,69171,"ENSMUSG00000033159","Cnppd1","cyclin Pas1/PHO80 domain containing 1",0.0016,0.5176,0.0029,0.1162,0.1162,1.346,0.1861
"51",102640779,102640779,"","2900052L18Rik","RIKEN cDNA 2900052L18 gene",0.0012,0.5176,0.0023,0.1171,0.1171,0.7837,0.4379
"52",67874,67874,"ENSMUSG00000075334","Rprm","reprimo, TP53 dependent G2 arrest mediator candidate",0.0018,0.5176,0.0035,0.3619,0.3619,2.069,0.0452
"53",27360,27360,"ENSMUSG00000025026","Add3","adducin 3",0.0018,0.5176,0.0035,-0.1503,-0.1503,-2.203,0.0336
