"","Probe","NCBIid","gene_ensembl_id","GeneSymbol","GeneName","pvalue","corrected_pvalue","rank","contrast_185732_coefficient","contrast_185732_log2fc","contrast_185732_tstat","contrast_185732_pvalue"
"1",16559,16559,"ENSMUSG00000028758","Kif17","kinesin family member 17",6.515e-06,0.1541,4.229e-05,0.2238,0.2238,3.2469,0.0039
"2",11595,11595,"ENSMUSG00000030607","Acan","aggrecan",1.597e-05,0.1888,8.458e-05,0.5432,0.5432,4.087,5e-04
"3",16539,16539,"ENSMUSG00000050963","Kcns2","K+ voltage-gated channel, subfamily S, 2",3.228e-05,0.1978,1e-04,0.3613,0.3613,4.9275,7.15e-05
"4",74178,74178,"ENSMUSG00000042608","Stk40","serine/threonine kinase 40",4.183e-05,0.1978,2e-04,-0.0565,-0.0565,-0.8446,0.4079
"5",545622,545622,"ENSMUSG00000038764","Ptpn3","protein tyrosine phosphatase, non-receptor type 3",4.109e-05,0.1978,2e-04,0.3876,0.3876,4.8917,7.782e-05
"6",14219,14219,"ENSMUSG00000019997","Ccn2","cellular communication network factor 2",2e-04,0.2068,7e-04,-2.0217,-2.0217,-5.1322,4.414e-05
"7",56513,56513,"ENSMUSG00000005699","Pard6a","par-6 family cell polarity regulator alpha",3e-04,0.2068,0.0013,-0.0757,-0.0757,-1.0009,0.3283
"8",235050,235050,"ENSMUSG00000066829","Zfp810","zinc finger protein 810",2e-04,0.2068,8e-04,0.2505,0.2505,2.7084,0.0132
"9",226604,226604,"ENSMUSG00000051081","Gm4847","predicted gene 4847",2e-04,0.2068,8e-04,-1.9818,-1.9818,-3.7996,0.0011
"10",320208,320208,"ENSMUSG00000061702","Tmem91","transmembrane protein 91",2e-04,0.2068,0.001,-0.7439,-0.7439,-3.6903,0.0014
"11",214239,214239,"ENSMUSG00000045838","Ccdc9b","coiled-coil domain containing 9B",1e-04,0.2068,5e-04,0.1997,0.1997,2.067,0.0513
"12",225870,225870,"ENSMUSG00000024883","Rin1","Ras and Rab interactor 1",2e-04,0.2068,0.001,0.3025,0.3025,3.8678,9e-04
"13",67972,67972,"ENSMUSG00000019943","Atp2b1","ATPase, Ca++ transporting, plasma membrane 1",2e-04,0.2068,7e-04,0.3848,0.3848,4.6428,1e-04
"14",108169145,108169145,"","Gm44026","predicted gene, 44026",2e-04,0.2068,0.0011,2.2618,2.2618,4.8101,9.442e-05
"15",102635539,102635539,"","Gm32847","predicted gene, 32847",2e-04,0.2068,9e-04,1.3487,1.3487,5.2427,3.407e-05
"16",320469,320469,"ENSMUSG00000097493","9930014A18Rik","RIKEN cDNA 9930014A18 gene",1e-04,0.2068,6e-04,0.4379,0.4379,3.6547,0.0015
"17",19240,19240,"ENSMUSG00000079523","Tmsb10","thymosin beta 10",9.575e-05,0.2068,4e-04,-0.6342,-0.6342,-4.2741,3e-04
"18",269023,269023,"ENSMUSG00000052713","Zfp608","zinc finger protein 608",2e-04,0.2068,8e-04,0.2432,0.2432,2.9431,0.0078
"19",24136,24136,"ENSMUSG00000026872","Zeb2","zinc finger E-box binding homeobox 2",2e-04,0.2068,9e-04,0.2738,0.2738,3.5528,0.0019
"20",16591,16591,"ENSMUSG00000058488","Kl","klotho",2e-04,0.2068,0.0011,0.4421,0.4421,3.5806,0.0018
"21",22004,22004,"ENSMUSG00000028464","Tpm2","tropomyosin 2, beta",2e-04,0.2068,0.0011,-0.2254,-0.2254,-1.7807,0.0895
"22",20725,20725,"ENSMUSG00000026315","Serpinb8","serine (or cysteine) peptidase inhibitor, clade B, member 8",9.191e-05,0.2068,3e-04,0.4894,0.4894,3.902,8e-04
"23",19132,19132,"ENSMUSG00000023484","Prph","peripherin",8.046e-05,0.2068,3e-04,-1.9351,-1.9351,-6.0347,5.508e-06
"24",15562,15562,"ENSMUSG00000026322","Htr4","5 hydroxytryptamine (serotonin) receptor 4",2e-04,0.2068,0.0012,0.4464,0.4464,3.6336,0.0016
