"","Probe","NCBIid","gene_ensembl_id","GeneSymbol","GeneName","pvalue","corrected_pvalue","rank","contrast_185768_coefficient","contrast_185768_log2fc","contrast_185768_tstat","contrast_185768_pvalue"
"1",381917,381917,"ENSMUSG00000052273","Dnah3","dynein, axonemal, heavy chain 3",2.985e-05,0.664,4.495e-05,-0.2879,-0.2879,-1.7307,0.0982
"2",791423,791423,"ENSMUSG00000055045","Gm11190","predicted gene 11190",0.7376,0.9998,0.6472,-0.0921,-0.0921,-0.1728,0.8645
"3",102640026,102640026,"ENSMUSG00000085103","Gm16357","predicted gene 16357",0.3851,0.9998,0.2572,-0.0613,-0.0613,-0.1735,0.8639
"4",20401,20401,"ENSMUSG00000022436","Sh3bp1","SH3-domain binding protein 1",0.6844,0.9998,0.5821,-0.0746,-0.0746,-0.8315,0.4151
"5",105243040,105243040,"","Gm39076","predicted gene, 39076",0.3135,0.9998,0.1941,0.4258,0.4258,0.8716,0.3933
"6",100043040,100043040,"ENSMUSG00000071456","1110002L01Rik","RIKEN cDNA 1110002L01 gene",0.491,0.9998,0.362,0.2538,0.2538,2.0718,0.0508
"7",320297,320297,"ENSMUSG00000097182","A830009L08Rik","RIKEN cDNA A830009L08 gene",0.2253,0.9998,0.1251,0.2909,0.2909,0.6271,0.5374
"8",105242722,105242722,"","Gm38864","predicted gene, 38864",0.868,0.9998,0.8171,-0.335,-0.335,-0.6379,0.5304
"9",66642,66642,"ENSMUSG00000027649","Ctnnbl1","catenin, beta like 1",0.9681,0.9998,0.9554,-0.0028,-0.0028,-0.0412,0.9675
"10",246190,246190,"ENSMUSG00000034990","Otoa","otoancorin",0.5674,0.9998,0.4468,-0.0254,-0.0254,-0.0367,0.971
"11",67049,67049,"ENSMUSG00000032103","Pus3","pseudouridine synthase 3",0.8107,0.9998,0.741,0.0997,0.0997,1.2115,0.2391
"12",100470,100470,"ENSMUSG00000024903","Lao1","L-amino acid oxidase 1",0.9385,0.9998,0.914,-0.1767,-0.1767,-0.2676,0.7916
"13",209224,209224,"ENSMUSG00000031109","Enox2","ecto-NOX disulfide-thiol exchanger 2",0.432,0.9998,0.3013,-0.0779,-0.0779,-1.0334,0.3132
