"","Probe","NCBIid","gene_ensembl_id","GeneSymbol","GeneName","pvalue","corrected_pvalue","rank","contrast_142722_coefficient","contrast_142722_log2fc","contrast_142722_tstat","contrast_142722_pvalue"
"1",225872,225872,"ENSMUSG00000045903","Npas4","neuronal PAS domain protein 4",3.423e-13,6.558e-09,5.219e-05,1.1518,1.1518,10.6381,1.168e-10
"2",18619,18619,"ENSMUSG00000045573","Penk","preproenkephalin",1.353e-12,1.297e-08,1e-04,1.3736,1.3736,11.6736,1.727e-11
"3",16012,16012,"ENSMUSG00000023046","Igfbp6","insulin-like growth factor binding protein 6",3.281e-12,2.096e-08,2e-04,1.4841,1.4841,13.2548,1.163e-12
"4",14281,14281,"ENSMUSG00000021250","Fos","FBJ osteosarcoma oncogene",6.753e-12,3.235e-08,2e-04,0.7675,0.7675,7.3684,1.166e-07
"5",18295,18295,"ENSMUSG00000021390","Ogn","osteoglycin",2.011e-11,7.707e-08,3e-04,-0.7999,-0.7999,-10.4412,1.704e-10
"6",109648,109648,"ENSMUSG00000029819","Npy","neuropeptide Y",2.483e-11,7.93e-08,3e-04,0.6397,0.6397,9.6578,8.019e-10
"7",53324,53324,"ENSMUSG00000059991","Nptx2","neuronal pentraxin 2",6.759e-11,1.85e-07,4e-04,0.6246,0.6246,7.691,5.545e-08
"8",19736,19736,"ENSMUSG00000038530","Rgs4","regulator of G-protein signaling 4",1.296e-09,3.105e-06,4e-04,0.4527,0.4527,8.2163,1.701e-08
"9",14734,14734,"ENSMUSG00000055653","Gpc3","glypican 3",3.563e-09,6.207e-06,6e-04,-0.9569,-0.9569,-9.0695,2.7e-09
"10",20393,20393,"ENSMUSG00000019970","Sgk1","serum/glucocorticoid regulated kinase 1",3.453e-09,6.207e-06,5e-04,0.367,0.367,6.2035,1.906e-06
"11",209707,209707,"ENSMUSG00000015882","Lcorl","ligand dependent nuclear receptor corepressor-like",3.513e-09,6.207e-06,5e-04,-0.3427,-0.3427,-7.0284,2.592e-07
"12",14282,14282,"ENSMUSG00000003545","Fosb","FBJ osteosarcoma oncogene B",4.245e-09,6.779e-06,6e-04,0.8176,0.8176,5.8372,4.736e-06
"13",13488,13488,"ENSMUSG00000021478","Drd1","dopamine receptor D1",4.632e-09,6.828e-06,7e-04,0.7545,0.7545,7.3704,1.161e-07
"14",16011,16011,"ENSMUSG00000026185","Igfbp5","insulin-like growth factor binding protein 5",8.148e-09,1.115e-05,7e-04,-0.377,-0.377,-7.392,1.104e-07
"15",213435,213435,"ENSMUSG00000031698","Mylk3","myosin light chain kinase 3",1.174e-08,1.5e-05,8e-04,0.7995,0.7995,7.7585,4.754e-08
"16",209837,209837,"ENSMUSG00000031170","Slc38a5","solute carrier family 38, member 5",1.599e-08,1.915e-05,8e-04,0.6036,0.6036,6.4019,1.171e-06
"17",80981,80981,"ENSMUSG00000034936","Arl4d","ADP-ribosylation factor-like 4D",2.45e-08,2.761e-05,9e-04,0.5166,0.5166,6.4342,1.082e-06
"18",105245927,105245927,"","Gm41305","predicted gene, 41305",2.815e-08,2.997e-05,9e-04,-0.4434,-0.4434,-6.276,1.595e-06
