"","Probe","NCBIid","gene_ensembl_id","GeneSymbol","GeneName","pvalue","corrected_pvalue","rank","contrast_143308_coefficient","contrast_143308_log2fc","contrast_143308_tstat","contrast_143308_pvalue"
"1",75141,75141,"ENSMUSG00000034472","Rasd2","RASD family, member 2",1.098e-05,0.0318,3e-04,0.2264,0.2264,2.2348,0.0367
"2",269060,269060,"ENSMUSG00000035735","Dagla","diacylglycerol lipase, alpha",9.436e-06,0.0318,2e-04,0.3491,0.3491,4.2967,3e-04
"3",20743,20743,"ENSMUSG00000067889","Sptbn2","spectrin beta, non-erythrocytic 2",5.238e-06,0.0318,5.762e-05,0.1653,0.1653,2.8196,0.0104
"4",11652,11652,"ENSMUSG00000004056","Akt2","thymoma viral proto-oncogene 2",6.458e-06,0.0318,1e-04,0.1861,0.1861,2.6478,0.0152
"5",102635539,102635539,"","Gm32847","predicted gene, 32847",7.857e-06,0.0318,2e-04,1.3716,1.3716,4.528,2e-04
"6",104418,104418,"ENSMUSG00000040479","Dgkz","diacylglycerol kinase zeta",1.023e-05,0.0318,3e-04,0.1667,0.1667,2.5499,0.0189
"7",546071,546071,"ENSMUSG00000031833","Mast3","microtubule associated serine/threonine kinase 3",1.744e-05,0.0338,4e-04,0.192,0.192,2.9161,0.0084
"8",14282,14282,"ENSMUSG00000003545","Fosb","FBJ osteosarcoma oncogene B",1.856e-05,0.0338,5e-04,0.453,0.453,2.096,0.0487
"9",22784,22784,"ENSMUSG00000029151","Slc30a3","solute carrier family 30 (zinc transporter), member 3",1.856e-05,0.0338,5e-04,0.159,0.159,1.9962,0.0594
"10",19416,19416,"ENSMUSG00000049892","Rasd1","RAS, dexamethasone-induced 1",2.082e-05,0.0338,6e-04,0.3387,0.3387,2.281,0.0334
"11",233020,233020,"ENSMUSG00000040424","Hipk4","homeodomain interacting protein kinase 4",2.337e-05,0.0338,7e-04,0.3317,0.3317,3.0549,0.0061
"12",216166,216166,"ENSMUSG00000035486","Plk5","polo like kinase 5",2.29e-05,0.0338,6e-04,0.5258,0.5258,2.9366,0.008
"13",216963,216963,"ENSMUSG00000011877","Git1","GIT ArfGAP 1",3.081e-05,0.0393,7e-04,0.1787,0.1787,2.2973,0.0323
"14",108911,108911,"ENSMUSG00000040945","Rcc2","regulator of chromosome condensation 2",3.271e-05,0.0393,8e-04,0.1329,0.1329,2.1841,0.0407
"15",22068,22068,"ENSMUSG00000031997","Trpc6","transient receptor potential cation channel, subfamily C, member 6",3.399e-05,0.0393,9e-04,0.5225,0.5225,3.6001,0.0017
"16",18610,18610,"ENSMUSG00000027400","Pdyn","prodynorphin",3.918e-05,0.0425,9e-04,0.6405,0.6405,3.3911,0.0028
"17",207565,207565,"ENSMUSG00000029471","Camkk2","calcium/calmodulin-dependent protein kinase kinase 2, beta",6.076e-05,0.062,0.001,0.0869,0.0869,0.9114,0.3727
"18",56742,56742,"ENSMUSG00000068744","Psrc1","proline/serine-rich coiled-coil 1",6.618e-05,0.0638,0.001,0.0352,0.0352,0.3394,0.7377
"19",20741,20741,"ENSMUSG00000021061","Sptb","spectrin beta, erythrocytic",7.089e-05,0.0642,0.0011,0.1792,0.1792,2.464,0.0227
"20",11668,11668,"ENSMUSG00000053279","Aldh1a1","aldehyde dehydrogenase family 1, subfamily A1",7.764e-05,0.0642,0.0012,0.4143,0.4143,3.5241,0.0021
"21",171180,171180,"ENSMUSG00000049303","Syt12","synaptotagmin XII",7.514e-05,0.0642,0.0012,0.3837,0.3837,3.3257,0.0033
"22",104156,104156,"ENSMUSG00000013089","Etv5","ets variant 5",1e-04,0.0816,0.0013,0.1047,0.1047,1.1158,0.2774
"23",58250,58250,"ENSMUSG00000034612","Chst11","carbohydrate sulfotransferase 11",1e-04,0.0989,0.0013,0.2472,0.2472,3.1024,0.0055
"24",69847,69847,"ENSMUSG00000035112","Wnk4","WNK lysine deficient protein kinase 4",1e-04,0.107,0.0014,0.3766,0.3766,1.9368,0.0667
"25",20692,20692,"ENSMUSG00000018593","Sparc","secreted acidic cysteine rich glycoprotein",2e-04,0.1075,0.0015,-0.2062,-0.2062,-2.0485,0.0535
"26",74206,74206,"ENSMUSG00000030583","Sipa1l3","signal-induced proliferation-associated 1 like 3",2e-04,0.1075,0.0014,0.4078,0.4078,3.9243,8e-04
"27",382056,382056,"ENSMUSG00000003575","Crtc1","CREB regulated transcription coactivator 1",2e-04,0.1231,0.0016,0.1727,0.1727,2.2536,0.0353
"28",18071,18071,"ENSMUSG00000051251","Nhlh1","nescient helix loop helix 1",2e-04,0.1231,0.0016,1.1136,1.1136,2.7452,0.0123
"29",11686,11686,"ENSMUSG00000032807","Alox12b","arachidonate 12-lipoxygenase, 12R type",2e-04,0.1231,0.0018,0.2476,0.2476,1.3159,0.2027
"30",66253,66253,"ENSMUSG00000019806","Aig1","androgen-induced 1",2e-04,0.1231,0.002,-0.1915,-0.1915,-2.6357,0.0157
"31",13655,13655,"ENSMUSG00000033730","Egr3","early growth response 3",2e-04,0.1231,0.0017,0.2613,0.2613,2.3128,0.0312
"32",70350,70350,"ENSMUSG00000045763","Basp1","brain abundant, membrane attached signal protein 1",2e-04,0.1231,0.0017,-0.1471,-0.1471,-1.6435,0.1155
"33",240058,240058,"ENSMUSG00000024008","Cpne5","copine V",2e-04,0.1231,0.0018,-0.0064,-0.0064,-0.0615,0.9516
"34",20975,20975,"ENSMUSG00000023805","Synj2","synaptojanin 2",2e-04,0.1231,0.0019,0.2171,0.2171,2.7608,0.0119
"35",54612,54612,"ENSMUSG00000018822","Sfrp5","secreted frizzled-related sequence protein 5",3e-04,0.124,0.002,-1.9232,-1.9232,-2.9181,0.0084
"36",101706,101706,"ENSMUSG00000066306","Numa1","nuclear mitotic apparatus protein 1",3e-04,0.135,0.0021,0.0941,0.0941,1.6014,0.1246
"37",18133,18133,"ENSMUSG00000037362","Ccn3","cellular communication network factor 3",3e-04,0.1405,0.0021,-0.2678,-0.2678,-2.1835,0.0408
"38",94232,94232,"ENSMUSG00000008604","Ubqln4","ubiquilin 4",3e-04,0.1425,0.0022,0.1209,0.1209,1.7378,0.0973
"39",67603,67603,"ENSMUSG00000019960","Dusp6","dual specificity phosphatase 6",3e-04,0.1425,0.0022,0.306,0.306,2.1932,0.04
"40",239556,239556,"ENSMUSG00000022416","Cacna1i","calcium channel, voltage-dependent, alpha 1I subunit",3e-04,0.1441,0.0023,0.0993,0.0993,0.9604,0.3481
"41",54381,54381,"ENSMUSG00000039007","Cpq","carboxypeptidase Q",3e-04,0.1441,0.0024,-0.2665,-0.2665,-2.0671,0.0516
"42",214931,214931,"ENSMUSG00000025738","Fbxl16","F-box and leucine-rich repeat protein 16",4e-04,0.1472,0.0026,0.0704,0.0704,1.3052,0.2063
"43",27981,27981,"ENSMUSG00000037266","Rsrp1","arginine/serine rich protein 1",4e-04,0.1472,0.0025,-0.3935,-0.3935,-2.9851,0.0072
"44",14403,14403,"ENSMUSG00000029054","Gabrd","gamma-aminobutyric acid (GABA) A receptor, subunit delta",4e-04,0.1472,0.0025,0.0173,0.0173,0.1528,0.88
"45",14199,14199,"ENSMUSG00000023092","Fhl1","four and a half LIM domains 1",4e-04,0.1472,0.0024,-0.2612,-0.2612,-3.4429,0.0025
"46",20617,20617,"ENSMUSG00000025889","Snca","synuclein, alpha",4e-04,0.1475,0.0029,-0.0544,-0.0544,-0.7699,0.4501
"47",67392,67392,"ENSMUSG00000062822","4833420G17Rik","RIKEN cDNA 4833420G17 gene",4e-04,0.1475,0.0029,-0.2895,-0.2895,-2.963,0.0076
"48",22772,22772,"ENSMUSG00000061524","Zic2","zinc finger protein of the cerebellum 2",5e-04,0.1475,0.0031,-0.3662,-0.3662,-2.5631,0.0183
"49",320878,320878,"ENSMUSG00000038244","Mical2","microtubule associated monooxygenase, calponin and LIM domain containing 2",5e-04,0.1475,0.0032,0.1315,0.1315,2.2668,0.0344
"50",14555,14555,"ENSMUSG00000023019","Gpd1","glycerol-3-phosphate dehydrogenase 1 (soluble)",5e-04,0.1475,0.003,0.1932,0.1932,2.4681,0.0225
"51",15904,15904,"ENSMUSG00000021379","Id4","inhibitor of DNA binding 4",4e-04,0.1475,0.0028,-0.2145,-0.2145,-2.0886,0.0494
