,ExperimentID,ResultSetIDs,ContrastIDs,ExperimentIDs,FactorCategory,ExperimentalFactors,BaselineFactors,Subsetted,SubsetBy,Include,WrongBaseline,ResultsNotRegionSpecific,ReAnalyze
40,GSE242354,576682,232814,31805,organism part,vastus lateralis,adrenal gland,FALSE,NA,,,,
41,GSE242354,576682,232813,31805,organism part,testis,adrenal gland,FALSE,NA,,,,
42,GSE242354,576682,232817,31805,organism part,blood,adrenal gland,FALSE,NA,,,,
43,GSE242354,576682,232800,31805,organism part,brown adipose tissue,adrenal gland,FALSE,NA,,,,
44,GSE208615,572275,232846,27029,treatment,"exercise delivered for duration 14 d, exercise delivered for duration 2 d and with reintroduction, sedentary delay period delivered for duration 7 d; exercise delivered for duration 14 d, exercise delivered for duration 2 d and with reintroduction, sedentary delay period delivered for duration 7 d; exercise delivered for duration 14 d, exercise delivered for duration 2 d and with reintroduction, sedentary delay period delivered for duration 7 d; exercise delivered for duration 14 d, exercise delivered for duration 2 d and with reintroduction, sedentary delay period delivered for duration 7 d",reference subject role,FALSE,NA,,,,
45,GSE208615,572275,232843,27029,treatment,exercise delivered for duration 14 d and with initial; exercise delivered for duration 14 d and with initial,reference subject role,FALSE,NA,,,,
46,GSE208615,572275,232845,27029,treatment,"exercise delivered for duration 14 d and with initial, sedentary delay period delivered for duration 7 d; exercise delivered for duration 14 d and with initial, sedentary delay period delivered for duration 7 d; exercise delivered for duration 14 d and with initial, sedentary delay period delivered for duration 7 d",reference subject role,FALSE,NA,,,,
47,GSE208615,572275,232844,27029,treatment,"exercise delivered for duration 14 d, sedentary delay period delivered for duration 14 d and with initial; exercise delivered for duration 14 d, sedentary delay period delivered for duration 14 d and with initial; exercise delivered for duration 14 d, sedentary delay period delivered for duration 14 d and with initial",reference subject role,FALSE,NA,,,,
48,GSE208615,572275,232842,27029,treatment,exercise delivered for duration 2 d and with reintroduction; exercise delivered for duration 2 d and with reintroduction,reference subject role,FALSE,NA,,,,
49,GSE203554,556298,204375,24954,treatment,BCI-838 delivered at dose 28 x 5 mg/kg,reference substance role,FALSE,NA,,,,
50,GSE203554,556299,204372,24954,treatment,exercise delivered for duration 1 month,reference substance role,FALSE,NA,,,,
51,GSE203554,556300,204371,24954,strain,APP/PS1,C57BL/6J has role control,FALSE,NA,,,,
52,GSE111212,515554,185768,21103,treatment,exercise,reference substance role,FALSE,NA,,,,
53,GSE111212,515553,185767,21103,developmental stage,20 month  late adult stage,5 month  prime adult stage,FALSE,NA,,,,
54,GSE111212,515552,185767_185768,21103,"developmental stage,treatment",20 month  late adult stage; exercise,,FALSE,NA,,,,
55,GSE132930,539750,157239,15735,organism part,Ammon's horn,cerebral cortex,FALSE,NA,,,,
56,GSE132930,539751,157241,15735,treatment,running,sedentary,FALSE,NA,,,,
57,GSE132930,539752,157236,15735,developmental stage,1 year  prime adult stage,1 month  infant stage,FALSE,NA,,,,
58,GSE123582,519225,166917,14901,treatment,"F2, born from a sedentary father; F2, born from a sedentary father","F1, active; F1, active",FALSE,NA,,,,
59,GSE123582,519225,166919,14901,treatment,"F1, sedentary ; F1, sedentary ","F1, active; F1, active",FALSE,NA,,,,
60,GSE123582,519225,166916,14901,treatment,"F2, born from an exercised father; F2, born from an exercised father","F1, active; F1, active",FALSE,NA,,,,
61,GSE124954,494134,167849,15095,genotype,Homozygous negative  Creb1 [mouse] cAMP responsive element binding protein 1,wild type genotype,TRUE,dentate gyrus of hippocampal formation located in dorsal,,,,
62,GSE124954,494134,167848,15095,genotype,Heterozygous  Creb1 [mouse] cAMP responsive element binding protein 1,wild type genotype,TRUE,dentate gyrus of hippocampal formation located in dorsal,,,,
63,GSE124954,494133,167849_167854,15095,"genotype,treatment",Homozygous negative  Creb1 [mouse] cAMP responsive element binding protein 1; exercise,wild type genotype; reference subject role,TRUE,dentate gyrus of hippocampal formation located in dorsal,,,,
64,GSE124954,494133,167848_167854,15095,"genotype,treatment",Heterozygous  Creb1 [mouse] cAMP responsive element binding protein 1; exercise,wild type genotype; reference subject role,TRUE,dentate gyrus of hippocampal formation located in dorsal,,,,
65,GSE124954,494132,167854,15095,treatment,exercise,reference subject role,TRUE,dentate gyrus of hippocampal formation located in dorsal,,,,
66,GSE124954,494137,167849,15095,genotype,Homozygous negative  Creb1 [mouse] cAMP responsive element binding protein 1,wild type genotype,TRUE,dentate gyrus of hippocampal formation located in ventral,,,,
