"","Probe","NCBIid","gene_ensembl_id","GeneSymbol","GeneName","pvalue","corrected_pvalue","rank","contrast_166916_coefficient","contrast_166916_log2fc","contrast_166916_tstat","contrast_166916_pvalue","contrast_166917_coefficient","contrast_166917_log2fc","contrast_166917_tstat","contrast_166917_pvalue","contrast_166919_coefficient","contrast_166919_log2fc","contrast_166919_tstat","contrast_166919_pvalue"
"25",18027,18027,"ENSMUSG00000028565","Nfia","nuclear factor I/A",3.546e-05,0.0293,0.0012,0.1818,0.1818,4.3639,2e-04,0.1749,0.1749,4.2919,3e-04,-0.0039,-0.0039,-0.0825,0.9349
"26",20682,20682,"ENSMUSG00000000567","Sox9","SRY (sex determining region Y)-box 9",3.851e-05,0.0306,0.0013,0.2762,0.2762,4.5803,1e-04,0.203,0.203,3.432,0.0022,-0.028,-0.028,-0.4092,0.6861
"27",108167669,108167669,"","Gm46124","predicted gene, 46124",4.52e-05,0.0333,0.0014,1.1451,1.1451,4.5209,1e-04,0.3414,0.3414,1.2892,0.2097,0.033,0.033,0.1069,0.9157
"28",210583,210583,"ENSMUSG00000094076","Gm4767","predicted gene 4767",4.423e-05,0.0333,0.0013,-1.0395,-1.0395,-4.859,6.08e-05,-0.4101,-0.4101,-2.1152,0.0451,0.1295,0.1295,0.617,0.5431
"29",108899,108899,"ENSMUSG00000053080","Zfta","zinc finger translocation associated",4.696e-05,0.0334,0.0014,0.0904,0.0904,1.9566,0.0622,0.0882,0.0882,1.9529,0.0627,-0.1615,-0.1615,-3.0836,0.0051
"30",224656,224656,"ENSMUSG00000024220","Zfp523","zinc finger protein 523",5.747e-05,0.0354,0.0016,0.1622,0.1622,3.4377,0.0022,0.0181,0.0181,0.3919,0.6987,-0.1089,-0.1089,-2.0369,0.0529
"31",76936,76936,"ENSMUSG00000059208","Hnrnpm","heterogeneous nuclear ribonucleoprotein M",6.104e-05,0.0354,0.0016,0.2447,0.2447,5.0111,4.141e-05,0.2191,0.2191,4.5845,1e-04,0.0666,0.0666,1.2074,0.2392
"32",319984,319984,"ENSMUSG00000022208","Jph4","junctophilin 4",6.176e-05,0.0354,0.0017,0.1428,0.1428,4.1399,4e-04,0.0569,0.0569,1.6855,0.105,-0.0464,-0.0464,-1.1923,0.2449
"33",381350,381350,"ENSMUSG00000037708","Spag6","sperm associated antigen 6",5.6e-05,0.0354,0.0015,-0.7271,-0.7271,-4.8899,5.624e-05,-0.6077,-0.6077,-4.2389,3e-04,-0.1056,-0.1056,-0.6761,0.5055
"34",102636729,102636729,"","Gm33721","predicted gene, 33721",6.131e-05,0.0354,0.0017,1.0874,1.0874,4.7143,8.77e-05,0.5001,0.5001,2.1119,0.0454,0.0549,0.0549,0.197,0.8455
"35",12123,12123,"ENSMUSG00000046607","Hrk","harakiri, BCL2 interacting protein (contains only BH3 domain)",5.568e-05,0.0354,0.0015,0.336,0.336,4.6992,9.111e-05,0.3546,0.3546,5.0679,3.589e-05,0.1096,0.1096,1.3557,0.1879
"36",19724,19724,"ENSMUSG00000031706","Rfx1","regulatory factor X, 1 (influences HLA class II expression)",6.131e-05,0.0354,0.0016,0.1669,0.1669,4.0464,5e-04,0.0219,0.0219,0.5369,0.5963,-0.0502,-0.0502,-1.0695,0.2956
"37",326622,326622,"ENSMUSG00000043241","Upf2","UPF2 regulator of nonsense transcripts homolog (yeast)",7.304e-05,0.0393,0.0018,0.0953,0.0953,2.0699,0.0495,0.233,0.233,5.1855,2.67e-05,0.0468,0.0468,0.9027,0.3757
"38",80721,80721,"ENSMUSG00000038496","Slc19a3","solute carrier family 19, member 3",7.301e-05,0.0393,0.0018,0.6577,0.6577,3.9927,5e-04,0.9127,0.9127,5.7269,6.92e-06,0.5028,0.5028,2.7469,0.0113
"39",78781,78781,"ENSMUSG00000029826","Zc3hav1","zinc finger CCCH type, antiviral 1",7.609e-05,0.0393,0.0019,-0.1996,-0.1996,-2.9421,0.0072,-0.1089,-0.1089,-1.6537,0.1113,0.1684,0.1684,2.31,0.0299
"40",105247097,105247097,"","Gm42256","predicted gene, 42256",7.494e-05,0.0393,0.0019,-0.0968,-0.0968,-1.4046,0.1731,-0.04,-0.04,-0.5959,0.5568,0.2684,0.2684,3.6328,0.0013
"41",75668,75668,"ENSMUSG00000034209","Rasl10a","RAS-like, family 10, member A",7.889e-05,0.0397,0.002,0.3148,0.3148,2.7685,0.0107,0.4581,0.4581,4.1327,4e-04,-0.1053,-0.1053,-0.8017,0.4307
"42",229599,229599,"ENSMUSG00000038550","Ciart","circadian associated repressor of transcription",8.202e-05,0.0403,0.002,-0.5198,-0.5198,-4.3762,2e-04,-0.5621,-0.5621,-4.8239,6.645e-05,-0.1285,-0.1285,-1.0052,0.3249
"43",15939,15939,"ENSMUSG00000056708","Ier5","immediate early response 5",9.059e-05,0.0416,0.0021,0.08,0.08,1.7898,0.0862,0.1771,0.1771,4.0617,5e-04,-0.0513,-0.0513,-1.0161,0.3198
"44",108043,108043,"ENSMUSG00000031492","Chrnb3","cholinergic receptor, nicotinic, beta polypeptide 3",8.734e-05,0.0416,0.0021,0.1057,0.1057,0.2343,0.8167,0.2159,0.2159,0.494,0.6258,1.7303,1.7303,4.0622,5e-04
"45",79362,79362,"ENSMUSG00000030256","Bhlhe41","basic helix-loop-helix family, member e41",9.07e-05,0.0416,0.0022,-0.2417,-0.2417,-4.3574,2e-04,-0.1357,-0.1357,-2.509,0.0193,0.038,0.038,0.6149,0.5444
"46",13549,13549,"ENSMUSG00000002409","Dyrk1b","dual-specificity tyrosine phosphorylation regulated kinase 1b",9.589e-05,0.043,0.0022,0.1507,0.1507,3.6819,0.0012,0.0973,0.0973,2.4274,0.0232,-0.0631,-0.0631,-1.3626,0.1858
"47",20674,20674,"ENSMUSG00000074637","Sox2","SRY (sex determining region Y)-box 2",1e-04,0.0455,0.0023,0.1286,0.1286,2.7547,0.0111,0.1692,0.1692,3.7061,0.0011,-0.0599,-0.0599,-1.1327,0.2686
