"","Probe","NCBIid","gene_ensembl_id","GeneSymbol","GeneName","pvalue","corrected_pvalue","rank","contrast_166916_coefficient","contrast_166916_log2fc","contrast_166916_tstat","contrast_166916_pvalue","contrast_166917_coefficient","contrast_166917_log2fc","contrast_166917_tstat","contrast_166917_pvalue","contrast_166919_coefficient","contrast_166919_log2fc","contrast_166919_tstat","contrast_166919_pvalue"
"5705",67369,67369,"ENSMUSG00000030407","Qpctl","glutaminyl-peptide cyclotransferase-like",0.1327,0.4783,0.2773,-0.0558,-0.0558,-1.0317,0.3126,-0.1274,-0.1274,-2.391,0.0251,-0.0843,-0.0843,-1.3886,0.1778
"5706",105242804,105242804,"","Gm38914","predicted gene, 38914",0.1327,0.4783,0.2774,0.5484,0.5484,2.4466,0.0222,0.4155,0.4155,1.8589,0.0755,0.3247,0.3247,1.2855,0.211
"5707",268741,268741,"ENSMUSG00000016831","Tox4","TOX high mobility group box family member 4",0.1327,0.4783,0.2773,-0.0417,-0.0417,-1.283,0.2118,0.0238,0.0238,0.7492,0.4611,0.0076,0.0076,0.2078,0.8372
"5708",217012,217012,"ENSMUSG00000018845","Unc45b","unc-45 myosin chaperone B",0.1328,0.4784,0.2776,0.3022,0.3022,1.7571,0.0918,0.4124,0.4124,2.4592,0.0216,0.2459,0.2459,1.2895,0.2096
"5709",105243583,105243583,"ENSMUSG00000121049","Gm39468","predicted gene, 39468",0.1329,0.4786,0.2776,-0.2122,-0.2122,-0.8443,0.4069,-0.0926,-0.0926,-0.3811,0.7065,-0.7054,-0.7054,-2.3031,0.0303
"5710",105245357,105245357,"","Gm40827","predicted gene, 40827",0.1329,0.4786,0.2777,0.2175,0.2175,1.2058,0.2397,0.3048,0.3048,1.7317,0.0963,-0.073,-0.073,-0.3524,0.7276
"5711",27494,27494,"ENSMUSG00000041688","Amot","angiomotin",0.1329,0.4786,0.2777,-0.0834,-0.0834,-1.1221,0.273,0.0574,0.0574,0.7946,0.4347,-0.0694,-0.0694,-0.8316,0.4139
"5712",69824,69824,"ENSMUSG00000031163","Glod5","glyoxalase domain containing 5",0.1329,0.4786,0.2778,-0.6412,-0.6412,-1.3858,0.1787,-0.3879,-0.3879,-0.8779,0.3888,0.3644,0.3644,0.7803,0.4429
"5713",105787,105787,"ENSMUSG00000050697","Prkaa1","protein kinase, AMP-activated, alpha 1 catalytic subunit",0.133,0.4788,0.2778,-0.0324,-0.0324,-0.5567,0.583,-0.0104,-0.0104,-0.182,0.8571,0.1054,0.1054,1.6189,0.1186
"5714",16440,16440,"ENSMUSG00000042644","Itpr3","inositol 1,4,5-triphosphate receptor 3",0.1334,0.4788,0.2783,-0.203,-0.203,-1.7693,0.0897,-0.2106,-0.2106,-1.8752,0.0731,-0.0179,-0.0179,-0.1423,0.8881
"5715",14017,14017,"ENSMUSG00000078771","Evi2a","ecotropic viral integration site 2a",0.1336,0.4788,0.2789,-0.0802,-0.0802,-1.0518,0.3035,0.0234,0.0234,0.3149,0.7556,0.1011,0.1011,1.1936,0.2444
"5716",27221,27221,"ENSMUSG00000002835","Chaf1a","chromatin assembly factor 1, subunit A",0.1335,0.4788,0.2787,0.0206,0.0206,0.2062,0.8384,-0.1762,-0.1762,-1.7723,0.0892,-0.0776,-0.0776,-0.6895,0.4972
"5717",53814,53814,"ENSMUSG00000028141","Oaz3","ornithine decarboxylase antizyme 3",0.1336,0.4788,0.2788,0.0982,0.0982,0.2509,0.8041,0.7062,0.7062,1.9162,0.0674,0.1615,0.1615,0.3731,0.7124
"5718",66259,66259,"ENSMUSG00000046447","Camk2n1","calcium/calmodulin-dependent protein kinase II inhibitor 1",0.1332,0.4788,0.2781,0.1617,0.1617,2.2031,0.0375,0.1197,0.1197,1.6678,0.1085,0.0391,0.0391,0.4722,0.6411
"5719",226169,226169,"ENSMUSG00000055491","Pprc1","peroxisome proliferative activated receptor, gamma, coactivator-related 1",0.1333,0.4788,0.2783,-0.1021,-0.1021,-1.9246,0.0663,-0.1207,-0.1207,-2.319,0.0293,-0.1184,-0.1184,-1.9839,0.0589
"5720",106369,106369,"ENSMUSG00000022773","Ypel1","yippee like 1",0.1331,0.4788,0.2779,0.1818,0.1818,2.3455,0.0277,0.1242,0.1242,1.6286,0.1166,0.066,0.066,0.7553,0.4575
"5721",102632377,102632377,"","Gm30466","predicted gene, 30466",0.1333,0.4788,0.2783,0.1718,0.1718,0.8187,0.4211,0.3985,0.3985,1.9657,0.0611,-0.0092,-0.0092,-0.0385,0.9696
"5722",66873,66873,"ENSMUSG00000043496","Tril","TLR4 interactor with leucine-rich repeats",0.1335,0.4788,0.2786,0.1067,0.1067,1.8226,0.081,0.0157,0.0157,0.2738,0.7866,0.1065,0.1065,1.6185,0.1188
"5723",22178,22178,"ENSMUSG00000005994","Tyrp1","tyrosinase-related protein 1",0.1332,0.4788,0.2781,0.4827,0.4827,0.7837,0.4409,0.6816,0.6816,1.1422,0.2647,1.4124,1.4124,2.2661,0.0328
"5724",18584,18584,"ENSMUSG00000025584","Pde8a","phosphodiesterase 8A",0.1334,0.4788,0.2784,-0.0932,-0.0932,-0.9395,0.3569,-0.0281,-0.0281,-0.2907,0.7738,0.1463,0.1463,1.3336,0.195
"5725",242291,242291,"ENSMUSG00000066324","Bpnt2","3'(2'), 5'-bisphosphate nucleotidase 2",0.1332,0.4788,0.278,-0.0639,-0.0639,-1.0374,0.31,-0.0081,-0.0081,-0.135,0.8938,0.0882,0.0882,1.2756,0.2144
"5726",71409,71409,"ENSMUSG00000036053","Fmnl2","formin-like 2",0.1335,0.4788,0.2788,-0.0984,-0.0984,-1.7446,0.094,0.0104,0.0104,0.1897,0.8511,-0.0151,-0.0151,-0.2383,0.8137
"5727",105243074,105243074,"","Gm39103","predicted gene, 39103",0.1334,0.4788,0.2785,0.7003,0.7003,2.3949,0.0249,0.5937,0.5937,2.0482,0.0517,0.6382,0.6382,1.978,0.0596
"5728",20449,20449,"ENSMUSG00000030283","St8sia1","ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1",0.1332,0.4788,0.2779,-0.0391,-0.0391,-0.599,0.5548,-0.0242,-0.0242,-0.3794,0.7077,0.1125,0.1125,1.536,0.1377
"5729",18162,18162,"ENSMUSG00000022206","Npr3","natriuretic peptide receptor 3",0.1332,0.4788,0.278,-0.1528,-0.1528,-1.3487,0.1901,-0.2108,-0.2108,-1.8947,0.0704,0.0144,0.0144,0.1147,0.9097
"5730",20355,20355,"ENSMUSG00000000627","Sema4f","sema domain, immunoglobulin domain (Ig), TM domain, and short cytoplasmic domain",0.1334,0.4788,0.2784,0.0544,0.0544,0.9893,0.3325,0.0047,0.0047,0.0879,0.9307,-0.0824,-0.0824,-1.3239,0.1981
"5731",108167415,108167415,"","Gm45978","predicted gene, 45978",0.1335,0.4788,0.2786,-0.42,-0.42,-0.5874,0.5625,-0.3584,-0.3584,-0.517,0.6099,0.9375,0.9375,1.3402,0.1929
"5732",70727,70727,"ENSMUSG00000030134","Rasgef1a","RasGEF domain family, member 1A",0.1333,0.4788,0.2782,0.0506,0.0506,1.1898,0.2459,5e-04,5e-04,0.0113,0.9911,-0.0533,-0.0533,-1.1109,0.2777
"5733",240754,240754,"ENSMUSG00000051998","Lax1","lymphocyte transmembrane adaptor 1",0.1336,0.4788,0.2789,0.6964,0.6964,2.0052,0.0565,0.5826,0.5826,1.6891,0.1043,0.1033,0.1033,0.2568,0.7995
"5734",67153,67153,"ENSMUSG00000021932","Rnaseh2b","ribonuclease H2, subunit B",0.1336,0.4788,0.279,-0.1157,-0.1157,-1.446,0.1612,-0.105,-0.105,-1.3424,0.1921,0.0468,0.0468,0.5338,0.5985
"5735",67123,67123,"ENSMUSG00000028437","Ubap1","ubiquitin-associated protein 1",0.1336,0.4788,0.2791,-0.0569,-0.0569,-1.6799,0.1061,-0.0535,-0.0535,-1.613,0.1199,-0.0936,-0.0936,-2.452,0.0219
"5736",59079,59079,"ENSMUSG00000021709","Erbin","Erbb2 interacting protein",0.1335,0.4788,0.2787,-0.1405,-0.1405,-1.4304,0.1656,-0.0631,-0.0631,-0.6583,0.5167,0.093,0.093,0.8437,0.4073
"5737",71891,71891,"ENSMUSG00000021982","Cdadc1","cytidine and dCMP deaminase domain containing 1",0.1336,0.4788,0.279,0.0567,0.0567,1.6015,0.1225,0.0858,0.0858,2.4789,0.0207,0.0601,0.0601,1.5105,0.1441
"5738",100041530,100041530,"ENSMUSG00000096488","Gm10409","predicted pseudogene 8348",0.1333,0.4788,0.2782,-0.2369,-0.2369,-2.0098,0.0559,-0.182,-0.182,-1.5854,0.1261,-0.0187,-0.0187,-0.145,0.886
"5739",84113,84113,"ENSMUSG00000038502","Ptov1","prostate tumor over expressed gene 1",0.1334,0.4788,0.2785,0.0464,0.0464,0.6415,0.5273,-0.0755,-0.0755,-1.0661,0.2971,-0.103,-0.103,-1.2614,0.2194
"5740",246317,246317,"ENSMUSG00000050321","Neto1","neuropilin (NRP) and tolloid (TLL)-like 1",0.1337,0.4789,0.2791,0.0024,0.0024,0.0356,0.9719,-0.0244,-0.0244,-0.3637,0.7193,0.1363,0.1363,1.7646,0.0905
"5741",12667,12667,"ENSMUSG00000006958","Chrd","chordin",0.1337,0.4789,0.2793,0.1692,0.1692,1.6322,0.1158,0.0539,0.0539,0.529,0.6017,-0.0725,-0.0725,-0.6155,0.5441
"5742",18628,18628,"ENSMUSG00000028957","Per3","period circadian clock 3",0.1337,0.4789,0.2792,-0.1011,-0.1011,-1.5391,0.137,-0.0874,-0.0874,-1.3588,0.187,-0.1832,-0.1832,-2.4667,0.0212
"5743",68743,68743,"ENSMUSG00000036777","Anln","anillin, actin binding protein",0.1338,0.4789,0.2793,-0.1197,-0.1197,-1.1832,0.2484,-0.0398,-0.0398,-0.4036,0.6901,0.126,0.126,1.1164,0.2754
"5744",320593,320593,"ENSMUSG00000117172","A230051N06Rik","RIKEN cDNA A230051N06 gene",0.1337,0.4789,0.2792,-0.0631,-0.0631,-0.5443,0.5913,-0.2452,-0.2452,-2.1199,0.0446,-0.0374,-0.0374,-0.2893,0.7749
"5745",109552,109552,"ENSMUSG00000003161","Sri","sorcin",0.1338,0.4789,0.2794,-0.0369,-0.0369,-0.9785,0.3377,-0.0274,-0.0274,-0.7443,0.464,0.0496,0.0496,1.1749,0.2517
"5746",102639345,102639345,"","Gm35679","predicted gene, 35679",0.1338,0.4789,0.2795,1.0792,1.0792,2.4419,0.0224,0.9081,0.9081,2.058,0.0507,0.7668,0.7668,1.5557,0.133
"5747",170758,170758,"ENSMUSG00000018012","Rac3","Rac family small GTPase 3",0.1339,0.4789,0.2795,-0.012,-0.012,-0.1331,0.8952,-0.1646,-0.1646,-1.8436,0.0777,0.0066,0.0066,0.066,0.948
"5748",19099,19099,"ENSMUSG00000027223","Mapk8ip1","mitogen-activated protein kinase 8 interacting protein 1",0.1338,0.4789,0.2794,0.0073,0.0073,0.1475,0.8839,-0.0751,-0.0751,-1.5481,0.1348,-0.0813,-0.0813,-1.4522,0.1595
"5749",102635798,102635798,"","Gm33046","predicted gene, 33046",0.1339,0.479,0.2796,-0.3811,-0.3811,-1.3582,0.1871,0.1986,0.1986,0.769,0.4495,-0.0136,-0.0136,-0.045,0.9645
"5750",381085,381085,"ENSMUSG00000042203","Tbc1d22b","TBC1 domain family, member 22B",0.134,0.4792,0.2796,0.0367,0.0367,0.9611,0.3462,-0.0362,-0.0362,-0.968,0.3428,-0.0324,-0.0324,-0.7517,0.4596
"5751",102638248,102638248,"","Gm34857","predicted gene, 34857",0.134,0.4792,0.2797,-1.2371,-1.2371,-2.4052,0.0243,-0.4108,-0.4108,-0.8886,0.3831,-0.3954,-0.3954,-0.7423,0.4651
"5752",71149,71149,"ENSMUSG00000079304","Tex52","testis expressed 52",0.1341,0.4795,0.2797,-0.2646,-0.2646,-1.52,0.1417,-0.1508,-0.1508,-0.8963,0.3791,0.1259,0.1259,0.6782,0.5042
"5753",102634132,102634132,"","B230208B08Rik","RIKEN cDNA B230208B08 gene",0.1342,0.4796,0.2798,0.4761,0.4761,2.3448,0.0277,0.275,0.275,1.3571,0.1875,0.4257,0.4257,1.8906,0.0709
"5754",94185,94185,"ENSMUSG00000023915","Tnfrsf21","tumor necrosis factor receptor superfamily, member 21",0.1342,0.4796,0.2798,0.0921,0.0921,2.1028,0.0463,0.0779,0.0779,1.8184,0.0816,0.0218,0.0218,0.4414,0.6629
"5755",15185,15185,"ENSMUSG00000031161","Hdac6","histone deacetylase 6",0.1342,0.4796,0.2799,0.0279,0.0279,0.6819,0.5019,-0.0547,-0.0547,-1.3595,0.1867,-0.0239,-0.0239,-0.5196,0.6081
"5756",105246611,105246611,"","Gm41878","predicted gene, 41878",0.1343,0.4796,0.2799,0.497,0.497,0.9561,0.3486,-0.484,-0.484,-0.8787,0.3883,0.5755,0.5755,1.0146,0.3205
"5757",381677,381677,"ENSMUSG00000037428","Vgf","VGF nerve growth factor inducible",0.1343,0.4797,0.2799,-0.0114,-0.0114,-0.1565,0.8769,-0.0619,-0.0619,-0.8696,0.3932,-0.1748,-0.1748,-2.1265,0.044
"5758",226180,226180,"ENSMUSG00000034336","Ina","internexin neuronal intermediate filament protein, alpha",0.1344,0.4798,0.28,0.0971,0.0971,2.2177,0.0364,0.0971,0.0971,2.267,0.0328,0.0683,0.0683,1.3833,0.1794
"5759",16158,16158,"ENSMUSG00000078735","Il11ra2","interleukin 11 receptor subunit alpha 2",0.1344,0.4798,0.28,-0.1195,-0.1195,-0.4677,0.6442,-0.0995,-0.0995,-0.3976,0.6945,-0.701,-0.701,-2.269,0.0326
"5760",105246286,105246286,"","Gm41590","predicted gene, 41590",0.1345,0.48,0.2801,-0.0314,-0.0314,-0.1257,0.9011,-0.3582,-0.3582,-1.4088,0.1718,0.2292,0.2292,0.8524,0.4025
"5761",66266,66266,"ENSMUSG00000054302","Eapp","E2F-associated phosphoprotein",0.1345,0.4801,0.2802,-4e-04,-4e-04,-0.0087,0.9932,0.0765,0.0765,1.8709,0.0737,0.0243,0.0243,0.5165,0.6103
"5762",71213,71213,"ENSMUSG00000044566","Cage1","cancer antigen 1",0.1345,0.4801,0.2801,0.2327,0.2327,1.9276,0.0659,0.0599,0.0599,0.4986,0.6227,0.2335,0.2335,1.7444,0.094
"5763",20692,20692,"ENSMUSG00000018593","Sparc","secreted acidic cysteine rich glycoprotein",0.1346,0.4802,0.2802,-0.108,-0.108,-0.9604,0.3465,-0.1929,-0.1929,-1.7525,0.0926,0.0502,0.0502,0.3974,0.6946
"5764",14070,14070,"ENSMUSG00000078317","F8a","factor 8-associated gene A",0.1347,0.4804,0.2804,0.0741,0.0741,1.4576,0.158,-0.0294,-0.0294,-0.5848,0.5642,0.0167,0.0167,0.2935,0.7717
"5765",105245730,105245730,"","Gm41133","predicted gene, 41133",0.1347,0.4804,0.2803,0.1697,0.1697,0.8443,0.4069,0.3341,0.3341,1.7157,0.0992,-0.1032,-0.1032,-0.4447,0.6605
"5766",67019,67019,"ENSMUSG00000019948","Actr6","ARP6 actin-related protein 6",0.1347,0.4804,0.2804,-0.0831,-0.0831,-1.3999,0.1745,3e-04,3e-04,0.0052,0.9959,0.055,0.055,0.8395,0.4096
"5767",75905,75905,"ENSMUSG00000037358","Dipk2b","divergent protein kinase domain 2B",0.1347,0.4804,0.2803,-0.2661,-0.2661,-1.3536,0.1886,-0.3164,-0.3164,-1.6404,0.1141,0.0746,0.0746,0.3537,0.7267
"5768",252838,252838,"ENSMUSG00000041272","Tox","thymocyte selection-associated high mobility group box",0.1348,0.4807,0.2805,-0.0778,-0.0778,-0.6022,0.5528,-0.2097,-0.2097,-1.6425,0.1136,0.0828,0.0828,0.5811,0.5666
"5769",268510,268510,"ENSMUSG00000043857","Mgat5b","mannoside acetylglucosaminyltransferase 5, isoenzyme B",0.1349,0.4807,0.2806,0.1339,0.1339,2.2872,0.0314,0.0608,0.0608,1.0591,0.3002,0.0365,0.0365,0.553,0.5854
"5770",72278,72278,"ENSMUSG00000034563","Ccpg1","cell cycle progression 1",0.1349,0.4807,0.2805,0.0684,0.0684,2.1739,0.0399,0.0667,0.0667,2.1674,0.0404,0.0354,0.0354,0.9978,0.3284
"5771",105246839,105246839,"","Gm42061","predicted gene, 42061",0.1349,0.4808,0.2806,1.0194,1.0194,1.6719,0.1076,0.8733,0.8733,1.4405,0.1628,-0.2536,-0.2536,-0.3357,0.74
"5772",18146,18146,"ENSMUSG00000015094","Npdc1","neural proliferation, differentiation and control 1",0.1349,0.4808,0.2807,0.0349,0.0349,0.5142,0.6119,-0.0722,-0.0722,-1.0875,0.2877,-0.1091,-0.1091,-1.4237,0.1675
"5773",66180,66180,"ENSMUSG00000006931","P3h4","prolyl 3-hydroxylase family member 4 (non-enzymatic)",0.135,0.481,0.2808,-0.1096,-0.1096,-1.4761,0.153,-0.1652,-0.1652,-2.2615,0.0332,-0.0425,-0.0425,-0.5159,0.6107
"5774",13397,13397,"ENSMUSG00000094868","Dlx6os2","distal-less homeobox 6, opposite strand 2",0.135,0.481,0.2807,0.7281,0.7281,1.5232,0.1409,0.7985,0.7985,1.699,0.1024,-0.1234,-0.1234,-0.216,0.8309
"5775",619287,619287,"ENSMUSG00000071679","Rtl4","retrotransposon Gag like 4",0.1353,0.4812,0.2811,-0.0801,-0.0801,-0.7154,0.4813,0.116,0.116,1.076,0.2927,0.139,0.139,1.1399,0.2657
"5776",22123,22123,"ENSMUSG00000017221","Psmd3","proteasome (prosome, macropain) 26S subunit, non-ATPase, 3",0.1352,0.4812,0.2809,-0.0326,-0.0326,-0.6071,0.5496,-0.1057,-0.1057,-2.0082,0.0561,-0.1092,-0.1092,-1.8001,0.0845
"5777",102634778,102634778,"","Gm32280","predicted gene, 32280",0.1352,0.4812,0.2809,0.4702,0.4702,1.9452,0.0637,0.4426,0.4426,1.8561,0.0759,0.085,0.085,0.3035,0.7641
"5778",225742,225742,"ENSMUSG00000025425","St8sia5","ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5",0.1353,0.4812,0.2811,0.0951,0.0951,1.5042,0.1457,0.1436,0.1436,2.325,0.0289,0.0491,0.0491,0.6912,0.4961
"5779",20474,20474,"ENSMUSG00000034460","Six4","sine oculis-related homeobox 4",0.1351,0.4812,0.2808,-0.2641,-0.2641,-1.7147,0.0994,-0.2848,-0.2848,-1.8898,0.071,-0.0202,-0.0202,-0.1208,0.9048
"5780",214639,214639,"ENSMUSG00000050345","4930486L24Rik","RIKEN cDNA 4930486L24 gene",0.1352,0.4812,0.281,-0.5504,-0.5504,-1.2762,0.2142,-0.5138,-0.5138,-1.2176,0.2353,0.2994,0.2994,0.6812,0.5023
"5781",59033,59033,"ENSMUSG00000023032","Slc4a8","solute carrier family 4 (anion exchanger), member 8",0.1352,0.4812,0.281,-0.0298,-0.0298,-0.4091,0.6861,0.1106,0.1106,1.5552,0.1331,0.0071,0.0071,0.0866,0.9317
"5782",66930,66930,"ENSMUSG00000053111","Fank1","fibronectin type 3 and ankyrin repeat domains 1",0.1353,0.4812,0.2812,0.1551,0.1551,1.4229,0.1678,-0.0144,-0.0144,-0.1331,0.8953,-0.0876,-0.0876,-0.7023,0.4893
"5783",75398,75398,"ENSMUSG00000015672","Mrpl32","mitochondrial ribosomal protein L32",0.1353,0.4813,0.2812,-0.1411,-0.1411,-1.9925,0.0579,-0.0141,-0.0141,-0.2059,0.8386,-0.0248,-0.0248,-0.3161,0.7546
"5784",67602,67602,"ENSMUSG00000030327","Necap1","NECAP endocytosis associated 1",0.1354,0.4815,0.2813,-0.0302,-0.0302,-0.9031,0.3755,-0.0026,-0.0026,-0.0801,0.9368,0.0522,0.0522,1.3884,0.1779
"5785",54194,54194,"ENSMUSG00000002625","Akap8l","A kinase anchor protein 8-like",0.1355,0.4815,0.2814,0.1963,0.1963,1.6845,0.1052,0.0375,0.0375,0.3276,0.7461,-0.0649,-0.0649,-0.4914,0.6276
"5786",21968,21968,"ENSMUSG00000042870","Tom1","target of myb1 trafficking protein",0.1355,0.4815,0.2814,-0.0606,-0.0606,-1.1176,0.2749,-0.12,-0.12,-2.2518,0.0338,-0.0275,-0.0275,-0.4528,0.6548
"5787",18973,18973,"ENSMUSG00000007080","Pole","polymerase (DNA directed), epsilon",0.1355,0.4815,0.2813,-0.1771,-0.1771,-1.4119,0.1709,-0.302,-0.302,-2.4304,0.023,-0.2342,-0.2342,-1.6503,0.112
"5788",105247240,105247240,"ENSMUSG00000108348","Pnma8c","PNMA family member 8C",0.1355,0.4815,0.2815,0.0713,0.0713,1.6171,0.119,0.1013,0.1013,2.352,0.0273,0.098,0.098,1.9762,0.0598
"5789",225467,225467,"ENSMUSG00000024477","Pggt1b","protein geranylgeranyltransferase type I, beta subunit",0.1355,0.4815,0.2814,0.0536,0.0536,1.1319,0.269,0.1012,0.1012,2.1852,0.039,0.107,0.107,2.0218,0.0546
"5790",16905,16905,"ENSMUSG00000028063","Lmna","lamin A",0.1356,0.4817,0.2815,-0.066,-0.066,-0.9677,0.3429,-0.1573,-0.1573,-2.3423,0.0279,-0.065,-0.065,-0.8485,0.4046
"5791",68836,68836,"ENSMUSG00000010406","Mrpl52","mitochondrial ribosomal protein L52",0.1356,0.4817,0.2816,-0.0834,-0.0834,-1.0904,0.2864,-0.1056,-0.1056,-1.4064,0.1725,-0.2124,-0.2124,-2.4448,0.0223
"5792",102637660,102637660,"","Gm34414","predicted gene, 34414",0.1357,0.4818,0.2816,0.4641,0.4641,2.0964,0.0469,0.1268,0.1268,0.5638,0.5782,0.1392,0.1392,0.5518,0.5862
"5793",21804,21804,"ENSMUSG00000030782","Tgfb1i1","transforming growth factor beta 1 induced transcript 1",0.1357,0.4818,0.2817,0.1723,0.1723,1.9861,0.0587,0.1426,0.1426,1.6699,0.1081,0.0195,0.0195,0.1988,0.8441
"5794",15356,15356,"ENSMUSG00000028672","Hmgcl","3-hydroxy-3-methylglutaryl-Coenzyme A lyase",0.1358,0.4819,0.2818,0.0017,0.0017,0.0304,0.976,0.0175,0.0175,0.3162,0.7546,0.1251,0.1251,2.0048,0.0565
"5795",69496,69496,"ENSMUSG00000021790","Dydc1","DPY30 domain containing 1",0.1358,0.4819,0.2817,-0.7009,-0.7009,-1.6053,0.1216,-0.2499,-0.2499,-0.6089,0.5484,-1.1388,-1.1388,-2.174,0.0399
"5796",210711,210711,"ENSMUSG00000048170","Mcmbp","minichromosome maintenance complex binding protein",0.1358,0.4819,0.2818,-0.0807,-0.0807,-1.9861,0.0587,-0.0105,-0.0105,-0.264,0.7941,-0.0108,-0.0108,-0.2379,0.814
"5797",192136,192136,"ENSMUSG00000055137","Sugct","succinyl-CoA glutarate-CoA transferase",0.1359,0.4821,0.2819,-0.2839,-0.2839,-2.3833,0.0255,-0.159,-0.159,-1.3815,0.18,-0.233,-0.233,-1.7551,0.0921
"5798",67203,67203,"ENSMUSG00000022678","Nde1","nudE neurodevelopment protein 1",0.1359,0.4821,0.2819,-0.1156,-0.1156,-1.7833,0.0873,0.0086,0.0086,0.1363,0.8927,-0.0605,-0.0605,-0.8367,0.4111
"5799",13123,13123,"ENSMUSG00000039519","Cyp7b1","cytochrome P450, family 7, subfamily b, polypeptide 1",0.136,0.4822,0.282,-0.0027,-0.0027,-0.0315,0.9751,0.1528,0.1528,1.8324,0.0794,0.0363,0.0363,0.379,0.708
"5800",75659,75659,"ENSMUSG00000030032","Wdr54","WD repeat domain 54",0.1361,0.4823,0.2821,-0.1205,-0.1205,-1.4678,0.1553,-0.1961,-0.1961,-2.4248,0.0233,-0.1573,-0.1573,-1.7025,0.1017
"5801",103768,103768,"ENSMUSG00000045007","Tubg2","tubulin, gamma 2",0.136,0.4823,0.282,0.0539,0.0539,0.8846,0.3852,-0.07,-0.07,-1.1659,0.2552,0.0113,0.0113,0.1644,0.8708
"5802",103284,103284,"ENSMUSG00000039810","Zc3h10","zinc finger CCCH type containing 10",0.1361,0.4823,0.2821,-0.0479,-0.0479,-0.8227,0.4188,-0.078,-0.078,-1.3618,0.186,-0.1566,-0.1566,-2.3738,0.026
"5803",319710,319710,"ENSMUSG00000048285","Frmd6","FERM domain containing 6",0.1361,0.4823,0.2822,-0.0349,-0.0349,-0.5857,0.5636,0.0448,0.0448,0.7709,0.4483,-0.0919,-0.0919,-1.3694,0.1837
"5804",170823,170823,"ENSMUSG00000029276","Glmn","glomulin, FKBP associated protein",0.1361,0.4824,0.2822,0.0038,0.0038,0.0515,0.9594,0.0114,0.0114,0.1563,0.8771,0.1608,0.1608,1.9647,0.0612
"5805",101744,101744,"ENSMUSG00000037469","Acp7","acid phosphatase 7, tartrate resistant",0.1362,0.4824,0.2823,-0.2719,-0.2719,-1.655,0.1111,-0.3151,-0.3151,-1.9517,0.0628,-0.0264,-0.0264,-0.1472,0.8842
"5806",234086,234086,"ENSMUSG00000051978","Erich1","glutamate rich 1",0.1362,0.4825,0.2823,-0.0336,-0.0336,-0.5007,0.6212,0.0939,0.0939,1.4415,0.1625,-0.0127,-0.0127,-0.1701,0.8663
"5807",78703,78703,"ENSMUSG00000074529","Zfp972","zinc finger protein 972",0.1364,0.4829,0.2824,0.5546,0.5546,1.1162,0.2755,1.0324,1.0324,2.1799,0.0394,1.0391,1.0391,2.0027,0.0567
"5808",102634011,102634011,"","Gm26868","predicted gene, 26868",0.1364,0.4829,0.2824,0.01,0.01,0.1018,0.9198,-0.1563,-0.1563,-1.6056,0.1216,0.043,0.043,0.3954,0.6961
"5809",329260,329260,"ENSMUSG00000056268","Dennd1b","DENN domain containing 1B",0.1364,0.483,0.2825,-0.0269,-0.0269,-0.3192,0.7524,0.1296,0.1296,1.5879,0.1255,0.0931,0.0931,1.0006,0.3271
"5810",71699,71699,"ENSMUSG00000030089","Slc41a3","solute carrier family 41, member 3",0.1365,0.4831,0.2825,0.0829,0.0829,0.5494,0.5878,-0.1237,-0.1237,-0.8206,0.42,0.2165,0.2165,1.3145,0.2012
"5811",408192,408192,"ENSMUSG00000102865","Gm9839","predicted gene 9839",0.1365,0.4832,0.2826,0.6843,0.6843,2.2782,0.032,0.4304,0.4304,1.4217,0.1681,0.2342,0.2342,0.6776,0.5046
"5812",223435,223435,"ENSMUSG00000022263","Trio","triple functional domain (PTPRF interacting)",0.1365,0.4832,0.2826,-0.075,-0.075,-1.1059,0.2798,0.03,0.03,0.4535,0.6543,-0.109,-0.109,-1.4247,0.1672
"5813",69642,69642,"ENSMUSG00000032355","Mlip","muscular LMNA-interacting protein",0.1367,0.4832,0.2828,-0.0167,-0.0167,-0.1953,0.8468,-0.1597,-0.1597,-1.8924,0.0707,-0.0053,-0.0053,-0.0556,0.9561
"5814",66836,66836,"ENSMUSG00000117924","Tmem223","transmembrane protein 223",0.1366,0.4832,0.2827,-0.0163,-0.0163,-0.1909,0.8502,-0.0503,-0.0503,-0.6006,0.5538,-0.2095,-0.2095,-2.1514,0.0418
"5815",238564,238564,"ENSMUSG00000044951","Mylk4","myosin light chain kinase family, member 4",0.1367,0.4832,0.2828,-0.3217,-0.3217,-1.0328,0.3121,-0.5726,-0.5726,-1.8306,0.0797,0.0921,0.0921,0.2803,0.7816
"5816",245450,245450,"ENSMUSG00000036790","Slitrk2","SLIT and NTRK-like family, member 2",0.1366,0.4832,0.2827,-0.03,-0.03,-0.4543,0.6537,-0.0735,-0.0735,-1.1366,0.267,0.0824,0.0824,1.1144,0.2762
"5817",225471,225471,"ENSMUSG00000056130","Ticam2","TIR domain containing adaptor molecule 2",0.1368,0.4835,0.2829,-0.2091,-0.2091,-1.1949,0.2439,0.1468,0.1468,0.8868,0.3841,0.0312,0.0312,0.1644,0.8708
