"","Probe","NCBIid","gene_ensembl_id","GeneSymbol","GeneName","pvalue","corrected_pvalue","rank","contrast_183730_coefficient","contrast_183730_log2fc","contrast_183730_tstat","contrast_183730_pvalue"
"1",115489304,115489304,"","Gm52481","predicted gene, 52481",1.276e-05,0.2831,4.508e-05,-0.7718,-0.7718,-1.6006,0.143
"2",328092,328092,"ENSMUSG00000020956","Dtd2","D-tyrosyl-tRNA deacylase 2",0.0175,0.758,0.0222,0.3145,0.3145,1.8711,0.0932
"3",26570,26570,"ENSMUSG00000027737","Slc7a11","solute carrier family 7 (cationic amino acid transporter, y+ system), member 11",3e-04,0.758,4e-04,-0.4746,-0.4746,-3.6998,0.0047
"4",110751,110751,"ENSMUSG00000027318","Adam33","a disintegrin and metallopeptidase domain 33",0.0191,0.758,0.0245,-1.9484,-1.9484,-2.9017,0.0171
"5",228033,228033,"ENSMUSG00000018770","Atp5mc3","ATP synthase membrane subunit c locus 3",0.0096,0.758,0.012,0.5798,0.5798,3.5311,0.0061
"6",54646,54646,"ENSMUSG00000039556","Ppp1r3f","protein phosphatase 1, regulatory subunit 3F",0.0259,0.758,0.0337,0.0761,0.0761,0.5994,0.5633
"7",621580,621580,"ENSMUSG00000094695","Gm21953","predicted gene, 21953",0.0084,0.758,0.0107,-3.1918,-3.1918,-3.0139,0.0142
"8",59003,59003,"ENSMUSG00000079562","Maea","macrophage erythroblast attacher",0.0097,0.758,0.0122,0.1888,0.1888,1.8761,0.0925
"9",102637972,102637972,"","Gm34652","predicted gene, 34652",0.0098,0.758,0.0124,2.3807,2.3807,2.4888,0.0338
"10",75739,75739,"ENSMUSG00000057440","Mpp7","membrane protein, palmitoylated 7 (MAGUK p55 subfamily member 7)",0.0031,0.758,0.0038,0.8883,0.8883,3.6088,0.0054
"11",105246264,105246264,"","Gm41572","predicted gene, 41572",0.0222,0.758,0.0284,-0.2087,-0.2087,-1.3327,0.2145
"12",791260,791260,"ENSMUSG00000078630","Tomt","transmembrane O-methyltransferase",0.0312,0.758,0.0409,-2.3164,-2.3164,-2.3159,0.045
"13",26558,26558,"ENSMUSG00000003573","Homer3","homer scaffolding protein 3",0.0168,0.758,0.0214,0.0759,0.0759,0.4539,0.6603
