"","GSE30880_enriched environment"
"100008567",0.0969
"100009600",0.0846
"100009609",-0.0133
"100009614",0.0116
"100012",0.0894
"100015211",0.2765
"100017",0.1757
"100019",-0.1055
"100033459",0.1281
"100034251",0.1932
"100034360",0.1185
"100034726",-0.0055
"100036518",0.0749
"100036520",0.133
"100036523",0.3926
"100036526",0.3106
"100036533",0.1516
"100036537",0.3311
"100036538",0.2865
"100036539",0.0822
"100036544",-0.076
"100036768",0.056
"100037258",0.2146
"100037260",0.184
"100037262",-0.1868
"100037278",-0.0323
"100037396",0.1464
"100037413",0.1707
"100038347",0.0221
"100038349",0.1498
"100038352",0.1026
"100038353",-0.0386
"100038354",0.0522
"100038355",0.0309
"100038356",0.1105
"100038357",0.1911
"100038358",0.0279
"100038367",0.1405
"100038371",-0.0885
"100038374",0.1653
"100038375",0.0413
"100038376",0.1093
"100038378",0.0668
"100038380",0.2578
"100038381",-0.1662
"100038382",0.0687
"100038383",0.0749
"100038384",0.156
"100038388",-0.0034
"100038394",0.2641
"100038395",-0.0522
"100038397",0.0404
"100038405",-0.1085
"100038410",-0.0107
"100038411",0.0133
"100038412",0.1647
"100038417",0.1423
"100038418",0.253
"100038428",0.2471
"100038429",0.1809
"100038431",0.1226
"100038433",0.4181
"100038436",0.1596
"100038437",0.0576
"100038439",0.1877
"100038440",0.2594
"100038447",0.0863
"100038453",0.0042
"100038454",0.0921
"100038460",0.3964
"100038464",0.0943
"100038465",-0.0317
"100038467",0.1738
"100038468",0.2152
"100038474",0.2968
"100038476",-0.088
"100038479",0.169
"100038485",0.269
"100038487",-0.016
"100038489",0.0227
"100038493",0.1423
"100038494",0.0856
"100038496",0.3791
"100038497",0.0255
"100038504",0.2204
"100038506",0.3482
"100038509",0.1645
"100038512",0.2567
"100038513",0.1776
"100038516",-0.0156
"100038522",0.6174
"100038525",0.3145
"100038526",-0.151
"100038528",0.2827
"100038543",0.206
"100038545",0.0589
"100038552",0.1536
"100038554",0.4543
"100038555",0.1584
"100038556",0.0182
"100038557",0.169
"100038558",0.0631
"100038560",-0.018
"100038561",0.3454
"100038564",-0.2306
"100038566",0.07595
"100038569",-0.0039
"100038570",-0.0538
"100038571",0.3315
"100038572",0.1462
"100038574",-0.0014
"100038575",-0.0496
"100038577",-0.029
"100038578",0.0024
"100038582",0.0292
"100038584",0.2239
"100038589",-0.1013
"100038590",-0.0284
"100038591",-0.0832
"100038592",0.1959
"100038594",0.0075
"100038595",-0.1263
"100038599",0.1826
"100038600",0.143
"100038601",0.2302
"100038602",0.1077
"100038607",0.1355
"100038608",0.0835
"100038609",-0.017
"100038610",0.1101
"100038614",0.2352
"100038617",0.1078
"100038618",0.1194
"100038623",0.0631
"100038626",0.0634
"100038627",0.0581
"100038628",0.0829
"100038629",0.081
"100038631",0.3124
"100038634",0.2073
"100038636",0.1275
"100038638",0.1191
"100038639",0.0092
"100038645",-0.0289
"100038646",-0.0415
"100038648",-0.0723
"100038649",0.0562
"100038653",0.1009
"100038654",0.0636
"100038657",0.2673
"100038659",0.2457
"100038666",0.2784
"100038667",0.0295
"100038668",0.2621
"100038671",0.0745
"100038672",0.2828
"100038682",0.0275
"100038683",0.2626
"100038687",0.216
"100038689",0.1562
"100038690",0.1894
"100038691",0.17
"100038692",0.0584
"100038693",-0.0077
"100038697",0.1418
"100038699",-0.3745
"100038700",0.0652
"100038708",0.0731
"100038709",0.2242
"100038711",0.0211
"100038712",0.0239
"100038713",0.0766
"100038714",0.1818
"100038718",0.135
"100038720",0.4363
"100038723",-0.2029
"100038725",-0.0213
"100038726",0.2678
"100038727",0.0909
"100038728",0.0047
"100038732",0.2714
"100038734",-0.0985
"100038735",0.0622
"100038737",-0.0433
"100038743",-0.0688
"100038746",-0.16415
"100038750",0.3204
"100038752",0.189
"100038753",0.2411
"100038755",0.0102
"100038759",0.3625
"100038761",0.1977
"100038850",0.2546
"100038854",-0.0216
"100038862",0.0317
"100038882",0.094
"100038941",0.1283
"100039062",-0.0124
"100039139",0.0119
"100039225",0.1988
"100039265",-0.0017
"100039355",-0.2246
"100039359",0.4113
"100039596",0.1831
"100039641",0.056
"100039672",-0.0092
"100039681",-0.3065
"100039691",0.1137
"100039781",0.3901
"100039795",-0.0724
"100039801",0.1047
"100039901",0.0134
"100039946",0.334
"100039968",0.0304
"100040049",0.1248
"100040201",0.0236
"100040214",-0.1543
