"","GSE111212_IE","GSE123582_IE","GSE124954_VE","GSE96961_EE","GSE95740_EE","GSE29075_VE","GSE30880_EE","GSE197754_EE","GSE111271_EE","GSE111270_EE","GSE111215_EE","GSE184615_EE","GSE179081_VE","GSE150812_EE","GSE270831_EE","GSE299436_IE","GSE1833_EE"
"GSE111212_IE",1,0.12942242339609,-0.0211571497595538,0.0828698957099237,0.0498326424618768,0.0882836111576212,0.0677746292298904,0.0349297054573699,0.175063407298292,0.182176717241266,0.00788338463619358,-0.0163838234509297,0.158308369686838,0.0161563106909262,0.0248762012017104,-0.0409171353677882,0.0965847708103913
"GSE123582_IE",0.12942242339609,1,0.138361748978995,0.0176281197402753,0.181824317424717,0.0178313271761881,-0.0693180499044208,-0.053806677953002,0.0148429812430869,-0.0208786738784633,-0.119500789531508,-0.0778459774623492,0.0495333633815921,-0.0237416706607678,0.0693734033797454,0.00575539419898791,-0.0264262660144252
"GSE124954_VE",-0.0211571497595538,0.138361748978995,1,0.0772745786049851,0.15219875528191,0.0723574980871259,-0.0168556012216281,-0.106901374076077,-0.0432093559938923,-0.0346799822887253,-0.0806861455393803,-0.0200222924634604,-0.0202292027372629,-0.0144468458100996,-0.0211937892294903,0.08254956806189,-0.0617810443611062
"GSE96961_EE",0.0828698957099237,0.0176281197402753,0.0772745786049851,1,0.0824881523897416,0.216933667907624,-0.00587994685348659,0.0753060558724168,0.291945276623208,0.0246205554973341,0.0826597712036533,-0.103113389978639,0.0141055829719701,0.0109937769129986,-0.0742284545536491,0.137134830888133,0.020737742747257
"GSE95740_EE",0.0498326424618768,0.181824317424717,0.15219875528191,0.0824881523897416,1,0.116423751625681,0.0272625594512372,-0.0520111991019328,-0.00154068998745026,0.0733002019541965,0.00119087655334877,0.004230243105287,0.0424935529322923,0.113675088040511,0.0452138050912903,0.0116103966442194,0.0163949713660211
"GSE29075_VE",0.0882836111576212,0.0178313271761881,0.0723574980871259,0.216933667907624,0.116423751625681,1,0.0505923317415059,0.0899747446456886,0.201299079169966,0.102856131255199,0.120170448918468,-0.0199105701501007,0.111186608612279,-0.0168514605326328,0.0479897720855871,0.135915048596971,0.0420311881759036
"GSE30880_EE",0.0677746292298904,-0.0693180499044208,-0.0168556012216281,-0.00587994685348659,0.0272625594512372,0.0505923317415059,1,0.0969898744417,0.0300951693896394,0.121274537395559,0.0824277551393774,0.056232638424374,0.102642632485836,0.0209804560320735,0.0642991012715755,-0.0470566363424114,0.0789294303843455
"GSE197754_EE",0.0349297054573699,-0.053806677953002,-0.106901374076077,0.0753060558724168,-0.0520111991019328,0.0899747446456886,0.0969898744417,1,0.163498233620301,0.125845845002905,0.178152506053704,0.0262067466726045,0.111430692042687,-0.0818427596010985,0.0158047018073583,-0.0458544227405162,0.0692724923394448
"GSE111271_EE",0.175063407298292,0.0148429812430869,-0.0432093559938923,0.291945276623208,-0.00154068998745026,0.201299079169966,0.0300951693896394,0.163498233620301,1,-0.00561950792774888,0.0814200737057454,-0.213091590667955,0.0189292821198819,-0.0668520450043361,-0.0110167582826862,0.135137227484478,0.0776432189054541
"GSE111270_EE",0.182176717241266,-0.0208786738784633,-0.0346799822887253,0.0246205554973341,0.0733002019541965,0.102856131255199,0.121274537395559,0.125845845002905,-0.00561950792774888,1,0.181453659649043,0.0874755206225982,0.252831646740753,0.0580271075965678,0.0548099647223371,-0.142460170978342,0.0895131144491744
"GSE111215_EE",0.00788338463619358,-0.119500789531508,-0.0806861455393803,0.0826597712036533,0.00119087655334877,0.120170448918468,0.0824277551393774,0.178152506053704,0.0814200737057454,0.181453659649043,1,-0.0437007042340782,0.199895095106315,-0.0147609596688048,0.0513249177806452,-0.00898762593440764,0.0769742348685921
"GSE184615_EE",-0.0163838234509297,-0.0778459774623492,-0.0200222924634604,-0.103113389978639,0.004230243105287,-0.0199105701501007,0.056232638424374,0.0262067466726045,-0.213091590667955,0.0874755206225982,-0.0437007042340782,1,-0.0121012384928975,0.0813168597377757,-0.04844554955361,-0.0812789705684807,0.00991642864886396
"GSE179081_VE",0.158308369686838,0.0495333633815921,-0.0202292027372629,0.0141055829719701,0.0424935529322923,0.111186608612279,0.102642632485836,0.111430692042687,0.0189292821198819,0.252831646740753,0.199895095106315,-0.0121012384928975,1,-0.087497574968344,0.129296057953176,-0.0659710151216247,0.061135792647626
"GSE150812_EE",0.0161563106909262,-0.0237416706607678,-0.0144468458100996,0.0109937769129986,0.113675088040511,-0.0168514605326328,0.0209804560320735,-0.0818427596010985,-0.0668520450043361,0.0580271075965678,-0.0147609596688048,0.0813168597377757,-0.087497574968344,1,0.0246539651990546,-0.0293029301280143,0.00215330047594
"GSE270831_EE",0.0248762012017104,0.0693734033797454,-0.0211937892294903,-0.0742284545536491,0.0452138050912903,0.0479897720855871,0.0642991012715755,0.0158047018073583,-0.0110167582826862,0.0548099647223371,0.0513249177806452,-0.04844554955361,0.129296057953176,0.0246539651990546,1,-0.0124808782355636,0.0171473461630178
"GSE299436_IE",-0.0409171353677882,0.00575539419898791,0.08254956806189,0.137134830888133,0.0116103966442194,0.135915048596971,-0.0470566363424114,-0.0458544227405162,0.135137227484478,-0.142460170978342,-0.00898762593440764,-0.0812789705684807,-0.0659710151216247,-0.0293029301280143,-0.0124808782355636,1,-0.0559797080840948
