"","GSE111271_enriched environment"
"12043",-0.2131
"12044",-0.9847
"12045",-0.2242
"12047",2.316
"12048",-0.0501
"12050",-0.087
"12051",-0.9017
"12053",0.2518
"12054",0.0019
"12055",-0.2456
"12061",1.4804
"12062",-0.5436
"12064",0.3198
"12068",-0.0159
"12069",-0.0111
"12070",-0.0018
"12075",-0.0781
"12091",-0.125
"12095",-2.3917
"12111",-0.0272
"12121",0.008
"12122",0.0723
"12123",-0.0416
"12124",-0.7063
"12125",-0.0242
"12140",-0.339
"12142",-0.2386
"12143",-0.8785
"12144",-0.0648
"12151",0.1073
"12153",0.3588
"12155",0.3786
"12156",0.143
"12159",-0.3525
"12160",-0.1081
"12161",0.0043
"12162",-0.3465
"12164",-0.8181
"12166",-0.0252
"12167",-0.075
"12168",0.0584
"12169",0.1362
"12175",0.0103
"12176",-0.0686
"12177",-0.0979
"12180",-0.3597
"12181",0.0216
"12182",0.2802
"12183",8e-04
"12189",-0.5314
"12190",0.1671
"12192",-0.1756
"12193",-0.0294
"12209",-0.1751
"12211",0.0478
"12212",0.0723
"12215",-0.1088
"12217",0.053
"12223",-0.2592
"12224",-0.9372
"12226",0.029
"12227",0.1329
"12228",0.2104
"12229",0.0249
"12231",0.0298
"12234",-0.0329
"12235",0.3944
"12236",0.0137
"12237",-0.0012
"12238",0.1341
"12257",-0.1129
"12258",0.1715
"12259",-0.084
"12260",-0.0873
"12261",0.0283
"12262",-0.1093
"12263",-0.0066
"12265",-0.0621
"12266",-0.3582
"12267",-0.037
"12268",-0.0327
"12269",-0.0287
"12270",0.5312
"12273",-0.0868
"12282",-0.0361
"12283",0.0183
"12286",0.1253
"12287",-0.0046
"12288",0.2967
"12289",0.2251
"12290",0.2448
"12291",-0.1062
"12292",0.2001
"12293",0.0537
"12294",0.055
"12295",0.0802
"12296",0.2781
"12297",-0.0583
"12298",-0.1802
"12300",-0.0664
"12301",-0.0616
"12304",-0.0264
"12305",-0.1352
"12306",-0.0121
"12307",0.205
"12308",-0.4928
"12310",-0.5397
"12316",-0.1588
"12317",-0.0634
"12319",-0.6582
"12321",-0.0422
"12323",0.2479
"12325",-0.2068
"12326",-0.0513
"12328",-0.0117
"12330",-0.1029
"12331",0.1161
"12332",-0.019
"12333",-0.0751
"12334",-0.1203
"12335",0.1743
"12336",-0.0441
"12337",-0.0302
"12338",-0.365
"12339",0.0442
"12340",-0.0746
"12343",0.1034
"12345",0.1439
"12348",-0.0271
"12349",-0.2338
"12350",0.3488
"12351",0.0152
"12352",-0.558
"12354",0.2169
"12355",0.0987
"12359",0.0387
"12361",-0.059
"12362",-0.9866
"12363",-0.5373
"12364",-0.0366
"12366",0.0153
"12367",-0.1216
"12368",0.0459
"12369",0.1879
"12370",0.1375
"12371",0.0158
"12372",0.2209
"12373",0.0042
"12374",0.1473
"12380",-0.0295
"12385",-0.1385
"12386",-0.052
"12387",-0.0488
"12388",-0.0402
"12389",-0.1309
"12390",-0.5193
"12391",-0.2408
"12393",0.2421
"12394",0.0272
"12395",-0.0961
"12396",-0.0218
"12398",-0.0572
"12399",0.2002
"12400",-0.0433
"12402",0.0782
"12404",-1.9595
"12405",-0.4777
"12406",-0.1855
"12408",-0.1372
"12409",-0.0103
"12411",-0.1201
"12412",-0.0112
"12416",0.2495
"12417",0.0037
"12418",-0.0223
"12419",-0.0249
"12421",0.0077
"12424",-0.0129
"12426",-0.9672
"12427",-0.0778
"12428",0.0459
"12442",0.0821
"12443",0.2141
"12444",0.0239
"12445",-0.0292
"12447",0.0306
"12448",0.2832
"12449",0.2451
"12450",-0.0532
"12452",0.1305
"12453",-0.0986
"12454",0.0562
"12455",0.0875
"12457",0.1323
"12458",-0.9892
"12460",0.0184
"12461",-0.007
"12462",-7e-04
"12464",-0.0602
"12465",0.0646
"12466",-0.0164
"12467",0.0422
"12468",-0.0157
"12469",-0.0176
"12475",-0.3994
"12476",-0.1281
"12477",-0.0254
"12478",-1.5171
"12479",0.0774
"12481",-1.3622
"12482",0.5787
"12483",-0.2517
"12484",-0.3324
"12487",-0.9849
"12488",0.1121
"12489",-0.0634
"12490",-0.0234
"12491",0.1073
"12492",-0.0953
"12493",-0.1546
"12494",0.4921
"12495",0.0921
"12496",-0.2657
"12497",0.0769
"12499",-0.1308
"12500",-0.432
"12501",0.179
"12502",-1.223
"12503",1.4109
"12504",0.2189
"12505",-1.4994
"12506",-0.1089
"12507",-0.3889
"12508",-0.0832
"12509",0.2293
"12511",-1.2967
"12512",-0.1703
"12514",-0.0439
"12516",-1.1721
"12517",0.6349
"12518",-0.7498
"12519",0.0768
"12520",-0.0905
"12521",-0.1066
"12522",0.1661
"12523",0.0777
"12524",-0.182
"12525",-0.6078
"12526",1.3073
"12527",-0.116
"12530",0.0035
"12531",-0.0231
"12532",-0.53
"12534",0.0818
"12537",0.0726
"12539",-0.0901
"12540",7e-04
"12544",0.0014
"12545",-0.0052
"12549",0.0255
"12550",-0.2457
"12552",0.1049
"12554",-0.3525
"12555",-0.5583
"12558",-0.0461
"12560",-0.2472
"12561",0.0027
"12562",-0.0904
"12563",-0.303
"12564",0.1173
"12565",0.1992
"12566",-0.164
"12567",0.0189
"12568",-0.1153
"12569",-0.0422
"12570",-0.0603
"12571",0.2949
"12572",0.1058
"12575",-0.2411
"12576",-0.0151
"12577",-0.2621
"12578",-0.07
"12579",-0.3869
"12580",-0.2753
"12581",-0.0139
"12583",0.0972
"12585",0.0972
"12587",-0.3303
"12589",0.0303
"12593",0.2062
"12606",0.192
"12607",0.0415
"12608",0.2366
"12609",0.3849
"12611",0.0164
"12614",-0.3237
"12615",0.4423
"12616",-0.0954
"12617",0.0409
"12626",-0.0654
"12627",-1.6063
"12628",0.0483
"12631",-0.0806
"12632",-0.0096
"12633",0.0409
"12638",0.0706
"12642",-0.0499
"12643",0.4626
"12647",-0.8979
"12648",0.1037
"12649",0.2953
"12651",-0.0211
"12652",-0.1424
"12653",0.1608
"12654",-0.0475
"12655",-0.4939
"12659",0.1384
"12660",0.0542
"12661",-0.0211
"12662",0.1211
"12663",-0.3426
"12667",0.1291
"12669",0.1357
"12671",0.1563
"12672",-0.2874
"12675",-0.0292
"12677",0.161
"12683",0.2272
"12684",0.1828
"12695",-0.0856
"12696",0.0023
"12700",-0.4343
"12702",-0.6645
"12703",-0.3758
"12704",-0.5957
"12705",0.0478
"12709",-0.1631
"12715",-1.0264
"12716",-0.1615
"12721",-0.0576
"12722",-0.3953
"12723",0.2981
"12724",0.0545
"12725",0.0156
"12727",-0.0202
"12728",-0.217
"12729",-0.0198
"12733",0.9321
"12737",-2.0184
"12738",0.0957
"12739",0.4102
"12741",-0.2284
"12745",0.0535
"12747",0.062
"12748",0.0089
"12750",0.0384
"12751",-0.0281
"12752",-0.0106
"12753",0.0673
"12757",-0.038
"12759",-0.113
"12763",0.2336
"12764",-0.0865
"12765",0.1086
"12766",-1.1184
"12767",-0.0316
"12768",0.2361
"12769",0.4707
"12770",-0.0846
"12772",-0.0075
"12774",-0.0263
"12775",0.8215
"12777",-0.0051
"12778",0.1824
"12780",-0.3535
"12785",-0.0032
"12789",-0.4071
"12790",1.1879
"12793",0.078
"12794",0.2157
"12795",-0.1287
"12796",0.5789
"12797",1.0821
"12798",0.2395
"12799",-0.1195
"12801",-0.0219
"12802",0.2102
"12803",-0.0259
"12804",-0.0266
"12805",-0.0517
"12807",0.0582
"12808",-0.9952
"12810",-0.6836
"12812",-0.0092
"12813",0.8894
"12814",0.6575
"12815",-0.094
"12816",-0.4532
"12817",0.1054
"12818",-0.213
"12819",-0.3271
"12821",-0.1864
"12822",0.148
"12823",-0.1045
"12824",-0.179
"12825",-0.2277
"12826",0.1472
"12827",0.1214
"12828",0.1328
"12829",0.2472
"12830",0.0312
"12831",-1.0519
"12832",0.1018
"12833",-0.1765
"12834",-0.6302
"12835",-0.0938
"12836",0.2004
"12837",-1.2217
"12839",0.1684
"12840",-0.5677
"12841",-0.1964
"12842",-0.2961
"12843",-0.1114
"12845",-0.0983
"12846",-0.0028
"12847",-0.0501
"12848",0.0586
"12850",-0.0617
"12854",0.0027
"12856",-0.009
"12857",-0.0961
"12858",-0.0496
"12859",-0.0292
"12861",-0.0449
"12862",-0.5905
"12864",-0.0614
"12865",-0.3861
"12866",-0.0511
"12867",-0.0285
"12868",-0.0328
"12869",-0.0578
"12870",0.1433
"12874",-0.0221
"12877",0.1288
"12879",0.0075
"12889",-0.1368
"12891",0.076
"12892",0.0245
"12894",0.0122
"12895",1.497
"12896",0.2266
"12902",-0.377
"12903",-0.1514
"12904",0.5479
"12905",-0.098
"12908",-0.0613
"12909",0.0439
"12912",0.063
"12913",-0.0476
"12914",0.0121
"12915",0.0455
"12916",0.1193
"12918",-0.4295
"12919",0.1984
"12921",-0.4635
"12922",-0.1367
"12925",0.1647
"12927",-0.0182
"12928",0.0722
"12929",0.0066
"12931",0.4557
"12933",0.0409
"12934",-0.2513
"12936",-0.0768
"12937",1.1186
"12939",0.0871
"12941",-0.2065
"12942",-0.3356
"12943",0.0205
"12946",0.0503
"12950",0.1312
"12951",0.7742
"12952",-0.1597
"12953",-0.0638
"12954",-1.1054
"12955",-0.2695
"12957",0.0665
"12958",0.322
"12959",0.0623
"12960",0.3917
"12962",-0.0039
"12964",-0.4444
"12971",-0.1275
"12972",0.1319
"12974",-0.0415
"12977",0.0348
"12978",-0.0728
"12982",-0.1279
"12983",-0.1108
"12984",0.0294
"12985",0.7234
"12986",0.0225
"12988",-0.1641
"12995",0.0412
"13000",0.0378
"13001",-0.0126
"13002",-0.0032
"13003",0.1536
"13004",-0.0612
"13006",0.065
"13007",-0.0953
"13008",-0.0671
"13010",0.062
"13011",-0.3519
"13014",0.0208
"13016",-0.0709
"13017",0.0185
"13018",0.0689
"13019",0.2848
"13024",-0.0364
"13025",0.2666
"13026",-0.0605
"13030",-0.0742
"13032",0.2017
"13033",-0.0764
"13034",0.9245
"13036",-0.0438
"13038",-0.02
"13039",-0.1047
"13040",-0.1043
"13041",-1.5018
"13043",0.2178
"13046",0.0718
"13047",-0.308
"13048",-0.9511
"13051",-0.1247
"13052",-0.1614
"13056",-0.3772
"13057",0.0825
"13058",-0.1625
"13063",-0.0116
"13070",-0.1823
"13074",0.7137
"13075",0.1465
"13076",0.4443
"13078",0.2225
"13079",0.7302
"13081",-0.09
"13082",0.7405
"13087",0.5187
"13106",-0.0194
"13110",-0.0195
"13113",-0.0051
"13115",0.5035
"13116",-0.2052
"13120",0.7496
"13121",-0.1635
"13123",0.1666
"13124",0.4391
"13131",0.1332
"13132",-0.252
"13134",0.2175
"13135",-0.0267
"13136",0.1274
"13138",0.0432
"13139",0.066
"13142",0.2307
"13143",-0.0239
"13144",-0.0189
"13162",-0.5151
"13163",0.0142
"13164",0.0794
"13166",0.1801
"13167",0.0015
"13168",-0.4025
"13169",-0.1149
"13170",-0.2231
"13171",0.093
"13175",-0.0478
"13176",-7e-04
"13177",-0.0155
"13178",0.0078
"13179",-0.8993
"13180",-0.2384
"13185",-0.0038
"13190",0.235
"13191",-0.0866
"13193",-0.4084
"13194",-0.0399
"13195",0.005
"13196",-0.1988
"13197",-0.0714
"13198",-0.1108
"13200",-0.0069
"13202",-0.0558
"13204",0.0577
"13205",0.0266
"13206",0.1986
"13207",0.0629
"13209",0.0256
"13211",0.0373
"13214",-2.9012
"13244",-0.0138
"13340",-0.017
"13345",-0.3918
"13346",0.0334
"13347",0.0246
"13349",-0.0217
"13350",-0.0595
"13353",-0.1564
"13356",0.0091
"13358",-0.0168
"13360",-0.2003
"13361",0.0991
"13363",-0.6536
"13367",0.0684
"13368",0.0257
"13371",0.1299
"13382",0.0647
"13383",-0.2187
"13384",0.1434
"13385",0.0614
"13386",-0.6073
"13388",-0.0094
"13389",0.2116
"13390",-0.1396
"13392",-0.0565
"13394",-0.7067
"13395",-0.0615
"13396",-0.3137
"13397",0.4326
"13400",0.1363
"13401",-0.05
"13404",-0.1193
"13405",0.0297
"13406",-0.1548
"13409",0.2266
"13411",-0.55
"13417",-0.0347
"13418",0.0719
"13419",0.0599
"13421",-1.5999
"13423",-0.0837
"13424",-0.0142
"13426",-0.064
"13427",-0.0041
"13429",-0.0412
"13430",-0.0259
"13433",-0.1525
"13434",0.0424
"13435",-0.0636
"13436",-0.0572
"13437",-0.1628
"13445",-0.1912
"13446",-0.6754
"13447",0.3894
"13448",0.154
"13449",0.1761
"13476",-0.149
"13478",0.0838
"13479",0.3648
"13480",0.239
"13481",-0.0652
"13482",-0.8447
"13483",0.0977
"13486",0.0277
"13487",0.2795
"13488",-0.4062
"13489",-0.1474
"13490",-0.4954
"13491",0.6427
"13492",0.5129
"13494",-0.0112
"13495",-0.0516
"13496",-0.1134
"13497",0.0903
"13498",-0.1161
"13505",-0.5254
"13506",-0.66
"13507",-2.6981
"13508",0.0905
"13511",0.0935
"13516",0.3523
"13518",-0.0838
"13521",0.1852
"13522",1.0408
"13524",-0.2259
"13527",0.0751
"13528",0.0249
"13537",-0.119
"13542",-0.0497
"13543",0.1366
"13544",-0.0791
"13548",0.024
"13549",0.03
"13555",-0.365
"13557",0.1028
"13559",0.0222
"13560",-0.1129
"13587",-1.4828
"13589",-0.0275
"13590",0.7268
"13591",0.06
"13592",-0.3545
"13593",-0.282
"13595",-0.1888
"13599",-1.2767
"13601",0.0682
"13603",-0.4818
"13605",-0.5541
"13607",0.0235
"13608",-0.5403
"13609",-0.0067
"13610",-0.1851
"13611",-0.4125
"13612",-0.1965
"13614",-0.2883
"13616",0.2796
"13617",-0.3109
"13618",-0.1631
"13619",0.0178
"13626",-0.0063
"13629",-0.0931
"13631",-0.0927
"13636",-0.1815
"13637",0.0272
"13638",0.1106
"13639",-0.2214
"13640",-0.7516
"13641",0.0066
"13642",-0.3402
"13643",0.0238
"13644",-0.255
"13645",0.0663
"13649",-0.1813
"13650",-0.1313
"13653",-0.1137
"13654",0.121
"13655",0.2148
"13656",0.2198
"13660",0.1375
"13663",-0.0254
"13664",0.0241
"13665",0.0618
"13666",-0.0229
"13667",-0.0421
"13669",0.0161
"13680",0.0762
"13681",0.089
"13682",-0.0315
"13684",0.0097
"13685",-0.2281
"13688",0.0275
"13690",-0.0376
"13709",0.0585
"13710",0.4964
"13711",-0.0113
"13712",0.1188
"13713",0.0938
"13714",0.1318
"13716",0.1011
"13717",-0.3596
"13722",0.0631
"13723",-0.3884
"13726",0.0791
"13728",-0.0441
"13730",0.2325
"13731",-0.2366
"13732",-0.3557
"13733",-0.2186
"13796",-0.1089
"13797",0.1375
"13799",-0.2217
"13800",0.0544
"13803",0.1745
"13804",-2e-04
"13805",-0.0724
"13806",-0.2133
"13808",-0.174
"13809",-0.0362
"13813",1.5619
"13819",0.0666
"13821",-0.0475
"13822",-0.1328
"13823",-0.1555
"13824",0.047
"13829",0.0088
"13830",0.0059
"13831",0.119
"13835",-0.2711
"13836",-0.1183
"13837",0.0626
"13838",0.2534
"13839",0.0683
"13840",0.419
"13841",0.4671
"13842",-0.5421
"13844",0.1107
"13845",0.1384
"13846",-0.1209
"13848",-0.0817
"13849",0.2059
"13850",0.0198
"13852",0.0378
"13853",-0.0156
"13854",-0.0768
"13855",0.0739
"13857",0.0467
"13858",0.064
"13859",0.0472
"13860",-0.0796
"13861",0.702
"13864",-0.0814
"13865",-0.1964
"13866",0.0668
"13867",-0.2289
"13869",-0.1632
"13870",0.0619
"13871",0.011
"13872",0.0229
"13875",0.0425
"13876",-0.0034
"13877",0.0918
"13885",0.0365
"13924",0.1134
"13929",0.0787
"13972",-0.0369
"13982",0.0034
"13983",-2.801
"13990",0.0748
"13992",0.0077
"13996",-0.1322
"13998",-0.0677
"14000",-0.0466
"14004",-0.0733
"14007",0.151
"14009",-0.076
"14011",-0.3722
"14012",0.4882
"14013",-0.1883
"14017",-0.1113
"14020",-0.0522
"14025",-0.0237
"14026",-0.2094
"14027",-0.6938
"14030",-0.0162
"14038",0.2677
"14042",0.1042
"14043",0.0075
"14048",0.116
"14049",1.0526
"14050",-0.0428
"14051",0.07
"14055",0.053
"14056",0.2322
"14057",-0.0368
"14061",-0.6258
"14062",-0.0849
"14063",0.6806
"14064",-0.2772
"14065",-0.1576
"14066",-0.0516
"14067",-0.5802
"14068",0.46
"14069",0.2467
"14070",-0.0359
"14071",-0.2888
"14073",0.1784
"14077",0.0132
"14081",0.1566
"14082",0.0737
"14083",0.0468
"14084",0.0982
"14085",-0.1292
"14086",-0.148
"14087",-0.004
"14088",-0.0882
"14089",-0.5024
"14102",0.1628
"14103",1.2028
"14104",-0.1151
"14105",0.0277
"14106",0.1742
"14107",-0.141
"14109",-0.1378
"14113",0.0516
"14114",0.0228
"14115",-0.0447
"14118",0.3311
"14119",0.2425
"14121",-0.3854
"14123",0.0506
"14127",-0.0937
"14128",0.2954
"14129",-0.1628
